#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR132--MA0641.1.ELF4	chr1	160054531	160054542	-	0.000	0.000	Merged-chr1-160054348-51
NR119--MA0641.1.ELF4	chr1	153288173	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR2374--MA0641.1.ELF4	chr9	56419116	56419127	-	0.000	0.000	Merged-chr9-56419056-3
NR500--MA0641.1.ELF4	chr11	119677333	119677344	-	0.000	0.000	Merged-chr11-119677198-48
NR2066--MA0641.1.ELF4	chr7	16024806	16024817	+	0.000	0.000	Merged-chr7-16024979-19
NR729--MA0641.1.ELF4	chr13	98832685	98832696	-	0.000	0.000	Merged-chr13-98832743-37
NR662--MA0641.1.ELF4	chr13	38503675	38503686	+	0.000	0.000	Merged-chr13-38503650-43
NR2407--MA0641.1.ELF4	chr9	73073390	73073401	-	0.000	0.000	Merged-chr9-73073244-62
NR1143--MA0641.1.ELF4	chr17	88123916	88123927	-	0.000	0.000	Merged-chr17-88123873-45
NR587--MA0641.1.ELF4	chr12	86949623	86949634	-	0.000	0.000	Merged-chr12-86949689-34
NR1027--MA0641.1.ELF4	chr16	78560287	78560298	-	0.000	0.000	Merged-chr16-78560297-42
NR2475--MA0641.1.ELF4	chr9	122272032	122272043	+	0.000	0.000	Merged-chr9-122271996-35
NR2229--MA0641.1.ELF4	chr8	35674896	35674907	+	0.000	0.000	Merged-chr8-35674862-23
NR2032--MA0641.1.ELF4	chr6	137795293	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR834--MA0641.1.ELF4	chr14	73290133	73290144	-	0.000	0.000	Merged-chr14-73290096-39
NR2037--MA0641.1.ELF4	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR606--MA0641.1.ELF4	chr12	105001156	105001167	-	0.000	0.000	Merged-chr12-105001185-43
NR772--MA0641.1.ELF4	chr14	15769817	15769828	-	0.000	0.000	Merged-chr14-15770075-60
NR2414--MA0641.1.ELF4	chr9	80266659	80266670	+	0.000	0.000	Merged-chr9-80266579-55
NR1016--MA0641.1.ELF4	chr16	55735846	55735857	-	0.000	0.000	Merged-chr16-55735684-24
NR1804--MA0641.1.ELF4	chr5	62574658	62574669	+	0.000	0.000	Merged-chr5-62574565-45
NR2464--MA0641.1.ELF4	chr9	114787948	114787959	-	0.000	0.000	Merged-chr9-114787935-34
NR41--MA0641.1.ELF4	chr1	60016451	60016462	+	0.000	0.000	Merged-chr1-60016690-100
NR761--MA0641.1.ELF4	chr13	117223278	117223289	+	0.000	0.000	Merged-chr13-117223399-24
NR28--MA0641.1.ELF4	chr1	51577824	51577835	-	0.000	0.000	Merged-chr1-51577937-41
NR220--MA0641.1.ELF4	chr10	21419395	21419406	-	0.000	0.000	Merged-chr10-21419295-38
NR1569--MA0641.1.ELF4	chr3	101296566	101296577	+	0.000	0.000	Merged-chr3-101296410-67
NR1601--MA0641.1.ELF4	chr3	131250570	131250581	-	0.000	0.000	Merged-chr3-131250529-24
NR2476--MA0641.1.ELF4	chr9	123058887	123058898	-	0.000	0.000	Merged-chr9-123058823-37
NR2038--MA0641.1.ELF4	chr6	142561358	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR1866--MA0641.1.ELF4	chr5	124075224	124075235	+	0.000	0.000	Merged-chr5-124075287-59
NR1405--MA0641.1.ELF4	chr2	117089742	117089753	+	0.000	0.000	Merged-chr2-117089625-28
NR1638--MA0641.1.ELF4	chr4	10940842	10940853	-	0.000	0.000	Merged-chr4-10940994-39
NR1571--MA0641.1.ELF4	chr3	102755966	102755977	-	0.000	0.000	Merged-chr3-102756086-59
NR116--MA0641.1.ELF4	chr1	144300846	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR1129--MA0641.1.ELF4	chr17	73952402	73952413	+	0.000	0.000	Merged-chr17-73952254-58
NR1393--MA0641.1.ELF4	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR2027--MA0641.1.ELF4	chr6	135218513	135218524	-	0.000	0.000	Merged-chr6-135218530-45
NR1855--MA0641.1.ELF4	chr5	115516596	115516607	-	0.000	0.000	Merged-chr5-115516638-85
NR221--MA0641.1.ELF4	chr10	21419426	21419437	-	0.000	0.000	Merged-chr10-21419295-38
NR2383--MA0641.1.ELF4	chr9	62348237	62348248	-	0.000	0.000	Merged-chr9-62348235-9
NR2016--MA0641.1.ELF4	chr6	129406137	129406148	+	0.000	0.000	Merged-chr6-129406250-15
NR2285--MA0641.1.ELF4	chr8	106643248	106643259	-	0.000	0.000	Merged-chr8-106643215-49
