#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR728--MA0098.3.ETS1	chr12	3524296	3524305	+	0.000	0.000	Merged-chr12-3524419-17
NR2246--MA0098.3.ETS1	chr3	103907737	103907746	+	0.000	0.000	Merged-chr3-103907790-52
NR1510--MA0098.3.ETS1	chr17	35817787	35817796	+	0.000	0.000	Merged-chr17-35817739-6
NR1085--MA0098.3.ETS1	chr14	27268398	27268407	+	0.000	0.000	Merged-chr14-27268313-23
NR2936--MA0098.3.ETS1	chr6	142561312	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR1618--MA0098.3.ETS1	chr17	88701080	88701089	-	0.000	0.000	Merged-chr17-88701095-28
NR3050--MA0098.3.ETS1	chr7	75255339	75255348	-	0.000	0.000	Merged-chr7-75255210-5
NR3606--MA0098.3.ETS1	chrX	169986988	169986997	-	0.000	0.000	Merged-chrX-169986880-44
NR794--MA0098.3.ETS1	chr12	76095477	76095486	-	0.000	0.000	Merged-chr12-76095535-30
NR2306--MA0098.3.ETS1	chr3	144401484	144401493	+	0.000	0.000	Merged-chr3-144401455-31
NR2799--MA0098.3.ETS1	chr6	42343588	42343597	-	0.000	0.000	Merged-chr6-42343728-43
NR1942--MA0098.3.ETS1	chr2	69002562	69002571	-	0.000	0.000	Merged-chr2-69002641-39
NR1611--MA0098.3.ETS1	chr17	86833180	86833189	-	0.000	0.000	Merged-chr17-86833009-31
NR3133--MA0098.3.ETS1	chr7	117521544	117521553	+	0.000	0.000	Merged-chr7-117521528-27
NR3071--MA0098.3.ETS1	chr7	81863361	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR247--MA0098.3.ETS1	chr1	191803551	191803560	+	0.000	0.000	Merged-chr1-191803516-12
NR1717--MA0098.3.ETS1	chr18	80683043	80683052	-	0.000	0.000	Merged-chr18-80683033-18
NR297--MA0098.3.ETS1	chr10	39293260	39293269	-	0.000	0.000	Merged-chr10-39293099-66
NR3181--MA0098.3.ETS1	chr8	11107332	11107341	+	0.000	0.000	Merged-chr8-11107220-18
NR875--MA0098.3.ETS1	chr13	4191167	4191176	-	0.000	0.000	Merged-chr13-4191269-39
NR3620--MA0098.3.ETS1	chrY	90744631	90744640	-	0.000	0.000	Merged-chrY-90744539-24
NR2893--MA0098.3.ETS1	chr6	119199071	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR1463--MA0098.3.ETS1	chr17	21383683	21383692	+	0.000	0.000	Merged-chr17-21383828-70
NR156--MA0098.3.ETS1	chr1	153617600	153617609	+	0.000	0.000	Merged-chr1-153617501-53
NR1729--MA0098.3.ETS1	chr18	89272654	89272663	+	0.000	0.000	Merged-chr18-89272605-14
NR1626--MA0098.3.ETS1	chr18	6377779	6377788	-	0.000	0.000	Merged-chr18-6377739-17
NR408--MA0098.3.ETS1	chr10	99172298	99172307	+	0.000	0.000	Merged-chr10-99172222-47
NR1470--MA0098.3.ETS1	chr17	25016824	25016833	-	0.000	0.000	Merged-chr17-25016921-2
NR3511--MA0098.3.ETS1	chr9	116366477	116366486	+	0.000	0.000	Merged-chr9-116366334-59
NR2887--MA0098.3.ETS1	chr6	117874788	117874797	+	0.000	0.000	Merged-chr6-117874923-6
NR2659--MA0098.3.ETS1	chr5	107546224	107546233	-	0.000	0.000	Merged-chr5-107546120-23
NR1950--MA0098.3.ETS1	chr2	73346570	73346579	+	0.000	0.000	Merged-chr2-73346607-35
NR1786--MA0098.3.ETS1	chr19	36926076	36926085	-	0.000	0.000	Merged-chr19-36926163-72
NR1003--MA0098.3.ETS1	chr13	96555420	96555429	-	0.000	0.000	Merged-chr13-96555289-36
NR1138--MA0098.3.ETS1	chr14	70284029	70284038	+	0.000	0.000	Merged-chr14-70283811-50
NR143--MA0098.3.ETS1	chr1	144206482	144206491	-	0.000	0.000	Merged-chr1-144206482-15
NR945--MA0098.3.ETS1	chr13	53390351	53390360	+	0.000	0.000	Merged-chr13-53390437-27
NR1994--MA0098.3.ETS1	chr2	105402285	105402294	-	0.000	0.000	Merged-chr2-105402351-10
NR632--MA0098.3.ETS1	chr11	89024287	89024296	+	0.000	0.000	Merged-chr11-89024298-29
NR1583--MA0098.3.ETS1	chr17	78351748	78351757	-	0.000	0.000	Merged-chr17-78351969-128
NR1933--MA0098.3.ETS1	chr2	57356668	57356677	-	0.000	0.000	Merged-chr2-57356493-40
NR2902--MA0098.3.ETS1	chr6	122763551	122763560	-	0.000	0.000	Merged-chr6-122763599-9
NR2500--MA0098.3.ETS1	chr4	138863510	138863519	-	0.000	0.000	Merged-chr4-138863529-4
NR1590--MA0098.3.ETS1	chr17	80067468	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR3506--MA0098.3.ETS1	chr9	114740618	114740627	+	0.000	0.000	Merged-chr9-114740560-21
NR1418--MA0098.3.ETS1	chr16	78606486	78606495	-	0.000	0.000	Merged-chr16-78606501-17
NR2884--MA0098.3.ETS1	chr6	115971342	115971351	-	0.000	0.000	Merged-chr6-115971349-10
NR2281--MA0098.3.ETS1	chr3	130796687	130796696	-	0.000	0.000	Merged-chr3-130796721-21
NR1751--MA0098.3.ETS1	chr19	7117942	7117951	-	0.000	0.000	Merged-chr19-7118010-10
NR506--MA0098.3.ETS1	chr11	32445794	32445803	-	0.000	0.000	Merged-chr11-32445818-14
NR793--MA0098.3.ETS1	chr12	76085164	76085173	+	0.000	0.000	Merged-chr12-76085234-6
NR2681--MA0098.3.ETS1	chr5	115167638	115167647	-	0.000	0.000	Merged-chr5-115167638-30
NR3002--MA0098.3.ETS1	chr7	30439917	30439926	+	0.000	0.000	Merged-chr7-30439933-8
NR2933--MA0098.3.ETS1	chr6	140684553	140684562	-	0.000	0.000	Merged-chr6-140684445-39
NR1185--MA0098.3.ETS1	chr14	118834426	118834435	-	0.000	0.000	Merged-chr14-118834540-52
