#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1038--MA0641.1.ELF4	chr17	5303459	5303470	-	0.000	0.000	Merged-chr17-5303448-46
NR1625--MA0641.1.ELF4	chr3	148867812	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR1200--MA0641.1.ELF4	chr18	62174840	62174851	-	0.000	0.000	Merged-chr18-62174920-17
NR877--MA0641.1.ELF4	chr15	25269823	25269834	-	0.000	0.000	Merged-chr15-25269773-79
NR72--MA0641.1.ELF4	chr1	87181023	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR989--MA0641.1.ELF4	chr16	26668103	26668114	-	0.000	0.000	Merged-chr16-26667963-36
NR318--MA0641.1.ELF4	chr10	120257288	120257299	-	0.000	0.000	Merged-chr10-120257480-28
NR1237--MA0641.1.ELF4	chr19	4093962	4093973	+	0.000	0.000	Merged-chr19-4093947-17
NR2117--MA0641.1.ELF4	chr7	65693448	65693459	+	0.000	0.000	Merged-chr7-65693564-67
NR489--MA0641.1.ELF4	chr11	115699582	115699593	-	0.000	0.000	Merged-chr11-115699455-67
NR2359--MA0641.1.ELF4	chr9	44196182	44196193	-	0.000	0.000	Merged-chr9-44196336-21
NR982--MA0641.1.ELF4	chr16	21835895	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR624--MA0641.1.ELF4	chr12	117756226	117756237	+	0.000	0.000	Merged-chr12-117756205-23
NR790--MA0641.1.ELF4	chr14	26994347	26994358	+	0.000	0.000	Merged-chr14-26994513-48
NR1691--MA0641.1.ELF4	chr4	91376484	91376495	+	0.000	0.000	Merged-chr4-91376544-34
NR544--MA0641.1.ELF4	chr12	35915987	35915998	+	0.000	0.000	Merged-chr12-35915902-9
NR231--MA0641.1.ELF4	chr10	39793449	39793460	-	0.000	0.000	Merged-chr10-39793457-38
NR2240--MA0641.1.ELF4	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR133--MA0641.1.ELF4	chr1	160079332	160079343	-	0.000	0.000	Merged-chr1-160079403-35
NR1267--MA0641.1.ELF4	chr19	32913462	32913473	-	0.000	0.000	Merged-chr19-32913486-21
NR384--MA0641.1.ELF4	chr11	52268596	52268607	-	0.000	0.000	Merged-chr11-52268561-57
NR23--MA0641.1.ELF4	chr1	39281145	39281156	-	0.000	0.000	Merged-chr1-39281232-20
NR515--MA0641.1.ELF4	chr12	8847135	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR681--MA0641.1.ELF4	chr13	53402511	53402522	-	0.000	0.000	Merged-chr13-53402378-5
NR1466--MA0641.1.ELF4	chr2	163123634	163123645	-	0.000	0.000	Merged-chr2-163123770-16
NR2458--MA0641.1.ELF4	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR1848--MA0641.1.ELF4	chr5	111150960	111150971	-	0.000	0.000	Merged-chr5-111150785-19
NR1535--MA0641.1.ELF4	chr3	79153525	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR2509--MA0641.1.ELF4	chrX	104488367	104488378	-	0.000	0.000	Merged-chrX-104488290-31
NR1343--MA0641.1.ELF4	chr2	43992670	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR102--MA0641.1.ELF4	chr1	133012546	133012557	-	0.000	0.000	Merged-chr1-133012523-20
NR1903--MA0641.1.ELF4	chr5	148501371	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR237--MA0641.1.ELF4	chr10	42849067	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR2465--MA0641.1.ELF4	chr9	115134833	115134844	-	0.000	0.000	Merged-chr9-115134877-14
NR134--MA0641.1.ELF4	chr1	160246105	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR1035--MA0641.1.ELF4	chr16	96208604	96208615	-	0.000	0.000	Merged-chr16-96208613-13
NR1398--MA0641.1.ELF4	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR806--MA0641.1.ELF4	chr14	47740526	47740537	-	0.000	0.000	Merged-chr14-47740703-52
NR1613--MA0641.1.ELF4	chr3	144232119	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR842--MA0641.1.ELF4	chr14	86682144	86682155	-	0.000	0.000	Merged-chr14-86682000-52
NR1743--MA0641.1.ELF4	chr4	134091323	134091334	+	0.000	0.000	Merged-chr4-134091309-8
NR1949--MA0641.1.ELF4	chr6	59185549	59185560	-	0.000	0.000	Merged-chr6-59185393-33
NR2193--MA0641.1.ELF4	chr7	127922763	127922774	-	0.000	0.000	Merged-chr7-127922827-35
NR879--MA0641.1.ELF4	chr15	27826231	27826242	-	0.000	0.000	Merged-chr15-27825914-54
NR1207--MA0641.1.ELF4	chr18	67502710	67502721	-	0.000	0.000	Merged-chr18-67502827-16
NR2132--MA0641.1.ELF4	chr7	80767062	80767073	+	0.000	0.000	Merged-chr7-80767196-18
NR1714--MA0641.1.ELF4	chr4	120815880	120815891	-	0.000	0.000	Merged-chr4-120815867-58
NR1826--MA0641.1.ELF4	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
