#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR2177--MA0098.3.ETS1	chr4	11084927	11084936	-	0.000	0.000	Merged-chr4-11084883-37
NR979--MA0098.3.ETS1	chr14	47395855	47395864	-	0.000	0.000	Merged-chr14-47395869-114
NR1307--MA0098.3.ETS1	chr16	93574725	93574734	-	0.000	0.000	Merged-chr16-93574695-56
NR2867--MA0098.3.ETS1	chr7	99448810	99448819	-	0.000	0.000	Merged-chr7-99448704-1
NR1240--MA0098.3.ETS1	chr16	18460178	18460187	-	0.000	0.000	Merged-chr16-18460092-61
NR214--MA0098.3.ETS1	chr1	182718804	182718813	+	0.000	0.000	Merged-chr1-182718730-25
NR2116--MA0098.3.ETS1	chr3	130812465	130812474	-	0.000	0.000	Merged-chr3-130812449-10
NR264--MA0098.3.ETS1	chr10	26630328	26630337	-	0.000	0.000	Merged-chr10-26630459-16
NR376--MA0098.3.ETS1	chr10	96656424	96656433	+	0.000	0.000	Merged-chr10-96656400-23
NR2036--MA0098.3.ETS1	chr3	79273117	79273126	-	0.000	0.000	Merged-chr3-79273035-30
NR1770--MA0098.3.ETS1	chr2	61483987	61483996	-	0.000	0.000	Merged-chr2-61484018-22
NR2650--MA0098.3.ETS1	chr6	89288329	89288338	-	0.000	0.000	Merged-chr6-89288372-31
NR892--MA0098.3.ETS1	chr13	95765268	95765277	+	0.000	0.000	Merged-chr13-95765232-46
NR646--MA0098.3.ETS1	chr12	8351467	8351476	-	0.000	0.000	Merged-chr12-8351458-49
NR2892--MA0098.3.ETS1	chr7	117486558	117486567	-	0.000	0.000	Merged-chr7-117486695-46
NR445--MA0098.3.ETS1	chr11	17192409	17192418	-	0.000	0.000	Merged-chr11-17192459-30
