#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR253--MA0641.1.ELF4	chr10	77537977	77537988	-	0.000	0.000	Merged-chr10-77538017-2
NR285--MA0641.1.ELF4	chr10	95196011	95196022	-	0.000	0.000	Merged-chr10-95195945-40
NR1853--MA0641.1.ELF4	chr5	146757458	146757469	+	0.000	0.000	Merged-chr5-146757539-9
NR797--MA0641.1.ELF4	chr14	75034262	75034273	+	0.000	0.000	Merged-chr14-75034378-51
NR439--MA0641.1.ELF4	chr11	100804646	100804657	+	0.000	0.000	Merged-chr11-100804708-41
NR457--MA0641.1.ELF4	chr11	107458527	107458538	+	0.000	0.000	Merged-chr11-107458669-70
NR811--MA0641.1.ELF4	chr14	103363319	103363330	-	0.000	0.000	Merged-chr14-103363341-36
NR2377--MA0641.1.ELF4	chr9	88709889	88709900	-	0.000	0.000	Merged-chr9-88709854-64
NR1995--MA0641.1.ELF4	chr6	142561358	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR2316--MA0641.1.ELF4	chr9	48817512	48817523	-	0.000	0.000	Merged-chr9-48817420-28
NR1150--MA0641.1.ELF4	chr18	10181243	10181254	-	0.000	0.000	Merged-chr18-10181319-2
NR743--MA0641.1.ELF4	chr14	23465417	23465428	-	0.000	0.000	Merged-chr14-23465360-30
NR798--MA0641.1.ELF4	chr14	75034283	75034294	-	0.000	0.000	Merged-chr14-75034378-51
NR1126--MA0641.1.ELF4	chr17	78351748	78351759	-	0.000	0.000	Merged-chr17-78351969-128
NR1041--MA0641.1.ELF4	chr17	23748293	23748304	-	0.000	0.000	Merged-chr17-23748319-15
NR2378--MA0641.1.ELF4	chr9	89221070	89221081	+	0.000	0.000	Merged-chr9-89221104-50
NR1736--MA0641.1.ELF4	chr5	31602551	31602562	-	0.000	0.000	Merged-chr5-31602596-35
NR607--MA0641.1.ELF4	chr13	3611042	3611053	+	0.000	0.000	Merged-chr13-3611189-5
NR442--MA0641.1.ELF4	chr11	101082523	101082534	+	0.000	0.000	Merged-chr11-101082516-61
NR67--MA0641.1.ELF4	chr1	92469000	92469011	+	0.000	0.000	Merged-chr1-92469061-38
NR2107--MA0641.1.ELF4	chr7	89253017	89253028	-	0.000	0.000	Merged-chr7-89253007-2
NR1949--MA0641.1.ELF4	chr6	108844221	108844232	+	0.000	0.000	Merged-chr6-108844262-40
NR838--MA0641.1.ELF4	chr14	121903674	121903685	-	0.000	0.000	Merged-chr14-121903586-22
NR1960--MA0641.1.ELF4	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR2057--MA0641.1.ELF4	chr7	44741442	44741453	+	0.000	0.000	Merged-chr7-44741502-14
NR608--MA0641.1.ELF4	chr13	4191167	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR2169--MA0641.1.ELF4	chr8	3355808	3355819	-	0.000	0.000	Merged-chr8-3355667-46
NR201--MA0641.1.ELF4	chr10	21976496	21976507	-	0.000	0.000	Merged-chr10-21976372-39
NR2441--MA0641.1.ELF4	chrX	50565234	50565245	-	0.000	0.000	Merged-chrX-50565283-19
NR1505--MA0641.1.ELF4	chr3	79504255	79504266	+	0.000	0.000	Merged-chr3-79504313-1
NR985--MA0641.1.ELF4	chr16	52468632	52468643	+	0.000	0.000	Merged-chr16-52468577-24
NR775--MA0641.1.ELF4	chr14	55946474	55946485	+	0.000	0.000	Merged-chr14-55946478-14
NR789--MA0641.1.ELF4	chr14	70283696	70283707	+	0.000	0.000	Merged-chr14-70283811-50
NR1149--MA0641.1.ELF4	chr18	7869016	7869027	+	0.000	0.000	Merged-chr18-7869140-116
NR1167--MA0641.1.ELF4	chr18	39185917	39185928	+	0.000	0.000	Merged-chr18-39185847-29
NR1204--MA0641.1.ELF4	chr18	81423562	81423573	+	0.000	0.000	Merged-chr18-81423542-12
NR666--MA0641.1.ELF4	chr13	62880528	62880539	-	0.000	0.000	Merged-chr13-62880327-44
NR1160--MA0641.1.ELF4	chr18	31911272	31911283	-	0.000	0.000	Merged-chr18-31911303-2
NR2394--MA0641.1.ELF4	chr9	106312965	106312976	-	0.000	0.000	Merged-chr9-106313051-17
NR1994--MA0641.1.ELF4	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR212--MA0641.1.ELF4	chr10	41595857	41595868	-	0.000	0.000	Merged-chr10-41595749-48
