#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR1298--MA0641.1.ELF4	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR2196--MA0641.1.ELF4	chr8	115568577	115568588	+	0.000	0.000	Merged-chr8-115568627-19
NR1545--MA0641.1.ELF4	chr4	11084927	11084938	-	0.000	0.000	Merged-chr4-11084883-37
NR1120--MA0641.1.ELF4	chr18	75426324	75426335	+	0.000	0.000	Merged-chr18-75426395-54
NR439--MA0641.1.ELF4	chr12	8847135	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR1698--MA0641.1.ELF4	chr5	9107472	9107483	+	0.000	0.000	Merged-chr5-9107352-33
NR180--MA0641.1.ELF4	chr10	26630328	26630339	-	0.000	0.000	Merged-chr10-26630459-16
NR2050--MA0641.1.ELF4	chr7	99546294	99546305	-	0.000	0.000	Merged-chr7-99546388-26
NR870--MA0641.1.ELF4	chr16	30597168	30597179	-	0.000	0.000	Merged-chr16-30597297-42
NR1902--MA0641.1.ELF4	chr6	91698970	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR2110--MA0641.1.ELF4	chr7	144417792	144417803	+	0.000	0.000	Merged-chr7-144417820-33
NR482--MA0641.1.ELF4	chr12	75494763	75494774	+	0.000	0.000	Merged-chr12-75494766-18
NR1952--MA0641.1.ELF4	chr6	134883895	134883906	+	0.000	0.000	Merged-chr6-134883955-22
NR2179--MA0641.1.ELF4	chr8	105496998	105497009	-	0.000	0.000	Merged-chr8-105496928-38
NR878--MA0641.1.ELF4	chr16	45690389	45690400	+	0.000	0.000	Merged-chr16-45690365-24
NR1108--MA0641.1.ELF4	chr18	65319185	65319196	+	0.000	0.000	Merged-chr18-65319104-54
NR373--MA0641.1.ELF4	chr11	85324126	85324137	-	0.000	0.000	Merged-chr11-85324179-42
NR1843--MA0641.1.ELF4	chr6	28878178	28878189	+	0.000	0.000	Merged-chr6-28878211-33
NR293--MA0641.1.ELF4	chr11	17192409	17192420	-	0.000	0.000	Merged-chr11-17192459-30
NR979--MA0641.1.ELF4	chr17	34196926	34196937	+	0.000	0.000	Merged-chr17-34197088-1
NR1917--MA0641.1.ELF4	chr6	115577642	115577653	-	0.000	0.000	Merged-chr6-115577839-87
NR1071--MA0641.1.ELF4	chr18	35776798	35776809	-	0.000	0.000	Merged-chr18-35776738-19
NR2161--MA0641.1.ELF4	chr8	80948596	80948607	+	0.000	0.000	Merged-chr8-80948626-26
NR1757--MA0641.1.ELF4	chr5	105849461	105849472	+	0.000	0.000	Merged-chr5-105849504-21
NR1314--MA0641.1.ELF4	chr2	122298648	122298659	-	0.000	0.000	Merged-chr2-122298801-31
NR1435--MA0641.1.ELF4	chr3	79153381	79153392	-	0.000	0.000	Merged-chr3-79153347-66
NR2146--MA0641.1.ELF4	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR818--MA0641.1.ELF4	chr15	85042659	85042670	+	0.000	0.000	Merged-chr15-85042702-72
NR1410--MA0641.1.ELF4	chr3	9500062	9500073	-	0.000	0.000	Merged-chr3-9499976-58
NR1849--MA0641.1.ELF4	chr6	30227487	30227498	-	0.000	0.000	Merged-chr6-30227395-32
NR671--MA0641.1.ELF4	chr14	47395855	47395866	-	0.000	0.000	Merged-chr14-47395869-114
NR3--MA0641.1.ELF4	chr1	13593600	13593611	-	0.000	0.000	Merged-chr1-13593495-61
NR1787--MA0641.1.ELF4	chr5	118614682	118614693	-	0.000	0.000	Merged-chr5-118614593-18
NR1134--MA0641.1.ELF4	chr18	84874243	84874254	-	0.000	0.000	Merged-chr18-84874398-59
NR1641--MA0641.1.ELF4	chr4	131696203	131696214	+	0.000	0.000	Merged-chr4-131696229-22
NR1874--MA0641.1.ELF4	chr6	70103435	70103446	-	0.000	0.000	Merged-chr6-70103466-27
NR2194--MA0641.1.ELF4	chr8	114986159	114986170	+	0.000	0.000	Merged-chr8-114986195-32
NR1356--MA0641.1.ELF4	chr2	152082059	152082070	-	0.000	0.000	Merged-chr2-152081946-31
NR1751--MA0641.1.ELF4	chr5	100929780	100929791	-	0.000	0.000	Merged-chr5-100929891-31
NR1624--MA0641.1.ELF4	chr4	124755687	124755698	+	0.000	0.000	Merged-chr4-124755730-37
NR168--MA0641.1.ELF4	chr10	4632578	4632589	-	0.000	0.000	Merged-chr10-4632472-72
NR186--MA0641.1.ELF4	chr10	40025313	40025324	+	0.000	0.000	Merged-chr10-40025208-45
