#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR4173--MA0062.2.Gabpa	chrX	159199656	159199666	-	0.000	0.000	Merged-chrX-159199808-53
NR305--MA0062.2.Gabpa	chr10	25268623	25268633	-	0.000	0.000	Merged-chr10-25268678-14
NR4030--MA0062.2.Gabpa	chr9	112186574	112186584	+	0.000	0.000	Merged-chr9-112186441-37
NR2668--MA0062.2.Gabpa	chr3	148762798	148762808	+	0.000	0.000	Merged-chr3-148762804-58
NR2525--MA0062.2.Gabpa	chr3	79273115	79273125	-	0.000	0.000	Merged-chr3-79273035-30
NR1189--MA0062.2.Gabpa	chr14	24779367	24779377	-	0.000	0.000	Merged-chr14-24779334-63
NR3672--MA0062.2.Gabpa	chr8	24547211	24547221	+	0.000	0.000	Merged-chr8-24547289-41
NR1501--MA0062.2.Gabpa	chr16	3988768	3988778	-	0.000	0.000	Merged-chr16-3988637-25
NR637--MA0062.2.Gabpa	chr11	68270923	68270933	+	0.000	0.000	Merged-chr11-68271044-32
NR1562--MA0062.2.Gabpa	chr16	30686778	30686788	+	0.000	0.000	Merged-chr16-30686693-12
NR2273--MA0062.2.Gabpa	chr2	114032498	114032508	+	0.000	0.000	Merged-chr2-114032469-18
NR3622--MA0062.2.Gabpa	chr7	132335463	132335473	+	0.000	0.000	Merged-chr7-132335509-39
NR4075--MA0062.2.Gabpa	chrX	8893113	8893123	-	0.000	0.000	Merged-chrX-8892997-72
NR3710--MA0062.2.Gabpa	chr8	68112327	68112337	+	0.000	0.000	Merged-chr8-68112424-37
NR1153--MA0062.2.Gabpa	chr13	113418397	113418407	+	0.000	0.000	Merged-chr13-113418245-6
NR3194--MA0062.2.Gabpa	chr5	149428520	149428530	-	0.000	0.000	Merged-chr5-149428707-59
