#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR2743--MA0062.2.Gabpa	chr5	24389437	24389447	-	0.000	0.000	Merged-chr5-24389483-18
NR2124--MA0062.2.Gabpa	chr2	144198938	144198948	-	0.000	0.000	Merged-chr2-144198804-26
NR2647--MA0062.2.Gabpa	chr4	128594182	128594192	+	0.000	0.000	Merged-chr4-128594333-42
NR278--MA0062.2.Gabpa	chr10	40171505	40171515	+	0.000	0.000	Merged-chr10-40171372-15
NR2180--MA0062.2.Gabpa	chr2	167839394	167839404	+	0.000	0.000	Merged-chr2-167839599-16
NR2626--MA0062.2.Gabpa	chr4	121024099	121024109	+	0.000	0.000	Merged-chr4-121024111-11
NR2368--MA0062.2.Gabpa	chr3	105815523	105815533	-	0.000	0.000	Merged-chr3-105815563-53
NR1583--MA0062.2.Gabpa	chr17	45488792	45488802	+	0.000	0.000	Merged-chr17-45488824-86
NR1976--MA0062.2.Gabpa	chr2	53088935	53088945	+	0.000	0.000	Merged-chr2-53088913-36
NR228--MA0062.2.Gabpa	chr1	184908701	184908711	+	0.000	0.000	Merged-chr1-184908710-36
NR1291--MA0062.2.Gabpa	chr15	80639249	80639259	+	0.000	0.000	Merged-chr15-80639278-38
NR2719--MA0062.2.Gabpa	chr4	155354237	155354247	+	0.000	0.000	Merged-chr4-155354250-14
NR1607--MA0062.2.Gabpa	chr17	50084086	50084096	-	0.000	0.000	Merged-chr17-50084129-24
NR2026--MA0062.2.Gabpa	chr2	85014105	85014115	-	0.000	0.000	Merged-chr2-85014071-48
NR1689--MA0062.2.Gabpa	chr18	32994118	32994128	-	0.000	0.000	Merged-chr18-32994204-28
NR3683--MA0062.2.Gabpa	chr9	62348235	62348245	-	0.000	0.000	Merged-chr9-62348235-9
NR1512--MA0062.2.Gabpa	chr17	21423192	21423202	+	0.000	0.000	Merged-chr17-21423109-81
NR3696--MA0062.2.Gabpa	chr9	72097344	72097354	-	0.000	0.000	Merged-chr9-72097262-35
NR1777--MA0062.2.Gabpa	chr18	89126609	89126619	+	0.000	0.000	Merged-chr18-89126622-17
NR3566--MA0062.2.Gabpa	chr8	120497882	120497892	-	0.000	0.000	Merged-chr8-120497954-22
NR540--MA0062.2.Gabpa	chr11	62762007	62762017	+	0.000	0.000	Merged-chr11-62762057-29
NR1618--MA0062.2.Gabpa	chr17	62857498	62857508	+	0.000	0.000	Merged-chr17-62857583-41
NR1108--MA0062.2.Gabpa	chr14	59555265	59555275	-	0.000	0.000	Merged-chr14-59555150-10
NR3083--MA0062.2.Gabpa	chr6	119199072	119199082	+	0.000	0.000	Merged-chr6-119199024-52
NR87--MA0062.2.Gabpa	chr1	88655236	88655246	+	0.000	0.000	Merged-chr1-88655113-58
NR925--MA0062.2.Gabpa	chr13	58471939	58471949	-	0.000	0.000	Merged-chr13-58471878-37
NR620--MA0062.2.Gabpa	chr11	96912823	96912833	-	0.000	0.000	Merged-chr11-96912869-14
NR3075--MA0062.2.Gabpa	chr6	115524636	115524646	+	0.000	0.000	Merged-chr6-115524627-15
NR2702--MA0062.2.Gabpa	chr4	149664318	149664328	-	0.000	0.000	Merged-chr4-149664202-47
NR2301--MA0062.2.Gabpa	chr3	78964764	78964774	-	0.000	0.000	Merged-chr3-78964803-59
NR2797--MA0062.2.Gabpa	chr5	65653945	65653955	+	0.000	0.000	Merged-chr5-65654078-14
NR2362--MA0062.2.Gabpa	chr3	104771692	104771702	+	0.000	0.000	Merged-chr3-104771571-48
NR1188--MA0062.2.Gabpa	chr14	121478153	121478163	+	0.000	0.000	Merged-chr14-121478313-77
NR1459--MA0062.2.Gabpa	chr16	91793533	91793543	+	0.000	0.000	Merged-chr16-91793603-12
