#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR6242--MA0473.2.ELF1	chr3	79153381	79153392	-	0.000	0.000	Merged-chr3-79153347-66
NR5733--MA0641.1.ELF4	chr2	122298648	122298659	-	0.000	0.000	Merged-chr2-122298801-31
NR4864--MA0473.2.ELF1	chr18	75426324	75426335	+	0.000	0.000	Merged-chr18-75426395-54
NR9746--MA0136.2.ELF5	chr9	50617052	50617062	+	0.000	0.000	Merged-chr9-50617138-82
NR1157--MA0136.2.ELF5	chr10	96656423	96656433	+	0.000	0.000	Merged-chr10-96656400-23
NR292--MA0136.2.ELF5	chr1	105342756	105342766	+	0.000	0.000	Merged-chr1-105342707-47
NR5466--MA0640.1.ELF3	chr2	61483986	61483998	-	0.000	0.000	Merged-chr2-61484018-22
NR16--MA0136.2.ELF5	chr1	13593600	13593610	-	0.000	0.000	Merged-chr1-13593495-61
NR9438--MA0136.2.ELF5	chr8	114986160	114986170	+	0.000	0.000	Merged-chr8-114986195-32
NR7038--MA0473.2.ELF1	chr4	124755687	124755698	+	0.000	0.000	Merged-chr4-124755730-37
NR5905--MA0640.1.ELF3	chr2	152082058	152082070	-	0.000	0.000	Merged-chr2-152081946-31
NR5665--MA0136.2.ELF5	chr2	112676824	112676834	-	0.000	0.000	Merged-chr2-112676754-32
NR9373--MA0641.1.ELF4	chr8	104039717	104039728	+	0.000	0.000	Merged-chr8-104039758-41
NR6243--MA0640.1.ELF3	chr3	79153380	79153392	-	0.000	0.000	Merged-chr3-79153347-66
NR7619--MA0641.1.ELF4	chr5	105849461	105849472	+	0.000	0.000	Merged-chr5-105849504-21
NR4815--MA0641.1.ELF4	chr18	65319185	65319196	+	0.000	0.000	Merged-chr18-65319104-54
NR8061--MA0473.2.ELF1	chr6	70103435	70103446	-	0.000	0.000	Merged-chr6-70103466-27
NR884--MA0136.2.ELF5	chr10	40025314	40025324	+	0.000	0.000	Merged-chr10-40025208-45
NR1690--MA0473.2.ELF1	chr11	90576784	90576795	+	0.000	0.000	Merged-chr11-90576690-20
NR1691--MA0136.2.ELF5	chr11	90576785	90576795	+	0.000	0.000	Merged-chr11-90576690-20
NR4865--MA0640.1.ELF3	chr18	75426324	75426336	+	0.000	0.000	Merged-chr18-75426395-54
NR797--MA0641.1.ELF4	chr10	4632578	4632589	-	0.000	0.000	Merged-chr10-4632472-72
NR9072--MA0136.2.ELF5	chr7	144417793	144417803	+	0.000	0.000	Merged-chr7-144417820-33
NR6714--MA0641.1.ELF4	chr4	11084927	11084938	-	0.000	0.000	Merged-chr4-11084883-37
NR6711--MA0473.2.ELF1	chr4	11084927	11084938	-	0.000	0.000	Merged-chr4-11084883-37
NR5437--MA0640.1.ELF3	chr2	55253282	55253294	+	0.000	0.000	Merged-chr2-55253274-13
NR935--MA0136.2.ELF5	chr10	60162519	60162529	-	0.000	0.000	Merged-chr10-60162645-38
NR9232--MA0641.1.ELF4	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR7039--MA0641.1.ELF4	chr4	124755687	124755698	+	0.000	0.000	Merged-chr4-124755730-37
NR4676--MA0136.2.ELF5	chr18	35776798	35776808	-	0.000	0.000	Merged-chr18-35776738-19
NR2980--MA0136.2.ELF5	chr14	47395855	47395865	-	0.000	0.000	Merged-chr14-47395869-114
NR8062--MA0641.1.ELF4	chr6	70103435	70103446	-	0.000	0.000	Merged-chr6-70103466-27
NR5216--MA0136.2.ELF5	chr2	4669825	4669835	+	0.000	0.000	Merged-chr2-4669816-18
NR8807--MA0473.2.ELF1	chr7	99546294	99546305	-	0.000	0.000	Merged-chr7-99546388-26
NR2882--MA0136.2.ELF5	chr14	14042491	14042501	-	0.000	0.000	Merged-chr14-14042557-42
NR6712--MA0640.1.ELF3	chr4	11084926	11084938	-	0.000	0.000	Merged-chr4-11084883-37
NR7342--MA0473.2.ELF1	chr5	9107472	9107483	+	0.000	0.000	Merged-chr5-9107352-33
NR4866--MA0136.2.ELF5	chr18	75426325	75426335	+	0.000	0.000	Merged-chr18-75426395-54
NR7596--MA0641.1.ELF4	chr5	100929780	100929791	-	0.000	0.000	Merged-chr5-100929891-31
NR7593--MA0473.2.ELF1	chr5	100929780	100929791	-	0.000	0.000	Merged-chr5-100929891-31
NR8243--MA0641.1.ELF4	chr6	115577642	115577653	-	0.000	0.000	Merged-chr6-115577839-87
NR8808--MA0640.1.ELF3	chr7	99546293	99546305	-	0.000	0.000	Merged-chr7-99546388-26
NR7713--MA0641.1.ELF4	chr5	118614682	118614693	-	0.000	0.000	Merged-chr5-118614593-18
NR6733--MA0136.2.ELF5	chr4	34429260	34429270	+	0.000	0.000	Merged-chr4-34429163-2
NR1662--MA0641.1.ELF4	chr11	85324126	85324137	-	0.000	0.000	Merged-chr11-85324179-42
NR4292--MA0640.1.ELF3	chr17	34196926	34196938	+	0.000	0.000	Merged-chr17-34197088-1
NR8880--MA0640.1.ELF3	chr7	115501655	115501667	-	0.000	0.000	Merged-chr7-115501823-28
NR5131--MA0641.1.ELF4	chr19	42770754	42770765	-	0.000	0.000	Merged-chr19-42770693-24
NR3605--MA0641.1.ELF4	chr15	85042659	85042670	+	0.000	0.000	Merged-chr15-85042702-72
NR3602--MA0473.2.ELF1	chr15	85042659	85042670	+	0.000	0.000	Merged-chr15-85042702-72
NR9228--MA0473.2.ELF1	chr8	64788840	64788851	+	0.000	0.000	Merged-chr8-64788923-42
NR406--MA0136.2.ELF5	chr1	135818660	135818670	+	0.000	0.000	Merged-chr1-135818684-27
NR6536--MA0473.2.ELF1	chr3	130812465	130812476	-	0.000	0.000	Merged-chr3-130812449-10
NR7594--MA0640.1.ELF3	chr5	100929779	100929791	-	0.000	0.000	Merged-chr5-100929891-31
NR6229--MA0136.2.ELF5	chr3	68981234	68981244	+	0.000	0.000	Merged-chr3-68981196-42
NR7104--MA0136.2.ELF5	chr4	131696204	131696214	+	0.000	0.000	Merged-chr4-131696229-22
NR9747--MA0641.1.ELF4	chr9	50617051	50617062	+	0.000	0.000	Merged-chr9-50617138-82
NR4515--MA0136.2.ELF5	chr17	84032625	84032635	+	0.000	0.000	Merged-chr17-84032623-33
NR9744--MA0473.2.ELF1	chr9	50617051	50617062	+	0.000	0.000	Merged-chr9-50617138-82
NR6196--MA0640.1.ELF3	chr3	55659812	55659824	+	0.000	0.000	Merged-chr3-55660012-44
NR1660--MA0640.1.ELF3	chr11	85324125	85324137	-	0.000	0.000	Merged-chr11-85324179-42
NR6018--MA0473.2.ELF1	chr2	169089253	169089264	-	0.000	0.000	Merged-chr2-169089199-37
NR2142--MA0473.2.ELF1	chr12	75494763	75494774	+	0.000	0.000	Merged-chr12-75494766-18
NR3603--MA0640.1.ELF3	chr15	85042659	85042671	+	0.000	0.000	Merged-chr15-85042702-72
NR8810--MA0641.1.ELF4	chr7	99546294	99546305	-	0.000	0.000	Merged-chr7-99546388-26
NR8902--MA0136.2.ELF5	chr7	117486558	117486568	-	0.000	0.000	Merged-chr7-117486695-46
