#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR448--MA0062.2.Gabpa	chr10	93818900	93818910	-	0.000	0.000	Merged-chr10-93818937-32
NR2668--MA0062.2.Gabpa	chr3	148762798	148762808	+	0.000	0.000	Merged-chr3-148762804-58
NR1591--MA0062.2.Gabpa	chr16	55735844	55735854	-	0.000	0.000	Merged-chr16-55735684-24
NR2129--MA0062.2.Gabpa	chr2	31081593	31081603	+	0.000	0.000	Merged-chr2-31081632-31
NR2586--MA0062.2.Gabpa	chr3	105704926	105704936	+	0.000	0.000	Merged-chr3-105704887-86
NR2565--MA0062.2.Gabpa	chr3	95673043	95673053	-	0.000	0.000	Merged-chr3-95672932-76
NR1031--MA0062.2.Gabpa	chr13	43250881	43250891	-	0.000	0.000	Merged-chr13-43250604-89
NR1411--MA0062.2.Gabpa	chr15	59795809	59795819	+	0.000	0.000	Merged-chr15-59795826-47
NR4054--MA0062.2.Gabpa	chr9	121675153	121675163	-	0.000	0.000	Merged-chr9-121675261-45
NR2018--MA0062.2.Gabpa	chr19	31337436	31337446	-	0.000	0.000	Merged-chr19-31337298-1
NR4059--MA0062.2.Gabpa	chr9	122865967	122865977	-	0.000	0.000	Merged-chr9-122865982-50
NR3370--MA0062.2.Gabpa	chr6	135218511	135218521	-	0.000	0.000	Merged-chr6-135218530-45
NR561--MA0062.2.Gabpa	chr11	32580771	32580781	+	0.000	0.000	Merged-chr11-32580688-47
NR3383--MA0062.2.Gabpa	chr6	142561361	142561371	+	0.000	0.000	Merged-chr6-142561422-52
NR3070--MA0062.2.Gabpa	chr5	93109685	93109695	-	0.000	0.000	Merged-chr5-93109666-38
NR40--MA0062.2.Gabpa	chr1	40391600	40391610	+	0.000	0.000	Merged-chr1-40391569-24
NR3237--MA0062.2.Gabpa	chr6	43382546	43382556	-	0.000	0.000	Merged-chr6-43382669-61
NR1286--MA0062.2.Gabpa	chr14	73290131	73290141	-	0.000	0.000	Merged-chr14-73290096-39
NR1114--MA0062.2.Gabpa	chr13	98832683	98832693	-	0.000	0.000	Merged-chr13-98832743-37
NR421--MA0062.2.Gabpa	chr10	83722631	83722641	-	0.000	0.000	Merged-chr10-83722684-72
NR272--MA0062.2.Gabpa	chr1	189608795	189608805	+	0.000	0.000	Merged-chr1-189608778-45
NR3378--MA0062.2.Gabpa	chr6	137795296	137795306	+	0.000	0.000	Merged-chr6-137795480-24
NR1630--MA0062.2.Gabpa	chr16	90475939	90475949	-	0.000	0.000	Merged-chr16-90475942-51
NR2999--MA0062.2.Gabpa	chr5	28269922	28269932	-	0.000	0.000	Merged-chr5-28269924-54
NR378--MA0062.2.Gabpa	chr10	68035922	68035932	-	0.000	0.000	Merged-chr10-68036009-2
NR182--MA0062.2.Gabpa	chr1	141884577	141884587	+	0.000	0.000	Merged-chr1-141884458-46
NR1702--MA0062.2.Gabpa	chr17	27405820	27405830	-	0.000	0.000	Merged-chr17-27405803-19
NR145--MA0062.2.Gabpa	chr1	120055717	120055727	+	0.000	0.000	Merged-chr1-120055701-50
NR2256--MA0062.2.Gabpa	chr2	103754814	103754824	-	0.000	0.000	Merged-chr2-103754819-28
NR4058--MA0062.2.Gabpa	chr9	122272035	122272045	+	0.000	0.000	Merged-chr9-122271996-35
NR3687--MA0062.2.Gabpa	chr8	35674899	35674909	+	0.000	0.000	Merged-chr8-35674862-23
NR1612--MA0062.2.Gabpa	chr16	78560285	78560295	-	0.000	0.000	Merged-chr16-78560297-42
NR3382--MA0062.2.Gabpa	chr6	142561313	142561323	+	0.000	0.000	Merged-chr6-142561422-52
NR1768--MA0062.2.Gabpa	chr17	46829144	46829154	-	0.000	0.000	Merged-chr17-46829209-35
NR1115--MA0062.2.Gabpa	chr13	98832911	98832921	-	0.000	0.000	Merged-chr13-98832743-37
NR1856--MA0062.2.Gabpa	chr18	32880678	32880688	+	0.000	0.000	Merged-chr18-32880667-46
NR3788--MA0062.2.Gabpa	chr8	106643246	106643256	-	0.000	0.000	Merged-chr8-106643215-49
NR3419--MA0062.2.Gabpa	chr7	16024809	16024819	+	0.000	0.000	Merged-chr7-16024979-19
NR632--MA0062.2.Gabpa	chr11	62762007	62762017	+	0.000	0.000	Merged-chr11-62762057-29
NR1949--MA0062.2.Gabpa	chr18	82607483	82607493	+	0.000	0.000	Merged-chr18-82607647-23
NR1806--MA0062.2.Gabpa	chr17	73869485	73869495	-	0.000	0.000	Merged-chr17-73869364-53
NR1004--MA0062.2.Gabpa	chr13	33072107	33072117	+	0.000	0.000	Merged-chr13-33072044-31
NR1758--MA0062.2.Gabpa	chr17	45488792	45488802	+	0.000	0.000	Merged-chr17-45488824-86
NR922--MA0062.2.Gabpa	chr12	105001064	105001074	+	0.000	0.000	Merged-chr12-105001185-43
NR303--MA0062.2.Gabpa	chr10	21419424	21419434	-	0.000	0.000	Merged-chr10-21419295-38
NR2592--MA0062.2.Gabpa	chr3	107796676	107796686	+	0.000	0.000	Merged-chr3-107796765-38
NR635--MA0062.2.Gabpa	chr11	67532357	67532367	+	0.000	0.000	Merged-chr11-67532343-16
NR2584--MA0062.2.Gabpa	chr3	102755964	102755974	-	0.000	0.000	Merged-chr3-102756086-59
NR47--MA0062.2.Gabpa	chr1	51585132	51585142	-	0.000	0.000	Merged-chr1-51585090-58
NR757--MA0062.2.Gabpa	chr11	115231759	115231769	+	0.000	0.000	Merged-chr11-115231746-46
NR3912--MA0062.2.Gabpa	chr9	56419114	56419124	-	0.000	0.000	Merged-chr9-56419056-3
NR1129--MA0062.2.Gabpa	chr13	103412733	103412743	+	0.000	0.000	Merged-chr13-103412841-15
NR2120--MA0062.2.Gabpa	chr2	27693853	27693863	+	0.000	0.000	Merged-chr2-27693880-30
NR4065--MA0062.2.Gabpa	chr9	123941438	123941448	+	0.000	0.000	Merged-chr9-123941453-43
NR2037--MA0062.2.Gabpa	chr19	41328889	41328899	+	0.000	0.000	Merged-chr19-41328970-48
NR1491--MA0062.2.Gabpa	chr15	101388300	101388310	+	0.000	0.000	Merged-chr15-101388154-52
NR3965--MA0062.2.Gabpa	chr9	80266662	80266672	+	0.000	0.000	Merged-chr9-80266579-55
NR266--MA0062.2.Gabpa	chr1	184441450	184441460	+	0.000	0.000	Merged-chr1-184441398-48
NR1807--MA0062.2.Gabpa	chr17	73952405	73952415	+	0.000	0.000	Merged-chr17-73952254-58
NR2008--MA0062.2.Gabpa	chr19	24971496	24971506	+	0.000	0.000	Merged-chr19-24971475-35
NR1611--MA0062.2.Gabpa	chr16	78375385	78375395	-	0.000	0.000	Merged-chr16-78375404-9
NR2077--MA0062.2.Gabpa	chr19	57970718	57970728	-	0.000	0.000	Merged-chr19-57970893-58
NR3949--MA0062.2.Gabpa	chr9	73073388	73073398	-	0.000	0.000	Merged-chr9-73073244-62
NR2043--MA0062.2.Gabpa	chr19	43917307	43917317	+	0.000	0.000	Merged-chr19-43917229-61
NR2165--MA0062.2.Gabpa	chr2	44345115	44345125	-	0.000	0.000	Merged-chr2-44345197-78
NR3928--MA0062.2.Gabpa	chr9	62348235	62348245	-	0.000	0.000	Merged-chr9-62348235-9
NR2449--MA0062.2.Gabpa	chr3	9853169	9853179	+	0.000	0.000	Merged-chr3-9853322-69
NR923--MA0062.2.Gabpa	chr12	105001154	105001164	-	0.000	0.000	Merged-chr12-105001185-43
NR1608--MA0062.2.Gabpa	chr16	76549841	76549851	+	0.000	0.000	Merged-chr16-76549789-43
NR1717--MA0062.2.Gabpa	chr17	32551118	32551128	-	0.000	0.000	Merged-chr17-32551219-34
NR3302--MA0062.2.Gabpa	chr6	88769728	88769738	+	0.000	0.000	Merged-chr6-88769866-45
NR3939--MA0062.2.Gabpa	chr9	69034542	69034552	-	0.000	0.000	Merged-chr9-69034461-64
NR302--MA0062.2.Gabpa	chr10	21419393	21419403	-	0.000	0.000	Merged-chr10-21419295-38
NR825--MA0062.2.Gabpa	chr12	35755331	35755341	-	0.000	0.000	Merged-chr12-35755374-29
NR2907--MA0062.2.Gabpa	chr4	130922203	130922213	-	0.000	0.000	Merged-chr4-130922235-36
NR777--MA0062.2.Gabpa	chr11	119677331	119677341	-	0.000	0.000	Merged-chr11-119677198-48
NR204--MA0062.2.Gabpa	chr1	160054529	160054539	-	0.000	0.000	Merged-chr1-160054348-51
NR185--MA0062.2.Gabpa	chr1	144300849	144300859	+	0.000	0.000	Merged-chr1-144301040-48
NR578--MA0062.2.Gabpa	chr11	43705516	43705526	+	0.000	0.000	Merged-chr11-43705351-17
