#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR9159--MA0149.1.EWSR1-FLI1	chr6	50525795	50525812	+	0.000	0.000	Merged-chr6-50525844-22
NR4711--MA0475.2.FLI1	chr17	21231931	21231940	-	0.000	0.000	Merged-chr17-21231861-25
NR4655--MA0149.1.EWSR1-FLI1	chr17	5491459	5491476	-	0.000	0.000	Merged-chr17-5491569-32
NR5755--MA0149.1.EWSR1-FLI1	chr19	58943345	58943362	+	0.000	0.000	Merged-chr19-58943465-75
NR2170--MA0149.1.EWSR1-FLI1	chr11	104158007	104158024	-	0.000	0.000	Merged-chr11-104158136-14
NR1024--MA0149.1.EWSR1-FLI1	chr10	38884942	38884959	+	0.000	0.000	Merged-chr10-38884993-65
NR3666--MA0149.1.EWSR1-FLI1	chr14	78308147	78308164	-	0.000	0.000	Merged-chr14-78307953-14
NR2171--MA0149.1.EWSR1-FLI1	chr11	104158011	104158028	-	0.000	0.000	Merged-chr11-104158136-14
NR2938--MA0149.1.EWSR1-FLI1	chr13	43789197	43789214	+	0.000	0.000	Merged-chr13-43789112-65
NR2204--MA0149.1.EWSR1-FLI1	chr11	107667939	107667956	+	0.000	0.000	Merged-chr11-107667900-1
NR6499--MA0149.1.EWSR1-FLI1	chr2	152105576	152105593	+	0.000	0.000	Merged-chr2-152105524-67
NR6463--MA0149.1.EWSR1-FLI1	chr2	147832479	147832496	+	0.000	0.000	Merged-chr2-147832545-2
NR8015--MA0149.1.EWSR1-FLI1	chr4	133158846	133158863	+	0.000	0.000	Merged-chr4-133158695-1
NR10790--MA0149.1.EWSR1-FLI1	chr8	95142682	95142699	-	0.000	0.000	Merged-chr8-95142662-41
NR3661--MA0149.1.EWSR1-FLI1	chr14	77580810	77580827	+	0.000	0.000	Merged-chr14-77580770-64
NR925--MA0149.1.EWSR1-FLI1	chr10	5795462	5795479	+	0.000	0.000	Merged-chr10-5795457-7
NR2169--MA0149.1.EWSR1-FLI1	chr11	104158003	104158020	-	0.000	0.000	Merged-chr11-104158136-14
NR949--MA0475.2.FLI1	chr10	13424768	13424777	-	0.000	0.000	Merged-chr10-13424690-40
NR3662--MA0149.1.EWSR1-FLI1	chr14	77580814	77580831	+	0.000	0.000	Merged-chr14-77580770-64
NR9158--MA0149.1.EWSR1-FLI1	chr6	50525791	50525808	+	0.000	0.000	Merged-chr6-50525844-22
NR11922--MA0475.2.FLI1	chrX	169986988	169986997	-	0.000	0.000	Merged-chrX-169986880-44
NR1283--MA0475.2.FLI1	chr10	84774770	84774779	+	0.000	0.000	Merged-chr10-84774745-16
NR5687--MA0149.1.EWSR1-FLI1	chr19	46148483	46148500	-	0.000	0.000	Merged-chr19-46148494-21
NR5492--MA0149.1.EWSR1-FLI1	chr18	89627043	89627060	-	0.000	0.000	Merged-chr18-89627032-39
NR10789--MA0475.2.FLI1	chr8	95142587	95142596	+	0.000	0.000	Merged-chr8-95142662-41
NR5004--MA0475.2.FLI1	chr17	70888018	70888027	+	0.000	0.000	Merged-chr17-70888088-40
NR6679--MA0149.1.EWSR1-FLI1	chr2	172940330	172940347	+	0.000	0.000	Merged-chr2-172940358-59
NR6249--MA0149.1.EWSR1-FLI1	chr2	102039469	102039486	-	0.000	0.000	Merged-chr2-102039537-38
NR1023--MA0149.1.EWSR1-FLI1	chr10	38884938	38884955	+	0.000	0.000	Merged-chr10-38884993-65
NR3665--MA0149.1.EWSR1-FLI1	chr14	78308146	78308163	-	0.000	0.000	Merged-chr14-78307953-14
NR3156--MA0475.2.FLI1	chr13	92722532	92722541	-	0.000	0.000	Merged-chr13-92722597-29
NR7870--MA0149.1.EWSR1-FLI1	chr4	114405880	114405897	+	0.000	0.000	Merged-chr4-114405939-23
NR6462--MA0149.1.EWSR1-FLI1	chr2	147832475	147832492	+	0.000	0.000	Merged-chr2-147832545-2
NR2939--MA0149.1.EWSR1-FLI1	chr13	43789201	43789218	+	0.000	0.000	Merged-chr13-43789112-65
NR6464--MA0149.1.EWSR1-FLI1	chr2	147832483	147832500	+	0.000	0.000	Merged-chr2-147832545-2
NR8016--MA0149.1.EWSR1-FLI1	chr4	133158850	133158867	+	0.000	0.000	Merged-chr4-133158695-1
NR3106--MA0149.1.EWSR1-FLI1	chr13	84769203	84769220	-	0.000	0.000	Merged-chr13-84769190-19
NR9061--MA0475.2.FLI1	chr6	37399188	37399197	+	0.000	0.000	Merged-chr6-37399175-29
