#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR10589--MA0136.2.ELF5	chrX	169880552	169880562	+	0.000	0.000	Merged-chrX-169880422-92
NR9855--MA0641.1.ELF4	chr9	40746893	40746904	+	0.000	0.000	Merged-chr9-40746987-16
NR9852--MA0473.2.ELF1	chr9	40746893	40746904	+	0.000	0.000	Merged-chr9-40746987-16
NR9529--MA0640.1.ELF3	chr8	106949060	106949072	-	0.000	0.000	Merged-chr8-106949012-29
NR7394--MA0640.1.ELF3	chr5	29205907	29205919	-	0.000	0.000	Merged-chr5-29205850-28
NR7575--MA0136.2.ELF5	chr5	86783397	86783407	+	0.000	0.000	Merged-chr5-86783243-43
NR10284--MA0473.2.ELF1	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR5505--MA0641.1.ELF4	chr2	10581309	10581320	-	0.000	0.000	Merged-chr2-10581253-23
NR7901--MA0473.2.ELF1	chr5	147022041	147022052	+	0.000	0.000	Merged-chr5-147021953-34
NR1661--MA0640.1.ELF3	chr11	68447529	68447541	+	0.000	0.000	Merged-chr11-68447453-15
NR6713--MA0473.2.ELF1	chr3	144232119	144232130	-	0.000	0.000	Merged-chr3-144232172-58
NR1513--MA0641.1.ELF4	chr11	32062051	32062062	-	0.000	0.000	Merged-chr11-32062095-48
NR6834--MA0473.2.ELF1	chr4	35130576	35130587	-	0.000	0.000	Merged-chr4-35130648-17
NR6732--MA0136.2.ELF5	chr3	146039585	146039595	-	0.000	0.000	Merged-chr3-146039588-29
NR8218--MA0136.2.ELF5	chr6	86784853	86784863	-	0.000	0.000	Merged-chr6-86784948-9
NR6609--MA0641.1.ELF4	chr3	126834969	126834980	+	0.000	0.000	Merged-chr3-126834809-55
NR8937--MA0640.1.ELF3	chr7	84143307	84143319	-	0.000	0.000	Merged-chr7-84143230-35
NR946--MA0136.2.ELF5	chr10	41615622	41615632	+	0.000	0.000	Merged-chr10-41615681-31
NR4132--MA0136.2.ELF5	chr16	49791088	49791098	+	0.000	0.000	Merged-chr16-49791055-52
NR10434--MA0136.2.ELF5	chrX	57185066	57185076	-	0.000	0.000	Merged-chrX-57185087-24
NR2727--MA0136.2.ELF5	chr13	36368238	36368248	-	0.000	0.000	Merged-chr13-36368196-54
NR198--MA0473.2.ELF1	chr1	74083212	74083223	-	0.000	0.000	Merged-chr1-74083131-11
