#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR4120--MA0149.1.EWSR1-FLI1	chr16	36540943	36540960	-	0.000	0.000	Merged-chr16-36541041-27
NR3678--MA0475.2.FLI1	chr15	38120502	38120511	+	0.000	0.000	Merged-chr15-38120488-27
NR9485--MA0149.1.EWSR1-FLI1	chr7	125181797	125181814	+	0.000	0.000	Merged-chr7-125181678-10
NR6574--MA0149.1.EWSR1-FLI1	chr3	96040839	96040856	-	0.000	0.000	Merged-chr3-96040740-50
NR9490--MA0149.1.EWSR1-FLI1	chr7	125511626	125511643	+	0.000	0.000	Merged-chr7-125511628-40
NR1194--MA0475.2.FLI1	chr10	84705370	84705379	+	0.000	0.000	Merged-chr10-84705452-12
NR1659--MA0149.1.EWSR1-FLI1	chr11	49202799	49202816	+	0.000	0.000	Merged-chr11-49202721-8
NR10728--MA0149.1.EWSR1-FLI1	chr9	122222972	122222989	-	0.000	0.000	Merged-chr9-122223138-17
NR2079--MA0149.1.EWSR1-FLI1	chr11	109591591	109591608	+	0.000	0.000	Merged-chr11-109591660-26
NR6824--MA0149.1.EWSR1-FLI1	chr3	137955570	137955587	-	0.000	0.000	Merged-chr3-137955835-60
NR1726--MA0149.1.EWSR1-FLI1	chr11	64115906	64115923	-	0.000	0.000	Merged-chr11-64115983-5
NR10471--MA0149.1.EWSR1-FLI1	chr9	89900632	89900649	+	0.000	0.000	Merged-chr9-89900406-12
NR823--MA0149.1.EWSR1-FLI1	chr10	5448573	5448590	+	0.000	0.000	Merged-chr10-5448562-35
NR2146--MA0149.1.EWSR1-FLI1	chr11	116688215	116688232	+	0.000	0.000	Merged-chr11-116688042-60
NR1526--MA0475.2.FLI1	chr11	6705090	6705099	+	0.000	0.000	Merged-chr11-6705219-50
NR618--MA0149.1.EWSR1-FLI1	chr1	173624423	173624440	+	0.000	0.000	Merged-chr1-173624382-21
NR10758--MA0149.1.EWSR1-FLI1	chrX	11753376	11753393	+	0.000	0.000	Merged-chrX-11753307-53
NR2905--MA0149.1.EWSR1-FLI1	chr13	81402002	81402019	-	0.000	0.000	Merged-chr13-81401902-10
NR7474--MA0149.1.EWSR1-FLI1	chr4	144892660	144892677	+	0.000	0.000	Merged-chr4-144892585-78
NR3508--MA0149.1.EWSR1-FLI1	chr14	105603154	105603171	-	0.000	0.000	Merged-chr14-105603111-38
NR9335--MA0149.1.EWSR1-FLI1	chr7	97842880	97842897	-	0.000	0.000	Merged-chr7-97843006-38
NR5700--MA0149.1.EWSR1-FLI1	chr2	76070933	76070950	-	0.000	0.000	Merged-chr2-76070778-23
NR2661--MA0475.2.FLI1	chr13	9360251	9360260	+	0.000	0.000	Merged-chr13-9360244-14
NR3681--MA0149.1.EWSR1-FLI1	chr15	38120497	38120514	+	0.000	0.000	Merged-chr15-38120488-27
NR4813--MA0149.1.EWSR1-FLI1	chr18	12305532	12305549	+	0.000	0.000	Merged-chr18-12305591-61
NR2317--MA0149.1.EWSR1-FLI1	chr12	52831027	52831044	-	0.000	0.000	Merged-chr12-52830906-26
NR3167--MA0149.1.EWSR1-FLI1	chr13	114878895	114878912	+	0.000	0.000	Merged-chr13-114879006-41
NR9874--MA0149.1.EWSR1-FLI1	chr8	88450995	88451012	+	0.000	0.000	Merged-chr8-88451024-11
NR4079--MA0149.1.EWSR1-FLI1	chr16	24163389	24163406	+	0.000	0.000	Merged-chr16-24163558-22
NR7566--MA0149.1.EWSR1-FLI1	chr4	152117719	152117736	+	0.000	0.000	Merged-chr4-152117699-6
NR139--MA0149.1.EWSR1-FLI1	chr1	64875724	64875741	+	0.000	0.000	Merged-chr1-64875800-12
NR4042--MA0149.1.EWSR1-FLI1	chr16	18377365	18377382	-	0.000	0.000	Merged-chr16-18377300-20
NR10729--MA0149.1.EWSR1-FLI1	chr9	122222973	122222990	-	0.000	0.000	Merged-chr9-122223138-17
NR4964--MA0149.1.EWSR1-FLI1	chr18	73613398	73613415	+	0.000	0.000	Merged-chr18-73613587-25
NR7099--MA0149.1.EWSR1-FLI1	chr4	53217954	53217971	+	0.000	0.000	Merged-chr4-53217970-89
NR2740--MA0149.1.EWSR1-FLI1	chr13	35131521	35131538	+	0.000	0.000	Merged-chr13-35131726-73
NR3464--MA0149.1.EWSR1-FLI1	chr14	78308147	78308164	-	0.000	0.000	Merged-chr14-78307953-14
NR3034--MA0149.1.EWSR1-FLI1	chr13	100790568	100790585	-	0.000	0.000	Merged-chr13-100790409-21
NR4067--MA0149.1.EWSR1-FLI1	chr16	21694595	21694612	-	0.000	0.000	Merged-chr16-21694504-65
NR8115--MA0149.1.EWSR1-FLI1	chr5	137870622	137870639	+	0.000	0.000	Merged-chr5-137870793-17
NR10534--MA0149.1.EWSR1-FLI1	chr9	104277098	104277115	+	0.000	0.000	Merged-chr9-104277160-2
NR7475--MA0149.1.EWSR1-FLI1	chr4	144892708	144892725	+	0.000	0.000	Merged-chr4-144892585-78
NR1218--MA0149.1.EWSR1-FLI1	chr10	88874960	88874977	+	0.000	0.000	Merged-chr10-88875114-36
NR3509--MA0149.1.EWSR1-FLI1	chr14	105603158	105603175	-	0.000	0.000	Merged-chr14-105603111-38
NR8471--MA0149.1.EWSR1-FLI1	chr6	72955009	72955026	-	0.000	0.000	Merged-chr6-72954977-48
NR7107--MA0149.1.EWSR1-FLI1	chr4	56114173	56114190	-	0.000	0.000	Merged-chr4-56114012-43
