#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR383--MA0641.1.ELF4	chr11	51883877	51883888	+	0.000	0.000	Merged-chr11-51883874-36
NR1038--MA0641.1.ELF4	chr17	5303459	5303470	-	0.000	0.000	Merged-chr17-5303448-46
NR1938--MA0641.1.ELF4	chr6	41527444	41527455	-	0.000	0.000	Merged-chr6-41527380-17
NR2025--MA0641.1.ELF4	chr6	134981439	134981450	-	0.000	0.000	Merged-chr6-134981456-22
NR1625--MA0641.1.ELF4	chr3	148867812	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR1200--MA0641.1.ELF4	chr18	62174840	62174851	-	0.000	0.000	Merged-chr18-62174920-17
NR1433--MA0641.1.ELF4	chr2	131191212	131191223	-	0.000	0.000	Merged-chr2-131191019-12
NR859--MA0641.1.ELF4	chr14	118834426	118834437	-	0.000	0.000	Merged-chr14-118834540-52
NR72--MA0641.1.ELF4	chr1	87181023	87181034	+	0.000	0.000	Merged-chr1-87181117-21
NR1237--MA0641.1.ELF4	chr19	4093962	4093973	+	0.000	0.000	Merged-chr19-4093947-17
NR2153--MA0641.1.ELF4	chr7	101414324	101414335	-	0.000	0.000	Merged-chr7-101414402-16
NR2149--MA0641.1.ELF4	chr7	99546294	99546305	-	0.000	0.000	Merged-chr7-99546388-26
NR982--MA0641.1.ELF4	chr16	21835895	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR624--MA0641.1.ELF4	chr12	117756226	117756237	+	0.000	0.000	Merged-chr12-117756205-23
NR1570--MA0641.1.ELF4	chr3	102697800	102697811	-	0.000	0.000	Merged-chr3-102697819-15
NR889--MA0641.1.ELF4	chr15	49671413	49671424	-	0.000	0.000	Merged-chr15-49671464-12
NR231--MA0641.1.ELF4	chr10	39793449	39793460	-	0.000	0.000	Merged-chr10-39793457-38
NR2240--MA0641.1.ELF4	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR515--MA0641.1.ELF4	chr12	8847135	8847146	-	0.000	0.000	Merged-chr12-8847092-48
NR1201--MA0641.1.ELF4	chr18	62494996	62495007	-	0.000	0.000	Merged-chr18-62494919-16
NR681--MA0641.1.ELF4	chr13	53402511	53402522	-	0.000	0.000	Merged-chr13-53402378-5
NR1466--MA0641.1.ELF4	chr2	163123634	163123645	-	0.000	0.000	Merged-chr2-163123770-16
NR686--MA0641.1.ELF4	chr13	54765952	54765963	+	0.000	0.000	Merged-chr13-54766029-1
NR1144--MA0641.1.ELF4	chr17	88190916	88190927	+	0.000	0.000	Merged-chr17-88190968-12
NR1923--MA0641.1.ELF4	chr6	28135324	28135335	+	0.000	0.000	Merged-chr6-28135172-1
NR2458--MA0641.1.ELF4	chr9	112186571	112186582	+	0.000	0.000	Merged-chr9-112186441-37
NR1928--MA0641.1.ELF4	chr6	30227487	30227498	-	0.000	0.000	Merged-chr6-30227395-32
NR1535--MA0641.1.ELF4	chr3	79153525	79153536	+	0.000	0.000	Merged-chr3-79153347-66
NR200--MA0641.1.ELF4	chr10	4632578	4632589	-	0.000	0.000	Merged-chr10-4632472-72
NR1343--MA0641.1.ELF4	chr2	43992670	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR1903--MA0641.1.ELF4	chr5	148501371	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR219--MA0641.1.ELF4	chr10	21395589	21395600	+	0.000	0.000	Merged-chr10-21395563-5
NR237--MA0641.1.ELF4	chr10	42849067	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR2465--MA0641.1.ELF4	chr9	115134833	115134844	-	0.000	0.000	Merged-chr9-115134877-14
NR810--MA0641.1.ELF4	chr14	50784566	50784577	+	0.000	0.000	Merged-chr14-50784606-4
NR1035--MA0641.1.ELF4	chr16	96208604	96208615	-	0.000	0.000	Merged-chr16-96208613-13
NR1720--MA0641.1.ELF4	chr4	124755687	124755698	+	0.000	0.000	Merged-chr4-124755730-37
NR1398--MA0641.1.ELF4	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
