#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR4030--MA0062.2.Gabpa	chr9	112186574	112186584	+	0.000	0.000	Merged-chr9-112186441-37
NR1189--MA0062.2.Gabpa	chr14	24779367	24779377	-	0.000	0.000	Merged-chr14-24779334-63
NR2071--MA0062.2.Gabpa	chr19	57093693	57093703	-	0.000	0.000	Merged-chr19-57093567-48
NR1230--MA0062.2.Gabpa	chr14	50784569	50784579	+	0.000	0.000	Merged-chr14-50784606-4
NR637--MA0062.2.Gabpa	chr11	68270923	68270933	+	0.000	0.000	Merged-chr11-68271044-32
NR3250--MA0062.2.Gabpa	chr6	54021303	54021313	-	0.000	0.000	Merged-chr6-54021435-16
NR1562--MA0062.2.Gabpa	chr16	30686778	30686788	+	0.000	0.000	Merged-chr16-30686693-12
NR3351--MA0062.2.Gabpa	chr6	125222301	125222311	+	0.000	0.000	Merged-chr6-125222318-50
NR1392--MA0062.2.Gabpa	chr15	49671411	49671421	-	0.000	0.000	Merged-chr15-49671464-12
NR3194--MA0062.2.Gabpa	chr5	149428520	149428530	-	0.000	0.000	Merged-chr5-149428707-59
NR1785--MA0062.2.Gabpa	chr17	57098465	57098475	+	0.000	0.000	Merged-chr17-57098619-14
NR2419--MA0062.2.Gabpa	chr2	174566066	174566076	+	0.000	0.000	Merged-chr2-174566072-46
NR3327--MA0062.2.Gabpa	chr6	113645078	113645088	-	0.000	0.000	Merged-chr6-113645003-16
NR3688--MA0062.2.Gabpa	chr8	36030371	36030381	-	0.000	0.000	Merged-chr8-36030382-8
NR3253--MA0062.2.Gabpa	chr6	57449468	57449478	+	0.000	0.000	Merged-chr6-57449516-18
NR3524--MA0062.2.Gabpa	chr7	79363597	79363607	+	0.000	0.000	Merged-chr7-79363578-43
NR662--MA0062.2.Gabpa	chr11	78215924	78215934	-	0.000	0.000	Merged-chr11-78215918-15
NR1313--MA0062.2.Gabpa	chr14	99041493	99041503	-	0.000	0.000	Merged-chr14-99041540-15
NR3258--MA0062.2.Gabpa	chr6	59185547	59185557	-	0.000	0.000	Merged-chr6-59185393-33
NR3115--MA0062.2.Gabpa	chr5	118620631	118620641	-	0.000	0.000	Merged-chr5-118620530-42
NR253--MA0062.2.Gabpa	chr1	179025515	179025525	+	0.000	0.000	Merged-chr1-179025362-29
NR1414--MA0062.2.Gabpa	chr15	64078128	64078138	+	0.000	0.000	Merged-chr15-64078156-8
NR3041--MA0062.2.Gabpa	chr5	66618854	66618864	+	0.000	0.000	Merged-chr5-66618614-86
NR1013--MA0062.2.Gabpa	chr13	36145849	36145859	+	0.000	0.000	Merged-chr13-36145940-12
NR898--MA0062.2.Gabpa	chr12	86592734	86592744	+	0.000	0.000	Merged-chr12-86592700-17
NR2670--MA0062.2.Gabpa	chr3	148867815	148867825	+	0.000	0.000	Merged-chr3-148867817-36
NR3304--MA0062.2.Gabpa	chr6	89282721	89282731	+	0.000	0.000	Merged-chr6-89282729-2
NR952--MA0062.2.Gabpa	chr12	117756229	117756239	+	0.000	0.000	Merged-chr12-117756205-23
NR1379--MA0062.2.Gabpa	chr15	35918093	35918103	+	0.000	0.000	Merged-chr15-35918069-6
