#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR358--MA0473.2.ELF1	chr1	125457135	125457146	-	0.000	0.000	Merged-chr1-125457166-6
NR3576--MA0641.1.ELF4	chr14	120572386	120572397	+	0.000	0.000	Merged-chr14-120572441-59
NR359--MA0136.2.ELF5	chr1	125457135	125457145	-	0.000	0.000	Merged-chr1-125457166-6
NR5617--MA0641.1.ELF4	chr19	61265616	61265627	+	0.000	0.000	Merged-chr19-61265627-44
NR379--MA0641.1.ELF4	chr1	128417149	128417160	-	0.000	0.000	Merged-chr1-128417160-94
NR5614--MA0473.2.ELF1	chr19	61265616	61265627	+	0.000	0.000	Merged-chr19-61265627-44
NR1741--MA0641.1.ELF4	chr11	73132331	73132342	-	0.000	0.000	Merged-chr11-73132319-6
NR8493--MA0641.1.ELF4	chr6	42343588	42343599	-	0.000	0.000	Merged-chr6-42343728-43
NR2621--MA0641.1.ELF4	chr12	117418165	117418176	+	0.000	0.000	Merged-chr12-117418203-35
NR4371--MA0641.1.ELF4	chr17	5798601	5798612	+	0.000	0.000	Merged-chr17-5798527-14
NR1865--MA0136.2.ELF5	chr11	89024286	89024296	+	0.000	0.000	Merged-chr11-89024298-29
NR4851--MA0640.1.ELF3	chr17	80067466	80067478	+	0.000	0.000	Merged-chr17-80067484-12
NR4495--MA0136.2.ELF5	chr17	25016824	25016834	-	0.000	0.000	Merged-chr17-25016921-2
NR5472--MA0473.2.ELF1	chr19	36926076	36926087	-	0.000	0.000	Merged-chr19-36926163-72
NR7509--MA0473.2.ELF1	chr4	132775187	132775198	-	0.000	0.000	Merged-chr4-132775105-24
