#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed MACS2_DKO_Tfh_peaks.Selplg.sig.bed MACS2_DKO_Th1_peaks.Selplg.sig.bed MACS2_Naive_peaks.Selplg.sig.bed MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed MACS2_WT_Tfh_peaks.Selplg.sig.bed MACS2_WT_Th1_peaks.Selplg.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed	MACS2_DKO_Tfh_peaks.Selplg.sig.bed	MACS2_DKO_Th1_peaks.Selplg.sig.bed	MACS2_Naive_peaks.Selplg.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed	MACS2_WT_Tfh_peaks.Selplg.sig.bed	MACS2_WT_Th1_peaks.Selplg.sig.bed
Merged-chr5-113816042-1	chr5	113815967	113816117	+	0.000000	MACS2_DKO_Tfh_peaks.Selplg.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198130					
Merged-chr5-113824508-6	chr5	113824388	113824622	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed|MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_Naive_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236915	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198131	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162037	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290487a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290487b			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200370
Merged-chr5-113828500-12	chr5	113828352	113828592	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed|MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_Naive_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236918a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236918b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198134b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198134c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162040a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162040b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290489a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290489b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276636a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276636b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211073	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200373b
Merged-chr5-113825668-9	chr5	113825562	113825818	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed|MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_Naive_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236916	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198132	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162038b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162038a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290488a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290488b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276634	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211072	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200371
Merged-chr5-113830514-7	chr5	113830357	113830663	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed|MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_Naive_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236919	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198135	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162041	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290490	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276637	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211074	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200374
Merged-chr5-113832713-7	chr5	113832613	113832811	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed|MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_Naive_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236920	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198136	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162042	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290491	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276638	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211075	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200375
Merged-chr5-113842449-11	chr5	113842276	113842585	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed|MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_Naive_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	11	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236922	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198138	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162044	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290493a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290493b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276639a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276639b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211076a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211076b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211076c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200377
Merged-chr5-113837234-4	chr5	113837156	113837312	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed|MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236921	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198137	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162043				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200376
Merged-chr5-113826843-5	chr5	113826740	113826939	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed|MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236917	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198133	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162039		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276635		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200372
Merged-chr5-113815359-4	chr5	113815284	113815434	+	0.000000	MACS2_DKO_Th1_peaks.Selplg.sig.bed	4			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162036a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162036c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162036d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162036e				
Merged-chr5-113812260-3	chr5	113812124	113812372	+	0.000000	MACS2_DKO_Th1_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Tfh_peaks.Selplg.sig.bed	3			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_162035		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276631	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211069	
Merged-chr5-113814424-15	chr5	113814286	113814640	+	0.000000	MACS2_DKO_Tfh_peaks.Selplg.sig.bed|MACS2_Naive_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	15		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198129a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198129b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_198129c		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290485	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276632a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276632b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276632c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211070a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211070b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211070c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211070d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200368a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200368b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200368c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200368d
Merged-chr5-113815818-8	chr5	113815666	113815960	+	0.000000	MACS2_Naive_peaks.Selplg.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Tfh_peaks.Selplg.sig.bed|MACS2_WT_Th1_peaks.Selplg.sig.bed	8				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_290486	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276633a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_276633b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211071a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_211071b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200369a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200369b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_200369c
Merged-chr5-113814984-3	chr5	113814909	113815059	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Selplg.sig.bed	3	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236913b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236913c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_236913d						
