chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr1,94053567,94053813,x,x,x,x,,x,x
chr1,94042446,94042674,x,x,x,x,x,x,x
chr1,94035340,94035669,x,x,x,x,x,x,x
chr1,94053063,94053213,,,,,x,,
chr1,94040495,94040718,x,x,x,,,,x
chr1,94052493,94052723,x,x,x,,,x,x
chr1,94048103,94048514,x,x,x,,x,x,x
chr1,94055033,94055339,x,x,x,,x,x,x
chr1,94056003,94056290,x,x,x,,x,x,x
chr1,94025518,94025847,,x,x,,x,x,x
chr1,94026859,94027009,,,,x,,,
chr1,94052232,94052382,,,,x,,,
chr1,94046654,94046804,x,,,,,,
