#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed MACS2_DKO_Tfh_peaks.Tbx21.sig.bed MACS2_DKO_Th1_peaks.Tbx21.sig.bed MACS2_Naive_peaks.Tbx21.sig.bed MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed MACS2_WT_Tfh_peaks.Tbx21.sig.bed MACS2_WT_Th1_peaks.Tbx21.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	MACS2_DKO_Th1_peaks.Tbx21.sig.bed	MACS2_Naive_peaks.Tbx21.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed	MACS2_WT_Tfh_peaks.Tbx21.sig.bed	MACS2_WT_Th1_peaks.Tbx21.sig.bed
Merged-chr11-97083257-4	chr11	97082974	97083533	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53590				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62182	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47174	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45646
Merged-chr11-97093609-1	chr11	97093534	97093684	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44936					
Merged-chr11-97129043-1	chr11	97128968	97129118	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed	1		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44948					
Merged-chr11-97115153-3	chr11	97115037	97115312	+	0.000000	MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44943					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45659c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45659b
Merged-chr11-97101974-7	chr11	97101850	97102070	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Naive_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53600	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44938	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37674	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63080	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62185	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47176	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45655
Merged-chr11-97127197-9	chr11	97127064	97127319	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_Naive_peaks.Tbx21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53608	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44947a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44947b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37683	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63083a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_63083b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62192	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47183	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45664
Merged-chr11-97090296-1	chr11	97090221	97090371	+	0.000000	MACS2_WT_Th1_peaks.Tbx21.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45650
Merged-chr11-97104209-3	chr11	97104069	97104319	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Tfh_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	3					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_62186	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_47177	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45656
Merged-chr11-97103964-6	chr11	97103878	97104051	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53601a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53601b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44939a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44939b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37675a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37675b				
Merged-chr11-97130802-10	chr11	97130695	97130910	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Tbx21.sig.bed|MACS2_DKO_Tfh_peaks.Tbx21.sig.bed|MACS2_DKO_Th1_peaks.Tbx21.sig.bed|MACS2_WT_Th1_peaks.Tbx21.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53609a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53609b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_53609c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44949a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_44949b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37684a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37684b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_37684c				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45665a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_45665b
