#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_dn.bed
NR1369--MA0035.3.Gata1	chr12	13512375	13512385	+	0.000	0.000	Merged-chr12-13512538-15
NR5327--MA0035.3.Gata1	chr5	107533776	107533786	+	0.000	0.000	Merged-chr5-107533890-8
NR4037--MA0037.3.GATA3	chr2	120026845	120026852	+	0.000	0.000	Merged-chr2-120026874-2
NR489--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR987--MA1104.1.GATA6	chr11	32445891	32445903	-	0.000	0.000	Merged-chr11-32445818-14
NR3519--MA0482.1.Gata4	chr19	12805881	12805891	-	0.000	0.000	Merged-chr19-12806193-62
NR985--MA0037.3.GATA3	chr11	32445893	32445900	-	0.000	0.000	Merged-chr11-32445818-14
NR4039--MA0766.1.GATA5	chr2	120026845	120026852	+	0.000	0.000	Merged-chr2-120026874-2
NR6259--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR5819--MA0140.2.GATA1::TAL1	chr6	119217818	119217835	-	0.000	0.000	Merged-chr6-119217771-9
NR3518--MA0037.3.GATA3	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR842--MA0036.3.GATA2	chr10	117969929	117969939	-	0.000	0.000	Merged-chr10-117970017-9
NR3521--MA0036.3.GATA2	chr19	12805882	12805892	-	0.000	0.000	Merged-chr19-12806193-62
NR4038--MA1104.1.GATA6	chr2	120026842	120026854	+	0.000	0.000	Merged-chr2-120026874-2
NR1543--MA0482.1.Gata4	chr12	93227050	93227060	+	0.000	0.000	Merged-chr12-93227052-12
NR5323--MA0482.1.Gata4	chr5	107533777	107533787	+	0.000	0.000	Merged-chr5-107533890-8
NR988--MA0036.3.GATA2	chr11	32445892	32445902	+	0.000	0.000	Merged-chr11-32445818-14
NR6260--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR5324--MA1104.1.GATA6	chr5	107533775	107533787	-	0.000	0.000	Merged-chr5-107533890-8
NR6261--MA0035.3.Gata1	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR3312--MA0140.2.GATA1::TAL1	chr18	36701897	36701914	-	0.000	0.000	Merged-chr18-36701992-26
NR1368--MA0482.1.Gata4	chr12	13512376	13512386	+	0.000	0.000	Merged-chr12-13512538-15
NR5322--MA0037.3.GATA3	chr5	107533777	107533784	-	0.000	0.000	Merged-chr5-107533890-8
NR5584--MA0766.1.GATA5	chr6	30230605	30230612	+	0.000	0.000	Merged-chr6-30230479-12
NR3522--MA0766.1.GATA5	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR3523--MA0035.3.Gata1	chr19	12805882	12805892	-	0.000	0.000	Merged-chr19-12806193-62
NR5325--MA0036.3.GATA2	chr5	107533776	107533786	+	0.000	0.000	Merged-chr5-107533890-8
NR989--MA0766.1.GATA5	chr11	32445893	32445900	-	0.000	0.000	Merged-chr11-32445818-14
NR488--MA0036.3.GATA2	chr1	191803662	191803672	+	0.000	0.000	Merged-chr1-191803516-12
NR6257--MA0482.1.Gata4	chr7	114616933	114616943	-	0.000	0.000	Merged-chr7-114616980-17
NR6258--MA1104.1.GATA6	chr7	114616933	114616945	+	0.000	0.000	Merged-chr7-114616980-17
NR841--MA1104.1.GATA6	chr10	117969928	117969940	+	0.000	0.000	Merged-chr10-117970017-9
NR3520--MA1104.1.GATA6	chr19	12805881	12805893	+	0.000	0.000	Merged-chr19-12806193-62
NR5326--MA0766.1.GATA5	chr5	107533777	107533784	-	0.000	0.000	Merged-chr5-107533890-8
NR1252--MA0482.1.Gata4	chr11	107432477	107432487	+	0.000	0.000	Merged-chr11-107432419-10
NR6256--MA0037.3.GATA3	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR986--MA0482.1.Gata4	chr11	32445893	32445903	+	0.000	0.000	Merged-chr11-32445818-14
