#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_dn.bed
NR270--MA0769.1.Tcf7	chr1	143919109	143919120	-	0.000	0.000	Merged-chr1-143919214-54
NR2519--MA0523.1.TCF7L2	chr16	23286589	23286602	-	0.000	0.000	Merged-chr16-23286554-38
NR1400--MA0769.1.Tcf7	chr12	93227048	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR4057--MA1421.1.TCF7L1	chr3	108727518	108727529	+	0.000	0.000	Merged-chr3-108727524-22
NR6446--MA0769.1.Tcf7	chr9	116366431	116366442	-	0.000	0.000	Merged-chr9-116366334-59
NR6236--MA0523.1.TCF7L2	chr9	57633601	57633614	+	0.000	0.000	Merged-chr9-57633729-59
NR5824--MA0523.1.TCF7L2	chr8	3355730	3355743	-	0.000	0.000	Merged-chr8-3355667-46
NR1399--MA0523.1.TCF7L2	chr12	93227046	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR2201--MA0769.1.Tcf7	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR1762--MA1421.1.TCF7L1	chr13	95719890	95719901	+	0.000	0.000	Merged-chr13-95719909-48
NR269--MA1421.1.TCF7L1	chr1	143919109	143919120	-	0.000	0.000	Merged-chr1-143919214-54
NR2200--MA1421.1.TCF7L1	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR5637--MA0523.1.TCF7L2	chr7	101555788	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR6300--MA1421.1.TCF7L1	chr9	79914385	79914396	+	0.000	0.000	Merged-chr9-79914391-28
NR5730--MA0523.1.TCF7L2	chr7	118120119	118120132	+	0.000	0.000	Merged-chr7-118120096-37
NR1398--MA1421.1.TCF7L1	chr12	93227048	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR5638--MA0769.1.Tcf7	chr7	101555790	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR3574--MA1421.1.TCF7L1	chr2	90528495	90528506	+	0.000	0.000	Merged-chr2-90528384-23
