#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_dn.bed
NR1994--MA0690.1.TBX21	chr8	120396913	120396922	+	0.000	0.000	Merged-chr8-120396987-32
NR693--MA0690.1.TBX21	chr14	101467667	101467676	+	0.000	0.000	Merged-chr14-101467841-26
NR1099--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR1315--MA0690.1.TBX21	chr3	101598118	101598127	-	0.000	0.000	Merged-chr3-101598272-22
NR1412--MA0690.1.TBX21	chr4	35096792	35096801	-	0.000	0.000	Merged-chr4-35096609-40
NR1351--MA0690.1.TBX21	chr3	132927943	132927952	-	0.000	0.000	Merged-chr3-132927951-20
NR554--MA0690.1.TBX21	chr13	53346174	53346183	-	0.000	0.000	Merged-chr13-53346089-14
NR634--MA0690.1.TBX21	chr14	7864737	7864746	+	0.000	0.000	Merged-chr14-7864865-9
NR852--MA0690.1.TBX21	chr16	76310895	76310904	+	0.000	0.000	Merged-chr16-76310830-49
NR647--MA0690.1.TBX21	chr14	30184812	30184821	-	0.000	0.000	Merged-chr14-30184705-37
NR448--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR515--MA0690.1.TBX21	chr13	20140317	20140326	+	0.000	0.000	Merged-chr13-20140166-30
NR82--MA0690.1.TBX21	chr1	138542802	138542811	-	0.000	0.000	Merged-chr1-138542700-22
NR1788--MA0690.1.TBX21	chr6	145469461	145469470	-	0.000	0.000	Merged-chr6-145469437-17
NR1515--MA0690.1.TBX21	chr4	154936066	154936075	+	0.000	0.000	Merged-chr4-154936025-18
NR952--MA0690.1.TBX21	chr18	11967343	11967352	+	0.000	0.000	Merged-chr18-11967276-33
NR1087--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
