#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed
NR1677--MA0768.1.LEF1	chr6	50146432	50146446	-	0.000	0.000	Merged-chr6-50146420-23
NR1104--MA0768.1.LEF1	chr2	34198752	34198766	+	0.000	0.000	Merged-chr2-34198771-20
NR351--MA0768.1.LEF1	chr11	70113938	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR338--MA0768.1.LEF1	chr11	55131299	55131313	-	0.000	0.000	Merged-chr11-55131266-10
NR911--MA0768.1.LEF1	chr17	47564719	47564733	-	0.000	0.000	Merged-chr17-47564757-20
NR1136--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR1038--MA0768.1.LEF1	chr19	32455179	32455193	+	0.000	0.000	Merged-chr19-32455050-22
NR1844--MA0768.1.LEF1	chr7	84166258	84166272	+	0.000	0.000	Merged-chr7-84166236-11
NR733--MA0768.1.LEF1	chr15	38326500	38326514	-	0.000	0.000	Merged-chr15-38326552-13
NR998--MA0768.1.LEF1	chr18	73765127	73765141	-	0.000	0.000	Merged-chr18-73765273-28
NR210--MA0768.1.LEF1	chr10	30570577	30570591	+	0.000	0.000	Merged-chr10-30570499-22
NR1586--MA0768.1.LEF1	chr5	77166255	77166269	+	0.000	0.000	Merged-chr5-77166256-29
NR591--MA0768.1.LEF1	chr13	108303402	108303416	-	0.000	0.000	Merged-chr13-108303499-73
NR1161--MA0768.1.LEF1	chr2	103632623	103632637	+	0.000	0.000	Merged-chr2-103632734-49
NR229--MA0768.1.LEF1	chr10	61306349	61306363	+	0.000	0.000	Merged-chr10-61306308-35
NR740--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1011--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR814--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2017--MA0768.1.LEF1	chr9	14908165	14908179	+	0.000	0.000	Merged-chr9-14908176-52
NR64--MA0768.1.LEF1	chr1	87378152	87378166	-	0.000	0.000	Merged-chr1-87378193-21
NR560--MA0768.1.LEF1	chr13	73491211	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR1470--MA0768.1.LEF1	chr4	89393652	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR1130--MA0768.1.LEF1	chr2	66148944	66148958	+	0.000	0.000	Merged-chr2-66149107-69
NR2140--MA0768.1.LEF1	chrX	57185001	57185015	+	0.000	0.000	Merged-chrX-57185087-24
NR1704--MA0768.1.LEF1	chr6	86754831	86754845	+	0.000	0.000	Merged-chr6-86754818-10
NR705--MA0768.1.LEF1	chr14	122290588	122290602	+	0.000	0.000	Merged-chr14-122290582-19
NR1679--MA0768.1.LEF1	chr6	54926015	54926029	+	0.000	0.000	Merged-chr6-54926058-40
NR581--MA0768.1.LEF1	chr13	95449976	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR1124--MA0768.1.LEF1	chr2	59513724	59513738	+	0.000	0.000	Merged-chr2-59513816-12
NR1469--MA0768.1.LEF1	chr4	89359667	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR1174--MA0768.1.LEF1	chr2	117418885	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR1980--MA0768.1.LEF1	chr8	115112221	115112235	+	0.000	0.000	Merged-chr8-115112311-24
NR833--MA0768.1.LEF1	chr16	49772876	49772890	+	0.000	0.000	Merged-chr16-49772867-33
NR963--MA0768.1.LEF1	chr18	37814048	37814062	-	0.000	0.000	Merged-chr18-37813954-31
NR1099--MA0768.1.LEF1	chr2	30112723	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR525--MA0768.1.LEF1	chr13	33071989	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR65--MA0768.1.LEF1	chr1	87378186	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR1668--MA0768.1.LEF1	chr6	35462667	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR1741--MA0768.1.LEF1	chr6	120181443	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR724--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR1509--MA0768.1.LEF1	chr4	139367503	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR36--MA0768.1.LEF1	chr1	61424368	61424382	-	0.000	0.000	Merged-chr1-61424221-7
NR1639--MA0768.1.LEF1	chr5	134269609	134269623	+	0.000	0.000	Merged-chr5-134269909-65
NR1317--MA0768.1.LEF1	chr3	106967022	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR928--MA0768.1.LEF1	chr17	69422857	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR1132--MA0768.1.LEF1	chr2	68882156	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR1392--MA0768.1.LEF1	chr3	148419654	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR1070--MA0768.1.LEF1	chr2	5003238	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR1948--MA0768.1.LEF1	chr8	57387856	57387870	+	0.000	0.000	Merged-chr8-57387843-7
NR2062--MA0768.1.LEF1	chr9	79756211	79756225	+	0.000	0.000	Merged-chr9-79756214-5
NR1662--MA0768.1.LEF1	chr6	8712281	8712295	+	0.000	0.000	Merged-chr6-8712206-28
NR350--MA0768.1.LEF1	chr11	68465258	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR485--MA0768.1.LEF1	chr12	110939499	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR1807--MA0768.1.LEF1	chr7	31086476	31086490	+	0.000	0.000	Merged-chr7-31086534-15
NR1848--MA0768.1.LEF1	chr7	90004036	90004050	+	0.000	0.000	Merged-chr7-90004026-23
NR844--MA0768.1.LEF1	chr16	76323633	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR965--MA0768.1.LEF1	chr18	39049205	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR652--MA0768.1.LEF1	chr14	62627559	62627573	+	0.000	0.000	Merged-chr14-62627525-13
NR787--MA0768.1.LEF1	chr15	98623469	98623483	+	0.000	0.000	Merged-chr15-98623504-45
NR1912--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2040--MA0768.1.LEF1	chr9	56273653	56273667	+	0.000	0.000	Merged-chr9-56273762-19
