#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.05_dn.bed
NR12854--MA0742.1.Klf12	chr12	16580526	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR7556--MA0493.1.Klf1	chr10	117969969	117969979	-	0.000	0.000	Merged-chr10-117970017-9
NR45447--MA0741.1.KLF16	chr4	155198029	155198039	+	0.000	0.000	Merged-chr4-155197948-31
NR9996--MA0599.1.KLF5	chr11	70622679	70622688	+	0.000	0.000	Merged-chr11-70622499-26
NR4550--MA1107.1.KLF9	chr10	8370347	8370359	+	0.000	0.000	Merged-chr10-8370203-10
NR67169--MA1107.1.KLF9	chrY	90799068	90799080	-	0.000	0.000	Merged-chrY-90799205-23
NR906--MA0741.1.KLF16	chr1	66897064	66897074	+	0.000	0.000	Merged-chr1-66897217-4
NR16030--MA0039.3.KLF4	chr13	45455941	45455951	+	0.000	0.000	Merged-chr13-45455779-40
NR6835--MA0742.1.Klf12	chr10	95193989	95194003	-	0.000	0.000	Merged-chr10-95194130-23
NR1066--MA0039.3.KLF4	chr1	75213261	75213271	-	0.000	0.000	Merged-chr1-75213327-22
NR56622--MA0039.3.KLF4	chr7	101466456	101466466	-	0.000	0.000	Merged-chr7-101466620-78
NR38755--MA1107.1.KLF9	chr3	87840998	87841010	+	0.000	0.000	Merged-chr3-87841057-16
NR32673--MA0493.1.Klf1	chr2	12423705	12423715	+	0.000	0.000	Merged-chr2-12423867-9
NR24031--MA0741.1.KLF16	chr16	23286520	23286530	+	0.000	0.000	Merged-chr16-23286554-38
NR31060--MA0599.1.KLF5	chr19	9116470	9116479	-	0.000	0.000	Merged-chr19-9116540-6
NR28735--MA0599.1.KLF5	chr17	88143136	88143145	+	0.000	0.000	Merged-chr17-88142994-11
NR49562--MA0741.1.KLF16	chr5	139377552	139377562	-	0.000	0.000	Merged-chr5-139377554-24
NR8970--MA0599.1.KLF5	chr11	34782603	34782612	-	0.000	0.000	Merged-chr11-34782610-2
NR38753--MA0741.1.KLF16	chr3	87841001	87841011	+	0.000	0.000	Merged-chr3-87841057-16
NR49571--MA1107.1.KLF9	chr5	139377609	139377621	-	0.000	0.000	Merged-chr5-139377554-24
NR47845--MA0599.1.KLF5	chr5	112239656	112239665	-	0.000	0.000	Merged-chr5-112239781-12
NR13017--MA0039.3.KLF4	chr12	25155528	25155538	-	0.000	0.000	Merged-chr12-25155613-40
NR3721--MA0039.3.KLF4	chr1	181228989	181228999	+	0.000	0.000	Merged-chr1-181229140-10
NR47863--MA0599.1.KLF5	chr5	112242597	112242606	+	0.000	0.000	Merged-chr5-112242517-49
NR45195--MA0741.1.KLF16	chr4	150894754	150894764	+	0.000	0.000	Merged-chr4-150894695-19
NR11786--MA0741.1.KLF16	chr11	107444017	107444027	-	0.000	0.000	Merged-chr11-107443890-34
NR52583--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR11372--MA0741.1.KLF16	chr11	101171557	101171567	-	0.000	0.000	Merged-chr11-101171521-37
NR4543--MA0740.1.KLF14	chr10	8370347	8370360	+	0.000	0.000	Merged-chr10-8370203-10
NR49567--MA0741.1.KLF16	chr5	139377608	139377618	-	0.000	0.000	Merged-chr5-139377554-24
NR53865--MA0493.1.Klf1	chr6	145249542	145249552	-	0.000	0.000	Merged-chr6-145249454-6
NR31722--MA0039.3.KLF4	chr19	40665956	40665966	-	0.000	0.000	Merged-chr19-40666029-20
NR51143--MA1107.1.KLF9	chr6	51533580	51533592	-	0.000	0.000	Merged-chr6-51533616-16
NR31607--MA0493.1.Klf1	chr19	37110671	37110681	+	0.000	0.000	Merged-chr19-37110576-17
NR52579--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR4544--MA0657.1.KLF13	chr10	8370346	8370363	+	0.000	0.000	Merged-chr10-8370203-10
NR56628--MA0740.1.KLF14	chr7	101537734	101537747	-	0.000	0.000	Merged-chr7-101537821-5
NR47858--MA0039.3.KLF4	chr5	112239789	112239799	-	0.000	0.000	Merged-chr5-112239781-12
NR9993--MA1107.1.KLF9	chr11	70622583	70622595	-	0.000	0.000	Merged-chr11-70622499-26
