#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.05_up.bed
NR6470--MA0523.1.TCF7L2	chr8	115112221	115112234	+	0.000	0.000	Merged-chr8-115112311-24
NR5287--MA1421.1.TCF7L1	chr5	122430228	122430239	+	0.000	0.000	Merged-chr5-122430278-22
NR2398--MA0769.1.Tcf7	chr15	59641420	59641431	+	0.000	0.000	Merged-chr15-59641442-25
NR4368--MA0769.1.Tcf7	chr3	133392034	133392045	-	0.000	0.000	Merged-chr3-133392067-9
NR6186--MA0523.1.TCF7L2	chr7	125511553	125511566	+	0.000	0.000	Merged-chr7-125511628-40
NR1900--MA0769.1.Tcf7	chr13	95449979	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR659--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR6653--MA1421.1.TCF7L1	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR1357--MA1421.1.TCF7L1	chr12	25256494	25256505	+	0.000	0.000	Merged-chr12-25256439-11
NR1935--MA0523.1.TCF7L2	chr13	104615086	104615099	-	0.000	0.000	Merged-chr13-104615216-10
NR177--MA0769.1.Tcf7	chr1	87378189	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR5310--MA0523.1.TCF7L2	chr5	134269609	134269622	+	0.000	0.000	Merged-chr5-134269909-65
NR5912--MA0523.1.TCF7L2	chr7	31086476	31086489	+	0.000	0.000	Merged-chr7-31086534-15
NR5657--MA0769.1.Tcf7	chr6	115513323	115513334	-	0.000	0.000	Merged-chr6-115513314-25
NR6164--MA0523.1.TCF7L2	chr7	120921346	120921359	-	0.000	0.000	Merged-chr7-120921372-21
NR2750--MA0523.1.TCF7L2	chr16	76323634	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR6585--MA0523.1.TCF7L2	chr9	14908165	14908178	+	0.000	0.000	Merged-chr9-14908176-52
NR1592--MA1421.1.TCF7L1	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR2552--MA0523.1.TCF7L2	chr15	98623469	98623482	+	0.000	0.000	Merged-chr15-98623504-45
NR2429--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR2371--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR1129--MA0769.1.Tcf7	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR2152--MA0523.1.TCF7L2	chr14	62627559	62627572	+	0.000	0.000	Merged-chr14-62627525-13
NR6050--MA0769.1.Tcf7	chr7	90004036	90004047	+	0.000	0.000	Merged-chr7-90004026-23
NR2285--MA0523.1.TCF7L2	chr14	121830283	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR4884--MA0523.1.TCF7L2	chr4	139367504	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR1899--MA0523.1.TCF7L2	chr13	95449977	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR3108--MA0769.1.Tcf7	chr18	39141919	39141930	-	0.000	0.000	Merged-chr18-39141814-16
NR3254--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR1835--MA0523.1.TCF7L2	chr13	73491212	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR3256--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR2708--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR1545--MA1421.1.TCF7L1	chr12	102945789	102945800	+	0.000	0.000	Merged-chr12-102945751-11
NR5682--MA0769.1.Tcf7	chr6	120181446	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR5454--MA0769.1.Tcf7	chr6	41163688	41163699	+	0.000	0.000	Merged-chr6-41163628-13
NR5548--MA1421.1.TCF7L1	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR5489--MA0523.1.TCF7L2	chr6	54926015	54926028	+	0.000	0.000	Merged-chr6-54926058-40
NR3946--MA0769.1.Tcf7	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR3795--MA1421.1.TCF7L1	chr2	117418888	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR5490--MA0769.1.Tcf7	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR2707--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR1593--MA0523.1.TCF7L2	chr12	110939500	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR1902--MA1421.1.TCF7L1	chr13	95518101	95518112	+	0.000	0.000	Merged-chr13-95518086-22
NR3430--MA1421.1.TCF7L1	chr2	5003241	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR5303--MA1421.1.TCF7L1	chr5	129191994	129192005	-	0.000	0.000	Merged-chr5-129191899-21
NR1721--MA1421.1.TCF7L1	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR1660--MA1421.1.TCF7L1	chr12	118255738	118255749	+	0.000	0.000	Merged-chr12-118255780-45
