#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_I--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
Merged-chr8-94191444-39	chr8	94191237	94191663	+	0.000	0.000	Merged-chr8-94191444-39
Merged-chr16-49807399-74	chr16	49807203	49807730	+	0.000	0.000	Merged-chr16-49807399-74
Merged-chrX-85870308-29	chrX	85869828	85870687	+	0.000	0.000	Merged-chrX-85870308-29
Merged-chr10-95699162-15	chr10	95698886	95699424	+	0.000	0.000	Merged-chr10-95699162-15
Merged-chr14-99943406-23	chr14	99943148	99943873	+	0.000	0.000	Merged-chr14-99943406-23
Merged-chr3-144087614-1	chr3	144087516	144087714	+	0.000	0.000	Merged-chr3-144087614-1
Merged-chr14-20180981-13	chr14	20180713	20181154	+	0.000	0.000	Merged-chr14-20180981-13
Merged-chr15-12026330-26	chr15	12026113	12026573	+	0.000	0.000	Merged-chr15-12026330-26
Merged-chr19-8990076-115	chr19	8989185	8991188	+	0.000	0.000	Merged-chr19-8990076-115
Merged-chr7-119866666-5	chr7	119866480	119866936	+	0.000	0.000	Merged-chr7-119866666-5
Merged-chr11-96034910-37	chr11	96034657	96035238	+	0.000	0.000	Merged-chr11-96034910-37
Merged-chr11-68436520-14	chr11	68436351	68436760	+	0.000	0.000	Merged-chr11-68436520-14
Merged-chr17-25255345-21	chr17	25255098	25255789	+	0.000	0.000	Merged-chr17-25255345-21
Merged-chr13-75739041-26	chr13	75738648	75739370	+	0.000	0.000	Merged-chr13-75739041-26
Merged-chr11-67563906-19	chr11	67563693	67564152	+	0.000	0.000	Merged-chr11-67563906-19
Merged-chr12-103116842-39	chr12	103116599	103117047	+	0.000	0.000	Merged-chr12-103116842-39
Merged-chr14-121372467-99	chr14	121371790	121373313	+	0.000	0.000	Merged-chr14-121372467-99
Merged-chr17-56911797-14	chr17	56911644	56911966	+	0.000	0.000	Merged-chr17-56911797-14
Merged-chr19-6980205-101	chr19	6979934	6980450	+	0.000	0.000	Merged-chr19-6980205-101
Merged-chr7-140987400-4	chr7	140987221	140987534	+	0.000	0.000	Merged-chr7-140987400-4
Merged-chr16-91688812-60	chr16	91688611	91689039	+	0.000	0.000	Merged-chr16-91688812-60
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr17-50171299-20	chr17	50171060	50171598	+	0.000	0.000	Merged-chr17-50171299-20
Merged-chr6-99655675-47	chr6	99655344	99655972	+	0.000	0.000	Merged-chr6-99655675-47
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr6-108713801-1	chr6	108713703	108713901	+	0.000	0.000	Merged-chr6-108713801-1
Merged-chr6-86806631-9	chr6	86806411	86806856	+	0.000	0.000	Merged-chr6-86806631-9
Merged-chr1-134078832-110	chr1	134078318	134079573	+	0.000	0.000	Merged-chr1-134078832-110
Merged-chr3-137833460-41	chr3	137832970	137834061	+	0.000	0.000	Merged-chr3-137833460-41
Merged-chr3-9921866-1	chr3	9921768	9921966	+	0.000	0.000	Merged-chr3-9921866-1
Merged-chr5-135537864-88	chr5	135537381	135538148	+	0.000	0.000	Merged-chr5-135537864-88
Merged-chr15-84654435-24	chr15	84654257	84654639	+	0.000	0.000	Merged-chr15-84654435-24
Merged-chr2-75823994-29	chr2	75823769	75824239	+	0.000	0.000	Merged-chr2-75823994-29
Merged-chr16-46103340-16	chr16	46103135	46103553	+	0.000	0.000	Merged-chr16-46103340-16
Merged-chr9-122998941-71	chr9	122998556	122999638	+	0.000	0.000	Merged-chr9-122998941-71
Merged-chr8-68837841-13	chr8	68837614	68838007	+	0.000	0.000	Merged-chr8-68837841-13
Merged-chr15-52750105-14	chr15	52749922	52750282	+	0.000	0.000	Merged-chr15-52750105-14
Merged-chr3-89964407-4	chr3	89964193	89964575	+	0.000	0.000	Merged-chr3-89964407-4
Merged-chr19-18608128-29	chr19	18607848	18608608	+	0.000	0.000	Merged-chr19-18608128-29
Merged-chr4-137641838-36	chr4	137641635	137642035	+	0.000	0.000	Merged-chr4-137641838-36
Merged-chr13-45932644-29	chr13	45932413	45932938	+	0.000	0.000	Merged-chr13-45932644-29
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr9-64797036-1	chr9	64796938	64797136	+	0.000	0.000	Merged-chr9-64797036-1
Merged-chr13-101589097-28	chr13	101588842	101589305	+	0.000	0.000	Merged-chr13-101589097-28
Merged-chr11-51606929-9	chr11	51606768	51607102	+	0.000	0.000	Merged-chr11-51606929-9
Merged-chr2-11339259-65	chr2	11339006	11339478	+	0.000	0.000	Merged-chr2-11339259-65
Merged-chr14-77848610-6	chr14	77848455	77848833	+	0.000	0.000	Merged-chr14-77848610-6
Merged-chr1-138964274-4	chr1	138964155	138964387	+	0.000	0.000	Merged-chr1-138964274-4
Merged-chr3-9867662-24	chr3	9867471	9867825	+	0.000	0.000	Merged-chr3-9867662-24
Merged-chr2-65238613-163	chr2	65238346	65239218	+	0.000	0.000	Merged-chr2-65238613-163
Merged-chr1-191422042-56	chr1	191421563	191422659	+	0.000	0.000	Merged-chr1-191422042-56
Merged-chr5-134244216-41	chr5	134243972	134244555	+	0.000	0.000	Merged-chr5-134244216-41
Merged-chr16-17131609-8	chr16	17131392	17131756	+	0.000	0.000	Merged-chr16-17131609-8
Merged-chr3-144013885-1	chr3	144013787	144013985	+	0.000	0.000	Merged-chr3-144013885-1
Merged-chr5-30073390-59	chr5	30073005	30073751	+	0.000	0.000	Merged-chr5-30073390-59
Merged-chr14-121368379-5	chr14	121368281	121368481	+	0.000	0.000	Merged-chr14-121368379-5
Merged-chr1-172502591-1	chr1	172502493	172502691	+	0.000	0.000	Merged-chr1-172502591-1
Merged-chr4-135312758-1	chr4	135312660	135312858	+	0.000	0.000	Merged-chr4-135312758-1
Merged-chr7-119895039-1	chr7	119894941	119895139	+	0.000	0.000	Merged-chr7-119895039-1
Merged-chr10-19577648-1	chr10	19577550	19577748	+	0.000	0.000	Merged-chr10-19577648-1
Merged-chr1-43299668-27	chr1	43299399	43299889	+	0.000	0.000	Merged-chr1-43299668-27
Merged-chr13-75845828-42	chr13	75845415	75846034	+	0.000	0.000	Merged-chr13-75845828-42
Merged-chr2-129186012-43	chr2	129185598	129186272	+	0.000	0.000	Merged-chr2-129186012-43
Merged-chr2-180438318-9	chr2	180438011	180438500	+	0.000	0.000	Merged-chr2-180438318-9
Merged-chr3-136942361-1	chr3	136942263	136942461	+	0.000	0.000	Merged-chr3-136942361-1
Merged-chr7-114161224-36	chr7	114160917	114161467	+	0.000	0.000	Merged-chr7-114161224-36
Merged-chr9-32499941-68	chr9	32499531	32500483	+	0.000	0.000	Merged-chr9-32499941-68
Merged-chr17-12120379-1	chr17	12120281	12120479	+	0.000	0.000	Merged-chr17-12120379-1
Merged-chr17-79868435-11	chr17	79868202	79868672	+	0.000	0.000	Merged-chr17-79868435-11
Merged-chr5-115013221-2	chr5	115013085	115013360	+	0.000	0.000	Merged-chr5-115013221-2
Merged-chr4-89393499-15	chr4	89393284	89393768	+	0.000	0.000	Merged-chr4-89393499-15
Merged-chr5-124539005-4	chr5	124538841	124539180	+	0.000	0.000	Merged-chr5-124539005-4
Merged-chr4-118179905-83	chr4	118179666	118180141	+	0.000	0.000	Merged-chr4-118179905-83
Merged-chr10-19598256-42	chr10	19598065	19598531	+	0.000	0.000	Merged-chr10-19598256-42
Merged-chr13-21721967-70	chr13	21721763	21722145	+	0.000	0.000	Merged-chr13-21721967-70
Merged-chr19-5467382-16	chr19	5467115	5467580	+	0.000	0.000	Merged-chr19-5467382-16
Merged-chr6-108607013-11	chr6	108606811	108607271	+	0.000	0.000	Merged-chr6-108607013-11
Merged-chr12-103142833-43	chr12	103142605	103143072	+	0.000	0.000	Merged-chr12-103142833-43
Merged-chr11-6444447-69	chr11	6444227	6444773	+	0.000	0.000	Merged-chr11-6444447-69
Merged-chr3-86758843-24	chr3	86758610	86759043	+	0.000	0.000	Merged-chr3-86758843-24
Merged-chr19-6951320-68	chr19	6950538	6951778	+	0.000	0.000	Merged-chr19-6951320-68
Merged-chr19-12576850-12	chr19	12576622	12577039	+	0.000	0.000	Merged-chr19-12576850-12
Merged-chr2-9876651-15	chr2	9876261	9877150	+	0.000	0.000	Merged-chr2-9876651-15
Merged-chr9-64797561-46	chr9	64797234	64797792	+	0.000	0.000	Merged-chr9-64797561-46
Merged-chr1-181928626-21	chr1	181928477	181928804	+	0.000	0.000	Merged-chr1-181928626-21
Merged-chr18-65800547-87	chr18	65800259	65800878	+	0.000	0.000	Merged-chr18-65800547-87
Merged-chr7-81213018-117	chr7	81212302	81213701	+	0.000	0.000	Merged-chr7-81213018-117
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chr18-84073759-5	chr18	84073578	84073956	+	0.000	0.000	Merged-chr18-84073759-5
Merged-chr2-32608716-12	chr2	32608537	32608972	+	0.000	0.000	Merged-chr2-32608716-12
Merged-chr15-78898744-12	chr15	78898596	78898915	+	0.000	0.000	Merged-chr15-78898744-12
Merged-chr19-43517953-1	chr19	43517855	43518053	+	0.000	0.000	Merged-chr19-43517953-1
Merged-chr4-133024379-9	chr4	133024085	133024543	+	0.000	0.000	Merged-chr4-133024379-9
Merged-chr5-105004765-44	chr5	105004490	105005088	+	0.000	0.000	Merged-chr5-105004765-44
Merged-chr11-46056388-65	chr11	46056011	46057020	+	0.000	0.000	Merged-chr11-46056388-65
Merged-chr14-121315210-25	chr14	121314886	121315534	+	0.000	0.000	Merged-chr14-121315210-25
Merged-chr19-8980902-23	chr19	8980763	8981040	+	0.000	0.000	Merged-chr19-8980902-23
Merged-chr5-30072901-1	chr5	30072803	30073001	+	0.000	0.000	Merged-chr5-30072901-1
