#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_Naive.up.bed
Merged-chr17-65741371-24	chr17	65741127	65741633	+	0.000	0.000	Merged-chr17-65741371-24
Merged-chr10-13062544-9	chr10	13062403	13062684	+	0.000	0.000	Merged-chr10-13062544-9
Merged-chr5-73344482-20	chr5	73344267	73344673	+	0.000	0.000	Merged-chr5-73344482-20
Merged-chr18-79294963-22	chr18	79294705	79295269	+	0.000	0.000	Merged-chr18-79294963-22
Merged-chr7-44468027-53	chr7	44467773	44468253	+	0.000	0.000	Merged-chr7-44468027-53
Merged-chr7-141265860-151	chr7	141265565	141266462	+	0.000	0.000	Merged-chr7-141265860-151
Merged-chr17-21477863-62	chr17	21477445	21478154	+	0.000	0.000	Merged-chr17-21477863-62
Merged-chr18-50017689-1	chr18	50017591	50017789	+	0.000	0.000	Merged-chr18-50017689-1
Merged-chr18-50024197-35	chr18	50024010	50024362	+	0.000	0.000	Merged-chr18-50024197-35
Merged-chr1-91941668-10	chr1	91941489	91941822	+	0.000	0.000	Merged-chr1-91941668-10
Merged-chr14-61685114-25	chr14	61684938	61685279	+	0.000	0.000	Merged-chr14-61685114-25
Merged-chr15-79934945-2	chr15	79934823	79935070	+	0.000	0.000	Merged-chr15-79934945-2
Merged-chr8-124662539-3	chr8	124662347	124662752	+	0.000	0.000	Merged-chr8-124662539-3
Merged-chr5-139150117-104	chr5	139149827	139150335	+	0.000	0.000	Merged-chr5-139150117-104
Merged-chr14-18241992-8	chr14	18241873	18242133	+	0.000	0.000	Merged-chr14-18241992-8
Merged-chr13-99411191-61	chr13	99410777	99411598	+	0.000	0.000	Merged-chr13-99411191-61
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr13-41663371-50	chr13	41662701	41663875	+	0.000	0.000	Merged-chr13-41663371-50
Merged-chr9-109000906-26	chr9	109000690	109001114	+	0.000	0.000	Merged-chr9-109000906-26
Merged-chr13-41637743-2	chr13	41637643	41637846	+	0.000	0.000	Merged-chr13-41637743-2
Merged-chr6-134217908-11	chr6	134217769	134218087	+	0.000	0.000	Merged-chr6-134217908-11
Merged-chr4-137913590-20	chr4	137913287	137913838	+	0.000	0.000	Merged-chr4-137913590-20
Merged-chr7-78583930-15	chr7	78583773	78584115	+	0.000	0.000	Merged-chr7-78583930-15
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr2-61480993-2	chr2	61480849	61481139	+	0.000	0.000	Merged-chr2-61480993-2
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr4-102908208-33	chr4	102908017	102908506	+	0.000	0.000	Merged-chr4-102908208-33
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr7-132402823-64	chr7	132402535	132403061	+	0.000	0.000	Merged-chr7-132402823-64
Merged-chr10-79096841-1	chr10	79096743	79096941	+	0.000	0.000	Merged-chr10-79096841-1
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr12-17689227-2	chr12	17689095	17689361	+	0.000	0.000	Merged-chr12-17689227-2
Merged-chr8-70773060-3	chr8	70772938	70773176	+	0.000	0.000	Merged-chr8-70773060-3
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr3-129533518-164	chr3	129532922	129534390	+	0.000	0.000	Merged-chr3-129533518-164
Merged-chr5-65910144-1	chr5	65910046	65910244	+	0.000	0.000	Merged-chr5-65910144-1
Merged-chr16-17928411-109	chr16	17928138	17928864	+	0.000	0.000	Merged-chr16-17928411-109
Merged-chr10-95910701-11	chr10	95910525	95910844	+	0.000	0.000	Merged-chr10-95910701-11
