#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.dn.bed
Merged-chr7-30665007-40	chr7	30664807	30665269	+	0.000	0.000	Merged-chr7-30665007-40
Merged-chr17-79348160-59	chr17	79347900	79348466	+	0.000	0.000	Merged-chr17-79348160-59
Merged-chr5-74195264-55	chr5	74195076	74195512	+	0.000	0.000	Merged-chr5-74195264-55
Merged-chr7-140265035-12	chr7	140264767	140265260	+	0.000	0.000	Merged-chr7-140265035-12
Merged-chr16-75863644-1	chr16	75863546	75863744	+	0.000	0.000	Merged-chr16-75863644-1
Merged-chr9-120080082-9	chr9	120079930	120080208	+	0.000	0.000	Merged-chr9-120080082-9
Merged-chr17-47564757-20	chr17	47564562	47564952	+	0.000	0.000	Merged-chr17-47564757-20
Merged-chr9-48793966-3	chr9	48793820	48794106	+	0.000	0.000	Merged-chr9-48793966-3
Merged-chr18-70598988-36	chr18	70598735	70599258	+	0.000	0.000	Merged-chr18-70598988-36
Merged-chr14-78686921-2	chr14	78686784	78687060	+	0.000	0.000	Merged-chr14-78686921-2
Merged-chr10-117981589-6	chr10	117981430	117981773	+	0.000	0.000	Merged-chr10-117981589-6
Merged-chr2-60810848-31	chr2	60810652	60811066	+	0.000	0.000	Merged-chr2-60810848-31
Merged-chr1-97622893-1	chr1	97622795	97622993	+	0.000	0.000	Merged-chr1-97622893-1
Merged-chr5-140210596-1	chr5	140210498	140210696	+	0.000	0.000	Merged-chr5-140210596-1
Merged-chr15-55847334-38	chr15	55847018	55847711	+	0.000	0.000	Merged-chr15-55847334-38
Merged-chr11-107452175-23	chr11	107451872	107452443	+	0.000	0.000	Merged-chr11-107452175-23
Merged-chr13-113635077-5	chr13	113634960	113635206	+	0.000	0.000	Merged-chr13-113635077-5
Merged-chr1-161745053-28	chr1	161744728	161745259	+	0.000	0.000	Merged-chr1-161745053-28
Merged-chr2-120153836-4	chr2	120153706	120153979	+	0.000	0.000	Merged-chr2-120153836-4
Merged-chr1-43496646-3	chr1	43496486	43496820	+	0.000	0.000	Merged-chr1-43496646-3
Merged-chr19-3669212-12	chr19	3668947	3669441	+	0.000	0.000	Merged-chr19-3669212-12
Merged-chr8-33641932-61	chr8	33641712	33642149	+	0.000	0.000	Merged-chr8-33641932-61
Merged-chr19-40708425-49	chr19	40708190	40708857	+	0.000	0.000	Merged-chr19-40708425-49
Merged-chr17-48426190-57	chr17	48425843	48426495	+	0.000	0.000	Merged-chr17-48426190-57
Merged-chr13-64153044-113	chr13	64152614	64153721	+	0.000	0.000	Merged-chr13-64153044-113
Merged-chr13-6081654-1	chr13	6081556	6081754	+	0.000	0.000	Merged-chr13-6081654-1
Merged-chr1-16105621-1	chr1	16105523	16105721	+	0.000	0.000	Merged-chr1-16105621-1
Merged-chr13-32833384-31	chr13	32833154	32833585	+	0.000	0.000	Merged-chr13-32833384-31
Merged-chr4-15317490-9	chr4	15317278	15317723	+	0.000	0.000	Merged-chr4-15317490-9
