#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_Naive.up.bed
Merged-chr10-60038472-15	chr10	60038275	60038653	+	0.000	0.000	Merged-chr10-60038472-15
Merged-chr2-17672509-1	chr2	17672411	17672609	+	0.000	0.000	Merged-chr2-17672509-1
Merged-chr6-88757111-24	chr6	88756834	88757358	+	0.000	0.000	Merged-chr6-88757111-24
Merged-chr12-117639216-79	chr12	117638625	117639742	+	0.000	0.000	Merged-chr12-117639216-79
Merged-chr12-73923880-28	chr12	73923690	73924076	+	0.000	0.000	Merged-chr12-73923880-28
Merged-chr17-57183114-28	chr17	57182932	57183349	+	0.000	0.000	Merged-chr17-57183114-28
Merged-chr6-134065266-5	chr6	134065096	134065437	+	0.000	0.000	Merged-chr6-134065266-5
Merged-chr11-109371349-1	chr11	109371251	109371449	+	0.000	0.000	Merged-chr11-109371349-1
Merged-chr5-100675060-26	chr5	100674874	100675288	+	0.000	0.000	Merged-chr5-100675060-26
Merged-chr10-118797511-13	chr10	118797353	118797685	+	0.000	0.000	Merged-chr10-118797511-13
Merged-chr10-128613030-64	chr10	128612827	128613306	+	0.000	0.000	Merged-chr10-128613030-64
Merged-chr15-59540764-1	chr15	59540666	59540864	+	0.000	0.000	Merged-chr15-59540764-1
Merged-chr4-144892002-3	chr4	144891904	144892102	+	0.000	0.000	Merged-chr4-144892002-3
Merged-chr16-24163558-22	chr16	24163058	24164102	+	0.000	0.000	Merged-chr16-24163558-22
Merged-chr14-118705752-1	chr14	118705654	118705852	+	0.000	0.000	Merged-chr14-118705752-1
Merged-chr10-82004955-25	chr10	82004712	82005208	+	0.000	0.000	Merged-chr10-82004955-25
Merged-chr4-63852768-8	chr4	63852615	63852979	+	0.000	0.000	Merged-chr4-63852768-8
Merged-chr10-111369263-16	chr10	111369033	111369504	+	0.000	0.000	Merged-chr10-111369263-16
Merged-chr5-92348228-1	chr5	92348130	92348328	+	0.000	0.000	Merged-chr5-92348228-1
Merged-chr11-32020422-50	chr11	32019990	32020648	+	0.000	0.000	Merged-chr11-32020422-50
