#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
Merged-chr11-97996066-44	chr11	97995873	97996339	+	0.000	0.000	Merged-chr11-97996066-44
Merged-chr15-66883922-10	chr15	66883727	66884094	+	0.000	0.000	Merged-chr15-66883922-10
Merged-chr17-65741371-24	chr17	65741127	65741633	+	0.000	0.000	Merged-chr17-65741371-24
Merged-chr7-68070882-29	chr7	68070595	68071134	+	0.000	0.000	Merged-chr7-68070882-29
Merged-chr6-41535560-1	chr6	41535462	41535660	+	0.000	0.000	Merged-chr6-41535560-1
Merged-chr17-29973396-19	chr17	29973206	29973607	+	0.000	0.000	Merged-chr17-29973396-19
Merged-chr15-53309792-8	chr15	53309522	53309977	+	0.000	0.000	Merged-chr15-53309792-8
Merged-chr7-44468027-53	chr7	44467773	44468253	+	0.000	0.000	Merged-chr7-44468027-53
Merged-chr17-21477863-62	chr17	21477445	21478154	+	0.000	0.000	Merged-chr17-21477863-62
Merged-chr18-50017689-1	chr18	50017591	50017789	+	0.000	0.000	Merged-chr18-50017689-1
Merged-chr18-50024197-35	chr18	50024010	50024362	+	0.000	0.000	Merged-chr18-50024197-35
Merged-chr15-79934945-2	chr15	79934823	79935070	+	0.000	0.000	Merged-chr15-79934945-2
Merged-chr8-124662539-3	chr8	124662347	124662752	+	0.000	0.000	Merged-chr8-124662539-3
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr9-109000906-26	chr9	109000690	109001114	+	0.000	0.000	Merged-chr9-109000906-26
Merged-chr13-41637743-2	chr13	41637643	41637846	+	0.000	0.000	Merged-chr13-41637743-2
Merged-chr10-68089835-22	chr10	68089630	68090047	+	0.000	0.000	Merged-chr10-68089835-22
Merged-chr6-41541875-48	chr6	41541462	41542133	+	0.000	0.000	Merged-chr6-41541875-48
Merged-chr2-61480993-2	chr2	61480849	61481139	+	0.000	0.000	Merged-chr2-61480993-2
Merged-chr14-8632387-8	chr14	8632184	8632583	+	0.000	0.000	Merged-chr14-8632387-8
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr10-79096841-1	chr10	79096743	79096941	+	0.000	0.000	Merged-chr10-79096841-1
Merged-chr6-129273203-1	chr6	129273105	129273303	+	0.000	0.000	Merged-chr6-129273203-1
Merged-chr12-17689227-2	chr12	17689095	17689361	+	0.000	0.000	Merged-chr12-17689227-2
Merged-chr13-95524749-120	chr13	95524449	95525271	+	0.000	0.000	Merged-chr13-95524749-120
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr16-17928411-109	chr16	17928138	17928864	+	0.000	0.000	Merged-chr16-17928411-109
Merged-chr4-118360056-83	chr4	118359837	118360304	+	0.000	0.000	Merged-chr4-118360056-83
Merged-chr11-113565159-1	chr11	113565061	113565259	+	0.000	0.000	Merged-chr11-113565159-1
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr17-65740416-17	chr17	65740171	65740618	+	0.000	0.000	Merged-chr17-65740416-17
Merged-chr15-36374262-7	chr15	36374013	36374510	+	0.000	0.000	Merged-chr15-36374262-7
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr10-19934742-4	chr10	19934630	19934857	+	0.000	0.000	Merged-chr10-19934742-4
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr11-98001521-17	chr11	98001331	98001848	+	0.000	0.000	Merged-chr11-98001521-17
Merged-chr4-150626501-41	chr4	150626254	150626801	+	0.000	0.000	Merged-chr4-150626501-41
Merged-chr3-87383448-9	chr3	87383313	87383621	+	0.000	0.000	Merged-chr3-87383448-9
Merged-chr17-34235127-37	chr17	34234871	34235318	+	0.000	0.000	Merged-chr17-34235127-37
Merged-chr5-114194325-12	chr5	114194157	114194526	+	0.000	0.000	Merged-chr5-114194325-12
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr3-131112434-113	chr3	131111987	131112840	+	0.000	0.000	Merged-chr3-131112434-113
Merged-chr18-50028414-49	chr18	50028184	50028641	+	0.000	0.000	Merged-chr18-50028414-49
Merged-chr3-51652658-59	chr3	51652378	51653086	+	0.000	0.000	Merged-chr3-51652658-59
Merged-chr11-98003511-2	chr11	98003409	98003615	+	0.000	0.000	Merged-chr11-98003511-2
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr10-13988804-2	chr10	13988670	13988940	+	0.000	0.000	Merged-chr10-13988804-2
Merged-chr6-57581740-8	chr6	57581599	57581883	+	0.000	0.000	Merged-chr6-57581740-8
Merged-chr11-101582263-20	chr11	101581999	101582436	+	0.000	0.000	Merged-chr11-101582263-20
Merged-chr2-132040154-56	chr2	132039928	132040374	+	0.000	0.000	Merged-chr2-132040154-56
Merged-chr9-57147720-2	chr9	57147605	57147838	+	0.000	0.000	Merged-chr9-57147720-2
Merged-chr18-79234491-26	chr18	79234204	79234782	+	0.000	0.000	Merged-chr18-79234491-26
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr2-135981518-2	chr2	135981395	135981643	+	0.000	0.000	Merged-chr2-135981518-2
