#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Th1.dn.bed
Merged-chr15-66883922-10	chr15	66883727	66884094	+	0.000	0.000	Merged-chr15-66883922-10
Merged-chr7-68070882-29	chr7	68070595	68071134	+	0.000	0.000	Merged-chr7-68070882-29
Merged-chr6-41535560-1	chr6	41535462	41535660	+	0.000	0.000	Merged-chr6-41535560-1
Merged-chr18-79294963-22	chr18	79294705	79295269	+	0.000	0.000	Merged-chr18-79294963-22
Merged-chr7-141265860-151	chr7	141265565	141266462	+	0.000	0.000	Merged-chr7-141265860-151
Merged-chr18-50017689-1	chr18	50017591	50017789	+	0.000	0.000	Merged-chr18-50017689-1
Merged-chr5-139150117-104	chr5	139149827	139150335	+	0.000	0.000	Merged-chr5-139150117-104
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr13-28952592-13	chr13	28952329	28952893	+	0.000	0.000	Merged-chr13-28952592-13
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr7-132402823-64	chr7	132402535	132403061	+	0.000	0.000	Merged-chr7-132402823-64
Merged-chr7-49520386-1	chr7	49520288	49520486	+	0.000	0.000	Merged-chr7-49520386-1
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr8-70773060-3	chr8	70772938	70773176	+	0.000	0.000	Merged-chr8-70773060-3
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr5-65910144-1	chr5	65910046	65910244	+	0.000	0.000	Merged-chr5-65910144-1
Merged-chr10-95910701-11	chr10	95910525	95910844	+	0.000	0.000	Merged-chr10-95910701-11
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr17-34235127-37	chr17	34234871	34235318	+	0.000	0.000	Merged-chr17-34235127-37
Merged-chr12-36042318-87	chr12	36042072	36042769	+	0.000	0.000	Merged-chr12-36042318-87
Merged-chr5-114194325-12	chr5	114194157	114194526	+	0.000	0.000	Merged-chr5-114194325-12
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr3-131112434-113	chr3	131111987	131112840	+	0.000	0.000	Merged-chr3-131112434-113
Merged-chr18-50028414-49	chr18	50028184	50028641	+	0.000	0.000	Merged-chr18-50028414-49
Merged-chr15-97970403-1	chr15	97970305	97970503	+	0.000	0.000	Merged-chr15-97970403-1
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr7-141070304-10	chr7	141069995	141070593	+	0.000	0.000	Merged-chr7-141070304-10
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr4-137883798-33	chr4	137883579	137884079	+	0.000	0.000	Merged-chr4-137883798-33
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr11-101582263-20	chr11	101581999	101582436	+	0.000	0.000	Merged-chr11-101582263-20
Merged-chr15-93665771-1	chr15	93665673	93665871	+	0.000	0.000	Merged-chr15-93665771-1
Merged-chr9-57147720-2	chr9	57147605	57147838	+	0.000	0.000	Merged-chr9-57147720-2
Merged-chr19-34306924-50	chr19	34306733	34307105	+	0.000	0.000	Merged-chr19-34306924-50
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr4-6989111-4	chr4	6988892	6989308	+	0.000	0.000	Merged-chr4-6989111-4
Merged-chr16-57471112-83	chr16	57470768	57471539	+	0.000	0.000	Merged-chr16-57471112-83
Merged-chr6-41534400-3	chr6	41534144	41534677	+	0.000	0.000	Merged-chr6-41534400-3
Merged-chr19-6974819-71	chr19	6974264	6975432	+	0.000	0.000	Merged-chr19-6974819-71
Merged-chr6-41535046-6	chr6	41534750	41535384	+	0.000	0.000	Merged-chr6-41535046-6
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr11-5300074-11	chr11	5299816	5300340	+	0.000	0.000	Merged-chr11-5300074-11
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr7-143002996-1	chr7	143002898	143003096	+	0.000	0.000	Merged-chr7-143002996-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr10-25185355-12	chr10	25185152	25185615	+	0.000	0.000	Merged-chr10-25185355-12
Merged-chr14-55635615-42	chr14	55635359	55635831	+	0.000	0.000	Merged-chr14-55635615-42
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr14-14703754-4	chr14	14703637	14703875	+	0.000	0.000	Merged-chr14-14703754-4
Merged-chr15-93596659-3	chr15	93596498	93596800	+	0.000	0.000	Merged-chr15-93596659-3
Merged-chr9-57935995-21	chr9	57935766	57936170	+	0.000	0.000	Merged-chr9-57935995-21
