#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
Merged-chr7-49822338-8	chr7	49822164	49822503	+	0.000	0.000	Merged-chr7-49822338-8
Merged-chr15-66883922-10	chr15	66883727	66884094	+	0.000	0.000	Merged-chr15-66883922-10
Merged-chr6-41535560-1	chr6	41535462	41535660	+	0.000	0.000	Merged-chr6-41535560-1
Merged-chr17-29973396-19	chr17	29973206	29973607	+	0.000	0.000	Merged-chr17-29973396-19
Merged-chr12-54188383-1	chr12	54188285	54188483	+	0.000	0.000	Merged-chr12-54188383-1
Merged-chr19-32153668-1	chr19	32153570	32153768	+	0.000	0.000	Merged-chr19-32153668-1
Merged-chr14-61685114-25	chr14	61684938	61685279	+	0.000	0.000	Merged-chr14-61685114-25
Merged-chr15-79934945-2	chr15	79934823	79935070	+	0.000	0.000	Merged-chr15-79934945-2
Merged-chr13-55114934-9	chr13	55114730	55115180	+	0.000	0.000	Merged-chr13-55114934-9
Merged-chr14-18241992-8	chr14	18241873	18242133	+	0.000	0.000	Merged-chr14-18241992-8
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr18-54901247-4	chr18	54901022	54901541	+	0.000	0.000	Merged-chr18-54901247-4
Merged-chr6-134217908-11	chr6	134217769	134218087	+	0.000	0.000	Merged-chr6-134217908-11
Merged-chr2-136008735-1	chr2	136008637	136008835	+	0.000	0.000	Merged-chr2-136008735-1
Merged-chr4-137913590-20	chr4	137913287	137913838	+	0.000	0.000	Merged-chr4-137913590-20
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr16-57423352-49	chr16	57423181	57423571	+	0.000	0.000	Merged-chr16-57423352-49
Merged-chr7-78583930-15	chr7	78583773	78584115	+	0.000	0.000	Merged-chr7-78583930-15
Merged-chr13-28952592-13	chr13	28952329	28952893	+	0.000	0.000	Merged-chr13-28952592-13
Merged-chr6-41541875-48	chr6	41541462	41542133	+	0.000	0.000	Merged-chr6-41541875-48
Merged-chr2-61480993-2	chr2	61480849	61481139	+	0.000	0.000	Merged-chr2-61480993-2
Merged-chr14-8632387-8	chr14	8632184	8632583	+	0.000	0.000	Merged-chr14-8632387-8
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr4-149216177-1	chr4	149216079	149216277	+	0.000	0.000	Merged-chr4-149216177-1
Merged-chr12-15967723-42	chr12	15967474	15967919	+	0.000	0.000	Merged-chr12-15967723-42
Merged-chr7-67953943-1	chr7	67953845	67954043	+	0.000	0.000	Merged-chr7-67953943-1
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr4-102968093-31	chr4	102967895	102968306	+	0.000	0.000	Merged-chr4-102968093-31
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr18-9450048-96	chr18	9449849	9450447	+	0.000	0.000	Merged-chr18-9450048-96
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr2-174566072-46	chr2	174565900	174566250	+	0.000	0.000	Merged-chr2-174566072-46
Merged-chr15-57696203-3	chr15	57696079	57696332	+	0.000	0.000	Merged-chr15-57696203-3
Merged-chr10-79096841-1	chr10	79096743	79096941	+	0.000	0.000	Merged-chr10-79096841-1
Merged-chr7-49520386-1	chr7	49520288	49520486	+	0.000	0.000	Merged-chr7-49520386-1
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr11-84057403-1	chr11	84057305	84057503	+	0.000	0.000	Merged-chr11-84057403-1
Merged-chr13-95524749-120	chr13	95524449	95525271	+	0.000	0.000	Merged-chr13-95524749-120
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr10-121290125-10	chr10	121289906	121290309	+	0.000	0.000	Merged-chr10-121290125-10
Merged-chr11-113565159-1	chr11	113565061	113565259	+	0.000	0.000	Merged-chr11-113565159-1
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr15-27856538-51	chr15	27856271	27856806	+	0.000	0.000	Merged-chr15-27856538-51
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr7-49468133-37	chr7	49467878	49468390	+	0.000	0.000	Merged-chr7-49468133-37
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr11-98001521-17	chr11	98001331	98001848	+	0.000	0.000	Merged-chr11-98001521-17
