#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Tfh.up.bed
Merged-chr7-49822338-8	chr7	49822164	49822503	+	0.000	0.000	Merged-chr7-49822338-8
Merged-chr11-97996066-44	chr11	97995873	97996339	+	0.000	0.000	Merged-chr11-97996066-44
Merged-chr11-69420254-1	chr11	69420156	69420354	+	0.000	0.000	Merged-chr11-69420254-1
Merged-chr11-115707585-1	chr11	115707487	115707685	+	0.000	0.000	Merged-chr11-115707585-1
Merged-chr17-65741371-24	chr17	65741127	65741633	+	0.000	0.000	Merged-chr17-65741371-24
Merged-chr16-11565406-13	chr16	11564942	11565636	+	0.000	0.000	Merged-chr16-11565406-13
Merged-chr10-60038472-15	chr10	60038275	60038653	+	0.000	0.000	Merged-chr10-60038472-15
Merged-chr10-21099717-30	chr10	21099391	21100011	+	0.000	0.000	Merged-chr10-21099717-30
Merged-chr11-60114477-20	chr11	60114287	60114634	+	0.000	0.000	Merged-chr11-60114477-20
Merged-chr1-131085349-9	chr1	131085210	131085524	+	0.000	0.000	Merged-chr1-131085349-9
Merged-chr11-21114707-33	chr11	21114403	21114935	+	0.000	0.000	Merged-chr11-21114707-33
Merged-chr1-180922382-17	chr1	180922175	180922690	+	0.000	0.000	Merged-chr1-180922382-17
Merged-chr15-53309792-8	chr15	53309522	53309977	+	0.000	0.000	Merged-chr15-53309792-8
Merged-chr18-79294963-22	chr18	79294705	79295269	+	0.000	0.000	Merged-chr18-79294963-22
Merged-chr7-44468027-53	chr7	44467773	44468253	+	0.000	0.000	Merged-chr7-44468027-53
Merged-chr7-24373607-36	chr7	24373355	24373859	+	0.000	0.000	Merged-chr7-24373607-36
Merged-chr1-172148309-80	chr1	172147867	172148540	+	0.000	0.000	Merged-chr1-172148309-80
Merged-chr12-73923880-28	chr12	73923690	73924076	+	0.000	0.000	Merged-chr12-73923880-28
Merged-chr19-32153668-1	chr19	32153570	32153768	+	0.000	0.000	Merged-chr19-32153668-1
Merged-chr6-134065266-5	chr6	134065096	134065437	+	0.000	0.000	Merged-chr6-134065266-5
Merged-chr11-109371349-1	chr11	109371251	109371449	+	0.000	0.000	Merged-chr11-109371349-1
Merged-chr19-57117009-44	chr19	57116622	57117418	+	0.000	0.000	Merged-chr19-57117009-44
Merged-chr1-39918723-4	chr1	39918586	39918871	+	0.000	0.000	Merged-chr1-39918723-4
Merged-chr5-54042573-12	chr5	54042374	54042735	+	0.000	0.000	Merged-chr5-54042573-12
Merged-chr19-46466303-17	chr19	46466096	46466556	+	0.000	0.000	Merged-chr19-46466303-17
Merged-chr18-50017689-1	chr18	50017591	50017789	+	0.000	0.000	Merged-chr18-50017689-1
Merged-chr4-140750542-28	chr4	140750295	140750757	+	0.000	0.000	Merged-chr4-140750542-28
Merged-chr18-50024197-35	chr18	50024010	50024362	+	0.000	0.000	Merged-chr18-50024197-35
Merged-chr11-3331619-2	chr11	3331521	3331719	+	0.000	0.000	Merged-chr11-3331619-2
Merged-chr12-80109164-14	chr12	80108998	80109361	+	0.000	0.000	Merged-chr12-80109164-14
Merged-chr15-79934945-2	chr15	79934823	79935070	+	0.000	0.000	Merged-chr15-79934945-2
Merged-chr5-100675060-26	chr5	100674874	100675288	+	0.000	0.000	Merged-chr5-100675060-26
Merged-chr13-55114934-9	chr13	55114730	55115180	+	0.000	0.000	Merged-chr13-55114934-9
Merged-chr8-124662539-3	chr8	124662347	124662752	+	0.000	0.000	Merged-chr8-124662539-3
Merged-chr1-153675831-16	chr1	153675532	153676089	+	0.000	0.000	Merged-chr1-153675831-16
Merged-chr13-99411191-61	chr13	99410777	99411598	+	0.000	0.000	Merged-chr13-99411191-61
Merged-chr3-137867826-61	chr3	137867256	137868076	+	0.000	0.000	Merged-chr3-137867826-61
Merged-chr10-128613030-64	chr10	128612827	128613306	+	0.000	0.000	Merged-chr10-128613030-64
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr9-109000906-26	chr9	109000690	109001114	+	0.000	0.000	Merged-chr9-109000906-26
Merged-chr4-144892002-3	chr4	144891904	144892102	+	0.000	0.000	Merged-chr4-144892002-3
Merged-chr4-137913590-20	chr4	137913287	137913838	+	0.000	0.000	Merged-chr4-137913590-20
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr2-174312342-26	chr2	174312067	174312529	+	0.000	0.000	Merged-chr2-174312342-26
Merged-chr10-96624524-1	chr10	96624426	96624624	+	0.000	0.000	Merged-chr10-96624524-1
Merged-chr18-35752199-61	chr18	35751931	35752452	+	0.000	0.000	Merged-chr18-35752199-61
Merged-chr7-78583930-15	chr7	78583773	78584115	+	0.000	0.000	Merged-chr7-78583930-15
Merged-chr16-24163558-22	chr16	24163058	24164102	+	0.000	0.000	Merged-chr16-24163558-22
Merged-chr10-68089835-22	chr10	68089630	68090047	+	0.000	0.000	Merged-chr10-68089835-22
Merged-chr14-14013648-4	chr14	14013489	14013785	+	0.000	0.000	Merged-chr14-14013648-4
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr2-61480993-2	chr2	61480849	61481139	+	0.000	0.000	Merged-chr2-61480993-2
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr4-149216177-1	chr4	149216079	149216277	+	0.000	0.000	Merged-chr4-149216177-1
Merged-chr12-75531793-15	chr12	75531517	75532054	+	0.000	0.000	Merged-chr12-75531793-15
Merged-chr6-73248594-64	chr6	73248166	73248920	+	0.000	0.000	Merged-chr6-73248594-64
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr4-102968093-31	chr4	102967895	102968306	+	0.000	0.000	Merged-chr4-102968093-31
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr2-174566072-46	chr2	174565900	174566250	+	0.000	0.000	Merged-chr2-174566072-46
Merged-chr15-57696203-3	chr15	57696079	57696332	+	0.000	0.000	Merged-chr15-57696203-3
Merged-chr5-92348228-1	chr5	92348130	92348328	+	0.000	0.000	Merged-chr5-92348228-1
Merged-chr4-32239199-133	chr4	32238811	32239429	+	0.000	0.000	Merged-chr4-32239199-133
Merged-chr4-44173421-4	chr4	44173277	44173578	+	0.000	0.000	Merged-chr4-44173421-4
Merged-chr11-32020422-50	chr11	32019990	32020648	+	0.000	0.000	Merged-chr11-32020422-50
Merged-chr6-129273203-1	chr6	129273105	129273303	+	0.000	0.000	Merged-chr6-129273203-1
Merged-chr19-44284219-69	chr19	44283760	44284579	+	0.000	0.000	Merged-chr19-44284219-69
Merged-chr12-17689227-2	chr12	17689095	17689361	+	0.000	0.000	Merged-chr12-17689227-2
Merged-chr2-167689291-96	chr2	167688631	167689555	+	0.000	0.000	Merged-chr2-167689291-96
Merged-chr13-95524749-120	chr13	95524449	95525271	+	0.000	0.000	Merged-chr13-95524749-120
Merged-chr1-136609076-3	chr1	136608962	136609200	+	0.000	0.000	Merged-chr1-136609076-3
Merged-chr8-70773060-3	chr8	70772938	70773176	+	0.000	0.000	Merged-chr8-70773060-3
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr5-65910144-1	chr5	65910046	65910244	+	0.000	0.000	Merged-chr5-65910144-1
Merged-chr10-121290125-10	chr10	121289906	121290309	+	0.000	0.000	Merged-chr10-121290125-10
Merged-chr16-17928411-109	chr16	17928138	17928864	+	0.000	0.000	Merged-chr16-17928411-109
Merged-chr11-3328528-3	chr11	3328422	3328633	+	0.000	0.000	Merged-chr11-3328528-3
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr2-170117129-44	chr2	170116742	170117730	+	0.000	0.000	Merged-chr2-170117129-44
Merged-chr15-100419911-3	chr15	100419697	100420069	+	0.000	0.000	Merged-chr15-100419911-3
Merged-chr11-54958732-50	chr11	54958538	54958913	+	0.000	0.000	Merged-chr11-54958732-50
Merged-chr15-79038073-11	chr15	79037941	79038206	+	0.000	0.000	Merged-chr15-79038073-11
Merged-chr17-65740416-17	chr17	65740171	65740618	+	0.000	0.000	Merged-chr17-65740416-17
Merged-chr17-25785502-40	chr17	25785262	25785706	+	0.000	0.000	Merged-chr17-25785502-40
Merged-chr1-6272359-19	chr1	6272118	6272557	+	0.000	0.000	Merged-chr1-6272359-19
Merged-chr15-36374262-7	chr15	36374013	36374510	+	0.000	0.000	Merged-chr15-36374262-7
Merged-chr10-39385441-1	chr10	39385343	39385541	+	0.000	0.000	Merged-chr10-39385441-1
Merged-chr8-105496928-38	chr8	105496719	105497139	+	0.000	0.000	Merged-chr8-105496928-38
Merged-chr10-71365210-11	chr10	71365035	71365389	+	0.000	0.000	Merged-chr10-71365210-11
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr6-67480682-22	chr6	67480267	67481014	+	0.000	0.000	Merged-chr6-67480682-22
Merged-chr3-94952944-28	chr3	94952359	94953193	+	0.000	0.000	Merged-chr3-94952944-28
Merged-chr10-19934742-4	chr10	19934630	19934857	+	0.000	0.000	Merged-chr10-19934742-4
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr19-45015575-58	chr19	45015021	45016017	+	0.000	0.000	Merged-chr19-45015575-58
Merged-chr8-14941287-35	chr8	14941111	14941441	+	0.000	0.000	Merged-chr8-14941287-35
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr11-98001521-17	chr11	98001331	98001848	+	0.000	0.000	Merged-chr11-98001521-17
Merged-chr11-69633408-1	chr11	69633310	69633508	+	0.000	0.000	Merged-chr11-69633408-1
Merged-chr9-35199813-60	chr9	35199531	35200198	+	0.000	0.000	Merged-chr9-35199813-60
