#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.up.bed
Merged-chr7-49822338-8	chr7	49822164	49822503	+	0.000	0.000	Merged-chr7-49822338-8
Merged-chr11-97996066-44	chr11	97995873	97996339	+	0.000	0.000	Merged-chr11-97996066-44
Merged-chr11-69420254-1	chr11	69420156	69420354	+	0.000	0.000	Merged-chr11-69420254-1
Merged-chr17-65741371-24	chr17	65741127	65741633	+	0.000	0.000	Merged-chr17-65741371-24
Merged-chr10-13062544-9	chr10	13062403	13062684	+	0.000	0.000	Merged-chr10-13062544-9
Merged-chr5-73344482-20	chr5	73344267	73344673	+	0.000	0.000	Merged-chr5-73344482-20
Merged-chr12-54188383-1	chr12	54188285	54188483	+	0.000	0.000	Merged-chr12-54188383-1
Merged-chr15-53309792-8	chr15	53309522	53309977	+	0.000	0.000	Merged-chr15-53309792-8
Merged-chr18-79294963-22	chr18	79294705	79295269	+	0.000	0.000	Merged-chr18-79294963-22
Merged-chr7-44468027-53	chr7	44467773	44468253	+	0.000	0.000	Merged-chr7-44468027-53
Merged-chr19-32153668-1	chr19	32153570	32153768	+	0.000	0.000	Merged-chr19-32153668-1
Merged-chr7-141265860-151	chr7	141265565	141266462	+	0.000	0.000	Merged-chr7-141265860-151
Merged-chr17-21477863-62	chr17	21477445	21478154	+	0.000	0.000	Merged-chr17-21477863-62
Merged-chr19-46466303-17	chr19	46466096	46466556	+	0.000	0.000	Merged-chr19-46466303-17
Merged-chr18-50017689-1	chr18	50017591	50017789	+	0.000	0.000	Merged-chr18-50017689-1
Merged-chr18-50024197-35	chr18	50024010	50024362	+	0.000	0.000	Merged-chr18-50024197-35
Merged-chr1-91941668-10	chr1	91941489	91941822	+	0.000	0.000	Merged-chr1-91941668-10
Merged-chr14-61685114-25	chr14	61684938	61685279	+	0.000	0.000	Merged-chr14-61685114-25
Merged-chr15-79934945-2	chr15	79934823	79935070	+	0.000	0.000	Merged-chr15-79934945-2
Merged-chr13-55114934-9	chr13	55114730	55115180	+	0.000	0.000	Merged-chr13-55114934-9
Merged-chr8-124662539-3	chr8	124662347	124662752	+	0.000	0.000	Merged-chr8-124662539-3
Merged-chr14-18241992-8	chr14	18241873	18242133	+	0.000	0.000	Merged-chr14-18241992-8
Merged-chr13-99411191-61	chr13	99410777	99411598	+	0.000	0.000	Merged-chr13-99411191-61
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr13-41663371-50	chr13	41662701	41663875	+	0.000	0.000	Merged-chr13-41663371-50
Merged-chr18-54901247-4	chr18	54901022	54901541	+	0.000	0.000	Merged-chr18-54901247-4
Merged-chr9-109000906-26	chr9	109000690	109001114	+	0.000	0.000	Merged-chr9-109000906-26
Merged-chr13-41637743-2	chr13	41637643	41637846	+	0.000	0.000	Merged-chr13-41637743-2
Merged-chr6-134217908-11	chr6	134217769	134218087	+	0.000	0.000	Merged-chr6-134217908-11
Merged-chr4-137913590-20	chr4	137913287	137913838	+	0.000	0.000	Merged-chr4-137913590-20
Merged-chr7-78583930-15	chr7	78583773	78584115	+	0.000	0.000	Merged-chr7-78583930-15
Merged-chr10-68089835-22	chr10	68089630	68090047	+	0.000	0.000	Merged-chr10-68089835-22
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr2-61480993-2	chr2	61480849	61481139	+	0.000	0.000	Merged-chr2-61480993-2
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr4-149216177-1	chr4	149216079	149216277	+	0.000	0.000	Merged-chr4-149216177-1
Merged-chr4-102908208-33	chr4	102908017	102908506	+	0.000	0.000	Merged-chr4-102908208-33
Merged-chr4-102968093-31	chr4	102967895	102968306	+	0.000	0.000	Merged-chr4-102968093-31
Merged-chr19-11411936-32	chr19	11411683	11412255	+	0.000	0.000	Merged-chr19-11411936-32
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr2-174566072-46	chr2	174565900	174566250	+	0.000	0.000	Merged-chr2-174566072-46
Merged-chr7-132402823-64	chr7	132402535	132403061	+	0.000	0.000	Merged-chr7-132402823-64
Merged-chr15-57696203-3	chr15	57696079	57696332	+	0.000	0.000	Merged-chr15-57696203-3
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr11-84057403-1	chr11	84057305	84057503	+	0.000	0.000	Merged-chr11-84057403-1
Merged-chr12-17689227-2	chr12	17689095	17689361	+	0.000	0.000	Merged-chr12-17689227-2
Merged-chr13-95524749-120	chr13	95524449	95525271	+	0.000	0.000	Merged-chr13-95524749-120
Merged-chr8-70773060-3	chr8	70772938	70773176	+	0.000	0.000	Merged-chr8-70773060-3
Merged-chr3-129533518-164	chr3	129532922	129534390	+	0.000	0.000	Merged-chr3-129533518-164
Merged-chr5-65910144-1	chr5	65910046	65910244	+	0.000	0.000	Merged-chr5-65910144-1
Merged-chr10-121290125-10	chr10	121289906	121290309	+	0.000	0.000	Merged-chr10-121290125-10
Merged-chr16-17928411-109	chr16	17928138	17928864	+	0.000	0.000	Merged-chr16-17928411-109
Merged-chr10-95910701-11	chr10	95910525	95910844	+	0.000	0.000	Merged-chr10-95910701-11
Merged-chr11-113565159-1	chr11	113565061	113565259	+	0.000	0.000	Merged-chr11-113565159-1
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr15-27856538-51	chr15	27856271	27856806	+	0.000	0.000	Merged-chr15-27856538-51
Merged-chr15-79038073-11	chr15	79037941	79038206	+	0.000	0.000	Merged-chr15-79038073-11
Merged-chr17-65740416-17	chr17	65740171	65740618	+	0.000	0.000	Merged-chr17-65740416-17
Merged-chr15-36374262-7	chr15	36374013	36374510	+	0.000	0.000	Merged-chr15-36374262-7
Merged-chr8-105496928-38	chr8	105496719	105497139	+	0.000	0.000	Merged-chr8-105496928-38
Merged-chr10-71365210-11	chr10	71365035	71365389	+	0.000	0.000	Merged-chr10-71365210-11
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr3-37183520-10	chr3	37183319	37183717	+	0.000	0.000	Merged-chr3-37183520-10
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr10-78476877-17	chr10	78476689	78477022	+	0.000	0.000	Merged-chr10-78476877-17
Merged-chr11-98001521-17	chr11	98001331	98001848	+	0.000	0.000	Merged-chr11-98001521-17
Merged-chr14-101510851-45	chr14	101510597	101511121	+	0.000	0.000	Merged-chr14-101510851-45
Merged-chr2-32237373-9	chr2	32237151	32237645	+	0.000	0.000	Merged-chr2-32237373-9
Merged-chr15-93694661-9	chr15	93694389	93694949	+	0.000	0.000	Merged-chr15-93694661-9
Merged-chr7-139398663-1	chr7	139398565	139398763	+	0.000	0.000	Merged-chr7-139398663-1
Merged-chr4-150626501-41	chr4	150626254	150626801	+	0.000	0.000	Merged-chr4-150626501-41
Merged-chr3-87383448-9	chr3	87383313	87383621	+	0.000	0.000	Merged-chr3-87383448-9
Merged-chr17-34235127-37	chr17	34234871	34235318	+	0.000	0.000	Merged-chr17-34235127-37
Merged-chr17-47171280-54	chr17	47171064	47171512	+	0.000	0.000	Merged-chr17-47171280-54
Merged-chr15-93581886-25	chr15	93581654	93582088	+	0.000	0.000	Merged-chr15-93581886-25
Merged-chr5-90603641-23	chr5	90603422	90603834	+	0.000	0.000	Merged-chr5-90603641-23
Merged-chr7-39544508-62	chr7	39544160	39544804	+	0.000	0.000	Merged-chr7-39544508-62
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr18-50028414-49	chr18	50028184	50028641	+	0.000	0.000	Merged-chr18-50028414-49
Merged-chr1-119504796-62	chr1	119504341	119505036	+	0.000	0.000	Merged-chr1-119504796-62
Merged-chr3-51652658-59	chr3	51652378	51653086	+	0.000	0.000	Merged-chr3-51652658-59
Merged-chr7-141070304-10	chr7	141069995	141070593	+	0.000	0.000	Merged-chr7-141070304-10
Merged-chr11-98003511-2	chr11	98003409	98003615	+	0.000	0.000	Merged-chr11-98003511-2
Merged-chr6-99498294-17	chr6	99498055	99498517	+	0.000	0.000	Merged-chr6-99498294-17
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr4-145315219-45	chr4	145314959	145315393	+	0.000	0.000	Merged-chr4-145315219-45
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr2-70922738-17	chr2	70922562	70923023	+	0.000	0.000	Merged-chr2-70922738-17
Merged-chr7-132385485-1	chr7	132385387	132385585	+	0.000	0.000	Merged-chr7-132385485-1
Merged-chr1-128790963-21	chr1	128790514	128791316	+	0.000	0.000	Merged-chr1-128790963-21
Merged-chr17-47221287-27	chr17	47221069	47221673	+	0.000	0.000	Merged-chr17-47221287-27
Merged-chr10-13988804-2	chr10	13988670	13988940	+	0.000	0.000	Merged-chr10-13988804-2
Merged-chr6-57581740-8	chr6	57581599	57581883	+	0.000	0.000	Merged-chr6-57581740-8
Merged-chr11-101582263-20	chr11	101581999	101582436	+	0.000	0.000	Merged-chr11-101582263-20
Merged-chr17-73096591-8	chr17	73096464	73096712	+	0.000	0.000	Merged-chr17-73096591-8
Merged-chr10-68249681-39	chr10	68249501	68249921	+	0.000	0.000	Merged-chr10-68249681-39
Merged-chr11-80488662-1	chr11	80488564	80488762	+	0.000	0.000	Merged-chr11-80488662-1
Merged-chr2-6353338-6	chr2	6353151	6353580	+	0.000	0.000	Merged-chr2-6353338-6
Merged-chr19-34306924-50	chr19	34306733	34307105	+	0.000	0.000	Merged-chr19-34306924-50
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr9-96577882-15	chr9	96577712	96578131	+	0.000	0.000	Merged-chr9-96577882-15
Merged-chr7-39449631-50	chr7	39449267	39450099	+	0.000	0.000	Merged-chr7-39449631-50
Merged-chr4-6989111-4	chr4	6988892	6989308	+	0.000	0.000	Merged-chr4-6989111-4
