#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_I--ATAC_peaks.bed all.df.numx.c5-DKO_Th1_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Th1_vs_Naive.dn.bed
Merged-chr10-95699162-15	chr10	95698886	95699424	+	0.000	0.000	Merged-chr10-95699162-15
Merged-chr14-99943406-23	chr14	99943148	99943873	+	0.000	0.000	Merged-chr14-99943406-23
Merged-chr1-189602384-14	chr1	189602145	189602534	+	0.000	0.000	Merged-chr1-189602384-14
Merged-chr10-84014974-1	chr10	84014876	84015074	+	0.000	0.000	Merged-chr10-84014974-1
Merged-chr19-6980205-101	chr19	6979934	6980450	+	0.000	0.000	Merged-chr19-6980205-101
Merged-chr16-91688812-60	chr16	91688611	91689039	+	0.000	0.000	Merged-chr16-91688812-60
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr12-100544078-1	chr12	100543980	100544178	+	0.000	0.000	Merged-chr12-100544078-1
Merged-chr1-58624351-1	chr1	58624253	58624451	+	0.000	0.000	Merged-chr1-58624351-1
Merged-chr12-54985589-169	chr12	54984857	54985877	+	0.000	0.000	Merged-chr12-54985589-169
Merged-chrX-71378738-26	chrX	71378502	71378987	+	0.000	0.000	Merged-chrX-71378738-26
Merged-chr3-9974623-36	chr3	9974374	9974824	+	0.000	0.000	Merged-chr3-9974623-36
Merged-chr2-129198055-2	chr2	129197878	129198235	+	0.000	0.000	Merged-chr2-129198055-2
Merged-chr13-81657975-90	chr13	81657492	81658304	+	0.000	0.000	Merged-chr13-81657975-90
Merged-chr1-134078832-110	chr1	134078318	134079573	+	0.000	0.000	Merged-chr1-134078832-110
Merged-chr15-84654435-24	chr15	84654257	84654639	+	0.000	0.000	Merged-chr15-84654435-24
Merged-chr2-75792320-53	chr2	75791495	75792852	+	0.000	0.000	Merged-chr2-75792320-53
Merged-chrX-85918591-4	chrX	85918438	85918773	+	0.000	0.000	Merged-chrX-85918591-4
Merged-chr4-8854131-25	chr4	8853958	8854344	+	0.000	0.000	Merged-chr4-8854131-25
Merged-chr10-44429016-1	chr10	44428918	44429116	+	0.000	0.000	Merged-chr10-44429016-1
Merged-chr3-59258266-13	chr3	59258033	59258443	+	0.000	0.000	Merged-chr3-59258266-13
Merged-chr2-126500731-7	chr2	126500548	126500907	+	0.000	0.000	Merged-chr2-126500731-7
Merged-chr15-52750105-14	chr15	52749922	52750282	+	0.000	0.000	Merged-chr15-52750105-14
Merged-chr3-144023376-1	chr3	144023278	144023476	+	0.000	0.000	Merged-chr3-144023376-1
Merged-chr7-106526868-10	chr7	106526721	106527028	+	0.000	0.000	Merged-chr7-106526868-10
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr16-38476690-56	chr16	38476352	38477118	+	0.000	0.000	Merged-chr16-38476690-56
Merged-chr3-86845286-5	chr3	86845176	86845396	+	0.000	0.000	Merged-chr3-86845286-5
Merged-chr13-101589097-28	chr13	101588842	101589305	+	0.000	0.000	Merged-chr13-101589097-28
Merged-chr11-51606929-9	chr11	51606768	51607102	+	0.000	0.000	Merged-chr11-51606929-9
Merged-chr2-11339259-65	chr2	11339006	11339478	+	0.000	0.000	Merged-chr2-11339259-65
Merged-chr14-99865135-2	chr14	99865028	99865244	+	0.000	0.000	Merged-chr14-99865135-2
Merged-chr1-138964274-4	chr1	138964155	138964387	+	0.000	0.000	Merged-chr1-138964274-4
Merged-chr16-17131609-8	chr16	17131392	17131756	+	0.000	0.000	Merged-chr16-17131609-8
Merged-chr3-144013885-1	chr3	144013787	144013985	+	0.000	0.000	Merged-chr3-144013885-1
Merged-chr10-8177786-7	chr10	8177614	8177927	+	0.000	0.000	Merged-chr10-8177786-7
Merged-chr14-121368379-5	chr14	121368281	121368481	+	0.000	0.000	Merged-chr14-121368379-5
Merged-chr17-79020168-2	chr17	79020070	79020268	+	0.000	0.000	Merged-chr17-79020168-2
Merged-chr1-172502591-1	chr1	172502493	172502691	+	0.000	0.000	Merged-chr1-172502591-1
Merged-chr1-43299668-27	chr1	43299399	43299889	+	0.000	0.000	Merged-chr1-43299668-27
Merged-chr9-44041219-29	chr9	44040860	44041390	+	0.000	0.000	Merged-chr9-44041219-29
Merged-chr2-101288419-1	chr2	101288321	101288519	+	0.000	0.000	Merged-chr2-101288419-1
Merged-chr5-124539005-4	chr5	124538841	124539180	+	0.000	0.000	Merged-chr5-124539005-4
Merged-chr2-163745502-6	chr2	163745201	163745694	+	0.000	0.000	Merged-chr2-163745502-6
Merged-chr4-118179905-83	chr4	118179666	118180141	+	0.000	0.000	Merged-chr4-118179905-83
