#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
Merged-chr11-97996066-44	chr11	97995873	97996339	+	0.000	0.000	Merged-chr11-97996066-44
Merged-chr11-115707585-1	chr11	115707487	115707685	+	0.000	0.000	Merged-chr11-115707585-1
Merged-chr17-65741371-24	chr17	65741127	65741633	+	0.000	0.000	Merged-chr17-65741371-24
Merged-chr10-60038472-15	chr10	60038275	60038653	+	0.000	0.000	Merged-chr10-60038472-15
Merged-chr7-138846228-109	chr7	138845862	138846519	+	0.000	0.000	Merged-chr7-138846228-109
Merged-chr7-68070882-29	chr7	68070595	68071134	+	0.000	0.000	Merged-chr7-68070882-29
Merged-chr11-60114477-20	chr11	60114287	60114634	+	0.000	0.000	Merged-chr11-60114477-20
Merged-chr5-137159720-6	chr5	137159586	137159902	+	0.000	0.000	Merged-chr5-137159720-6
Merged-chr1-131085349-9	chr1	131085210	131085524	+	0.000	0.000	Merged-chr1-131085349-9
Merged-chr18-79294963-22	chr18	79294705	79295269	+	0.000	0.000	Merged-chr18-79294963-22
Merged-chr7-44468027-53	chr7	44467773	44468253	+	0.000	0.000	Merged-chr7-44468027-53
Merged-chr12-73923880-28	chr12	73923690	73924076	+	0.000	0.000	Merged-chr12-73923880-28
Merged-chr17-57183114-28	chr17	57182932	57183349	+	0.000	0.000	Merged-chr17-57183114-28
Merged-chr15-27466741-82	chr15	27466401	27467104	+	0.000	0.000	Merged-chr15-27466741-82
Merged-chr11-90250924-1	chr11	90250826	90251024	+	0.000	0.000	Merged-chr11-90250924-1
Merged-chr7-141265860-151	chr7	141265565	141266462	+	0.000	0.000	Merged-chr7-141265860-151
Merged-chr1-39918723-4	chr1	39918586	39918871	+	0.000	0.000	Merged-chr1-39918723-4
Merged-chr18-50017689-1	chr18	50017591	50017789	+	0.000	0.000	Merged-chr18-50017689-1
Merged-chr18-50024197-35	chr18	50024010	50024362	+	0.000	0.000	Merged-chr18-50024197-35
Merged-chr11-3331619-2	chr11	3331521	3331719	+	0.000	0.000	Merged-chr11-3331619-2
Merged-chr12-80109164-14	chr12	80108998	80109361	+	0.000	0.000	Merged-chr12-80109164-14
Merged-chr8-72354274-101	chr8	72353659	72354747	+	0.000	0.000	Merged-chr8-72354274-101
Merged-chr5-100675060-26	chr5	100674874	100675288	+	0.000	0.000	Merged-chr5-100675060-26
Merged-chr8-124662539-3	chr8	124662347	124662752	+	0.000	0.000	Merged-chr8-124662539-3
Merged-chr5-146794783-76	chr5	146794504	146795097	+	0.000	0.000	Merged-chr5-146794783-76
