#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_WT_Th1.dn.bed
Merged-chr7-49822338-8	chr7	49822164	49822503	+	0.000	0.000	Merged-chr7-49822338-8
Merged-chr11-97996066-44	chr11	97995873	97996339	+	0.000	0.000	Merged-chr11-97996066-44
Merged-chr11-69420254-1	chr11	69420156	69420354	+	0.000	0.000	Merged-chr11-69420254-1
Merged-chr15-66883922-10	chr15	66883727	66884094	+	0.000	0.000	Merged-chr15-66883922-10
Merged-chr12-54188383-1	chr12	54188285	54188483	+	0.000	0.000	Merged-chr12-54188383-1
Merged-chr15-53309792-8	chr15	53309522	53309977	+	0.000	0.000	Merged-chr15-53309792-8
Merged-chr19-32153668-1	chr19	32153570	32153768	+	0.000	0.000	Merged-chr19-32153668-1
Merged-chr7-141265860-151	chr7	141265565	141266462	+	0.000	0.000	Merged-chr7-141265860-151
Merged-chr18-50017689-1	chr18	50017591	50017789	+	0.000	0.000	Merged-chr18-50017689-1
Merged-chr12-80109164-14	chr12	80108998	80109361	+	0.000	0.000	Merged-chr12-80109164-14
Merged-chr15-79934945-2	chr15	79934823	79935070	+	0.000	0.000	Merged-chr15-79934945-2
Merged-chr5-139150117-104	chr5	139149827	139150335	+	0.000	0.000	Merged-chr5-139150117-104
Merged-chr3-137867826-61	chr3	137867256	137868076	+	0.000	0.000	Merged-chr3-137867826-61
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr13-41663371-50	chr13	41662701	41663875	+	0.000	0.000	Merged-chr13-41663371-50
Merged-chr18-54901247-4	chr18	54901022	54901541	+	0.000	0.000	Merged-chr18-54901247-4
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr6-134217908-11	chr6	134217769	134218087	+	0.000	0.000	Merged-chr6-134217908-11
Merged-chr2-136008735-1	chr2	136008637	136008835	+	0.000	0.000	Merged-chr2-136008735-1
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr10-96624524-1	chr10	96624426	96624624	+	0.000	0.000	Merged-chr10-96624524-1
Merged-chr16-57423352-49	chr16	57423181	57423571	+	0.000	0.000	Merged-chr16-57423352-49
Merged-chr13-28952592-13	chr13	28952329	28952893	+	0.000	0.000	Merged-chr13-28952592-13
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr14-8632387-8	chr14	8632184	8632583	+	0.000	0.000	Merged-chr14-8632387-8
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr2-174566072-46	chr2	174565900	174566250	+	0.000	0.000	Merged-chr2-174566072-46
Merged-chr15-57696203-3	chr15	57696079	57696332	+	0.000	0.000	Merged-chr15-57696203-3
Merged-chr7-49520386-1	chr7	49520288	49520486	+	0.000	0.000	Merged-chr7-49520386-1
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr3-129533518-164	chr3	129532922	129534390	+	0.000	0.000	Merged-chr3-129533518-164
Merged-chr10-95910701-11	chr10	95910525	95910844	+	0.000	0.000	Merged-chr10-95910701-11
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr15-27856538-51	chr15	27856271	27856806	+	0.000	0.000	Merged-chr15-27856538-51
Merged-chr15-79038073-11	chr15	79037941	79038206	+	0.000	0.000	Merged-chr15-79038073-11
Merged-chr8-105496928-38	chr8	105496719	105497139	+	0.000	0.000	Merged-chr8-105496928-38
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr10-71365210-11	chr10	71365035	71365389	+	0.000	0.000	Merged-chr10-71365210-11
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr8-14941287-35	chr8	14941111	14941441	+	0.000	0.000	Merged-chr8-14941287-35
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr6-99375217-98	chr6	99374339	99375903	+	0.000	0.000	Merged-chr6-99375217-98
Merged-chr15-93694661-9	chr15	93694389	93694949	+	0.000	0.000	Merged-chr15-93694661-9
Merged-chr4-94614502-53	chr4	94614269	94614816	+	0.000	0.000	Merged-chr4-94614502-53
Merged-chr15-93581886-25	chr15	93581654	93582088	+	0.000	0.000	Merged-chr15-93581886-25
Merged-chr5-90603641-23	chr5	90603422	90603834	+	0.000	0.000	Merged-chr5-90603641-23
Merged-chr12-36042318-87	chr12	36042072	36042769	+	0.000	0.000	Merged-chr12-36042318-87
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr15-97970403-1	chr15	97970305	97970503	+	0.000	0.000	Merged-chr15-97970403-1
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr3-51652658-59	chr3	51652378	51653086	+	0.000	0.000	Merged-chr3-51652658-59
Merged-chr7-141070304-10	chr7	141069995	141070593	+	0.000	0.000	Merged-chr7-141070304-10
Merged-chr11-98003511-2	chr11	98003409	98003615	+	0.000	0.000	Merged-chr11-98003511-2
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr4-137883798-33	chr4	137883579	137884079	+	0.000	0.000	Merged-chr4-137883798-33
Merged-chr11-101582263-20	chr11	101581999	101582436	+	0.000	0.000	Merged-chr11-101582263-20
Merged-chr17-73096591-8	chr17	73096464	73096712	+	0.000	0.000	Merged-chr17-73096591-8
Merged-chr2-6353338-6	chr2	6353151	6353580	+	0.000	0.000	Merged-chr2-6353338-6
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr4-6989111-4	chr4	6988892	6989308	+	0.000	0.000	Merged-chr4-6989111-4
Merged-chr2-61474781-19	chr2	61474615	61475038	+	0.000	0.000	Merged-chr2-61474781-19
Merged-chr6-41534400-3	chr6	41534144	41534677	+	0.000	0.000	Merged-chr6-41534400-3
Merged-chr4-154961400-31	chr4	154961105	154961819	+	0.000	0.000	Merged-chr4-154961400-31
Merged-chr9-83146298-69	chr9	83145756	83146886	+	0.000	0.000	Merged-chr9-83146298-69
Merged-chr6-41535046-6	chr6	41534750	41535384	+	0.000	0.000	Merged-chr6-41535046-6
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr3-101923209-5	chr3	101922997	101923406	+	0.000	0.000	Merged-chr3-101923209-5
Merged-chr7-141269013-12	chr7	141268819	141269219	+	0.000	0.000	Merged-chr7-141269013-12
Merged-chr11-5300074-11	chr11	5299816	5300340	+	0.000	0.000	Merged-chr11-5300074-11
Merged-chr3-154571852-1	chr3	154571754	154571952	+	0.000	0.000	Merged-chr3-154571852-1
Merged-chr18-61208374-2	chr18	61208256	61208495	+	0.000	0.000	Merged-chr18-61208374-2
Merged-chr7-143002996-1	chr7	143002898	143003096	+	0.000	0.000	Merged-chr7-143002996-1
Merged-chr12-80132906-48	chr12	80132569	80133197	+	0.000	0.000	Merged-chr12-80132906-48
Merged-chr19-34291110-2	chr19	34291012	34291210	+	0.000	0.000	Merged-chr19-34291110-2
Merged-chr14-14703754-4	chr14	14703637	14703875	+	0.000	0.000	Merged-chr14-14703754-4
Merged-chr15-93596659-3	chr15	93596498	93596800	+	0.000	0.000	Merged-chr15-93596659-3
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr6-99164991-16	chr6	99164748	99165231	+	0.000	0.000	Merged-chr6-99164991-16
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr5-128981776-29	chr5	128981574	128981979	+	0.000	0.000	Merged-chr5-128981776-29
Merged-chr12-82394298-69	chr12	82394025	82394556	+	0.000	0.000	Merged-chr12-82394298-69
Merged-chr11-46404706-1	chr11	46404608	46404806	+	0.000	0.000	Merged-chr11-46404706-1
Merged-chr1-69753005-34	chr1	69752755	69753212	+	0.000	0.000	Merged-chr1-69753005-34
Merged-chr5-142936528-26	chr5	142936124	142936800	+	0.000	0.000	Merged-chr5-142936528-26
Merged-chr15-100551919-67	chr15	100551330	100552283	+	0.000	0.000	Merged-chr15-100551919-67
Merged-chr2-59647152-67	chr2	59646877	59647434	+	0.000	0.000	Merged-chr2-59647152-67
Merged-chrX-13516607-3	chrX	13516503	13516713	+	0.000	0.000	Merged-chrX-13516607-3
Merged-chr19-6942025-108	chr19	6941453	6942279	+	0.000	0.000	Merged-chr19-6942025-108
Merged-chr12-55497950-1	chr12	55497852	55498050	+	0.000	0.000	Merged-chr12-55497950-1
Merged-chr10-99193977-9	chr10	99193702	99194201	+	0.000	0.000	Merged-chr10-99193977-9
Merged-chr5-114213414-22	chr5	114213243	114213626	+	0.000	0.000	Merged-chr5-114213414-22
Merged-chr6-41605096-109	chr6	41604857	41605523	+	0.000	0.000	Merged-chr6-41605096-109
Merged-chr7-28373341-2	chr7	28373209	28373476	+	0.000	0.000	Merged-chr7-28373341-2
Merged-chr4-137880751-1	chr4	137880653	137880851	+	0.000	0.000	Merged-chr4-137880751-1
