#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_Naive.dn.bed
Merged-chr16-11565406-13	chr16	11564942	11565636	+	0.000	0.000	Merged-chr16-11565406-13
Merged-chr4-95967301-62	chr4	95967114	95967597	+	0.000	0.000	Merged-chr4-95967301-62
Merged-chr7-138846228-109	chr7	138845862	138846519	+	0.000	0.000	Merged-chr7-138846228-109
Merged-chr7-68070882-29	chr7	68070595	68071134	+	0.000	0.000	Merged-chr7-68070882-29
Merged-chr11-60114477-20	chr11	60114287	60114634	+	0.000	0.000	Merged-chr11-60114477-20
Merged-chr17-29973396-19	chr17	29973206	29973607	+	0.000	0.000	Merged-chr17-29973396-19
Merged-chr1-180922382-17	chr1	180922175	180922690	+	0.000	0.000	Merged-chr1-180922382-17
Merged-chr7-24373607-36	chr7	24373355	24373859	+	0.000	0.000	Merged-chr7-24373607-36
Merged-chr5-97095556-15	chr5	97095299	97095811	+	0.000	0.000	Merged-chr5-97095556-15
Merged-chr15-27466741-82	chr15	27466401	27467104	+	0.000	0.000	Merged-chr15-27466741-82
Merged-chr11-90250924-1	chr11	90250826	90251024	+	0.000	0.000	Merged-chr11-90250924-1
Merged-chr8-79375141-3	chr8	79374988	79375283	+	0.000	0.000	Merged-chr8-79375141-3
Merged-chr4-140750542-28	chr4	140750295	140750757	+	0.000	0.000	Merged-chr4-140750542-28
Merged-chr12-80109164-14	chr12	80108998	80109361	+	0.000	0.000	Merged-chr12-80109164-14
Merged-chrX-136640017-3	chrX	136639900	136640132	+	0.000	0.000	Merged-chrX-136640017-3
Merged-chr8-72354274-101	chr8	72353659	72354747	+	0.000	0.000	Merged-chr8-72354274-101
Merged-chr5-146794783-76	chr5	146794504	146795097	+	0.000	0.000	Merged-chr5-146794783-76
Merged-chr3-137867826-61	chr3	137867256	137868076	+	0.000	0.000	Merged-chr3-137867826-61
Merged-chr10-118797511-13	chr10	118797353	118797685	+	0.000	0.000	Merged-chr10-118797511-13
Merged-chr1-165763682-102	chr1	165763338	165764077	+	0.000	0.000	Merged-chr1-165763682-102
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr2-136008735-1	chr2	136008637	136008835	+	0.000	0.000	Merged-chr2-136008735-1
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr2-174312342-26	chr2	174312067	174312529	+	0.000	0.000	Merged-chr2-174312342-26
Merged-chr10-96624524-1	chr10	96624426	96624624	+	0.000	0.000	Merged-chr10-96624524-1
Merged-chr16-57423352-49	chr16	57423181	57423571	+	0.000	0.000	Merged-chr16-57423352-49
Merged-chr18-35752199-61	chr18	35751931	35752452	+	0.000	0.000	Merged-chr18-35752199-61
Merged-chr1-21781098-42	chr1	21780617	21781599	+	0.000	0.000	Merged-chr1-21781098-42
Merged-chr11-3144953-42	chr11	3144240	3145479	+	0.000	0.000	Merged-chr11-3144953-42
Merged-chr14-14013648-4	chr14	14013489	14013785	+	0.000	0.000	Merged-chr14-14013648-4
Merged-chr1-155646076-1	chr1	155645978	155646176	+	0.000	0.000	Merged-chr1-155646076-1
Merged-chr14-8632387-8	chr14	8632184	8632583	+	0.000	0.000	Merged-chr14-8632387-8
Merged-chr12-15967723-42	chr12	15967474	15967919	+	0.000	0.000	Merged-chr12-15967723-42
Merged-chr9-14200294-59	chr9	14199941	14200852	+	0.000	0.000	Merged-chr9-14200294-59
Merged-chr7-67953943-1	chr7	67953845	67954043	+	0.000	0.000	Merged-chr7-67953943-1
Merged-chr17-3081586-1	chr17	3081488	3081686	+	0.000	0.000	Merged-chr17-3081586-1
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr1-179047841-1	chr1	179047743	179047941	+	0.000	0.000	Merged-chr1-179047841-1
Merged-chr18-9450048-96	chr18	9449849	9450447	+	0.000	0.000	Merged-chr18-9450048-96
Merged-chr4-32239199-133	chr4	32238811	32239429	+	0.000	0.000	Merged-chr4-32239199-133
Merged-chr10-79096841-1	chr10	79096743	79096941	+	0.000	0.000	Merged-chr10-79096841-1
Merged-chr6-129273203-1	chr6	129273105	129273303	+	0.000	0.000	Merged-chr6-129273203-1
Merged-chr7-49520386-1	chr7	49520288	49520486	+	0.000	0.000	Merged-chr7-49520386-1
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr11-3328528-3	chr11	3328422	3328633	+	0.000	0.000	Merged-chr11-3328528-3
Merged-chr8-14978690-4	chr8	14978502	14978951	+	0.000	0.000	Merged-chr8-14978690-4
Merged-chr11-54958732-50	chr11	54958538	54958913	+	0.000	0.000	Merged-chr11-54958732-50
Merged-chrX-75734287-49	chrX	75733804	75734533	+	0.000	0.000	Merged-chrX-75734287-49
Merged-chr1-6272359-19	chr1	6272118	6272557	+	0.000	0.000	Merged-chr1-6272359-19
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr10-19934742-4	chr10	19934630	19934857	+	0.000	0.000	Merged-chr10-19934742-4
Merged-chr19-57123944-45	chr19	57123749	57124144	+	0.000	0.000	Merged-chr19-57123944-45
Merged-chr13-55444770-148	chr13	55444289	55445182	+	0.000	0.000	Merged-chr13-55444770-148
Merged-chr8-14941287-35	chr8	14941111	14941441	+	0.000	0.000	Merged-chr8-14941287-35
Merged-chr7-49468133-37	chr7	49467878	49468390	+	0.000	0.000	Merged-chr7-49468133-37
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr6-99375217-98	chr6	99374339	99375903	+	0.000	0.000	Merged-chr6-99375217-98
Merged-chr7-73542202-1	chr7	73542104	73542302	+	0.000	0.000	Merged-chr7-73542202-1
Merged-chr9-7870801-10	chr9	7870572	7871086	+	0.000	0.000	Merged-chr9-7870801-10
Merged-chr12-36157829-2	chr12	36157720	36157941	+	0.000	0.000	Merged-chr12-36157829-2
Merged-chr4-6980389-8	chr4	6980239	6980552	+	0.000	0.000	Merged-chr4-6980389-8
Merged-chr12-36042318-87	chr12	36042072	36042769	+	0.000	0.000	Merged-chr12-36042318-87
Merged-chr3-131112434-113	chr3	131111987	131112840	+	0.000	0.000	Merged-chr3-131112434-113
Merged-chr15-97970403-1	chr15	97970305	97970503	+	0.000	0.000	Merged-chr15-97970403-1
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
Merged-chr15-100041039-1	chr15	100040941	100041139	+	0.000	0.000	Merged-chr15-100041039-1
Merged-chr7-19590071-26	chr7	19589734	19590366	+	0.000	0.000	Merged-chr7-19590071-26
Merged-chr1-67038883-63	chr1	67038488	67039111	+	0.000	0.000	Merged-chr1-67038883-63
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr7-24884343-81	chr7	24884071	24884562	+	0.000	0.000	Merged-chr7-24884343-81
Merged-chr9-61501561-3	chr9	61501418	61501716	+	0.000	0.000	Merged-chr9-61501561-3
Merged-chr5-146780158-5	chr5	146779980	146780314	+	0.000	0.000	Merged-chr5-146780158-5
Merged-chr10-99263989-11	chr10	99263658	99264199	+	0.000	0.000	Merged-chr10-99263989-11
Merged-chr4-137883798-33	chr4	137883579	137884079	+	0.000	0.000	Merged-chr4-137883798-33
Merged-chr7-125575832-4	chr7	125575630	125576009	+	0.000	0.000	Merged-chr7-125575832-4
Merged-chr2-132040154-56	chr2	132039928	132040374	+	0.000	0.000	Merged-chr2-132040154-56
Merged-chr15-93665771-1	chr15	93665673	93665871	+	0.000	0.000	Merged-chr15-93665771-1
Merged-chr16-16912027-29	chr16	16911822	16912205	+	0.000	0.000	Merged-chr16-16912027-29
Merged-chr16-10783266-6	chr16	10783161	10783379	+	0.000	0.000	Merged-chr16-10783266-6
Merged-chr16-20097863-112	chr16	20097627	20098107	+	0.000	0.000	Merged-chr16-20097863-112
Merged-chr15-5116701-74	chr15	5116300	5116991	+	0.000	0.000	Merged-chr15-5116701-74
Merged-chr9-57147720-2	chr9	57147605	57147838	+	0.000	0.000	Merged-chr9-57147720-2
Merged-chr10-17443586-1	chr10	17443488	17443686	+	0.000	0.000	Merged-chr10-17443586-1
Merged-chr5-75649003-1	chr5	75648905	75649103	+	0.000	0.000	Merged-chr5-75649003-1
Merged-chr18-79234491-26	chr18	79234204	79234782	+	0.000	0.000	Merged-chr18-79234491-26
Merged-chr5-72891744-22	chr5	72891523	72891965	+	0.000	0.000	Merged-chr5-72891744-22
Merged-chr2-135981518-2	chr2	135981395	135981643	+	0.000	0.000	Merged-chr2-135981518-2
Merged-chr7-4655608-1	chr7	4655510	4655708	+	0.000	0.000	Merged-chr7-4655608-1
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr16-24652303-15	chr16	24651977	24652506	+	0.000	0.000	Merged-chr16-24652303-15
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr6-52640387-58	chr6	52640130	52640677	+	0.000	0.000	Merged-chr6-52640387-58
Merged-chr11-3181415-55	chr11	3181133	3181614	+	0.000	0.000	Merged-chr11-3181415-55
Merged-chr3-121178059-1	chr3	121177961	121178159	+	0.000	0.000	Merged-chr3-121178059-1
Merged-chr16-57471112-83	chr16	57470768	57471539	+	0.000	0.000	Merged-chr16-57471112-83
Merged-chr2-61474781-19	chr2	61474615	61475038	+	0.000	0.000	Merged-chr2-61474781-19
Merged-chr2-18952458-63	chr2	18952127	18952859	+	0.000	0.000	Merged-chr2-18952458-63
Merged-chr19-34314624-1	chr19	34314526	34314724	+	0.000	0.000	Merged-chr19-34314624-1
Merged-chr2-122469407-42	chr2	122469153	122469591	+	0.000	0.000	Merged-chr2-122469407-42
Merged-chr14-31569304-6	chr14	31569114	31569476	+	0.000	0.000	Merged-chr14-31569304-6
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr17-15704757-20	chr17	15704540	15705055	+	0.000	0.000	Merged-chr17-15704757-20
Merged-chr2-156970494-23	chr2	156970226	156970871	+	0.000	0.000	Merged-chr2-156970494-23
Merged-chr6-116311503-1	chr6	116311405	116311603	+	0.000	0.000	Merged-chr6-116311503-1
Merged-chr4-3835460-93	chr4	3834929	3835840	+	0.000	0.000	Merged-chr4-3835460-93
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr10-30719099-39	chr10	30718779	30719317	+	0.000	0.000	Merged-chr10-30719099-39
Merged-chr17-5093524-26	chr17	5093336	5093722	+	0.000	0.000	Merged-chr17-5093524-26
Merged-chr16-97459755-2	chr16	97459648	97459865	+	0.000	0.000	Merged-chr16-97459755-2
Merged-chr1-119504128-1	chr1	119504030	119504228	+	0.000	0.000	Merged-chr1-119504128-1
Merged-chr10-59974606-81	chr10	59974256	59974865	+	0.000	0.000	Merged-chr10-59974606-81
Merged-chr6-105532794-1	chr6	105532696	105532894	+	0.000	0.000	Merged-chr6-105532794-1
Merged-chr12-68840505-1	chr12	68840407	68840605	+	0.000	0.000	Merged-chr12-68840505-1
Merged-chr18-78912645-1	chr18	78912547	78912745	+	0.000	0.000	Merged-chr18-78912645-1
Merged-chr2-61497944-5	chr2	61497767	61498092	+	0.000	0.000	Merged-chr2-61497944-5
Merged-chr2-174010285-2	chr2	174010140	174010432	+	0.000	0.000	Merged-chr2-174010285-2
Merged-chr15-28021766-8	chr15	28021631	28021919	+	0.000	0.000	Merged-chr15-28021766-8
Merged-chr12-82394298-69	chr12	82394025	82394556	+	0.000	0.000	Merged-chr12-82394298-69
Merged-chr3-101066330-34	chr3	101066110	101066644	+	0.000	0.000	Merged-chr3-101066330-34
Merged-chr14-24785544-14	chr14	24785354	24785802	+	0.000	0.000	Merged-chr14-24785544-14
Merged-chr1-192063830-1	chr1	192063732	192063930	+	0.000	0.000	Merged-chr1-192063830-1
Merged-chr15-58215186-88	chr15	58214712	58215525	+	0.000	0.000	Merged-chr15-58215186-88
Merged-chr2-135847569-1	chr2	135847471	135847669	+	0.000	0.000	Merged-chr2-135847569-1
Merged-chr4-32166349-13	chr4	32166141	32166495	+	0.000	0.000	Merged-chr4-32166349-13
Merged-chr2-108915289-1	chr2	108915191	108915389	+	0.000	0.000	Merged-chr2-108915289-1
Merged-chr5-144100460-55	chr5	144100189	144100715	+	0.000	0.000	Merged-chr5-144100460-55
Merged-chr10-96617531-58	chr10	96617357	96617730	+	0.000	0.000	Merged-chr10-96617531-58
Merged-chr1-193181317-39	chr1	193180982	193181632	+	0.000	0.000	Merged-chr1-193181317-39
Merged-chr3-127853593-31	chr3	127853406	127853886	+	0.000	0.000	Merged-chr3-127853593-31
Merged-chr4-10968085-44	chr4	10967892	10968319	+	0.000	0.000	Merged-chr4-10968085-44
Merged-chr7-12422521-72	chr7	12422035	12422887	+	0.000	0.000	Merged-chr7-12422521-72
Merged-chr9-48985134-97	chr9	48984786	48985413	+	0.000	0.000	Merged-chr9-48985134-97
Merged-chr15-41832458-66	chr15	41832167	41832675	+	0.000	0.000	Merged-chr15-41832458-66
Merged-chr10-93126298-4	chr10	93126128	93126455	+	0.000	0.000	Merged-chr10-93126298-4
Merged-chr6-6132340-1	chr6	6132242	6132440	+	0.000	0.000	Merged-chr6-6132340-1
Merged-chr13-109686286-1	chr13	109686188	109686386	+	0.000	0.000	Merged-chr13-109686286-1
Merged-chr15-96377378-14	chr15	96377186	96377642	+	0.000	0.000	Merged-chr15-96377378-14
Merged-chr16-35747565-9	chr16	35747374	35747750	+	0.000	0.000	Merged-chr16-35747565-9
Merged-chr7-25000756-34	chr7	25000289	25001308	+	0.000	0.000	Merged-chr7-25000756-34
Merged-chr14-31194622-6	chr14	31194462	31194796	+	0.000	0.000	Merged-chr14-31194622-6
Merged-chr7-29039900-33	chr7	29039673	29040170	+	0.000	0.000	Merged-chr7-29039900-33
Merged-chr5-107291390-1	chr5	107291292	107291490	+	0.000	0.000	Merged-chr5-107291390-1
Merged-chr5-28315754-44	chr5	28315554	28316037	+	0.000	0.000	Merged-chr5-28315754-44
Merged-chr12-52524948-24	chr12	52524665	52525171	+	0.000	0.000	Merged-chr12-52524948-24
Merged-chr12-103425849-56	chr12	103425600	103426053	+	0.000	0.000	Merged-chr12-103425849-56
Merged-chr7-28372841-69	chr7	28372574	28373043	+	0.000	0.000	Merged-chr7-28372841-69
Merged-chr1-138248934-12	chr1	138248767	138249130	+	0.000	0.000	Merged-chr1-138248934-12
Merged-chr16-45257146-6	chr16	45257026	45257281	+	0.000	0.000	Merged-chr16-45257146-6
Merged-chr15-97605953-1	chr15	97605855	97606053	+	0.000	0.000	Merged-chr15-97605953-1
Merged-chr13-109837849-65	chr13	109837657	109838034	+	0.000	0.000	Merged-chr13-109837849-65
Merged-chr15-93756205-23	chr15	93755994	93756476	+	0.000	0.000	Merged-chr15-93756205-23
Merged-chr17-84272667-1	chr17	84272569	84272767	+	0.000	0.000	Merged-chr17-84272667-1
Merged-chr5-76779382-27	chr5	76779186	76779674	+	0.000	0.000	Merged-chr5-76779382-27
Merged-chr5-147475490-3	chr5	147475381	147475607	+	0.000	0.000	Merged-chr5-147475490-3
Merged-chr5-53999784-28	chr5	53999514	54000176	+	0.000	0.000	Merged-chr5-53999784-28
Merged-chr8-84986029-81	chr8	84985719	84986365	+	0.000	0.000	Merged-chr8-84986029-81
Merged-chr6-121110104-77	chr6	121109696	121110482	+	0.000	0.000	Merged-chr6-121110104-77
Merged-chr14-121478313-77	chr14	121477999	121478683	+	0.000	0.000	Merged-chr14-121478313-77
Merged-chr4-86739424-15	chr4	86739247	86739596	+	0.000	0.000	Merged-chr4-86739424-15
Merged-chr17-35200638-36	chr17	35200391	35200802	+	0.000	0.000	Merged-chr17-35200638-36
Merged-chr13-112472565-14	chr13	112472363	112472843	+	0.000	0.000	Merged-chr13-112472565-14
Merged-chr11-3131292-2	chr11	3131194	3131392	+	0.000	0.000	Merged-chr11-3131292-2
Merged-chr5-75534401-1	chr5	75534303	75534501	+	0.000	0.000	Merged-chr5-75534401-1
Merged-chr2-4918465-9	chr2	4918301	4918718	+	0.000	0.000	Merged-chr2-4918465-9
Merged-chr3-101059436-11	chr3	101059260	101059627	+	0.000	0.000	Merged-chr3-101059436-11
Merged-chr8-71367350-68	chr8	71367110	71367584	+	0.000	0.000	Merged-chr8-71367350-68
Merged-chr5-134444752-37	chr5	134444470	134445092	+	0.000	0.000	Merged-chr5-134444752-37
Merged-chr17-22417676-33	chr17	22417454	22417892	+	0.000	0.000	Merged-chr17-22417676-33
Merged-chr14-10367925-1	chr14	10367827	10368025	+	0.000	0.000	Merged-chr14-10367925-1
Merged-chr1-37030914-29	chr1	37030568	37031159	+	0.000	0.000	Merged-chr1-37030914-29
Merged-chr5-75811026-2	chr5	75810900	75811155	+	0.000	0.000	Merged-chr5-75811026-2
Merged-chr5-75530270-1	chr5	75530172	75530370	+	0.000	0.000	Merged-chr5-75530270-1
Merged-chr10-10558018-80	chr10	10557697	10558476	+	0.000	0.000	Merged-chr10-10558018-80
Merged-chr6-67510918-34	chr6	67510660	67511144	+	0.000	0.000	Merged-chr6-67510918-34
Merged-chr2-169329453-1	chr2	169329355	169329553	+	0.000	0.000	Merged-chr2-169329453-1
Merged-chr17-32947455-52	chr17	32947273	32947642	+	0.000	0.000	Merged-chr17-32947455-52
Merged-chr19-57095609-11	chr19	57095457	57095788	+	0.000	0.000	Merged-chr19-57095609-11
Merged-chr10-67096873-126	chr10	67096581	67097355	+	0.000	0.000	Merged-chr10-67096873-126
Merged-chr5-34369838-94	chr5	34369400	34370191	+	0.000	0.000	Merged-chr5-34369838-94
Merged-chr1-192555232-1	chr1	192555134	192555332	+	0.000	0.000	Merged-chr1-192555232-1
Merged-chr16-76249767-78	chr16	76249396	76250170	+	0.000	0.000	Merged-chr16-76249767-78
Merged-chr16-45382071-4	chr16	45381864	45382237	+	0.000	0.000	Merged-chr16-45382071-4
Merged-chr16-89973258-46	chr16	89973033	89973545	+	0.000	0.000	Merged-chr16-89973258-46
Merged-chr12-16170449-47	chr12	16170159	16170717	+	0.000	0.000	Merged-chr12-16170449-47
Merged-chr17-15742023-19	chr17	15741808	15742180	+	0.000	0.000	Merged-chr17-15742023-19
Merged-chr11-52273808-1	chr11	52273710	52273908	+	0.000	0.000	Merged-chr11-52273808-1
Merged-chr8-122273382-29	chr8	122273173	122273604	+	0.000	0.000	Merged-chr8-122273382-29
Merged-chr8-14994534-59	chr8	14993948	14994900	+	0.000	0.000	Merged-chr8-14994534-59
Merged-chr9-59291508-66	chr9	59291224	59291774	+	0.000	0.000	Merged-chr9-59291508-66
Merged-chr2-174602370-60	chr2	174602094	174602828	+	0.000	0.000	Merged-chr2-174602370-60
Merged-chr15-27923818-49	chr15	27923601	27924034	+	0.000	0.000	Merged-chr15-27923818-49
Merged-chr4-149282639-35	chr4	149282374	149282844	+	0.000	0.000	Merged-chr4-149282639-35
Merged-chr15-57600810-7	chr15	57600662	57600940	+	0.000	0.000	Merged-chr15-57600810-7
Merged-chr5-41844685-118	chr5	41844122	41844978	+	0.000	0.000	Merged-chr5-41844685-118
Merged-chr7-4658968-69	chr7	4658614	4659213	+	0.000	0.000	Merged-chr7-4658968-69
Merged-chr16-33726807-11	chr16	33726582	33727170	+	0.000	0.000	Merged-chr16-33726807-11
