#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1.dn.bed
Merged-chr10-60038472-15	chr10	60038275	60038653	+	0.000	0.000	Merged-chr10-60038472-15
Merged-chr12-73923880-28	chr12	73923690	73924076	+	0.000	0.000	Merged-chr12-73923880-28
Merged-chr11-109371349-1	chr11	109371251	109371449	+	0.000	0.000	Merged-chr11-109371349-1
Merged-chr11-3331619-2	chr11	3331521	3331719	+	0.000	0.000	Merged-chr11-3331619-2
Merged-chr5-100675060-26	chr5	100674874	100675288	+	0.000	0.000	Merged-chr5-100675060-26
Merged-chr14-118705752-1	chr14	118705654	118705852	+	0.000	0.000	Merged-chr14-118705752-1
Merged-chr10-82004955-25	chr10	82004712	82005208	+	0.000	0.000	Merged-chr10-82004955-25
Merged-chr4-32239199-133	chr4	32238811	32239429	+	0.000	0.000	Merged-chr4-32239199-133
Merged-chr5-148551508-2	chr5	148551331	148551687	+	0.000	0.000	Merged-chr5-148551508-2
Merged-chr8-14978690-4	chr8	14978502	14978951	+	0.000	0.000	Merged-chr8-14978690-4
Merged-chr19-55137510-21	chr19	55137196	55137879	+	0.000	0.000	Merged-chr19-55137510-21
Merged-chrX-75734287-49	chrX	75733804	75734533	+	0.000	0.000	Merged-chrX-75734287-49
Merged-chr3-94952944-28	chr3	94952359	94953193	+	0.000	0.000	Merged-chr3-94952944-28
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr14-62761015-141	chr14	62760567	62761571	+	0.000	0.000	Merged-chr14-62761015-141
Merged-chr8-124020004-4	chr8	124019861	124020139	+	0.000	0.000	Merged-chr8-124020004-4
Merged-chr2-68338493-1	chr2	68338395	68338593	+	0.000	0.000	Merged-chr2-68338493-1
Merged-chr8-128352989-24	chr8	128352771	128353184	+	0.000	0.000	Merged-chr8-128352989-24
Merged-chr9-7870801-10	chr9	7870572	7871086	+	0.000	0.000	Merged-chr9-7870801-10
Merged-chr19-41895161-4	chr19	41895018	41895305	+	0.000	0.000	Merged-chr19-41895161-4
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
