#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
Merged-chr7-49822338-8	chr7	49822164	49822503	+	0.000	0.000	Merged-chr7-49822338-8
Merged-chr11-69420254-1	chr11	69420156	69420354	+	0.000	0.000	Merged-chr11-69420254-1
Merged-chr11-115707585-1	chr11	115707487	115707685	+	0.000	0.000	Merged-chr11-115707585-1
Merged-chr16-11565406-13	chr16	11564942	11565636	+	0.000	0.000	Merged-chr16-11565406-13
Merged-chr4-95967301-62	chr4	95967114	95967597	+	0.000	0.000	Merged-chr4-95967301-62
Merged-chr7-138846228-109	chr7	138845862	138846519	+	0.000	0.000	Merged-chr7-138846228-109
Merged-chr10-13062544-9	chr10	13062403	13062684	+	0.000	0.000	Merged-chr10-13062544-9
Merged-chr10-21099717-30	chr10	21099391	21100011	+	0.000	0.000	Merged-chr10-21099717-30
Merged-chr5-73344482-20	chr5	73344267	73344673	+	0.000	0.000	Merged-chr5-73344482-20
Merged-chr5-137159720-6	chr5	137159586	137159902	+	0.000	0.000	Merged-chr5-137159720-6
Merged-chr12-117639216-79	chr12	117638625	117639742	+	0.000	0.000	Merged-chr12-117639216-79
Merged-chr1-180922382-17	chr1	180922175	180922690	+	0.000	0.000	Merged-chr1-180922382-17
Merged-chr12-54188383-1	chr12	54188285	54188483	+	0.000	0.000	Merged-chr12-54188383-1
Merged-chr18-79294963-22	chr18	79294705	79295269	+	0.000	0.000	Merged-chr18-79294963-22
Merged-chr7-24373607-36	chr7	24373355	24373859	+	0.000	0.000	Merged-chr7-24373607-36
Merged-chr5-97095556-15	chr5	97095299	97095811	+	0.000	0.000	Merged-chr5-97095556-15
Merged-chr19-32153668-1	chr19	32153570	32153768	+	0.000	0.000	Merged-chr19-32153668-1
Merged-chr6-134065266-5	chr6	134065096	134065437	+	0.000	0.000	Merged-chr6-134065266-5
Merged-chr15-27466741-82	chr15	27466401	27467104	+	0.000	0.000	Merged-chr15-27466741-82
Merged-chr7-141265860-151	chr7	141265565	141266462	+	0.000	0.000	Merged-chr7-141265860-151
Merged-chr11-109371349-1	chr11	109371251	109371449	+	0.000	0.000	Merged-chr11-109371349-1
Merged-chr1-39918723-4	chr1	39918586	39918871	+	0.000	0.000	Merged-chr1-39918723-4
Merged-chr5-54042573-12	chr5	54042374	54042735	+	0.000	0.000	Merged-chr5-54042573-12
Merged-chr19-46466303-17	chr19	46466096	46466556	+	0.000	0.000	Merged-chr19-46466303-17
Merged-chr8-79375141-3	chr8	79374988	79375283	+	0.000	0.000	Merged-chr8-79375141-3
Merged-chr4-140750542-28	chr4	140750295	140750757	+	0.000	0.000	Merged-chr4-140750542-28
Merged-chr12-80109164-14	chr12	80108998	80109361	+	0.000	0.000	Merged-chr12-80109164-14
Merged-chr14-61685114-25	chr14	61684938	61685279	+	0.000	0.000	Merged-chr14-61685114-25
Merged-chr6-116198415-22	chr6	116198217	116198586	+	0.000	0.000	Merged-chr6-116198415-22
Merged-chr13-55114934-9	chr13	55114730	55115180	+	0.000	0.000	Merged-chr13-55114934-9
Merged-chr5-146794783-76	chr5	146794504	146795097	+	0.000	0.000	Merged-chr5-146794783-76
Merged-chr13-99411191-61	chr13	99410777	99411598	+	0.000	0.000	Merged-chr13-99411191-61
Merged-chr3-137867826-61	chr3	137867256	137868076	+	0.000	0.000	Merged-chr3-137867826-61
Merged-chr5-134187547-1	chr5	134187449	134187647	+	0.000	0.000	Merged-chr5-134187547-1
Merged-chr10-118797511-13	chr10	118797353	118797685	+	0.000	0.000	Merged-chr10-118797511-13
Merged-chr10-128613030-64	chr10	128612827	128613306	+	0.000	0.000	Merged-chr10-128613030-64
Merged-chr18-54901247-4	chr18	54901022	54901541	+	0.000	0.000	Merged-chr18-54901247-4
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr6-134217908-11	chr6	134217769	134218087	+	0.000	0.000	Merged-chr6-134217908-11
Merged-chr2-136008735-1	chr2	136008637	136008835	+	0.000	0.000	Merged-chr2-136008735-1
Merged-chr4-144892002-3	chr4	144891904	144892102	+	0.000	0.000	Merged-chr4-144892002-3
Merged-chr4-137913590-20	chr4	137913287	137913838	+	0.000	0.000	Merged-chr4-137913590-20
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr2-174312342-26	chr2	174312067	174312529	+	0.000	0.000	Merged-chr2-174312342-26
Merged-chr10-96624524-1	chr10	96624426	96624624	+	0.000	0.000	Merged-chr10-96624524-1
Merged-chr16-57423352-49	chr16	57423181	57423571	+	0.000	0.000	Merged-chr16-57423352-49
Merged-chr18-35752199-61	chr18	35751931	35752452	+	0.000	0.000	Merged-chr18-35752199-61
Merged-chr1-21781098-42	chr1	21780617	21781599	+	0.000	0.000	Merged-chr1-21781098-42
Merged-chr7-78583930-15	chr7	78583773	78584115	+	0.000	0.000	Merged-chr7-78583930-15
Merged-chr16-24163558-22	chr16	24163058	24164102	+	0.000	0.000	Merged-chr16-24163558-22
Merged-chr11-3144953-42	chr11	3144240	3145479	+	0.000	0.000	Merged-chr11-3144953-42
Merged-chr14-14013648-4	chr14	14013489	14013785	+	0.000	0.000	Merged-chr14-14013648-4
Merged-chr1-155646076-1	chr1	155645978	155646176	+	0.000	0.000	Merged-chr1-155646076-1
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr4-149216177-1	chr4	149216079	149216277	+	0.000	0.000	Merged-chr4-149216177-1
Merged-chr12-15967723-42	chr12	15967474	15967919	+	0.000	0.000	Merged-chr12-15967723-42
Merged-chr12-75531793-15	chr12	75531517	75532054	+	0.000	0.000	Merged-chr12-75531793-15
Merged-chr9-14200294-59	chr9	14199941	14200852	+	0.000	0.000	Merged-chr9-14200294-59
Merged-chr4-102908208-33	chr4	102908017	102908506	+	0.000	0.000	Merged-chr4-102908208-33
Merged-chr7-67953943-1	chr7	67953845	67954043	+	0.000	0.000	Merged-chr7-67953943-1
Merged-chr17-3081586-1	chr17	3081488	3081686	+	0.000	0.000	Merged-chr17-3081586-1
Merged-chr4-102968093-31	chr4	102967895	102968306	+	0.000	0.000	Merged-chr4-102968093-31
Merged-chr18-9450048-96	chr18	9449849	9450447	+	0.000	0.000	Merged-chr18-9450048-96
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr2-174566072-46	chr2	174565900	174566250	+	0.000	0.000	Merged-chr2-174566072-46
Merged-chr7-132402823-64	chr7	132402535	132403061	+	0.000	0.000	Merged-chr7-132402823-64
Merged-chr4-63852768-8	chr4	63852615	63852979	+	0.000	0.000	Merged-chr4-63852768-8
Merged-chr15-57696203-3	chr15	57696079	57696332	+	0.000	0.000	Merged-chr15-57696203-3
Merged-chr2-75101693-20	chr2	75101437	75101970	+	0.000	0.000	Merged-chr2-75101693-20
Merged-chr11-32020422-50	chr11	32019990	32020648	+	0.000	0.000	Merged-chr11-32020422-50
Merged-chr7-49520386-1	chr7	49520288	49520486	+	0.000	0.000	Merged-chr7-49520386-1
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
