#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Th1.dn.bed
Merged-chr9-123818061-5	chr9	123817884	123818236	+	0.000	0.000	Merged-chr9-123818061-5
Merged-chr9-123872293-49	chr9	123872062	123872623	+	0.000	0.000	Merged-chr9-123872293-49
Merged-chr2-118658566-8	chr2	118658406	118658780	+	0.000	0.000	Merged-chr2-118658566-8
Merged-chr17-79348160-59	chr17	79347900	79348466	+	0.000	0.000	Merged-chr17-79348160-59
Merged-chr5-74195264-55	chr5	74195076	74195512	+	0.000	0.000	Merged-chr5-74195264-55
Merged-chr7-140265035-12	chr7	140264767	140265260	+	0.000	0.000	Merged-chr7-140265035-12
Merged-chr9-120080082-9	chr9	120079930	120080208	+	0.000	0.000	Merged-chr9-120080082-9
Merged-chr17-47564757-20	chr17	47564562	47564952	+	0.000	0.000	Merged-chr17-47564757-20
Merged-chr6-113675410-10	chr6	113675099	113675616	+	0.000	0.000	Merged-chr6-113675410-10
Merged-chr9-48793966-3	chr9	48793820	48794106	+	0.000	0.000	Merged-chr9-48793966-3
Merged-chr3-59219511-3	chr3	59219398	59219636	+	0.000	0.000	Merged-chr3-59219511-3
Merged-chr14-78631890-10	chr14	78631598	78632170	+	0.000	0.000	Merged-chr14-78631890-10
Merged-chr10-95395228-39	chr10	95394943	95395487	+	0.000	0.000	Merged-chr10-95395228-39
Merged-chr7-100121422-67	chr7	100121216	100121664	+	0.000	0.000	Merged-chr7-100121422-67
Merged-chr18-70598988-36	chr18	70598735	70599258	+	0.000	0.000	Merged-chr18-70598988-36
Merged-chr14-78686921-2	chr14	78686784	78687060	+	0.000	0.000	Merged-chr14-78686921-2
Merged-chr10-117981589-6	chr10	117981430	117981773	+	0.000	0.000	Merged-chr10-117981589-6
Merged-chr2-60810848-31	chr2	60810652	60811066	+	0.000	0.000	Merged-chr2-60810848-31
Merged-chr1-97622893-1	chr1	97622795	97622993	+	0.000	0.000	Merged-chr1-97622893-1
Merged-chr16-36682013-4	chr16	36681876	36682141	+	0.000	0.000	Merged-chr16-36682013-4
Merged-chr11-117782210-31	chr11	117781828	117782490	+	0.000	0.000	Merged-chr11-117782210-31
Merged-chr2-36198591-9	chr2	36198409	36198742	+	0.000	0.000	Merged-chr2-36198591-9
Merged-chr6-122756168-13	chr6	122755953	122756404	+	0.000	0.000	Merged-chr6-122756168-13
Merged-chr11-21219447-4	chr11	21219325	21219573	+	0.000	0.000	Merged-chr11-21219447-4
Merged-chr10-77626899-11	chr10	77626732	77627106	+	0.000	0.000	Merged-chr10-77626899-11
Merged-chr1-161745053-28	chr1	161744728	161745259	+	0.000	0.000	Merged-chr1-161745053-28
Merged-chr2-120153836-4	chr2	120153706	120153979	+	0.000	0.000	Merged-chr2-120153836-4
Merged-chr1-43496646-3	chr1	43496486	43496820	+	0.000	0.000	Merged-chr1-43496646-3
Merged-chr19-3669212-12	chr19	3668947	3669441	+	0.000	0.000	Merged-chr19-3669212-12
Merged-chr15-76037668-45	chr15	76037427	76037974	+	0.000	0.000	Merged-chr15-76037668-45
Merged-chr6-129680529-50	chr6	129680355	129680775	+	0.000	0.000	Merged-chr6-129680529-50
Merged-chr5-34637135-1	chr5	34637037	34637235	+	0.000	0.000	Merged-chr5-34637135-1
Merged-chr7-28693715-55	chr7	28693438	28694100	+	0.000	0.000	Merged-chr7-28693715-55
Merged-chr7-110204373-3	chr7	110204199	110204534	+	0.000	0.000	Merged-chr7-110204373-3
Merged-chr19-40708425-49	chr19	40708190	40708857	+	0.000	0.000	Merged-chr19-40708425-49
Merged-chr17-48426190-57	chr17	48425843	48426495	+	0.000	0.000	Merged-chr17-48426190-57
Merged-chr1-153061689-5	chr1	153061472	153061872	+	0.000	0.000	Merged-chr1-153061689-5
Merged-chr2-165655026-70	chr2	165654320	165655399	+	0.000	0.000	Merged-chr2-165655026-70
Merged-chr13-64153044-113	chr13	64152614	64153721	+	0.000	0.000	Merged-chr13-64153044-113
Merged-chr13-6081654-1	chr13	6081556	6081754	+	0.000	0.000	Merged-chr13-6081654-1
Merged-chr7-75794140-5	chr7	75793896	75794330	+	0.000	0.000	Merged-chr7-75794140-5
Merged-chr8-120832220-19	chr8	120831975	120832440	+	0.000	0.000	Merged-chr8-120832220-19
Merged-chr13-32833384-31	chr13	32833154	32833585	+	0.000	0.000	Merged-chr13-32833384-31
Merged-chr11-16952284-5	chr11	16952118	16952418	+	0.000	0.000	Merged-chr11-16952284-5
Merged-chr2-151581099-26	chr2	151580831	151581329	+	0.000	0.000	Merged-chr2-151581099-26
Merged-chr5-107698987-6	chr5	107698713	107699204	+	0.000	0.000	Merged-chr5-107698987-6
Merged-chr7-66247230-15	chr7	66246845	66247629	+	0.000	0.000	Merged-chr7-66247230-15
Merged-chr7-110203728-41	chr7	110203441	110204181	+	0.000	0.000	Merged-chr7-110203728-41
Merged-chr2-101762548-65	chr2	101762253	101762884	+	0.000	0.000	Merged-chr2-101762548-65
Merged-chr7-110223070-7	chr7	110222840	110223214	+	0.000	0.000	Merged-chr7-110223070-7
Merged-chr6-128836446-70	chr6	128836123	128836748	+	0.000	0.000	Merged-chr6-128836446-70
Merged-chr7-128105500-13	chr7	128105323	128105762	+	0.000	0.000	Merged-chr7-128105500-13
Merged-chr14-73105519-8	chr14	73105375	73105688	+	0.000	0.000	Merged-chr14-73105519-8
Merged-chr15-97822128-1	chr15	97822030	97822228	+	0.000	0.000	Merged-chr15-97822128-1
Merged-chr11-46458055-5	chr11	46457941	46458193	+	0.000	0.000	Merged-chr11-46458055-5
Merged-chr10-18845106-45	chr10	18844845	18845292	+	0.000	0.000	Merged-chr10-18845106-45
Merged-chr11-107407910-19	chr11	107407651	107408097	+	0.000	0.000	Merged-chr11-107407910-19
Merged-chr19-5273188-67	chr19	5272758	5273482	+	0.000	0.000	Merged-chr19-5273188-67
Merged-chr1-161801505-4	chr1	161801385	161801647	+	0.000	0.000	Merged-chr1-161801505-4
Merged-chrX-102157189-61	chrX	102156932	102157548	+	0.000	0.000	Merged-chrX-102157189-61
Merged-chr11-106961822-47	chr11	106961526	106962150	+	0.000	0.000	Merged-chr11-106961822-47
Merged-chr17-73970626-10	chr17	73970451	73970824	+	0.000	0.000	Merged-chr17-73970626-10
Merged-chr4-150808794-106	chr4	150808440	150809100	+	0.000	0.000	Merged-chr4-150808794-106
Merged-chr11-97946118-9	chr11	97945930	97946324	+	0.000	0.000	Merged-chr11-97946118-9
Merged-chr5-146860764-19	chr5	146860563	146861000	+	0.000	0.000	Merged-chr5-146860764-19
Merged-chr4-46601890-90	chr4	46601174	46602319	+	0.000	0.000	Merged-chr4-46601890-90
Merged-chr12-16584018-49	chr12	16583366	16584438	+	0.000	0.000	Merged-chr12-16584018-49
Merged-chr6-87672210-53	chr6	87671996	87672404	+	0.000	0.000	Merged-chr6-87672210-53
Merged-chr7-126285441-83	chr7	126285080	126285884	+	0.000	0.000	Merged-chr7-126285441-83
Merged-chr7-90353995-46	chr7	90353761	90354202	+	0.000	0.000	Merged-chr7-90353995-46
Merged-chr13-113090850-10	chr13	113090688	113091159	+	0.000	0.000	Merged-chr13-113090850-10
Merged-chr10-117918701-83	chr10	117918378	117919246	+	0.000	0.000	Merged-chr10-117918701-83
Merged-chr13-108337522-5	chr13	108337348	108337677	+	0.000	0.000	Merged-chr13-108337522-5
Merged-chr9-123807942-4	chr9	123807759	123808153	+	0.000	0.000	Merged-chr9-123807942-4
Merged-chr11-55072689-24	chr11	55072482	55072894	+	0.000	0.000	Merged-chr11-55072689-24
Merged-chr10-89463808-10	chr10	89463628	89464065	+	0.000	0.000	Merged-chr10-89463808-10
Merged-chr11-46467033-45	chr11	46466826	46467266	+	0.000	0.000	Merged-chr11-46467033-45
Merged-chr1-153321591-2	chr1	153321476	153321708	+	0.000	0.000	Merged-chr1-153321591-2
Merged-chr5-112239781-12	chr5	112239663	112239907	+	0.000	0.000	Merged-chr5-112239781-12
Merged-chr9-119067852-20	chr9	119067616	119068111	+	0.000	0.000	Merged-chr9-119067852-20
Merged-chr2-132843527-2	chr2	132843423	132843633	+	0.000	0.000	Merged-chr2-132843527-2
Merged-chr9-124103386-22	chr9	124103123	124103577	+	0.000	0.000	Merged-chr9-124103386-22
Merged-chr5-9015309-72	chr5	9014878	9015739	+	0.000	0.000	Merged-chr5-9015309-72
Merged-chr2-154569753-87	chr2	154569524	154569949	+	0.000	0.000	Merged-chr2-154569753-87
Merged-chr7-112210103-38	chr7	112209700	112210389	+	0.000	0.000	Merged-chr7-112210103-38
Merged-chr11-98942713-4	chr11	98942608	98942816	+	0.000	0.000	Merged-chr11-98942713-4
Merged-chr1-60920511-54	chr1	60920166	60920817	+	0.000	0.000	Merged-chr1-60920511-54
Merged-chr8-33663493-16	chr8	33663265	33663751	+	0.000	0.000	Merged-chr8-33663493-16
Merged-chr1-40516465-22	chr1	40516261	40516674	+	0.000	0.000	Merged-chr1-40516465-22
Merged-chr4-107094759-30	chr4	107094451	107095025	+	0.000	0.000	Merged-chr4-107094759-30
Merged-chr10-118448163-4	chr10	118447913	118448398	+	0.000	0.000	Merged-chr10-118448163-4
Merged-chr7-67444614-20	chr7	67444418	67444828	+	0.000	0.000	Merged-chr7-67444614-20
Merged-chr16-46027426-16	chr16	46027214	46027628	+	0.000	0.000	Merged-chr16-46027426-16
Merged-chr8-120889347-18	chr8	120889053	120889494	+	0.000	0.000	Merged-chr8-120889347-18
Merged-chr15-89354915-1	chr15	89354817	89355015	+	0.000	0.000	Merged-chr15-89354915-1
Merged-chr6-42343728-43	chr6	42343441	42344074	+	0.000	0.000	Merged-chr6-42343728-43
Merged-chr2-112239905-127	chr2	112239507	112240143	+	0.000	0.000	Merged-chr2-112239905-127
Merged-chr4-150799595-6	chr4	150799439	150799735	+	0.000	0.000	Merged-chr4-150799595-6
Merged-chr9-114781972-2	chr9	114781874	114782072	+	0.000	0.000	Merged-chr9-114781972-2
Merged-chr13-41487140-66	chr13	41486849	41487410	+	0.000	0.000	Merged-chr13-41487140-66
Merged-chr17-8389397-65	chr17	8389072	8389850	+	0.000	0.000	Merged-chr17-8389397-65
Merged-chr7-126287696-12	chr7	126287555	126287822	+	0.000	0.000	Merged-chr7-126287696-12
Merged-chr13-5861346-118	chr13	5860983	5861929	+	0.000	0.000	Merged-chr13-5861346-118
Merged-chr17-47768917-25	chr17	47768622	47769300	+	0.000	0.000	Merged-chr17-47768917-25
Merged-chr6-97321339-36	chr6	97321165	97321547	+	0.000	0.000	Merged-chr6-97321339-36
Merged-chrX-164027993-42	chrX	164027618	164028237	+	0.000	0.000	Merged-chrX-164027993-42
Merged-chr13-107903395-95	chr13	107903088	107903702	+	0.000	0.000	Merged-chr13-107903395-95
Merged-chr3-104714697-56	chr3	104714095	104715317	+	0.000	0.000	Merged-chr3-104714697-56
Merged-chrX-167206151-49	chrX	167205867	167206493	+	0.000	0.000	Merged-chrX-167206151-49
