#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Tfh.up.bed
Merged-chr7-30665007-40	chr7	30664807	30665269	+	0.000	0.000	Merged-chr7-30665007-40
Merged-chr17-47533990-17	chr17	47533678	47534302	+	0.000	0.000	Merged-chr17-47533990-17
Merged-chr7-101321217-65	chr7	101320753	101321688	+	0.000	0.000	Merged-chr7-101321217-65
Merged-chr1-60904643-1	chr1	60904545	60904743	+	0.000	0.000	Merged-chr1-60904643-1
Merged-chr11-75195247-19	chr11	75194894	75195504	+	0.000	0.000	Merged-chr11-75195247-19
Merged-chr16-75863644-1	chr16	75863546	75863744	+	0.000	0.000	Merged-chr16-75863644-1
Merged-chr17-47564757-20	chr17	47564562	47564952	+	0.000	0.000	Merged-chr17-47564757-20
Merged-chr17-35737972-6	chr17	35737836	35738163	+	0.000	0.000	Merged-chr17-35737972-6
Merged-chr1-60909940-1	chr1	60909842	60910040	+	0.000	0.000	Merged-chr1-60909940-1
Merged-chr10-117981589-6	chr10	117981430	117981773	+	0.000	0.000	Merged-chr10-117981589-6
Merged-chr18-70579133-5	chr18	70578985	70579371	+	0.000	0.000	Merged-chr18-70579133-5
Merged-chr2-60810848-31	chr2	60810652	60811066	+	0.000	0.000	Merged-chr2-60810848-31
Merged-chr16-36682013-4	chr16	36681876	36682141	+	0.000	0.000	Merged-chr16-36682013-4
Merged-chr2-144331122-48	chr2	144330616	144331604	+	0.000	0.000	Merged-chr2-144331122-48
Merged-chr11-117782210-31	chr11	117781828	117782490	+	0.000	0.000	Merged-chr11-117782210-31
Merged-chr5-140210596-1	chr5	140210498	140210696	+	0.000	0.000	Merged-chr5-140210596-1
Merged-chr11-107452175-23	chr11	107451872	107452443	+	0.000	0.000	Merged-chr11-107452175-23
Merged-chr1-161748373-32	chr1	161748179	161748645	+	0.000	0.000	Merged-chr1-161748373-32
Merged-chr13-113635077-5	chr13	113634960	113635206	+	0.000	0.000	Merged-chr13-113635077-5
Merged-chr10-18923473-26	chr10	18923257	18923726	+	0.000	0.000	Merged-chr10-18923473-26
Merged-chr11-21219447-4	chr11	21219325	21219573	+	0.000	0.000	Merged-chr11-21219447-4
Merged-chr10-80577794-170	chr10	80577083	80578303	+	0.000	0.000	Merged-chr10-80577794-170
Merged-chr1-161745053-28	chr1	161744728	161745259	+	0.000	0.000	Merged-chr1-161745053-28
Merged-chr2-120153836-4	chr2	120153706	120153979	+	0.000	0.000	Merged-chr2-120153836-4
Merged-chr19-3669212-12	chr19	3668947	3669441	+	0.000	0.000	Merged-chr19-3669212-12
Merged-chr3-107061699-25	chr3	107061522	107061901	+	0.000	0.000	Merged-chr3-107061699-25
Merged-chr15-76037668-45	chr15	76037427	76037974	+	0.000	0.000	Merged-chr15-76037668-45
Merged-chr4-9641752-1	chr4	9641654	9641852	+	0.000	0.000	Merged-chr4-9641752-1
Merged-chr8-33641932-61	chr8	33641712	33642149	+	0.000	0.000	Merged-chr8-33641932-61
Merged-chr1-161767386-1	chr1	161767288	161767486	+	0.000	0.000	Merged-chr1-161767386-1
Merged-chr13-53009922-14	chr13	53009665	53010104	+	0.000	0.000	Merged-chr13-53009922-14
Merged-chr13-6081654-1	chr13	6081556	6081754	+	0.000	0.000	Merged-chr13-6081654-1
Merged-chr7-75794140-5	chr7	75793896	75794330	+	0.000	0.000	Merged-chr7-75794140-5
Merged-chr6-54155596-1	chr6	54155498	54155696	+	0.000	0.000	Merged-chr6-54155596-1
Merged-chr2-125724208-99	chr2	125723415	125724945	+	0.000	0.000	Merged-chr2-125724208-99
Merged-chr8-120832220-19	chr8	120831975	120832440	+	0.000	0.000	Merged-chr8-120832220-19
Merged-chr13-41357354-17	chr13	41357087	41357653	+	0.000	0.000	Merged-chr13-41357354-17
Merged-chr4-59190847-19	chr4	59190596	59191099	+	0.000	0.000	Merged-chr4-59190847-19
Merged-chr13-32833384-31	chr13	32833154	32833585	+	0.000	0.000	Merged-chr13-32833384-31
Merged-chr5-124022476-27	chr5	124022253	124022756	+	0.000	0.000	Merged-chr5-124022476-27
Merged-chr2-60880763-2	chr2	60880665	60880863	+	0.000	0.000	Merged-chr2-60880763-2
Merged-chr7-66247230-15	chr7	66246845	66247629	+	0.000	0.000	Merged-chr7-66247230-15
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr7-110223070-7	chr7	110222840	110223214	+	0.000	0.000	Merged-chr7-110223070-7
Merged-chr14-73105519-8	chr14	73105375	73105688	+	0.000	0.000	Merged-chr14-73105519-8
Merged-chr15-97822128-1	chr15	97822030	97822228	+	0.000	0.000	Merged-chr15-97822128-1
Merged-chr3-109026815-7	chr3	109026619	109026996	+	0.000	0.000	Merged-chr3-109026815-7
Merged-chr7-80401118-1	chr7	80401020	80401218	+	0.000	0.000	Merged-chr7-80401118-1
Merged-chr11-107407910-19	chr11	107407651	107408097	+	0.000	0.000	Merged-chr11-107407910-19
Merged-chr5-137655034-3	chr5	137654870	137655171	+	0.000	0.000	Merged-chr5-137655034-3
Merged-chr19-5273188-67	chr19	5272758	5273482	+	0.000	0.000	Merged-chr19-5273188-67
Merged-chr1-161801505-4	chr1	161801385	161801647	+	0.000	0.000	Merged-chr1-161801505-4
Merged-chr19-10881047-16	chr19	10880769	10881184	+	0.000	0.000	Merged-chr19-10881047-16
Merged-chr13-5862430-12	chr13	5862151	5862750	+	0.000	0.000	Merged-chr13-5862430-12
Merged-chr10-117839249-9	chr10	117838972	117839463	+	0.000	0.000	Merged-chr10-117839249-9
Merged-chr5-149525797-5	chr5	149525699	149525897	+	0.000	0.000	Merged-chr5-149525797-5
Merged-chr18-70578146-23	chr18	70577988	70578312	+	0.000	0.000	Merged-chr18-70578146-23
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr11-102456095-36	chr11	102455813	102456399	+	0.000	0.000	Merged-chr11-102456095-36
Merged-chr17-73970626-10	chr17	73970451	73970824	+	0.000	0.000	Merged-chr17-73970626-10
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr15-75117668-42	chr15	75117424	75117997	+	0.000	0.000	Merged-chr15-75117668-42
Merged-chr11-97946118-9	chr11	97945930	97946324	+	0.000	0.000	Merged-chr11-97946118-9
Merged-chr6-51593053-1	chr6	51592955	51593153	+	0.000	0.000	Merged-chr6-51593053-1
