#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_WT_Th1.dn.bed
Merged-chr11-115707585-1	chr11	115707487	115707685	+	0.000	0.000	Merged-chr11-115707585-1
Merged-chr2-17672509-1	chr2	17672411	17672609	+	0.000	0.000	Merged-chr2-17672509-1
Merged-chr12-117639216-79	chr12	117638625	117639742	+	0.000	0.000	Merged-chr12-117639216-79
Merged-chr6-134065266-5	chr6	134065096	134065437	+	0.000	0.000	Merged-chr6-134065266-5
Merged-chr1-39918723-4	chr1	39918586	39918871	+	0.000	0.000	Merged-chr1-39918723-4
Merged-chr11-3331619-2	chr11	3331521	3331719	+	0.000	0.000	Merged-chr11-3331619-2
Merged-chr19-7057059-1	chr19	7056961	7057159	+	0.000	0.000	Merged-chr19-7057059-1
Merged-chr5-100675060-26	chr5	100674874	100675288	+	0.000	0.000	Merged-chr5-100675060-26
Merged-chr14-118705752-1	chr14	118705654	118705852	+	0.000	0.000	Merged-chr14-118705752-1
Merged-chr10-82004955-25	chr10	82004712	82005208	+	0.000	0.000	Merged-chr10-82004955-25
Merged-chr10-111369263-16	chr10	111369033	111369504	+	0.000	0.000	Merged-chr10-111369263-16
Merged-chr11-3328528-3	chr11	3328422	3328633	+	0.000	0.000	Merged-chr11-3328528-3
Merged-chr15-59524338-1	chr15	59524240	59524438	+	0.000	0.000	Merged-chr15-59524338-1
Merged-chr3-94952944-28	chr3	94952359	94953193	+	0.000	0.000	Merged-chr3-94952944-28
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr12-81971712-84	chr12	81971382	81971984	+	0.000	0.000	Merged-chr12-81971712-84
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr14-62761015-141	chr14	62760567	62761571	+	0.000	0.000	Merged-chr14-62761015-141
Merged-chr11-69633408-1	chr11	69633310	69633508	+	0.000	0.000	Merged-chr11-69633408-1
Merged-chr10-19122454-26	chr10	19122224	19122660	+	0.000	0.000	Merged-chr10-19122454-26
Merged-chr8-124020004-4	chr8	124019861	124020139	+	0.000	0.000	Merged-chr8-124020004-4
Merged-chr8-128352989-24	chr8	128352771	128353184	+	0.000	0.000	Merged-chr8-128352989-24
Merged-chr7-73542202-1	chr7	73542104	73542302	+	0.000	0.000	Merged-chr7-73542202-1
Merged-chr9-7870801-10	chr9	7870572	7871086	+	0.000	0.000	Merged-chr9-7870801-10
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
Merged-chr15-100041039-1	chr15	100040941	100041139	+	0.000	0.000	Merged-chr15-100041039-1
Merged-chr7-24884343-81	chr7	24884071	24884562	+	0.000	0.000	Merged-chr7-24884343-81
Merged-chr12-112959295-1	chr12	112959197	112959395	+	0.000	0.000	Merged-chr12-112959295-1
Merged-chr7-125575832-4	chr7	125575630	125576009	+	0.000	0.000	Merged-chr7-125575832-4
Merged-chr9-94698356-7	chr9	94698121	94698633	+	0.000	0.000	Merged-chr9-94698356-7
Merged-chr16-16912027-29	chr16	16911822	16912205	+	0.000	0.000	Merged-chr16-16912027-29
Merged-chr16-20097863-112	chr16	20097627	20098107	+	0.000	0.000	Merged-chr16-20097863-112
Merged-chr15-5116701-74	chr15	5116300	5116991	+	0.000	0.000	Merged-chr15-5116701-74
Merged-chr5-75649003-1	chr5	75648905	75649103	+	0.000	0.000	Merged-chr5-75649003-1
Merged-chr7-4655608-1	chr7	4655510	4655708	+	0.000	0.000	Merged-chr7-4655608-1
Merged-chrX-7867527-15	chrX	7867226	7867757	+	0.000	0.000	Merged-chrX-7867527-15
Merged-chr17-15704757-20	chr17	15704540	15705055	+	0.000	0.000	Merged-chr17-15704757-20
Merged-chr4-3835460-93	chr4	3834929	3835840	+	0.000	0.000	Merged-chr4-3835460-93
Merged-chr19-46309133-9	chr19	46308944	46309284	+	0.000	0.000	Merged-chr19-46309133-9
Merged-chr4-32166349-13	chr4	32166141	32166495	+	0.000	0.000	Merged-chr4-32166349-13
Merged-chr10-42958255-21	chr10	42958054	42958513	+	0.000	0.000	Merged-chr10-42958255-21
Merged-chr10-19094450-40	chr10	19094210	19094668	+	0.000	0.000	Merged-chr10-19094450-40
Merged-chr4-152325932-66	chr4	152325683	152326147	+	0.000	0.000	Merged-chr4-152325932-66
Merged-chr10-130371145-16	chr10	130370890	130371431	+	0.000	0.000	Merged-chr10-130371145-16
Merged-chr6-121247947-4	chr6	121247743	121248212	+	0.000	0.000	Merged-chr6-121247947-4
Merged-chr7-73546834-52	chr7	73546629	73547090	+	0.000	0.000	Merged-chr7-73546834-52
Merged-chr13-58206802-1	chr13	58206704	58206902	+	0.000	0.000	Merged-chr13-58206802-1
Merged-chr12-52524948-24	chr12	52524665	52525171	+	0.000	0.000	Merged-chr12-52524948-24
Merged-chr13-73604203-68	chr13	73603740	73604526	+	0.000	0.000	Merged-chr13-73604203-68
Merged-chr11-48869091-1	chr11	48868993	48869191	+	0.000	0.000	Merged-chr11-48869091-1
Merged-chr17-35200638-36	chr17	35200391	35200802	+	0.000	0.000	Merged-chr17-35200638-36
Merged-chr6-134070171-6	chr6	134069960	134070425	+	0.000	0.000	Merged-chr6-134070171-6
Merged-chr15-31453482-63	chr15	31453181	31453833	+	0.000	0.000	Merged-chr15-31453482-63
Merged-chr5-100664078-31	chr5	100663857	100664349	+	0.000	0.000	Merged-chr5-100664078-31
Merged-chr10-80152261-5	chr10	80152121	80152443	+	0.000	0.000	Merged-chr10-80152261-5
Merged-chr10-19104955-55	chr10	19104766	19105141	+	0.000	0.000	Merged-chr10-19104955-55
Merged-chr17-15742023-19	chr17	15741808	15742180	+	0.000	0.000	Merged-chr17-15742023-19
Merged-chr8-14994534-59	chr8	14993948	14994900	+	0.000	0.000	Merged-chr8-14994534-59
Merged-chr9-59291508-66	chr9	59291224	59291774	+	0.000	0.000	Merged-chr9-59291508-66
Merged-chr7-4658968-69	chr7	4658614	4659213	+	0.000	0.000	Merged-chr7-4658968-69
Merged-chr15-12268204-21	chr15	12267923	12268474	+	0.000	0.000	Merged-chr15-12268204-21
Merged-chr10-82053844-6	chr10	82053705	82053971	+	0.000	0.000	Merged-chr10-82053844-6
Merged-chr13-12412239-11	chr13	12412085	12412408	+	0.000	0.000	Merged-chr13-12412239-11
Merged-chr16-36071679-92	chr16	36071371	36071899	+	0.000	0.000	Merged-chr16-36071679-92
Merged-chr13-42101708-35	chr13	42101503	42101886	+	0.000	0.000	Merged-chr13-42101708-35
Merged-chr5-135394390-57	chr5	135393956	135394753	+	0.000	0.000	Merged-chr5-135394390-57
Merged-chr16-94290109-67	chr16	94289564	94290541	+	0.000	0.000	Merged-chr16-94290109-67
Merged-chr12-117480283-1	chr12	117480185	117480383	+	0.000	0.000	Merged-chr12-117480283-1
Merged-chr15-59019141-20	chr15	59018813	59019380	+	0.000	0.000	Merged-chr15-59019141-20
Merged-chr7-35774249-18	chr7	35773880	35774547	+	0.000	0.000	Merged-chr7-35774249-18
Merged-chr15-59648235-82	chr15	59648007	59648526	+	0.000	0.000	Merged-chr15-59648235-82
Merged-chr6-121245278-1	chr6	121245180	121245378	+	0.000	0.000	Merged-chr6-121245278-1
Merged-chr3-126693084-1	chr3	126692986	126693184	+	0.000	0.000	Merged-chr3-126693084-1
Merged-chr14-121914815-1	chr14	121914717	121914915	+	0.000	0.000	Merged-chr14-121914815-1
