#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_Naive.dn.bed
Merged-chr7-30665007-40	chr7	30664807	30665269	+	0.000	0.000	Merged-chr7-30665007-40
Merged-chr15-66883922-10	chr15	66883727	66884094	+	0.000	0.000	Merged-chr15-66883922-10
Merged-chr1-40542966-13	chr1	40542744	40543156	+	0.000	0.000	Merged-chr1-40542966-13
Merged-chr10-95699162-15	chr10	95698886	95699424	+	0.000	0.000	Merged-chr10-95699162-15
Merged-chr17-47533990-17	chr17	47533678	47534302	+	0.000	0.000	Merged-chr17-47533990-17
Merged-chr17-31855032-7	chr17	31854895	31855206	+	0.000	0.000	Merged-chr17-31855032-7
Merged-chr8-78509175-167	chr8	78508828	78509532	+	0.000	0.000	Merged-chr8-78509175-167
Merged-chr14-99943406-23	chr14	99943148	99943873	+	0.000	0.000	Merged-chr14-99943406-23
Merged-chr1-189602384-14	chr1	189602145	189602534	+	0.000	0.000	Merged-chr1-189602384-14
Merged-chr10-84014974-1	chr10	84014876	84015074	+	0.000	0.000	Merged-chr10-84014974-1
Merged-chr15-36786726-22	chr15	36786434	36786963	+	0.000	0.000	Merged-chr15-36786726-22
Merged-chr11-75195247-19	chr11	75194894	75195504	+	0.000	0.000	Merged-chr11-75195247-19
Merged-chr17-79348160-59	chr17	79347900	79348466	+	0.000	0.000	Merged-chr17-79348160-59
Merged-chr5-74195264-55	chr5	74195076	74195512	+	0.000	0.000	Merged-chr5-74195264-55
Merged-chr7-140265035-12	chr7	140264767	140265260	+	0.000	0.000	Merged-chr7-140265035-12
Merged-chr9-120080082-9	chr9	120079930	120080208	+	0.000	0.000	Merged-chr9-120080082-9
Merged-chr5-24841320-1	chr5	24841222	24841420	+	0.000	0.000	Merged-chr5-24841320-1
Merged-chr1-180335448-3	chr1	180335296	180335658	+	0.000	0.000	Merged-chr1-180335448-3
Merged-chr19-6980205-101	chr19	6979934	6980450	+	0.000	0.000	Merged-chr19-6980205-101
Merged-chr14-78686921-2	chr14	78686784	78687060	+	0.000	0.000	Merged-chr14-78686921-2
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr12-100544078-1	chr12	100543980	100544178	+	0.000	0.000	Merged-chr12-100544078-1
Merged-chr12-54985589-169	chr12	54984857	54985877	+	0.000	0.000	Merged-chr12-54985589-169
Merged-chrX-71378738-26	chrX	71378502	71378987	+	0.000	0.000	Merged-chrX-71378738-26
Merged-chr7-16373867-24	chr7	16373655	16374113	+	0.000	0.000	Merged-chr7-16373867-24
Merged-chr3-9974623-36	chr3	9974374	9974824	+	0.000	0.000	Merged-chr3-9974623-36
Merged-chr5-140210596-1	chr5	140210498	140210696	+	0.000	0.000	Merged-chr5-140210596-1
Merged-chr13-56197713-35	chr13	56197505	56197943	+	0.000	0.000	Merged-chr13-56197713-35
Merged-chr11-107452175-23	chr11	107451872	107452443	+	0.000	0.000	Merged-chr11-107452175-23
Merged-chr2-129198055-2	chr2	129197878	129198235	+	0.000	0.000	Merged-chr2-129198055-2
Merged-chr13-81657975-90	chr13	81657492	81658304	+	0.000	0.000	Merged-chr13-81657975-90
Merged-chr6-86806631-9	chr6	86806411	86806856	+	0.000	0.000	Merged-chr6-86806631-9
Merged-chr18-57362721-19	chr18	57362358	57363059	+	0.000	0.000	Merged-chr18-57362721-19
Merged-chr15-84654435-24	chr15	84654257	84654639	+	0.000	0.000	Merged-chr15-84654435-24
Merged-chrX-85918591-4	chrX	85918438	85918773	+	0.000	0.000	Merged-chrX-85918591-4
Merged-chr4-8854131-25	chr4	8853958	8854344	+	0.000	0.000	Merged-chr4-8854131-25
Merged-chr16-46103340-16	chr16	46103135	46103553	+	0.000	0.000	Merged-chr16-46103340-16
Merged-chr2-120153836-4	chr2	120153706	120153979	+	0.000	0.000	Merged-chr2-120153836-4
Merged-chr10-44429016-1	chr10	44428918	44429116	+	0.000	0.000	Merged-chr10-44429016-1
Merged-chr1-43496646-3	chr1	43496486	43496820	+	0.000	0.000	Merged-chr1-43496646-3
Merged-chr3-59258266-13	chr3	59258033	59258443	+	0.000	0.000	Merged-chr3-59258266-13
Merged-chr4-9641752-1	chr4	9641654	9641852	+	0.000	0.000	Merged-chr4-9641752-1
Merged-chr2-126500731-7	chr2	126500548	126500907	+	0.000	0.000	Merged-chr2-126500731-7
Merged-chr15-52750105-14	chr15	52749922	52750282	+	0.000	0.000	Merged-chr15-52750105-14
Merged-chr8-33641932-61	chr8	33641712	33642149	+	0.000	0.000	Merged-chr8-33641932-61
Merged-chr1-161767386-1	chr1	161767288	161767486	+	0.000	0.000	Merged-chr1-161767386-1
Merged-chr8-34108229-124	chr8	34107823	34108541	+	0.000	0.000	Merged-chr8-34108229-124
Merged-chr3-144023376-1	chr3	144023278	144023476	+	0.000	0.000	Merged-chr3-144023376-1
Merged-chr6-129746313-15	chr6	129745955	129746659	+	0.000	0.000	Merged-chr6-129746313-15
Merged-chr13-23551555-61	chr13	23551319	23551775	+	0.000	0.000	Merged-chr13-23551555-61
Merged-chr7-106526868-10	chr7	106526721	106527028	+	0.000	0.000	Merged-chr7-106526868-10
Merged-chr19-40708425-49	chr19	40708190	40708857	+	0.000	0.000	Merged-chr19-40708425-49
Merged-chr16-38476690-56	chr16	38476352	38477118	+	0.000	0.000	Merged-chr16-38476690-56
Merged-chr3-86845286-5	chr3	86845176	86845396	+	0.000	0.000	Merged-chr3-86845286-5
Merged-chr13-101589097-28	chr13	101588842	101589305	+	0.000	0.000	Merged-chr13-101589097-28
Merged-chr18-84079336-1	chr18	84079238	84079436	+	0.000	0.000	Merged-chr18-84079336-1
Merged-chr2-11339259-65	chr2	11339006	11339478	+	0.000	0.000	Merged-chr2-11339259-65
Merged-chr14-99865135-2	chr14	99865028	99865244	+	0.000	0.000	Merged-chr14-99865135-2
Merged-chr1-138964274-4	chr1	138964155	138964387	+	0.000	0.000	Merged-chr1-138964274-4
Merged-chr13-64153044-113	chr13	64152614	64153721	+	0.000	0.000	Merged-chr13-64153044-113
Merged-chr13-6081654-1	chr13	6081556	6081754	+	0.000	0.000	Merged-chr13-6081654-1
Merged-chr19-8723231-56	chr19	8722978	8723557	+	0.000	0.000	Merged-chr19-8723231-56
Merged-chr1-16105621-1	chr1	16105523	16105721	+	0.000	0.000	Merged-chr1-16105621-1
Merged-chr16-17131609-8	chr16	17131392	17131756	+	0.000	0.000	Merged-chr16-17131609-8
Merged-chr3-144013885-1	chr3	144013787	144013985	+	0.000	0.000	Merged-chr3-144013885-1
Merged-chr10-8177786-7	chr10	8177614	8177927	+	0.000	0.000	Merged-chr10-8177786-7
Merged-chr17-79020168-2	chr17	79020070	79020268	+	0.000	0.000	Merged-chr17-79020168-2
Merged-chr19-8838158-1	chr19	8838060	8838258	+	0.000	0.000	Merged-chr19-8838158-1
Merged-chr1-172502591-1	chr1	172502493	172502691	+	0.000	0.000	Merged-chr1-172502591-1
Merged-chr4-135312758-1	chr4	135312660	135312858	+	0.000	0.000	Merged-chr4-135312758-1
Merged-chr5-124022476-27	chr5	124022253	124022756	+	0.000	0.000	Merged-chr5-124022476-27
Merged-chr13-23521936-3	chr13	23521835	23522038	+	0.000	0.000	Merged-chr13-23521936-3
Merged-chr1-43299668-27	chr1	43299399	43299889	+	0.000	0.000	Merged-chr1-43299668-27
Merged-chr9-44041219-29	chr9	44040860	44041390	+	0.000	0.000	Merged-chr9-44041219-29
Merged-chr8-13686705-81	chr8	13686250	13686952	+	0.000	0.000	Merged-chr8-13686705-81
Merged-chr11-46458055-5	chr11	46457941	46458193	+	0.000	0.000	Merged-chr11-46458055-5
Merged-chr1-14560703-1	chr1	14560605	14560803	+	0.000	0.000	Merged-chr1-14560703-1
Merged-chr2-101288419-1	chr2	101288321	101288519	+	0.000	0.000	Merged-chr2-101288419-1
Merged-chr2-163745502-6	chr2	163745201	163745694	+	0.000	0.000	Merged-chr2-163745502-6
Merged-chr2-90579647-1	chr2	90579549	90579747	+	0.000	0.000	Merged-chr2-90579647-1
Merged-chr1-161801505-4	chr1	161801385	161801647	+	0.000	0.000	Merged-chr1-161801505-4
Merged-chr13-5862430-12	chr13	5862151	5862750	+	0.000	0.000	Merged-chr13-5862430-12
Merged-chr10-19598256-42	chr10	19598065	19598531	+	0.000	0.000	Merged-chr10-19598256-42
Merged-chrX-102157189-61	chrX	102156932	102157548	+	0.000	0.000	Merged-chrX-102157189-61
Merged-chr13-21721967-70	chr13	21721763	21722145	+	0.000	0.000	Merged-chr13-21721967-70
Merged-chr9-21265250-55	chr9	21265037	21265465	+	0.000	0.000	Merged-chr9-21265250-55
Merged-chr10-117839249-9	chr10	117838972	117839463	+	0.000	0.000	Merged-chr10-117839249-9
Merged-chr5-149525797-5	chr5	149525699	149525897	+	0.000	0.000	Merged-chr5-149525797-5
Merged-chr2-128159167-18	chr2	128158986	128159397	+	0.000	0.000	Merged-chr2-128159167-18
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr11-6444447-69	chr11	6444227	6444773	+	0.000	0.000	Merged-chr11-6444447-69
Merged-chr7-90341759-29	chr7	90341544	90342019	+	0.000	0.000	Merged-chr7-90341759-29
Merged-chr2-180741561-6	chr2	180741432	180741711	+	0.000	0.000	Merged-chr2-180741561-6
Merged-chr9-61925004-1	chr9	61924906	61925104	+	0.000	0.000	Merged-chr9-61925004-1
Merged-chr17-73970626-10	chr17	73970451	73970824	+	0.000	0.000	Merged-chr17-73970626-10
Merged-chr2-9876651-15	chr2	9876261	9877150	+	0.000	0.000	Merged-chr2-9876651-15
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr17-83862747-3	chr17	83862525	83862916	+	0.000	0.000	Merged-chr17-83862747-3
Merged-chr1-80181298-9	chr1	80181148	80181431	+	0.000	0.000	Merged-chr1-80181298-9
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr12-70219283-39	chr12	70219103	70219563	+	0.000	0.000	Merged-chr12-70219283-39
Merged-chrX-106013363-5	chrX	106013154	106013545	+	0.000	0.000	Merged-chrX-106013363-5
Merged-chr2-148594843-2	chr2	148594730	148594959	+	0.000	0.000	Merged-chr2-148594843-2
Merged-chr18-65800547-87	chr18	65800259	65800878	+	0.000	0.000	Merged-chr18-65800547-87
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chr1-171699154-28	chr1	171698863	171699467	+	0.000	0.000	Merged-chr1-171699154-28
Merged-chr18-84073759-5	chr18	84073578	84073956	+	0.000	0.000	Merged-chr18-84073759-5
Merged-chr4-46601890-90	chr4	46601174	46602319	+	0.000	0.000	Merged-chr4-46601890-90
Merged-chr12-16584018-49	chr12	16583366	16584438	+	0.000	0.000	Merged-chr12-16584018-49
Merged-chr15-78898744-12	chr15	78898596	78898915	+	0.000	0.000	Merged-chr15-78898744-12
Merged-chr6-87672210-53	chr6	87671996	87672404	+	0.000	0.000	Merged-chr6-87672210-53
Merged-chr7-90353995-46	chr7	90353761	90354202	+	0.000	0.000	Merged-chr7-90353995-46
Merged-chr3-9865758-64	chr3	9865430	9866037	+	0.000	0.000	Merged-chr3-9865758-64
Merged-chr19-9938358-1	chr19	9938260	9938458	+	0.000	0.000	Merged-chr19-9938358-1
Merged-chr18-73792678-3	chr18	73792554	73792792	+	0.000	0.000	Merged-chr18-73792678-3
Merged-chrX-8252507-67	chrX	8252197	8252775	+	0.000	0.000	Merged-chrX-8252507-67
Merged-chr11-55072689-24	chr11	55072482	55072894	+	0.000	0.000	Merged-chr11-55072689-24
Merged-chr13-119706684-31	chr13	119706375	119706974	+	0.000	0.000	Merged-chr13-119706684-31
Merged-chr7-80534916-95	chr7	80534678	80535100	+	0.000	0.000	Merged-chr7-80534916-95
Merged-chr7-141482187-5	chr7	141481920	141482413	+	0.000	0.000	Merged-chr7-141482187-5
Merged-chr18-57400941-35	chr18	57400701	57401177	+	0.000	0.000	Merged-chr18-57400941-35
Merged-chr2-81179483-1	chr2	81179385	81179583	+	0.000	0.000	Merged-chr2-81179483-1
Merged-chr7-120047666-1	chr7	120047568	120047766	+	0.000	0.000	Merged-chr7-120047666-1
Merged-chr5-24842624-94	chr5	24842152	24842940	+	0.000	0.000	Merged-chr5-24842624-94
Merged-chr2-79270307-14	chr2	79270058	79270543	+	0.000	0.000	Merged-chr2-79270307-14
Merged-chr13-59468165-25	chr13	59467881	59468444	+	0.000	0.000	Merged-chr13-59468165-25
Merged-chr9-32570830-16	chr9	32570600	32570985	+	0.000	0.000	Merged-chr9-32570830-16
Merged-chr17-87299066-53	chr17	87298673	87299391	+	0.000	0.000	Merged-chr17-87299066-53
Merged-chr17-35868234-36	chr17	35867521	35868626	+	0.000	0.000	Merged-chr17-35868234-36
Merged-chr14-25493554-23	chr14	25493301	25493879	+	0.000	0.000	Merged-chr14-25493554-23
Merged-chr2-52176630-15	chr2	52176409	52176850	+	0.000	0.000	Merged-chr2-52176630-15
Merged-chr5-93094073-7	chr5	93093846	93094266	+	0.000	0.000	Merged-chr5-93094073-7
Merged-chr19-45749414-69	chr19	45748915	45749790	+	0.000	0.000	Merged-chr19-45749414-69
Merged-chr12-24652044-2	chr12	24651911	24652180	+	0.000	0.000	Merged-chr12-24652044-2
Merged-chr7-67444614-20	chr7	67444418	67444828	+	0.000	0.000	Merged-chr7-67444614-20
Merged-chr2-60923694-43	chr2	60923074	60924117	+	0.000	0.000	Merged-chr2-60923694-43
Merged-chr7-18872970-1	chr7	18872872	18873070	+	0.000	0.000	Merged-chr7-18872970-1
Merged-chr6-42343728-43	chr6	42343441	42344074	+	0.000	0.000	Merged-chr6-42343728-43
Merged-chr1-21079276-92	chr1	21079017	21079569	+	0.000	0.000	Merged-chr1-21079276-92
Merged-chr13-23598121-7	chr13	23597898	23598310	+	0.000	0.000	Merged-chr13-23598121-7
Merged-chr5-85781215-4	chr5	85781048	85781396	+	0.000	0.000	Merged-chr5-85781215-4
Merged-chr6-135511219-1	chr6	135511121	135511319	+	0.000	0.000	Merged-chr6-135511219-1
Merged-chr4-134460498-5	chr4	134460317	134460698	+	0.000	0.000	Merged-chr4-134460498-5
Merged-chr7-142457551-10	chr7	142457412	142457762	+	0.000	0.000	Merged-chr7-142457551-10
Merged-chr17-8389397-65	chr17	8389072	8389850	+	0.000	0.000	Merged-chr17-8389397-65
Merged-chr3-9786855-28	chr3	9786588	9787101	+	0.000	0.000	Merged-chr3-9786855-28
Merged-chr9-123767195-6	chr9	123767009	123767366	+	0.000	0.000	Merged-chr9-123767195-6
Merged-chr13-5861346-118	chr13	5860983	5861929	+	0.000	0.000	Merged-chr13-5861346-118
Merged-chr4-134121781-8	chr4	134121636	134121971	+	0.000	0.000	Merged-chr4-134121781-8
Merged-chrX-36645202-80	chrX	36644943	36645452	+	0.000	0.000	Merged-chrX-36645202-80
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chr18-89126622-17	chr18	89126438	89126816	+	0.000	0.000	Merged-chr18-89126622-17
Merged-chr9-41118206-38	chr9	41117822	41118460	+	0.000	0.000	Merged-chr9-41118206-38
Merged-chr1-131910847-123	chr1	131910607	131911370	+	0.000	0.000	Merged-chr1-131910847-123
Merged-chr3-137918603-81	chr3	137918330	137918904	+	0.000	0.000	Merged-chr3-137918603-81
Merged-chr13-101996413-4	chr13	101996204	101996582	+	0.000	0.000	Merged-chr13-101996413-4
Merged-chr13-12542193-17	chr13	12541925	12542448	+	0.000	0.000	Merged-chr13-12542193-17
Merged-chr10-21991566-19	chr10	21991363	21991764	+	0.000	0.000	Merged-chr10-21991566-19
Merged-chr2-3294968-14	chr2	3294671	3295283	+	0.000	0.000	Merged-chr2-3294968-14
Merged-chr9-57260668-1	chr9	57260570	57260768	+	0.000	0.000	Merged-chr9-57260668-1
Merged-chr17-35861437-48	chr17	35861112	35861618	+	0.000	0.000	Merged-chr17-35861437-48
Merged-chr17-44734692-7	chr17	44734475	44734889	+	0.000	0.000	Merged-chr17-44734692-7
Merged-chr8-125227501-18	chr8	125227150	125227785	+	0.000	0.000	Merged-chr8-125227501-18
Merged-chr11-97988386-150	chr11	97987691	97989083	+	0.000	0.000	Merged-chr11-97988386-150
Merged-chr2-53215671-1	chr2	53215573	53215771	+	0.000	0.000	Merged-chr2-53215671-1
Merged-chr9-35570100-65	chr9	35569887	35570332	+	0.000	0.000	Merged-chr9-35570100-65
Merged-chr13-23556170-26	chr13	23555934	23556434	+	0.000	0.000	Merged-chr13-23556170-26
Merged-chr2-105386581-16	chr2	105386403	105386763	+	0.000	0.000	Merged-chr2-105386581-16
Merged-chr3-86677937-13	chr3	86677776	86678102	+	0.000	0.000	Merged-chr3-86677937-13
Merged-chr1-180331159-1	chr1	180331061	180331259	+	0.000	0.000	Merged-chr1-180331159-1
Merged-chr3-89250678-9	chr3	89250537	89250913	+	0.000	0.000	Merged-chr3-89250678-9
Merged-chr1-9798282-57	chr1	9797816	9798986	+	0.000	0.000	Merged-chr1-9798282-57
Merged-chr15-80289681-8	chr15	80289530	80289831	+	0.000	0.000	Merged-chr15-80289681-8
Merged-chr17-31871254-26	chr17	31870834	31871532	+	0.000	0.000	Merged-chr17-31871254-26
Merged-chr4-129377471-70	chr4	129376991	129378033	+	0.000	0.000	Merged-chr4-129377471-70
