#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_KO_Tfh_vs_WT_Th1.dn.bed
Merged-chr9-123818061-5	chr9	123817884	123818236	+	0.000	0.000	Merged-chr9-123818061-5
Merged-chr8-94191444-39	chr8	94191237	94191663	+	0.000	0.000	Merged-chr8-94191444-39
Merged-chr1-38884000-31	chr1	38883672	38884240	+	0.000	0.000	Merged-chr1-38884000-31
Merged-chr18-4350540-2	chr18	4350442	4350640	+	0.000	0.000	Merged-chr18-4350540-2
Merged-chr8-78509175-167	chr8	78508828	78509532	+	0.000	0.000	Merged-chr8-78509175-167
Merged-chr1-14755599-24	chr1	14755207	14755885	+	0.000	0.000	Merged-chr1-14755599-24
Merged-chr9-123872293-49	chr9	123872062	123872623	+	0.000	0.000	Merged-chr9-123872293-49
Merged-chr10-120191486-19	chr10	120191315	120191667	+	0.000	0.000	Merged-chr10-120191486-19
Merged-chr2-118658566-8	chr2	118658406	118658780	+	0.000	0.000	Merged-chr2-118658566-8
Merged-chr15-12026330-26	chr15	12026113	12026573	+	0.000	0.000	Merged-chr15-12026330-26
Merged-chr18-56718597-44	chr18	56718323	56718890	+	0.000	0.000	Merged-chr18-56718597-44
Merged-chr19-8990076-115	chr19	8989185	8991188	+	0.000	0.000	Merged-chr19-8990076-115
Merged-chr17-79348160-59	chr17	79347900	79348466	+	0.000	0.000	Merged-chr17-79348160-59
Merged-chr5-74195264-55	chr5	74195076	74195512	+	0.000	0.000	Merged-chr5-74195264-55
Merged-chr7-119866666-5	chr7	119866480	119866936	+	0.000	0.000	Merged-chr7-119866666-5
Merged-chr1-127646440-21	chr1	127646110	127646636	+	0.000	0.000	Merged-chr1-127646440-21
Merged-chr7-140265035-12	chr7	140264767	140265260	+	0.000	0.000	Merged-chr7-140265035-12
Merged-chr9-120080082-9	chr9	120079930	120080208	+	0.000	0.000	Merged-chr9-120080082-9
Merged-chr17-47564757-20	chr17	47564562	47564952	+	0.000	0.000	Merged-chr17-47564757-20
Merged-chr11-68436520-14	chr11	68436351	68436760	+	0.000	0.000	Merged-chr11-68436520-14
Merged-chr16-59517652-60	chr16	59517414	59518092	+	0.000	0.000	Merged-chr16-59517652-60
Merged-chr9-48793966-3	chr9	48793820	48794106	+	0.000	0.000	Merged-chr9-48793966-3
Merged-chr3-59219511-3	chr3	59219398	59219636	+	0.000	0.000	Merged-chr3-59219511-3
Merged-chr11-67563906-19	chr11	67563693	67564152	+	0.000	0.000	Merged-chr11-67563906-19
Merged-chr12-103116842-39	chr12	103116599	103117047	+	0.000	0.000	Merged-chr12-103116842-39
Merged-chr14-78631890-10	chr14	78631598	78632170	+	0.000	0.000	Merged-chr14-78631890-10
Merged-chr17-56911797-14	chr17	56911644	56911966	+	0.000	0.000	Merged-chr17-56911797-14
Merged-chr10-95395228-39	chr10	95394943	95395487	+	0.000	0.000	Merged-chr10-95395228-39
Merged-chr7-100121422-67	chr7	100121216	100121664	+	0.000	0.000	Merged-chr7-100121422-67
Merged-chr18-70598988-36	chr18	70598735	70599258	+	0.000	0.000	Merged-chr18-70598988-36
Merged-chr14-78686921-2	chr14	78686784	78687060	+	0.000	0.000	Merged-chr14-78686921-2
Merged-chr2-60810848-31	chr2	60810652	60811066	+	0.000	0.000	Merged-chr2-60810848-31
Merged-chr1-182520243-48	chr1	182519970	182520715	+	0.000	0.000	Merged-chr1-182520243-48
Merged-chr8-86821129-24	chr8	86820923	86821350	+	0.000	0.000	Merged-chr8-86821129-24
Merged-chr17-50171299-20	chr17	50171060	50171598	+	0.000	0.000	Merged-chr17-50171299-20
Merged-chr1-97622893-1	chr1	97622795	97622993	+	0.000	0.000	Merged-chr1-97622893-1
Merged-chr12-54985589-169	chr12	54984857	54985877	+	0.000	0.000	Merged-chr12-54985589-169
Merged-chr16-36682013-4	chr16	36681876	36682141	+	0.000	0.000	Merged-chr16-36682013-4
Merged-chr11-117782210-31	chr11	117781828	117782490	+	0.000	0.000	Merged-chr11-117782210-31
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr6-108713801-1	chr6	108713703	108713901	+	0.000	0.000	Merged-chr6-108713801-1
Merged-chr13-56197713-35	chr13	56197505	56197943	+	0.000	0.000	Merged-chr13-56197713-35
Merged-chr5-113563043-9	chr5	113562874	113563172	+	0.000	0.000	Merged-chr5-113563043-9
Merged-chr3-101224387-31	chr3	101224155	101224567	+	0.000	0.000	Merged-chr3-101224387-31
Merged-chr2-129198055-2	chr2	129197878	129198235	+	0.000	0.000	Merged-chr2-129198055-2
Merged-chr5-139290875-38	chr5	139290611	139291146	+	0.000	0.000	Merged-chr5-139290875-38
Merged-chr6-122756168-13	chr6	122755953	122756404	+	0.000	0.000	Merged-chr6-122756168-13
Merged-chr13-81657975-90	chr13	81657492	81658304	+	0.000	0.000	Merged-chr13-81657975-90
Merged-chr17-31829113-6	chr17	31828959	31829263	+	0.000	0.000	Merged-chr17-31829113-6
Merged-chr3-137833460-41	chr3	137832970	137834061	+	0.000	0.000	Merged-chr3-137833460-41
Merged-chr3-9921866-1	chr3	9921768	9921966	+	0.000	0.000	Merged-chr3-9921866-1
Merged-chr5-135537864-88	chr5	135537381	135538148	+	0.000	0.000	Merged-chr5-135537864-88
Merged-chr15-84654435-24	chr15	84654257	84654639	+	0.000	0.000	Merged-chr15-84654435-24
Merged-chrX-85918591-4	chrX	85918438	85918773	+	0.000	0.000	Merged-chrX-85918591-4
Merged-chr10-77626899-11	chr10	77626732	77627106	+	0.000	0.000	Merged-chr10-77626899-11
Merged-chr16-46103340-16	chr16	46103135	46103553	+	0.000	0.000	Merged-chr16-46103340-16
Merged-chr18-56738127-1	chr18	56738029	56738227	+	0.000	0.000	Merged-chr18-56738127-1
Merged-chr1-161745053-28	chr1	161744728	161745259	+	0.000	0.000	Merged-chr1-161745053-28
Merged-chr2-120153836-4	chr2	120153706	120153979	+	0.000	0.000	Merged-chr2-120153836-4
Merged-chr10-44429016-1	chr10	44428918	44429116	+	0.000	0.000	Merged-chr10-44429016-1
Merged-chr1-43496646-3	chr1	43496486	43496820	+	0.000	0.000	Merged-chr1-43496646-3
Merged-chr17-36167828-41	chr17	36167366	36168163	+	0.000	0.000	Merged-chr17-36167828-41
Merged-chr2-9564226-15	chr2	9564033	9564436	+	0.000	0.000	Merged-chr2-9564226-15
Merged-chr11-72954617-1	chr11	72954519	72954717	+	0.000	0.000	Merged-chr11-72954617-1
Merged-chr15-76037668-45	chr15	76037427	76037974	+	0.000	0.000	Merged-chr15-76037668-45
Merged-chr16-38353945-34	chr16	38353731	38354224	+	0.000	0.000	Merged-chr16-38353945-34
Merged-chr2-126500731-7	chr2	126500548	126500907	+	0.000	0.000	Merged-chr2-126500731-7
Merged-chr4-133844550-10	chr4	133844183	133844838	+	0.000	0.000	Merged-chr4-133844550-10
Merged-chr15-52750105-14	chr15	52749922	52750282	+	0.000	0.000	Merged-chr15-52750105-14
Merged-chr6-129680529-50	chr6	129680355	129680775	+	0.000	0.000	Merged-chr6-129680529-50
Merged-chr8-13649370-68	chr8	13649069	13649612	+	0.000	0.000	Merged-chr8-13649370-68
Merged-chr5-34637135-1	chr5	34637037	34637235	+	0.000	0.000	Merged-chr5-34637135-1
Merged-chr5-72202096-40	chr5	72201907	72202298	+	0.000	0.000	Merged-chr5-72202096-40
Merged-chr19-43520668-20	chr19	43520540	43520827	+	0.000	0.000	Merged-chr19-43520668-20
Merged-chr1-193329343-4	chr1	193329103	193329491	+	0.000	0.000	Merged-chr1-193329343-4
Merged-chr19-18608128-29	chr19	18607848	18608608	+	0.000	0.000	Merged-chr19-18608128-29
Merged-chr3-144023376-1	chr3	144023278	144023476	+	0.000	0.000	Merged-chr3-144023376-1
Merged-chr13-23551555-61	chr13	23551319	23551775	+	0.000	0.000	Merged-chr13-23551555-61
Merged-chr7-28693715-55	chr7	28693438	28694100	+	0.000	0.000	Merged-chr7-28693715-55
Merged-chr4-137641838-36	chr4	137641635	137642035	+	0.000	0.000	Merged-chr4-137641838-36
Merged-chr7-110204373-3	chr7	110204199	110204534	+	0.000	0.000	Merged-chr7-110204373-3
Merged-chr19-40708425-49	chr19	40708190	40708857	+	0.000	0.000	Merged-chr19-40708425-49
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr9-64797036-1	chr9	64796938	64797136	+	0.000	0.000	Merged-chr9-64797036-1
Merged-chr13-101589097-28	chr13	101588842	101589305	+	0.000	0.000	Merged-chr13-101589097-28
Merged-chr17-48426190-57	chr17	48425843	48426495	+	0.000	0.000	Merged-chr17-48426190-57
Merged-chr5-129020147-99	chr5	129019817	129020534	+	0.000	0.000	Merged-chr5-129020147-99
Merged-chr17-44569876-1	chr17	44569778	44569976	+	0.000	0.000	Merged-chr17-44569876-1
Merged-chr5-139200550-72	chr5	139200256	139200810	+	0.000	0.000	Merged-chr5-139200550-72
Merged-chr2-11339259-65	chr2	11339006	11339478	+	0.000	0.000	Merged-chr2-11339259-65
Merged-chr14-77848610-6	chr14	77848455	77848833	+	0.000	0.000	Merged-chr14-77848610-6
Merged-chr3-9867662-24	chr3	9867471	9867825	+	0.000	0.000	Merged-chr3-9867662-24
Merged-chr1-153061689-5	chr1	153061472	153061872	+	0.000	0.000	Merged-chr1-153061689-5
