#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_I--ATAC_peaks.bed all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
Merged-chr8-94191444-39	chr8	94191237	94191663	+	0.000	0.000	Merged-chr8-94191444-39
Merged-chr1-38884000-31	chr1	38883672	38884240	+	0.000	0.000	Merged-chr1-38884000-31
Merged-chr18-4350540-2	chr18	4350442	4350640	+	0.000	0.000	Merged-chr18-4350540-2
Merged-chr14-99943406-23	chr14	99943148	99943873	+	0.000	0.000	Merged-chr14-99943406-23
Merged-chr1-189602384-14	chr1	189602145	189602534	+	0.000	0.000	Merged-chr1-189602384-14
Merged-chr10-120191486-19	chr10	120191315	120191667	+	0.000	0.000	Merged-chr10-120191486-19
Merged-chr18-56718597-44	chr18	56718323	56718890	+	0.000	0.000	Merged-chr18-56718597-44
Merged-chr19-8990076-115	chr19	8989185	8991188	+	0.000	0.000	Merged-chr19-8990076-115
Merged-chr7-119866666-5	chr7	119866480	119866936	+	0.000	0.000	Merged-chr7-119866666-5
Merged-chr1-127646440-21	chr1	127646110	127646636	+	0.000	0.000	Merged-chr1-127646440-21
Merged-chr12-103116842-39	chr12	103116599	103117047	+	0.000	0.000	Merged-chr12-103116842-39
Merged-chr14-121372467-99	chr14	121371790	121373313	+	0.000	0.000	Merged-chr14-121372467-99
Merged-chr19-6980205-101	chr19	6979934	6980450	+	0.000	0.000	Merged-chr19-6980205-101
Merged-chr16-91688812-60	chr16	91688611	91689039	+	0.000	0.000	Merged-chr16-91688812-60
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr9-122241103-26	chr9	122240715	122241310	+	0.000	0.000	Merged-chr9-122241103-26
Merged-chr8-86821129-24	chr8	86820923	86821350	+	0.000	0.000	Merged-chr8-86821129-24
Merged-chr17-50171299-20	chr17	50171060	50171598	+	0.000	0.000	Merged-chr17-50171299-20
Merged-chr12-100544078-1	chr12	100543980	100544178	+	0.000	0.000	Merged-chr12-100544078-1
Merged-chr1-58624351-1	chr1	58624253	58624451	+	0.000	0.000	Merged-chr1-58624351-1
Merged-chr12-54985589-169	chr12	54984857	54985877	+	0.000	0.000	Merged-chr12-54985589-169
Merged-chr3-9974623-36	chr3	9974374	9974824	+	0.000	0.000	Merged-chr3-9974623-36
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr5-113563043-9	chr5	113562874	113563172	+	0.000	0.000	Merged-chr5-113563043-9
Merged-chr2-129198055-2	chr2	129197878	129198235	+	0.000	0.000	Merged-chr2-129198055-2
Merged-chr5-139290875-38	chr5	139290611	139291146	+	0.000	0.000	Merged-chr5-139290875-38
Merged-chr1-134078832-110	chr1	134078318	134079573	+	0.000	0.000	Merged-chr1-134078832-110
Merged-chr3-9921866-1	chr3	9921768	9921966	+	0.000	0.000	Merged-chr3-9921866-1
Merged-chr5-135537864-88	chr5	135537381	135538148	+	0.000	0.000	Merged-chr5-135537864-88
Merged-chr2-75792320-53	chr2	75791495	75792852	+	0.000	0.000	Merged-chr2-75792320-53
Merged-chrX-85918591-4	chrX	85918438	85918773	+	0.000	0.000	Merged-chrX-85918591-4
Merged-chr16-46103340-16	chr16	46103135	46103553	+	0.000	0.000	Merged-chr16-46103340-16
Merged-chr18-56738127-1	chr18	56738029	56738227	+	0.000	0.000	Merged-chr18-56738127-1
Merged-chr10-44429016-1	chr10	44428918	44429116	+	0.000	0.000	Merged-chr10-44429016-1
Merged-chr3-59258266-13	chr3	59258033	59258443	+	0.000	0.000	Merged-chr3-59258266-13
Merged-chr17-29094794-108	chr17	29093527	29095765	+	0.000	0.000	Merged-chr17-29094794-108
Merged-chr2-126500731-7	chr2	126500548	126500907	+	0.000	0.000	Merged-chr2-126500731-7
Merged-chr15-52750105-14	chr15	52749922	52750282	+	0.000	0.000	Merged-chr15-52750105-14
Merged-chr3-89964407-4	chr3	89964193	89964575	+	0.000	0.000	Merged-chr3-89964407-4
Merged-chr19-18608128-29	chr19	18607848	18608608	+	0.000	0.000	Merged-chr19-18608128-29
Merged-chr7-106526868-10	chr7	106526721	106527028	+	0.000	0.000	Merged-chr7-106526868-10
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr16-38476690-56	chr16	38476352	38477118	+	0.000	0.000	Merged-chr16-38476690-56
Merged-chr13-101589097-28	chr13	101588842	101589305	+	0.000	0.000	Merged-chr13-101589097-28
Merged-chr11-51606929-9	chr11	51606768	51607102	+	0.000	0.000	Merged-chr11-51606929-9
Merged-chr11-101661964-4	chr11	101661851	101662071	+	0.000	0.000	Merged-chr11-101661964-4
Merged-chr5-139200550-72	chr5	139200256	139200810	+	0.000	0.000	Merged-chr5-139200550-72
Merged-chr14-99865135-2	chr14	99865028	99865244	+	0.000	0.000	Merged-chr14-99865135-2
Merged-chr14-77848610-6	chr14	77848455	77848833	+	0.000	0.000	Merged-chr14-77848610-6
Merged-chr2-65238613-163	chr2	65238346	65239218	+	0.000	0.000	Merged-chr2-65238613-163
Merged-chr5-134244216-41	chr5	134243972	134244555	+	0.000	0.000	Merged-chr5-134244216-41
Merged-chr16-17131609-8	chr16	17131392	17131756	+	0.000	0.000	Merged-chr16-17131609-8
Merged-chr18-20982591-12	chr18	20982391	20982829	+	0.000	0.000	Merged-chr18-20982591-12
Merged-chr10-8177786-7	chr10	8177614	8177927	+	0.000	0.000	Merged-chr10-8177786-7
Merged-chr14-121368379-5	chr14	121368281	121368481	+	0.000	0.000	Merged-chr14-121368379-5
Merged-chr2-128378745-14	chr2	128378586	128378937	+	0.000	0.000	Merged-chr2-128378745-14
