#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
Merged-chr8-94191444-39	chr8	94191237	94191663	+	0.000	0.000	Merged-chr8-94191444-39
Merged-chr16-49807399-74	chr16	49807203	49807730	+	0.000	0.000	Merged-chr16-49807399-74
Merged-chr7-30665007-40	chr7	30664807	30665269	+	0.000	0.000	Merged-chr7-30665007-40
Merged-chr15-66883922-10	chr15	66883727	66884094	+	0.000	0.000	Merged-chr15-66883922-10
Merged-chr1-40542966-13	chr1	40542744	40543156	+	0.000	0.000	Merged-chr1-40542966-13
Merged-chrX-85870308-29	chrX	85869828	85870687	+	0.000	0.000	Merged-chrX-85870308-29
Merged-chr10-95699162-15	chr10	95698886	95699424	+	0.000	0.000	Merged-chr10-95699162-15
Merged-chr17-47533990-17	chr17	47533678	47534302	+	0.000	0.000	Merged-chr17-47533990-17
Merged-chr8-78509175-167	chr8	78508828	78509532	+	0.000	0.000	Merged-chr8-78509175-167
Merged-chr14-99943406-23	chr14	99943148	99943873	+	0.000	0.000	Merged-chr14-99943406-23
Merged-chr3-144087614-1	chr3	144087516	144087714	+	0.000	0.000	Merged-chr3-144087614-1
Merged-chr1-14755599-24	chr1	14755207	14755885	+	0.000	0.000	Merged-chr1-14755599-24
Merged-chr14-20180981-13	chr14	20180713	20181154	+	0.000	0.000	Merged-chr14-20180981-13
Merged-chr2-118658566-8	chr2	118658406	118658780	+	0.000	0.000	Merged-chr2-118658566-8
Merged-chr15-12026330-26	chr15	12026113	12026573	+	0.000	0.000	Merged-chr15-12026330-26
Merged-chr3-152192463-77	chr3	152191841	152193106	+	0.000	0.000	Merged-chr3-152192463-77
Merged-chr19-8990076-115	chr19	8989185	8991188	+	0.000	0.000	Merged-chr19-8990076-115
Merged-chr11-75195247-19	chr11	75194894	75195504	+	0.000	0.000	Merged-chr11-75195247-19
Merged-chr17-79348160-59	chr17	79347900	79348466	+	0.000	0.000	Merged-chr17-79348160-59
Merged-chr12-102697187-2	chr12	102697015	102697361	+	0.000	0.000	Merged-chr12-102697187-2
Merged-chr7-119866666-5	chr7	119866480	119866936	+	0.000	0.000	Merged-chr7-119866666-5
Merged-chr7-140265035-12	chr7	140264767	140265260	+	0.000	0.000	Merged-chr7-140265035-12
Merged-chr17-47564757-20	chr17	47564562	47564952	+	0.000	0.000	Merged-chr17-47564757-20
Merged-chr11-68436520-14	chr11	68436351	68436760	+	0.000	0.000	Merged-chr11-68436520-14
Merged-chr5-24841320-1	chr5	24841222	24841420	+	0.000	0.000	Merged-chr5-24841320-1
Merged-chr17-25255345-21	chr17	25255098	25255789	+	0.000	0.000	Merged-chr17-25255345-21
Merged-chr3-59219511-3	chr3	59219398	59219636	+	0.000	0.000	Merged-chr3-59219511-3
Merged-chr11-67563906-19	chr11	67563693	67564152	+	0.000	0.000	Merged-chr11-67563906-19
Merged-chr12-103116842-39	chr12	103116599	103117047	+	0.000	0.000	Merged-chr12-103116842-39
Merged-chr1-180335448-3	chr1	180335296	180335658	+	0.000	0.000	Merged-chr1-180335448-3
Merged-chr1-60909940-1	chr1	60909842	60910040	+	0.000	0.000	Merged-chr1-60909940-1
Merged-chr17-56911797-14	chr17	56911644	56911966	+	0.000	0.000	Merged-chr17-56911797-14
Merged-chr19-6980205-101	chr19	6979934	6980450	+	0.000	0.000	Merged-chr19-6980205-101
Merged-chr7-140987400-4	chr7	140987221	140987534	+	0.000	0.000	Merged-chr7-140987400-4
Merged-chr18-70598988-36	chr18	70598735	70599258	+	0.000	0.000	Merged-chr18-70598988-36
Merged-chr14-78686921-2	chr14	78686784	78687060	+	0.000	0.000	Merged-chr14-78686921-2
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr18-70579133-5	chr18	70578985	70579371	+	0.000	0.000	Merged-chr18-70579133-5
Merged-chr2-60810848-31	chr2	60810652	60811066	+	0.000	0.000	Merged-chr2-60810848-31
Merged-chr1-182520243-48	chr1	182519970	182520715	+	0.000	0.000	Merged-chr1-182520243-48
Merged-chr17-50171299-20	chr17	50171060	50171598	+	0.000	0.000	Merged-chr17-50171299-20
Merged-chr1-97622893-1	chr1	97622795	97622993	+	0.000	0.000	Merged-chr1-97622893-1
Merged-chr16-36682013-4	chr16	36681876	36682141	+	0.000	0.000	Merged-chr16-36682013-4
Merged-chr7-16373867-24	chr7	16373655	16374113	+	0.000	0.000	Merged-chr7-16373867-24
Merged-chr11-117782210-31	chr11	117781828	117782490	+	0.000	0.000	Merged-chr11-117782210-31
Merged-chr6-99655675-47	chr6	99655344	99655972	+	0.000	0.000	Merged-chr6-99655675-47
Merged-chr8-106022605-23	chr8	106022327	106022872	+	0.000	0.000	Merged-chr8-106022605-23
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr6-108713801-1	chr6	108713703	108713901	+	0.000	0.000	Merged-chr6-108713801-1
Merged-chr13-56197713-35	chr13	56197505	56197943	+	0.000	0.000	Merged-chr13-56197713-35
Merged-chr3-101224387-31	chr3	101224155	101224567	+	0.000	0.000	Merged-chr3-101224387-31
Merged-chr11-107452175-23	chr11	107451872	107452443	+	0.000	0.000	Merged-chr11-107452175-23
Merged-chr9-44344017-55	chr9	44343778	44344244	+	0.000	0.000	Merged-chr9-44344017-55
Merged-chr6-86806631-9	chr6	86806411	86806856	+	0.000	0.000	Merged-chr6-86806631-9
Merged-chr10-18923473-26	chr10	18923257	18923726	+	0.000	0.000	Merged-chr10-18923473-26
Merged-chr3-137833460-41	chr3	137832970	137834061	+	0.000	0.000	Merged-chr3-137833460-41
Merged-chr3-9921866-1	chr3	9921768	9921966	+	0.000	0.000	Merged-chr3-9921866-1
Merged-chr5-135537864-88	chr5	135537381	135538148	+	0.000	0.000	Merged-chr5-135537864-88
Merged-chr15-84654435-24	chr15	84654257	84654639	+	0.000	0.000	Merged-chr15-84654435-24
Merged-chr10-77626899-11	chr10	77626732	77627106	+	0.000	0.000	Merged-chr10-77626899-11
Merged-chr16-46103340-16	chr16	46103135	46103553	+	0.000	0.000	Merged-chr16-46103340-16
Merged-chr1-161745053-28	chr1	161744728	161745259	+	0.000	0.000	Merged-chr1-161745053-28
Merged-chr2-120153836-4	chr2	120153706	120153979	+	0.000	0.000	Merged-chr2-120153836-4
Merged-chr1-43496646-3	chr1	43496486	43496820	+	0.000	0.000	Merged-chr1-43496646-3
Merged-chr9-122998941-71	chr9	122998556	122999638	+	0.000	0.000	Merged-chr9-122998941-71
Merged-chr15-76037668-45	chr15	76037427	76037974	+	0.000	0.000	Merged-chr15-76037668-45
Merged-chr1-180388192-14	chr1	180388043	180388351	+	0.000	0.000	Merged-chr1-180388192-14
Merged-chr16-38353945-34	chr16	38353731	38354224	+	0.000	0.000	Merged-chr16-38353945-34
Merged-chr4-9641752-1	chr4	9641654	9641852	+	0.000	0.000	Merged-chr4-9641752-1
Merged-chr4-133844550-10	chr4	133844183	133844838	+	0.000	0.000	Merged-chr4-133844550-10
Merged-chr8-68837841-13	chr8	68837614	68838007	+	0.000	0.000	Merged-chr8-68837841-13
Merged-chr15-52750105-14	chr15	52749922	52750282	+	0.000	0.000	Merged-chr15-52750105-14
Merged-chr8-13649370-68	chr8	13649069	13649612	+	0.000	0.000	Merged-chr8-13649370-68
Merged-chr5-34637135-1	chr5	34637037	34637235	+	0.000	0.000	Merged-chr5-34637135-1
Merged-chr18-23804426-15	chr18	23804320	23804544	+	0.000	0.000	Merged-chr18-23804426-15
Merged-chr5-72202096-40	chr5	72201907	72202298	+	0.000	0.000	Merged-chr5-72202096-40
Merged-chr3-89964407-4	chr3	89964193	89964575	+	0.000	0.000	Merged-chr3-89964407-4
Merged-chr8-34108229-124	chr8	34107823	34108541	+	0.000	0.000	Merged-chr8-34108229-124
Merged-chr19-18608128-29	chr19	18607848	18608608	+	0.000	0.000	Merged-chr19-18608128-29
Merged-chr6-129746313-15	chr6	129745955	129746659	+	0.000	0.000	Merged-chr6-129746313-15
Merged-chr13-23551555-61	chr13	23551319	23551775	+	0.000	0.000	Merged-chr13-23551555-61
Merged-chr7-28693715-55	chr7	28693438	28694100	+	0.000	0.000	Merged-chr7-28693715-55
Merged-chr4-137641838-36	chr4	137641635	137642035	+	0.000	0.000	Merged-chr4-137641838-36
Merged-chr3-137934133-15	chr3	137933902	137934311	+	0.000	0.000	Merged-chr3-137934133-15
Merged-chr7-110204373-3	chr7	110204199	110204534	+	0.000	0.000	Merged-chr7-110204373-3
Merged-chr19-40708425-49	chr19	40708190	40708857	+	0.000	0.000	Merged-chr19-40708425-49
Merged-chr13-45932644-29	chr13	45932413	45932938	+	0.000	0.000	Merged-chr13-45932644-29
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr8-13675081-76	chr8	13674623	13675436	+	0.000	0.000	Merged-chr8-13675081-76
Merged-chr9-64797036-1	chr9	64796938	64797136	+	0.000	0.000	Merged-chr9-64797036-1
Merged-chr9-69313976-5	chr9	69313741	69314143	+	0.000	0.000	Merged-chr9-69313976-5
Merged-chr13-101589097-28	chr13	101588842	101589305	+	0.000	0.000	Merged-chr13-101589097-28
Merged-chr17-48426190-57	chr17	48425843	48426495	+	0.000	0.000	Merged-chr17-48426190-57
Merged-chr5-129020147-99	chr5	129019817	129020534	+	0.000	0.000	Merged-chr5-129020147-99
Merged-chr2-11339259-65	chr2	11339006	11339478	+	0.000	0.000	Merged-chr2-11339259-65
Merged-chr14-77848610-6	chr14	77848455	77848833	+	0.000	0.000	Merged-chr14-77848610-6
Merged-chr1-138964274-4	chr1	138964155	138964387	+	0.000	0.000	Merged-chr1-138964274-4
Merged-chr3-9867662-24	chr3	9867471	9867825	+	0.000	0.000	Merged-chr3-9867662-24
