#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_I--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_Naive.up.bed
Merged-chr7-74527841-31	chr7	74527600	74528045	+	0.000	0.000	Merged-chr7-74527841-31
Merged-chr8-94191444-39	chr8	94191237	94191663	+	0.000	0.000	Merged-chr8-94191444-39
Merged-chr16-49807399-74	chr16	49807203	49807730	+	0.000	0.000	Merged-chr16-49807399-74
Merged-chrX-85870308-29	chrX	85869828	85870687	+	0.000	0.000	Merged-chrX-85870308-29
Merged-chr1-38884000-31	chr1	38883672	38884240	+	0.000	0.000	Merged-chr1-38884000-31
Merged-chr18-4350540-2	chr18	4350442	4350640	+	0.000	0.000	Merged-chr18-4350540-2
Merged-chr14-20180981-13	chr14	20180713	20181154	+	0.000	0.000	Merged-chr14-20180981-13
Merged-chr2-167337077-7	chr2	167336879	167337233	+	0.000	0.000	Merged-chr2-167337077-7
Merged-chr10-120191486-19	chr10	120191315	120191667	+	0.000	0.000	Merged-chr10-120191486-19
Merged-chr15-12026330-26	chr15	12026113	12026573	+	0.000	0.000	Merged-chr15-12026330-26
Merged-chr18-56718597-44	chr18	56718323	56718890	+	0.000	0.000	Merged-chr18-56718597-44
Merged-chr19-8990076-115	chr19	8989185	8991188	+	0.000	0.000	Merged-chr19-8990076-115
Merged-chr7-119866666-5	chr7	119866480	119866936	+	0.000	0.000	Merged-chr7-119866666-5
Merged-chr7-118480562-29	chr7	118480125	118481038	+	0.000	0.000	Merged-chr7-118480562-29
Merged-chr1-127646440-21	chr1	127646110	127646636	+	0.000	0.000	Merged-chr1-127646440-21
Merged-chr11-96034910-37	chr11	96034657	96035238	+	0.000	0.000	Merged-chr11-96034910-37
Merged-chr11-68436520-14	chr11	68436351	68436760	+	0.000	0.000	Merged-chr11-68436520-14
Merged-chr16-59517652-60	chr16	59517414	59518092	+	0.000	0.000	Merged-chr16-59517652-60
Merged-chr17-25255345-21	chr17	25255098	25255789	+	0.000	0.000	Merged-chr17-25255345-21
Merged-chr13-75739041-26	chr13	75738648	75739370	+	0.000	0.000	Merged-chr13-75739041-26
Merged-chr11-67563906-19	chr11	67563693	67564152	+	0.000	0.000	Merged-chr11-67563906-19
Merged-chr12-103116842-39	chr12	103116599	103117047	+	0.000	0.000	Merged-chr12-103116842-39
Merged-chr14-121372467-99	chr14	121371790	121373313	+	0.000	0.000	Merged-chr14-121372467-99
Merged-chr17-56911797-14	chr17	56911644	56911966	+	0.000	0.000	Merged-chr17-56911797-14
Merged-chr7-140987400-4	chr7	140987221	140987534	+	0.000	0.000	Merged-chr7-140987400-4
Merged-chr16-91688812-60	chr16	91688611	91689039	+	0.000	0.000	Merged-chr16-91688812-60
Merged-chr9-122241103-26	chr9	122240715	122241310	+	0.000	0.000	Merged-chr9-122241103-26
Merged-chr8-86821129-24	chr8	86820923	86821350	+	0.000	0.000	Merged-chr8-86821129-24
Merged-chr17-50171299-20	chr17	50171060	50171598	+	0.000	0.000	Merged-chr17-50171299-20
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr6-108713801-1	chr6	108713703	108713901	+	0.000	0.000	Merged-chr6-108713801-1
Merged-chr5-113563043-9	chr5	113562874	113563172	+	0.000	0.000	Merged-chr5-113563043-9
Merged-chr2-129198055-2	chr2	129197878	129198235	+	0.000	0.000	Merged-chr2-129198055-2
Merged-chr5-139290875-38	chr5	139290611	139291146	+	0.000	0.000	Merged-chr5-139290875-38
Merged-chr6-86806631-9	chr6	86806411	86806856	+	0.000	0.000	Merged-chr6-86806631-9
Merged-chr17-31829113-6	chr17	31828959	31829263	+	0.000	0.000	Merged-chr17-31829113-6
Merged-chr3-137833460-41	chr3	137832970	137834061	+	0.000	0.000	Merged-chr3-137833460-41
Merged-chr3-9921866-1	chr3	9921768	9921966	+	0.000	0.000	Merged-chr3-9921866-1
Merged-chr5-135537864-88	chr5	135537381	135538148	+	0.000	0.000	Merged-chr5-135537864-88
Merged-chr2-75823994-29	chr2	75823769	75824239	+	0.000	0.000	Merged-chr2-75823994-29
Merged-chr16-46103340-16	chr16	46103135	46103553	+	0.000	0.000	Merged-chr16-46103340-16
Merged-chr18-56738127-1	chr18	56738029	56738227	+	0.000	0.000	Merged-chr18-56738127-1
Merged-chr2-9564226-15	chr2	9564033	9564436	+	0.000	0.000	Merged-chr2-9564226-15
Merged-chr9-122998941-71	chr9	122998556	122999638	+	0.000	0.000	Merged-chr9-122998941-71
Merged-chr17-29094794-108	chr17	29093527	29095765	+	0.000	0.000	Merged-chr17-29094794-108
Merged-chr8-68837841-13	chr8	68837614	68838007	+	0.000	0.000	Merged-chr8-68837841-13
Merged-chr3-89964407-4	chr3	89964193	89964575	+	0.000	0.000	Merged-chr3-89964407-4
Merged-chr19-43520668-20	chr19	43520540	43520827	+	0.000	0.000	Merged-chr19-43520668-20
Merged-chr1-193329343-4	chr1	193329103	193329491	+	0.000	0.000	Merged-chr1-193329343-4
Merged-chr19-18608128-29	chr19	18607848	18608608	+	0.000	0.000	Merged-chr19-18608128-29
Merged-chr4-137641838-36	chr4	137641635	137642035	+	0.000	0.000	Merged-chr4-137641838-36
Merged-chr13-45932644-29	chr13	45932413	45932938	+	0.000	0.000	Merged-chr13-45932644-29
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr9-64797036-1	chr9	64796938	64797136	+	0.000	0.000	Merged-chr9-64797036-1
Merged-chr8-70343919-5	chr8	70343748	70344074	+	0.000	0.000	Merged-chr8-70343919-5
Merged-chr11-51606929-9	chr11	51606768	51607102	+	0.000	0.000	Merged-chr11-51606929-9
Merged-chr17-44569876-1	chr17	44569778	44569976	+	0.000	0.000	Merged-chr17-44569876-1
Merged-chr11-101661964-4	chr11	101661851	101662071	+	0.000	0.000	Merged-chr11-101661964-4
Merged-chr5-139200550-72	chr5	139200256	139200810	+	0.000	0.000	Merged-chr5-139200550-72
Merged-chr2-11339259-65	chr2	11339006	11339478	+	0.000	0.000	Merged-chr2-11339259-65
Merged-chr14-77848610-6	chr14	77848455	77848833	+	0.000	0.000	Merged-chr14-77848610-6
Merged-chr3-9867662-24	chr3	9867471	9867825	+	0.000	0.000	Merged-chr3-9867662-24
Merged-chr2-65238613-163	chr2	65238346	65239218	+	0.000	0.000	Merged-chr2-65238613-163
Merged-chr1-191422042-56	chr1	191421563	191422659	+	0.000	0.000	Merged-chr1-191422042-56
Merged-chr5-134244216-41	chr5	134243972	134244555	+	0.000	0.000	Merged-chr5-134244216-41
Merged-chr7-114066923-10	chr7	114066635	114067127	+	0.000	0.000	Merged-chr7-114066923-10
Merged-chr18-20982591-12	chr18	20982391	20982829	+	0.000	0.000	Merged-chr18-20982591-12
Merged-chr5-30073390-59	chr5	30073005	30073751	+	0.000	0.000	Merged-chr5-30073390-59
Merged-chr14-121368379-5	chr14	121368281	121368481	+	0.000	0.000	Merged-chr14-121368379-5
Merged-chr2-128378745-14	chr2	128378586	128378937	+	0.000	0.000	Merged-chr2-128378745-14
Merged-chr1-172502591-1	chr1	172502493	172502691	+	0.000	0.000	Merged-chr1-172502591-1
Merged-chr14-20168649-33	chr14	20168413	20169005	+	0.000	0.000	Merged-chr14-20168649-33
Merged-chr4-135312758-1	chr4	135312660	135312858	+	0.000	0.000	Merged-chr4-135312758-1
Merged-chr7-119895039-1	chr7	119894941	119895139	+	0.000	0.000	Merged-chr7-119895039-1
Merged-chr10-19577648-1	chr10	19577550	19577748	+	0.000	0.000	Merged-chr10-19577648-1
Merged-chr13-75845828-42	chr13	75845415	75846034	+	0.000	0.000	Merged-chr13-75845828-42
Merged-chr2-129186012-43	chr2	129185598	129186272	+	0.000	0.000	Merged-chr2-129186012-43
Merged-chr2-180438318-9	chr2	180438011	180438500	+	0.000	0.000	Merged-chr2-180438318-9
Merged-chr2-112556082-2	chr2	112555967	112556200	+	0.000	0.000	Merged-chr2-112556082-2
Merged-chr19-55866165-31	chr19	55865738	55866432	+	0.000	0.000	Merged-chr19-55866165-31
Merged-chr3-136727461-5	chr3	136727327	136727591	+	0.000	0.000	Merged-chr3-136727461-5
Merged-chr3-136942361-1	chr3	136942263	136942461	+	0.000	0.000	Merged-chr3-136942361-1
Merged-chr16-52292729-42	chr16	52292511	52292962	+	0.000	0.000	Merged-chr16-52292729-42
Merged-chr9-44041219-29	chr9	44040860	44041390	+	0.000	0.000	Merged-chr9-44041219-29
Merged-chr7-114161224-36	chr7	114160917	114161467	+	0.000	0.000	Merged-chr7-114161224-36
Merged-chr11-105592148-13	chr11	105591929	105592352	+	0.000	0.000	Merged-chr11-105592148-13
Merged-chr9-32499941-68	chr9	32499531	32500483	+	0.000	0.000	Merged-chr9-32499941-68
Merged-chr17-12120379-1	chr17	12120281	12120479	+	0.000	0.000	Merged-chr17-12120379-1
Merged-chr2-129199928-7	chr2	129199578	129200284	+	0.000	0.000	Merged-chr2-129199928-7
