#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_Naive.dn.bed
Merged-chr7-30665007-40	chr7	30664807	30665269	+	0.000	0.000	Merged-chr7-30665007-40
Merged-chr15-66883922-10	chr15	66883727	66884094	+	0.000	0.000	Merged-chr15-66883922-10
Merged-chr10-95699162-15	chr10	95698886	95699424	+	0.000	0.000	Merged-chr10-95699162-15
Merged-chr17-47533990-17	chr17	47533678	47534302	+	0.000	0.000	Merged-chr17-47533990-17
Merged-chr17-31855032-7	chr17	31854895	31855206	+	0.000	0.000	Merged-chr17-31855032-7
Merged-chr1-38884000-31	chr1	38883672	38884240	+	0.000	0.000	Merged-chr1-38884000-31
Merged-chr18-4350540-2	chr18	4350442	4350640	+	0.000	0.000	Merged-chr18-4350540-2
Merged-chr14-99943406-23	chr14	99943148	99943873	+	0.000	0.000	Merged-chr14-99943406-23
Merged-chr1-189602384-14	chr1	189602145	189602534	+	0.000	0.000	Merged-chr1-189602384-14
Merged-chr10-84014974-1	chr10	84014876	84015074	+	0.000	0.000	Merged-chr10-84014974-1
Merged-chr11-75195247-19	chr11	75194894	75195504	+	0.000	0.000	Merged-chr11-75195247-19
Merged-chr5-74195264-55	chr5	74195076	74195512	+	0.000	0.000	Merged-chr5-74195264-55
Merged-chr7-119866666-5	chr7	119866480	119866936	+	0.000	0.000	Merged-chr7-119866666-5
Merged-chr7-140265035-12	chr7	140264767	140265260	+	0.000	0.000	Merged-chr7-140265035-12
Merged-chr16-75863644-1	chr16	75863546	75863744	+	0.000	0.000	Merged-chr16-75863644-1
Merged-chr9-120080082-9	chr9	120079930	120080208	+	0.000	0.000	Merged-chr9-120080082-9
Merged-chr17-47564757-20	chr17	47564562	47564952	+	0.000	0.000	Merged-chr17-47564757-20
Merged-chr11-68436520-14	chr11	68436351	68436760	+	0.000	0.000	Merged-chr11-68436520-14
Merged-chr17-25255345-21	chr17	25255098	25255789	+	0.000	0.000	Merged-chr17-25255345-21
Merged-chr1-180335448-3	chr1	180335296	180335658	+	0.000	0.000	Merged-chr1-180335448-3
Merged-chr19-6980205-101	chr19	6979934	6980450	+	0.000	0.000	Merged-chr19-6980205-101
Merged-chr14-78686921-2	chr14	78686784	78687060	+	0.000	0.000	Merged-chr14-78686921-2
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr2-60810848-31	chr2	60810652	60811066	+	0.000	0.000	Merged-chr2-60810848-31
Merged-chr17-50171299-20	chr17	50171060	50171598	+	0.000	0.000	Merged-chr17-50171299-20
Merged-chr12-100544078-1	chr12	100543980	100544178	+	0.000	0.000	Merged-chr12-100544078-1
Merged-chr12-54985589-169	chr12	54984857	54985877	+	0.000	0.000	Merged-chr12-54985589-169
Merged-chrX-71378738-26	chrX	71378502	71378987	+	0.000	0.000	Merged-chrX-71378738-26
Merged-chr7-16373867-24	chr7	16373655	16374113	+	0.000	0.000	Merged-chr7-16373867-24
Merged-chr3-9974623-36	chr3	9974374	9974824	+	0.000	0.000	Merged-chr3-9974623-36
Merged-chr6-99655675-47	chr6	99655344	99655972	+	0.000	0.000	Merged-chr6-99655675-47
Merged-chr5-140210596-1	chr5	140210498	140210696	+	0.000	0.000	Merged-chr5-140210596-1
Merged-chr5-113563043-9	chr5	113562874	113563172	+	0.000	0.000	Merged-chr5-113563043-9
Merged-chr11-107452175-23	chr11	107451872	107452443	+	0.000	0.000	Merged-chr11-107452175-23
Merged-chr9-44344017-55	chr9	44343778	44344244	+	0.000	0.000	Merged-chr9-44344017-55
Merged-chr13-81657975-90	chr13	81657492	81658304	+	0.000	0.000	Merged-chr13-81657975-90
Merged-chr6-86806631-9	chr6	86806411	86806856	+	0.000	0.000	Merged-chr6-86806631-9
Merged-chr15-84654435-24	chr15	84654257	84654639	+	0.000	0.000	Merged-chr15-84654435-24
Merged-chr16-46103340-16	chr16	46103135	46103553	+	0.000	0.000	Merged-chr16-46103340-16
Merged-chr2-120153836-4	chr2	120153706	120153979	+	0.000	0.000	Merged-chr2-120153836-4
Merged-chr10-44429016-1	chr10	44428918	44429116	+	0.000	0.000	Merged-chr10-44429016-1
Merged-chr1-43496646-3	chr1	43496486	43496820	+	0.000	0.000	Merged-chr1-43496646-3
Merged-chr17-36167828-41	chr17	36167366	36168163	+	0.000	0.000	Merged-chr17-36167828-41
Merged-chr3-59258266-13	chr3	59258033	59258443	+	0.000	0.000	Merged-chr3-59258266-13
Merged-chr1-180388192-14	chr1	180388043	180388351	+	0.000	0.000	Merged-chr1-180388192-14
Merged-chr16-38353945-34	chr16	38353731	38354224	+	0.000	0.000	Merged-chr16-38353945-34
Merged-chr2-126500731-7	chr2	126500548	126500907	+	0.000	0.000	Merged-chr2-126500731-7
Merged-chr15-52750105-14	chr15	52749922	52750282	+	0.000	0.000	Merged-chr15-52750105-14
Merged-chr8-33641932-61	chr8	33641712	33642149	+	0.000	0.000	Merged-chr8-33641932-61
Merged-chr1-161767386-1	chr1	161767288	161767486	+	0.000	0.000	Merged-chr1-161767386-1
Merged-chr3-89964407-4	chr3	89964193	89964575	+	0.000	0.000	Merged-chr3-89964407-4
Merged-chr8-34108229-124	chr8	34107823	34108541	+	0.000	0.000	Merged-chr8-34108229-124
Merged-chr3-144023376-1	chr3	144023278	144023476	+	0.000	0.000	Merged-chr3-144023376-1
Merged-chr13-23551555-61	chr13	23551319	23551775	+	0.000	0.000	Merged-chr13-23551555-61
Merged-chr7-106526868-10	chr7	106526721	106527028	+	0.000	0.000	Merged-chr7-106526868-10
Merged-chr4-137641838-36	chr4	137641635	137642035	+	0.000	0.000	Merged-chr4-137641838-36
Merged-chr19-40708425-49	chr19	40708190	40708857	+	0.000	0.000	Merged-chr19-40708425-49
Merged-chr13-101589097-28	chr13	101588842	101589305	+	0.000	0.000	Merged-chr13-101589097-28
Merged-chr17-48426190-57	chr17	48425843	48426495	+	0.000	0.000	Merged-chr17-48426190-57
Merged-chr14-99865135-2	chr14	99865028	99865244	+	0.000	0.000	Merged-chr14-99865135-2
Merged-chr14-77848610-6	chr14	77848455	77848833	+	0.000	0.000	Merged-chr14-77848610-6
Merged-chr1-138964274-4	chr1	138964155	138964387	+	0.000	0.000	Merged-chr1-138964274-4
Merged-chr3-9867662-24	chr3	9867471	9867825	+	0.000	0.000	Merged-chr3-9867662-24
Merged-chr13-64153044-113	chr13	64152614	64153721	+	0.000	0.000	Merged-chr13-64153044-113
Merged-chr13-6081654-1	chr13	6081556	6081754	+	0.000	0.000	Merged-chr13-6081654-1
Merged-chr19-8723231-56	chr19	8722978	8723557	+	0.000	0.000	Merged-chr19-8723231-56
Merged-chr16-17131609-8	chr16	17131392	17131756	+	0.000	0.000	Merged-chr16-17131609-8
Merged-chr3-144013885-1	chr3	144013787	144013985	+	0.000	0.000	Merged-chr3-144013885-1
Merged-chr10-8177786-7	chr10	8177614	8177927	+	0.000	0.000	Merged-chr10-8177786-7
Merged-chr4-59190847-19	chr4	59190596	59191099	+	0.000	0.000	Merged-chr4-59190847-19
Merged-chr17-79020168-2	chr17	79020070	79020268	+	0.000	0.000	Merged-chr17-79020168-2
Merged-chr3-65416822-6	chr3	65416698	65416940	+	0.000	0.000	Merged-chr3-65416822-6
Merged-chr1-172502591-1	chr1	172502493	172502691	+	0.000	0.000	Merged-chr1-172502591-1
Merged-chr13-32833384-31	chr13	32833154	32833585	+	0.000	0.000	Merged-chr13-32833384-31
Merged-chr4-134123927-1	chr4	134123829	134124027	+	0.000	0.000	Merged-chr4-134123927-1
Merged-chr5-124022476-27	chr5	124022253	124022756	+	0.000	0.000	Merged-chr5-124022476-27
Merged-chr13-23521936-3	chr13	23521835	23522038	+	0.000	0.000	Merged-chr13-23521936-3
Merged-chr1-43299668-27	chr1	43299399	43299889	+	0.000	0.000	Merged-chr1-43299668-27
Merged-chr5-107698987-6	chr5	107698713	107699204	+	0.000	0.000	Merged-chr5-107698987-6
Merged-chr13-75845828-42	chr13	75845415	75846034	+	0.000	0.000	Merged-chr13-75845828-42
Merged-chr7-110223070-7	chr7	110222840	110223214	+	0.000	0.000	Merged-chr7-110223070-7
Merged-chr9-44041219-29	chr9	44040860	44041390	+	0.000	0.000	Merged-chr9-44041219-29
Merged-chr7-114161224-36	chr7	114160917	114161467	+	0.000	0.000	Merged-chr7-114161224-36
Merged-chr8-13686705-81	chr8	13686250	13686952	+	0.000	0.000	Merged-chr8-13686705-81
Merged-chr11-46458055-5	chr11	46457941	46458193	+	0.000	0.000	Merged-chr11-46458055-5
Merged-chr5-115013221-2	chr5	115013085	115013360	+	0.000	0.000	Merged-chr5-115013221-2
Merged-chr1-14560703-1	chr1	14560605	14560803	+	0.000	0.000	Merged-chr1-14560703-1
Merged-chr4-89393499-15	chr4	89393284	89393768	+	0.000	0.000	Merged-chr4-89393499-15
Merged-chr2-101288419-1	chr2	101288321	101288519	+	0.000	0.000	Merged-chr2-101288419-1
Merged-chr2-163745502-6	chr2	163745201	163745694	+	0.000	0.000	Merged-chr2-163745502-6
Merged-chr1-161801505-4	chr1	161801385	161801647	+	0.000	0.000	Merged-chr1-161801505-4
Merged-chr13-5862430-12	chr13	5862151	5862750	+	0.000	0.000	Merged-chr13-5862430-12
Merged-chr10-19598256-42	chr10	19598065	19598531	+	0.000	0.000	Merged-chr10-19598256-42
Merged-chrX-102157189-61	chrX	102156932	102157548	+	0.000	0.000	Merged-chrX-102157189-61
Merged-chr13-21721967-70	chr13	21721763	21722145	+	0.000	0.000	Merged-chr13-21721967-70
Merged-chr9-21265250-55	chr9	21265037	21265465	+	0.000	0.000	Merged-chr9-21265250-55
Merged-chr10-117839249-9	chr10	117838972	117839463	+	0.000	0.000	Merged-chr10-117839249-9
Merged-chr6-108607013-11	chr6	108606811	108607271	+	0.000	0.000	Merged-chr6-108607013-11
Merged-chr2-128159167-18	chr2	128158986	128159397	+	0.000	0.000	Merged-chr2-128159167-18
Merged-chr11-6444447-69	chr11	6444227	6444773	+	0.000	0.000	Merged-chr11-6444447-69
Merged-chr19-12571951-5	chr19	12571787	12572100	+	0.000	0.000	Merged-chr19-12571951-5
Merged-chr7-90341759-29	chr7	90341544	90342019	+	0.000	0.000	Merged-chr7-90341759-29
Merged-chr2-180741561-6	chr2	180741432	180741711	+	0.000	0.000	Merged-chr2-180741561-6
Merged-chr11-106961822-47	chr11	106961526	106962150	+	0.000	0.000	Merged-chr11-106961822-47
Merged-chr9-61925004-1	chr9	61924906	61925104	+	0.000	0.000	Merged-chr9-61925004-1
Merged-chr17-73970626-10	chr17	73970451	73970824	+	0.000	0.000	Merged-chr17-73970626-10
Merged-chr2-9876651-15	chr2	9876261	9877150	+	0.000	0.000	Merged-chr2-9876651-15
Merged-chr17-83862747-3	chr17	83862525	83862916	+	0.000	0.000	Merged-chr17-83862747-3
Merged-chr1-80181298-9	chr1	80181148	80181431	+	0.000	0.000	Merged-chr1-80181298-9
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr12-70219283-39	chr12	70219103	70219563	+	0.000	0.000	Merged-chr12-70219283-39
Merged-chr2-148594843-2	chr2	148594730	148594959	+	0.000	0.000	Merged-chr2-148594843-2
Merged-chr6-51593053-1	chr6	51592955	51593153	+	0.000	0.000	Merged-chr6-51593053-1
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chr1-171699154-28	chr1	171698863	171699467	+	0.000	0.000	Merged-chr1-171699154-28
Merged-chr18-84073759-5	chr18	84073578	84073956	+	0.000	0.000	Merged-chr18-84073759-5
Merged-chr6-129350099-25	chr6	129349824	129350500	+	0.000	0.000	Merged-chr6-129350099-25
Merged-chr12-16584018-49	chr12	16583366	16584438	+	0.000	0.000	Merged-chr12-16584018-49
Merged-chr11-109822566-4	chr11	109822464	109822672	+	0.000	0.000	Merged-chr11-109822566-4
Merged-chr1-125487640-13	chr1	125487347	125487934	+	0.000	0.000	Merged-chr1-125487640-13
Merged-chr15-78898744-12	chr15	78898596	78898915	+	0.000	0.000	Merged-chr15-78898744-12
Merged-chr4-133024379-9	chr4	133024085	133024543	+	0.000	0.000	Merged-chr4-133024379-9
Merged-chr7-90353995-46	chr7	90353761	90354202	+	0.000	0.000	Merged-chr7-90353995-46
Merged-chr13-113090850-10	chr13	113090688	113091159	+	0.000	0.000	Merged-chr13-113090850-10
Merged-chr3-9865758-64	chr3	9865430	9866037	+	0.000	0.000	Merged-chr3-9865758-64
Merged-chr11-5878307-47	chr11	5878128	5878545	+	0.000	0.000	Merged-chr11-5878307-47
Merged-chr18-73792678-3	chr18	73792554	73792792	+	0.000	0.000	Merged-chr18-73792678-3
Merged-chrX-8252507-67	chrX	8252197	8252775	+	0.000	0.000	Merged-chrX-8252507-67
Merged-chr11-55072689-24	chr11	55072482	55072894	+	0.000	0.000	Merged-chr11-55072689-24
Merged-chr13-119706684-31	chr13	119706375	119706974	+	0.000	0.000	Merged-chr13-119706684-31
Merged-chr7-80534916-95	chr7	80534678	80535100	+	0.000	0.000	Merged-chr7-80534916-95
Merged-chr10-89463808-10	chr10	89463628	89464065	+	0.000	0.000	Merged-chr10-89463808-10
Merged-chr13-55600391-79	chr13	55599808	55600990	+	0.000	0.000	Merged-chr13-55600391-79
Merged-chr18-57400941-35	chr18	57400701	57401177	+	0.000	0.000	Merged-chr18-57400941-35
Merged-chr5-112239781-12	chr5	112239663	112239907	+	0.000	0.000	Merged-chr5-112239781-12
Merged-chr7-120047666-1	chr7	120047568	120047766	+	0.000	0.000	Merged-chr7-120047666-1
Merged-chr9-124103386-22	chr9	124103123	124103577	+	0.000	0.000	Merged-chr9-124103386-22
Merged-chr5-24842624-94	chr5	24842152	24842940	+	0.000	0.000	Merged-chr5-24842624-94
Merged-chr12-55051446-14	chr12	55051237	55051710	+	0.000	0.000	Merged-chr12-55051446-14
Merged-chr2-79270307-14	chr2	79270058	79270543	+	0.000	0.000	Merged-chr2-79270307-14
Merged-chr9-32570830-16	chr9	32570600	32570985	+	0.000	0.000	Merged-chr9-32570830-16
Merged-chr5-9015309-72	chr5	9014878	9015739	+	0.000	0.000	Merged-chr5-9015309-72
Merged-chr11-98942713-4	chr11	98942608	98942816	+	0.000	0.000	Merged-chr11-98942713-4
Merged-chr17-87299066-53	chr17	87298673	87299391	+	0.000	0.000	Merged-chr17-87299066-53
Merged-chr17-35868234-36	chr17	35867521	35868626	+	0.000	0.000	Merged-chr17-35868234-36
Merged-chr14-25493554-23	chr14	25493301	25493879	+	0.000	0.000	Merged-chr14-25493554-23
Merged-chr2-52176630-15	chr2	52176409	52176850	+	0.000	0.000	Merged-chr2-52176630-15
Merged-chr11-5955638-79	chr11	5955402	5955907	+	0.000	0.000	Merged-chr11-5955638-79
Merged-chr5-93094073-7	chr5	93093846	93094266	+	0.000	0.000	Merged-chr5-93094073-7
Merged-chr19-45749414-69	chr19	45748915	45749790	+	0.000	0.000	Merged-chr19-45749414-69
Merged-chr18-4353243-81	chr18	4352755	4353701	+	0.000	0.000	Merged-chr18-4353243-81
Merged-chr13-101706581-30	chr13	101706371	101706776	+	0.000	0.000	Merged-chr13-101706581-30
Merged-chr12-24652044-2	chr12	24651911	24652180	+	0.000	0.000	Merged-chr12-24652044-2
Merged-chr2-128422805-32	chr2	128422601	128422972	+	0.000	0.000	Merged-chr2-128422805-32
Merged-chr7-67444614-20	chr7	67444418	67444828	+	0.000	0.000	Merged-chr7-67444614-20
Merged-chr2-60923694-43	chr2	60923074	60924117	+	0.000	0.000	Merged-chr2-60923694-43
Merged-chr6-42343728-43	chr6	42343441	42344074	+	0.000	0.000	Merged-chr6-42343728-43
Merged-chr1-21079276-92	chr1	21079017	21079569	+	0.000	0.000	Merged-chr1-21079276-92
Merged-chr5-85781215-4	chr5	85781048	85781396	+	0.000	0.000	Merged-chr5-85781215-4
Merged-chr6-135511219-1	chr6	135511121	135511319	+	0.000	0.000	Merged-chr6-135511219-1
Merged-chr4-134460498-5	chr4	134460317	134460698	+	0.000	0.000	Merged-chr4-134460498-5
Merged-chr1-54841959-50	chr1	54841731	54842221	+	0.000	0.000	Merged-chr1-54841959-50
Merged-chr3-9786855-28	chr3	9786588	9787101	+	0.000	0.000	Merged-chr3-9786855-28
Merged-chr9-123767195-6	chr9	123767009	123767366	+	0.000	0.000	Merged-chr9-123767195-6
Merged-chr13-5861346-118	chr13	5860983	5861929	+	0.000	0.000	Merged-chr13-5861346-118
Merged-chr6-82747432-7	chr6	82747261	82747627	+	0.000	0.000	Merged-chr6-82747432-7
Merged-chr4-134121781-8	chr4	134121636	134121971	+	0.000	0.000	Merged-chr4-134121781-8
Merged-chr6-97321339-36	chr6	97321165	97321547	+	0.000	0.000	Merged-chr6-97321339-36
Merged-chrX-36645202-80	chrX	36644943	36645452	+	0.000	0.000	Merged-chrX-36645202-80
Merged-chr5-32136493-5	chr5	32136271	32136722	+	0.000	0.000	Merged-chr5-32136493-5
Merged-chr17-26885722-4	chr17	26885614	26885832	+	0.000	0.000	Merged-chr17-26885722-4
Merged-chr18-89126622-17	chr18	89126438	89126816	+	0.000	0.000	Merged-chr18-89126622-17
Merged-chr3-104714697-56	chr3	104714095	104715317	+	0.000	0.000	Merged-chr3-104714697-56
Merged-chr9-41118206-38	chr9	41117822	41118460	+	0.000	0.000	Merged-chr9-41118206-38
Merged-chr15-78896310-38	chr15	78896028	78896545	+	0.000	0.000	Merged-chr15-78896310-38
Merged-chr3-137918603-81	chr3	137918330	137918904	+	0.000	0.000	Merged-chr3-137918603-81
