#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Tfh.up.bed
Merged-chr8-94191444-39	chr8	94191237	94191663	+	0.000	0.000	Merged-chr8-94191444-39
Merged-chr16-49807399-74	chr16	49807203	49807730	+	0.000	0.000	Merged-chr16-49807399-74
Merged-chr7-30665007-40	chr7	30664807	30665269	+	0.000	0.000	Merged-chr7-30665007-40
Merged-chr1-40542966-13	chr1	40542744	40543156	+	0.000	0.000	Merged-chr1-40542966-13
Merged-chrX-85870308-29	chrX	85869828	85870687	+	0.000	0.000	Merged-chrX-85870308-29
Merged-chr17-47533990-17	chr17	47533678	47534302	+	0.000	0.000	Merged-chr17-47533990-17
Merged-chr17-31855032-7	chr17	31854895	31855206	+	0.000	0.000	Merged-chr17-31855032-7
Merged-chr1-38884000-31	chr1	38883672	38884240	+	0.000	0.000	Merged-chr1-38884000-31
Merged-chr18-4350540-2	chr18	4350442	4350640	+	0.000	0.000	Merged-chr18-4350540-2
Merged-chr14-20180981-13	chr14	20180713	20181154	+	0.000	0.000	Merged-chr14-20180981-13
Merged-chr2-167337077-7	chr2	167336879	167337233	+	0.000	0.000	Merged-chr2-167337077-7
Merged-chr15-36786726-22	chr15	36786434	36786963	+	0.000	0.000	Merged-chr15-36786726-22
Merged-chr2-118658566-8	chr2	118658406	118658780	+	0.000	0.000	Merged-chr2-118658566-8
Merged-chr18-56718597-44	chr18	56718323	56718890	+	0.000	0.000	Merged-chr18-56718597-44
Merged-chr1-60904643-1	chr1	60904545	60904743	+	0.000	0.000	Merged-chr1-60904643-1
Merged-chr11-75195247-19	chr11	75194894	75195504	+	0.000	0.000	Merged-chr11-75195247-19
Merged-chr1-127646440-21	chr1	127646110	127646636	+	0.000	0.000	Merged-chr1-127646440-21
Merged-chr16-75863644-1	chr16	75863546	75863744	+	0.000	0.000	Merged-chr16-75863644-1
Merged-chr17-47564757-20	chr17	47564562	47564952	+	0.000	0.000	Merged-chr17-47564757-20
Merged-chr5-24841320-1	chr5	24841222	24841420	+	0.000	0.000	Merged-chr5-24841320-1
Merged-chr17-25255345-21	chr17	25255098	25255789	+	0.000	0.000	Merged-chr17-25255345-21
Merged-chr3-59219511-3	chr3	59219398	59219636	+	0.000	0.000	Merged-chr3-59219511-3
Merged-chr6-50503365-20	chr6	50503066	50503658	+	0.000	0.000	Merged-chr6-50503365-20
Merged-chr19-6980205-101	chr19	6979934	6980450	+	0.000	0.000	Merged-chr19-6980205-101
Merged-chr7-100121422-67	chr7	100121216	100121664	+	0.000	0.000	Merged-chr7-100121422-67
Merged-chr7-140987400-4	chr7	140987221	140987534	+	0.000	0.000	Merged-chr7-140987400-4
Merged-chr11-57962717-47	chr11	57962510	57962939	+	0.000	0.000	Merged-chr11-57962717-47
Merged-chr16-10959125-1	chr16	10959027	10959225	+	0.000	0.000	Merged-chr16-10959125-1
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr2-60810848-31	chr2	60810652	60811066	+	0.000	0.000	Merged-chr2-60810848-31
Merged-chr1-182520243-48	chr1	182519970	182520715	+	0.000	0.000	Merged-chr1-182520243-48
Merged-chr8-86821129-24	chr8	86820923	86821350	+	0.000	0.000	Merged-chr8-86821129-24
Merged-chr17-50171299-20	chr17	50171060	50171598	+	0.000	0.000	Merged-chr17-50171299-20
Merged-chr12-54985589-169	chr12	54984857	54985877	+	0.000	0.000	Merged-chr12-54985589-169
Merged-chr16-36682013-4	chr16	36681876	36682141	+	0.000	0.000	Merged-chr16-36682013-4
Merged-chrX-71378738-26	chrX	71378502	71378987	+	0.000	0.000	Merged-chrX-71378738-26
Merged-chr7-16373867-24	chr7	16373655	16374113	+	0.000	0.000	Merged-chr7-16373867-24
Merged-chr3-9974623-36	chr3	9974374	9974824	+	0.000	0.000	Merged-chr3-9974623-36
Merged-chr11-117782210-31	chr11	117781828	117782490	+	0.000	0.000	Merged-chr11-117782210-31
Merged-chr5-140210596-1	chr5	140210498	140210696	+	0.000	0.000	Merged-chr5-140210596-1
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr6-108713801-1	chr6	108713703	108713901	+	0.000	0.000	Merged-chr6-108713801-1
Merged-chr13-56197713-35	chr13	56197505	56197943	+	0.000	0.000	Merged-chr13-56197713-35
Merged-chr3-101224387-31	chr3	101224155	101224567	+	0.000	0.000	Merged-chr3-101224387-31
Merged-chr11-107452175-23	chr11	107451872	107452443	+	0.000	0.000	Merged-chr11-107452175-23
Merged-chr1-161748373-32	chr1	161748179	161748645	+	0.000	0.000	Merged-chr1-161748373-32
Merged-chr5-139290875-38	chr5	139290611	139291146	+	0.000	0.000	Merged-chr5-139290875-38
Merged-chr9-44344017-55	chr9	44343778	44344244	+	0.000	0.000	Merged-chr9-44344017-55
Merged-chr6-86806631-9	chr6	86806411	86806856	+	0.000	0.000	Merged-chr6-86806631-9
Merged-chr10-18923473-26	chr10	18923257	18923726	+	0.000	0.000	Merged-chr10-18923473-26
Merged-chr3-9921866-1	chr3	9921768	9921966	+	0.000	0.000	Merged-chr3-9921866-1
Merged-chr4-8854131-25	chr4	8853958	8854344	+	0.000	0.000	Merged-chr4-8854131-25
Merged-chr11-101173813-57	chr11	101173531	101174081	+	0.000	0.000	Merged-chr11-101173813-57
Merged-chr1-43496646-3	chr1	43496486	43496820	+	0.000	0.000	Merged-chr1-43496646-3
Merged-chr17-36167828-41	chr17	36167366	36168163	+	0.000	0.000	Merged-chr17-36167828-41
Merged-chr11-72954617-1	chr11	72954519	72954717	+	0.000	0.000	Merged-chr11-72954617-1
Merged-chr3-59258266-13	chr3	59258033	59258443	+	0.000	0.000	Merged-chr3-59258266-13
Merged-chr15-76037668-45	chr15	76037427	76037974	+	0.000	0.000	Merged-chr15-76037668-45
Merged-chr17-29094794-108	chr17	29093527	29095765	+	0.000	0.000	Merged-chr17-29094794-108
Merged-chr1-180388192-14	chr1	180388043	180388351	+	0.000	0.000	Merged-chr1-180388192-14
Merged-chr2-126500731-7	chr2	126500548	126500907	+	0.000	0.000	Merged-chr2-126500731-7
Merged-chr4-133844550-10	chr4	133844183	133844838	+	0.000	0.000	Merged-chr4-133844550-10
Merged-chr8-33641932-61	chr8	33641712	33642149	+	0.000	0.000	Merged-chr8-33641932-61
Merged-chr1-161767386-1	chr1	161767288	161767486	+	0.000	0.000	Merged-chr1-161767386-1
Merged-chr5-34637135-1	chr5	34637037	34637235	+	0.000	0.000	Merged-chr5-34637135-1
Merged-chr18-23804426-15	chr18	23804320	23804544	+	0.000	0.000	Merged-chr18-23804426-15
Merged-chr3-89964407-4	chr3	89964193	89964575	+	0.000	0.000	Merged-chr3-89964407-4
Merged-chr19-43520668-20	chr19	43520540	43520827	+	0.000	0.000	Merged-chr19-43520668-20
Merged-chr8-34108229-124	chr8	34107823	34108541	+	0.000	0.000	Merged-chr8-34108229-124
Merged-chr13-23551555-61	chr13	23551319	23551775	+	0.000	0.000	Merged-chr13-23551555-61
Merged-chr7-28693715-55	chr7	28693438	28694100	+	0.000	0.000	Merged-chr7-28693715-55
Merged-chr7-106526868-10	chr7	106526721	106527028	+	0.000	0.000	Merged-chr7-106526868-10
Merged-chr3-137934133-15	chr3	137933902	137934311	+	0.000	0.000	Merged-chr3-137934133-15
Merged-chr13-45932644-29	chr13	45932413	45932938	+	0.000	0.000	Merged-chr13-45932644-29
Merged-chr10-127177268-1	chr10	127177170	127177368	+	0.000	0.000	Merged-chr10-127177268-1
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr8-13675081-76	chr8	13674623	13675436	+	0.000	0.000	Merged-chr8-13675081-76
Merged-chr9-64797036-1	chr9	64796938	64797136	+	0.000	0.000	Merged-chr9-64797036-1
Merged-chr16-38476690-56	chr16	38476352	38477118	+	0.000	0.000	Merged-chr16-38476690-56
Merged-chr18-84079336-1	chr18	84079238	84079436	+	0.000	0.000	Merged-chr18-84079336-1
Merged-chr17-44569876-1	chr17	44569778	44569976	+	0.000	0.000	Merged-chr17-44569876-1
Merged-chr14-99865135-2	chr14	99865028	99865244	+	0.000	0.000	Merged-chr14-99865135-2
Merged-chr14-77848610-6	chr14	77848455	77848833	+	0.000	0.000	Merged-chr14-77848610-6
Merged-chr1-138964274-4	chr1	138964155	138964387	+	0.000	0.000	Merged-chr1-138964274-4
Merged-chr1-153061689-5	chr1	153061472	153061872	+	0.000	0.000	Merged-chr1-153061689-5
Merged-chr13-6081654-1	chr13	6081556	6081754	+	0.000	0.000	Merged-chr13-6081654-1
Merged-chr2-65238613-163	chr2	65238346	65239218	+	0.000	0.000	Merged-chr2-65238613-163
Merged-chr7-75794140-5	chr7	75793896	75794330	+	0.000	0.000	Merged-chr7-75794140-5
Merged-chr15-5239618-2	chr15	5239516	5239723	+	0.000	0.000	Merged-chr15-5239618-2
Merged-chr2-125724208-99	chr2	125723415	125724945	+	0.000	0.000	Merged-chr2-125724208-99
Merged-chr7-114066923-10	chr7	114066635	114067127	+	0.000	0.000	Merged-chr7-114066923-10
Merged-chr19-8723231-56	chr19	8722978	8723557	+	0.000	0.000	Merged-chr19-8723231-56
Merged-chr8-120832220-19	chr8	120831975	120832440	+	0.000	0.000	Merged-chr8-120832220-19
Merged-chr16-17131609-8	chr16	17131392	17131756	+	0.000	0.000	Merged-chr16-17131609-8
Merged-chr18-20982591-12	chr18	20982391	20982829	+	0.000	0.000	Merged-chr18-20982591-12
Merged-chr10-8177786-7	chr10	8177614	8177927	+	0.000	0.000	Merged-chr10-8177786-7
Merged-chr5-30073390-59	chr5	30073005	30073751	+	0.000	0.000	Merged-chr5-30073390-59
Merged-chr4-59190847-19	chr4	59190596	59191099	+	0.000	0.000	Merged-chr4-59190847-19
