#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
Merged-chr10-60038472-15	chr10	60038275	60038653	+	0.000	0.000	Merged-chr10-60038472-15
Merged-chr2-17672509-1	chr2	17672411	17672609	+	0.000	0.000	Merged-chr2-17672509-1
Merged-chr12-117639216-79	chr12	117638625	117639742	+	0.000	0.000	Merged-chr12-117639216-79
Merged-chr12-73923880-28	chr12	73923690	73924076	+	0.000	0.000	Merged-chr12-73923880-28
Merged-chr6-134065266-5	chr6	134065096	134065437	+	0.000	0.000	Merged-chr6-134065266-5
Merged-chr8-79375141-3	chr8	79374988	79375283	+	0.000	0.000	Merged-chr8-79375141-3
Merged-chr11-3331619-2	chr11	3331521	3331719	+	0.000	0.000	Merged-chr11-3331619-2
Merged-chr5-100675060-26	chr5	100674874	100675288	+	0.000	0.000	Merged-chr5-100675060-26
Merged-chr10-118797511-13	chr10	118797353	118797685	+	0.000	0.000	Merged-chr10-118797511-13
Merged-chr14-118705752-1	chr14	118705654	118705852	+	0.000	0.000	Merged-chr14-118705752-1
Merged-chr17-3081586-1	chr17	3081488	3081686	+	0.000	0.000	Merged-chr17-3081586-1
Merged-chr4-63852768-8	chr4	63852615	63852979	+	0.000	0.000	Merged-chr4-63852768-8
Merged-chr4-32239199-133	chr4	32238811	32239429	+	0.000	0.000	Merged-chr4-32239199-133
Merged-chr11-32020422-50	chr11	32019990	32020648	+	0.000	0.000	Merged-chr11-32020422-50
Merged-chrX-75734287-49	chrX	75733804	75734533	+	0.000	0.000	Merged-chrX-75734287-49
Merged-chr6-67480682-22	chr6	67480267	67481014	+	0.000	0.000	Merged-chr6-67480682-22
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr10-19122454-26	chr10	19122224	19122660	+	0.000	0.000	Merged-chr10-19122454-26
