#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_WT_Th1.dn.bed
Merged-chr7-49822338-8	chr7	49822164	49822503	+	0.000	0.000	Merged-chr7-49822338-8
Merged-chr11-97996066-44	chr11	97995873	97996339	+	0.000	0.000	Merged-chr11-97996066-44
Merged-chr11-69420254-1	chr11	69420156	69420354	+	0.000	0.000	Merged-chr11-69420254-1
Merged-chr11-115707585-1	chr11	115707487	115707685	+	0.000	0.000	Merged-chr11-115707585-1
Merged-chr16-11565406-13	chr16	11564942	11565636	+	0.000	0.000	Merged-chr16-11565406-13
Merged-chr7-138846228-109	chr7	138845862	138846519	+	0.000	0.000	Merged-chr7-138846228-109
Merged-chr5-137159720-6	chr5	137159586	137159902	+	0.000	0.000	Merged-chr5-137159720-6
Merged-chr1-131085349-9	chr1	131085210	131085524	+	0.000	0.000	Merged-chr1-131085349-9
Merged-chr12-117639216-79	chr12	117638625	117639742	+	0.000	0.000	Merged-chr12-117639216-79
Merged-chr1-180922382-17	chr1	180922175	180922690	+	0.000	0.000	Merged-chr1-180922382-17
Merged-chr12-54188383-1	chr12	54188285	54188483	+	0.000	0.000	Merged-chr12-54188383-1
Merged-chr15-53309792-8	chr15	53309522	53309977	+	0.000	0.000	Merged-chr15-53309792-8
Merged-chr7-24373607-36	chr7	24373355	24373859	+	0.000	0.000	Merged-chr7-24373607-36
Merged-chr1-172148309-80	chr1	172147867	172148540	+	0.000	0.000	Merged-chr1-172148309-80
Merged-chr5-97095556-15	chr5	97095299	97095811	+	0.000	0.000	Merged-chr5-97095556-15
Merged-chr19-32153668-1	chr19	32153570	32153768	+	0.000	0.000	Merged-chr19-32153668-1
Merged-chr6-134065266-5	chr6	134065096	134065437	+	0.000	0.000	Merged-chr6-134065266-5
Merged-chr15-27466741-82	chr15	27466401	27467104	+	0.000	0.000	Merged-chr15-27466741-82
Merged-chr11-90250924-1	chr11	90250826	90251024	+	0.000	0.000	Merged-chr11-90250924-1
Merged-chr7-141265860-151	chr7	141265565	141266462	+	0.000	0.000	Merged-chr7-141265860-151
Merged-chr1-39918723-4	chr1	39918586	39918871	+	0.000	0.000	Merged-chr1-39918723-4
Merged-chr18-50017689-1	chr18	50017591	50017789	+	0.000	0.000	Merged-chr18-50017689-1
Merged-chr11-3331619-2	chr11	3331521	3331719	+	0.000	0.000	Merged-chr11-3331619-2
Merged-chr12-80109164-14	chr12	80108998	80109361	+	0.000	0.000	Merged-chr12-80109164-14
Merged-chr8-72354274-101	chr8	72353659	72354747	+	0.000	0.000	Merged-chr8-72354274-101
Merged-chr15-79934945-2	chr15	79934823	79935070	+	0.000	0.000	Merged-chr15-79934945-2
Merged-chr5-100675060-26	chr5	100674874	100675288	+	0.000	0.000	Merged-chr5-100675060-26
Merged-chr1-153675831-16	chr1	153675532	153676089	+	0.000	0.000	Merged-chr1-153675831-16
Merged-chr5-146794783-76	chr5	146794504	146795097	+	0.000	0.000	Merged-chr5-146794783-76
Merged-chr3-137867826-61	chr3	137867256	137868076	+	0.000	0.000	Merged-chr3-137867826-61
Merged-chr7-141270891-9	chr7	141270757	141271064	+	0.000	0.000	Merged-chr7-141270891-9
Merged-chr5-134187547-1	chr5	134187449	134187647	+	0.000	0.000	Merged-chr5-134187547-1
Merged-chr18-54901247-4	chr18	54901022	54901541	+	0.000	0.000	Merged-chr18-54901247-4
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr6-134217908-11	chr6	134217769	134218087	+	0.000	0.000	Merged-chr6-134217908-11
Merged-chr2-136008735-1	chr2	136008637	136008835	+	0.000	0.000	Merged-chr2-136008735-1
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr2-174312342-26	chr2	174312067	174312529	+	0.000	0.000	Merged-chr2-174312342-26
Merged-chr10-96624524-1	chr10	96624426	96624624	+	0.000	0.000	Merged-chr10-96624524-1
Merged-chr16-57423352-49	chr16	57423181	57423571	+	0.000	0.000	Merged-chr16-57423352-49
Merged-chr14-14013648-4	chr14	14013489	14013785	+	0.000	0.000	Merged-chr14-14013648-4
Merged-chr9-61664278-40	chr9	61664108	61664543	+	0.000	0.000	Merged-chr9-61664278-40
Merged-chr14-8632387-8	chr14	8632184	8632583	+	0.000	0.000	Merged-chr14-8632387-8
Merged-chr11-53590634-41	chr11	53590438	53590944	+	0.000	0.000	Merged-chr11-53590634-41
Merged-chr6-73248594-64	chr6	73248166	73248920	+	0.000	0.000	Merged-chr6-73248594-64
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr2-174566072-46	chr2	174565900	174566250	+	0.000	0.000	Merged-chr2-174566072-46
Merged-chr15-57696203-3	chr15	57696079	57696332	+	0.000	0.000	Merged-chr15-57696203-3
Merged-chr4-44173421-4	chr4	44173277	44173578	+	0.000	0.000	Merged-chr4-44173421-4
Merged-chr7-49520386-1	chr7	49520288	49520486	+	0.000	0.000	Merged-chr7-49520386-1
Merged-chr2-117447085-57	chr2	117446865	117447378	+	0.000	0.000	Merged-chr2-117447085-57
Merged-chr2-167689291-96	chr2	167688631	167689555	+	0.000	0.000	Merged-chr2-167689291-96
Merged-chr1-136609076-3	chr1	136608962	136609200	+	0.000	0.000	Merged-chr1-136609076-3
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr2-173659827-104	chr2	173659411	173660116	+	0.000	0.000	Merged-chr2-173659827-104
Merged-chr3-129533518-164	chr3	129532922	129534390	+	0.000	0.000	Merged-chr3-129533518-164
Merged-chr11-3328528-3	chr11	3328422	3328633	+	0.000	0.000	Merged-chr11-3328528-3
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr2-170117129-44	chr2	170116742	170117730	+	0.000	0.000	Merged-chr2-170117129-44
Merged-chr15-27856538-51	chr15	27856271	27856806	+	0.000	0.000	Merged-chr15-27856538-51
Merged-chr15-79038073-11	chr15	79037941	79038206	+	0.000	0.000	Merged-chr15-79038073-11
Merged-chr17-25785502-40	chr17	25785262	25785706	+	0.000	0.000	Merged-chr17-25785502-40
Merged-chr1-6272359-19	chr1	6272118	6272557	+	0.000	0.000	Merged-chr1-6272359-19
Merged-chr4-86713710-23	chr4	86713523	86713886	+	0.000	0.000	Merged-chr4-86713710-23
Merged-chr10-39385441-1	chr10	39385343	39385541	+	0.000	0.000	Merged-chr10-39385441-1
Merged-chr8-105496928-38	chr8	105496719	105497139	+	0.000	0.000	Merged-chr8-105496928-38
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr10-71365210-11	chr10	71365035	71365389	+	0.000	0.000	Merged-chr10-71365210-11
Merged-chr19-46509464-9	chr19	46509328	46509581	+	0.000	0.000	Merged-chr19-46509464-9
Merged-chr2-103662304-51	chr2	103662085	103662712	+	0.000	0.000	Merged-chr2-103662304-51
Merged-chr3-94952944-28	chr3	94952359	94953193	+	0.000	0.000	Merged-chr3-94952944-28
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr19-57123944-45	chr19	57123749	57124144	+	0.000	0.000	Merged-chr19-57123944-45
Merged-chr13-55444770-148	chr13	55444289	55445182	+	0.000	0.000	Merged-chr13-55444770-148
Merged-chr19-45015575-58	chr19	45015021	45016017	+	0.000	0.000	Merged-chr19-45015575-58
Merged-chr8-14941287-35	chr8	14941111	14941441	+	0.000	0.000	Merged-chr8-14941287-35
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr11-69633408-1	chr11	69633310	69633508	+	0.000	0.000	Merged-chr11-69633408-1
Merged-chr6-99375217-98	chr6	99374339	99375903	+	0.000	0.000	Merged-chr6-99375217-98
Merged-chr15-93694661-9	chr15	93694389	93694949	+	0.000	0.000	Merged-chr15-93694661-9
Merged-chr8-124020004-4	chr8	124019861	124020139	+	0.000	0.000	Merged-chr8-124020004-4
Merged-chr8-128352989-24	chr8	128352771	128353184	+	0.000	0.000	Merged-chr8-128352989-24
Merged-chr7-73542202-1	chr7	73542104	73542302	+	0.000	0.000	Merged-chr7-73542202-1
Merged-chr15-93581886-25	chr15	93581654	93582088	+	0.000	0.000	Merged-chr15-93581886-25
Merged-chr14-54464203-140	chr14	54463600	54464495	+	0.000	0.000	Merged-chr14-54464203-140
Merged-chr9-7870801-10	chr9	7870572	7871086	+	0.000	0.000	Merged-chr9-7870801-10
Merged-chr12-36042318-87	chr12	36042072	36042769	+	0.000	0.000	Merged-chr12-36042318-87
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr16-45024089-23	chr16	45023904	45024332	+	0.000	0.000	Merged-chr16-45024089-23
Merged-chr15-97970403-1	chr15	97970305	97970503	+	0.000	0.000	Merged-chr15-97970403-1
Merged-chr1-69454132-24	chr1	69453805	69454490	+	0.000	0.000	Merged-chr1-69454132-24
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
Merged-chr15-100041039-1	chr15	100040941	100041139	+	0.000	0.000	Merged-chr15-100041039-1
Merged-chr3-51652658-59	chr3	51652378	51653086	+	0.000	0.000	Merged-chr3-51652658-59
Merged-chr7-141070304-10	chr7	141069995	141070593	+	0.000	0.000	Merged-chr7-141070304-10
Merged-chr11-98003511-2	chr11	98003409	98003615	+	0.000	0.000	Merged-chr11-98003511-2
Merged-chr15-99365057-34	chr15	99364786	99365250	+	0.000	0.000	Merged-chr15-99365057-34
Merged-chr7-24884343-81	chr7	24884071	24884562	+	0.000	0.000	Merged-chr7-24884343-81
Merged-chr9-61501561-3	chr9	61501418	61501716	+	0.000	0.000	Merged-chr9-61501561-3
Merged-chr11-119352427-33	chr11	119352120	119352642	+	0.000	0.000	Merged-chr11-119352427-33
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr12-112959295-1	chr12	112959197	112959395	+	0.000	0.000	Merged-chr12-112959295-1
