#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_Naive.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_Naive.up.bed
Merged-chr9-123818061-5	chr9	123817884	123818236	+	0.000	0.000	Merged-chr9-123818061-5
Merged-chr8-94191444-39	chr8	94191237	94191663	+	0.000	0.000	Merged-chr8-94191444-39
Merged-chr16-49807399-74	chr16	49807203	49807730	+	0.000	0.000	Merged-chr16-49807399-74
Merged-chr1-40542966-13	chr1	40542744	40543156	+	0.000	0.000	Merged-chr1-40542966-13
Merged-chrX-85870308-29	chrX	85869828	85870687	+	0.000	0.000	Merged-chrX-85870308-29
Merged-chr8-78509175-167	chr8	78508828	78509532	+	0.000	0.000	Merged-chr8-78509175-167
Merged-chr3-144087614-1	chr3	144087516	144087714	+	0.000	0.000	Merged-chr3-144087614-1
Merged-chr1-14755599-24	chr1	14755207	14755885	+	0.000	0.000	Merged-chr1-14755599-24
Merged-chr12-99392913-146	chr12	99392584	99393546	+	0.000	0.000	Merged-chr12-99392913-146
Merged-chr14-20180981-13	chr14	20180713	20181154	+	0.000	0.000	Merged-chr14-20180981-13
Merged-chr2-167337077-7	chr2	167336879	167337233	+	0.000	0.000	Merged-chr2-167337077-7
Merged-chr9-123872293-49	chr9	123872062	123872623	+	0.000	0.000	Merged-chr9-123872293-49
Merged-chr15-36786726-22	chr15	36786434	36786963	+	0.000	0.000	Merged-chr15-36786726-22
Merged-chr10-120191486-19	chr10	120191315	120191667	+	0.000	0.000	Merged-chr10-120191486-19
Merged-chr9-69068633-33	chr9	69068299	69069009	+	0.000	0.000	Merged-chr9-69068633-33
Merged-chr2-118658566-8	chr2	118658406	118658780	+	0.000	0.000	Merged-chr2-118658566-8
Merged-chr15-12026330-26	chr15	12026113	12026573	+	0.000	0.000	Merged-chr15-12026330-26
Merged-chr3-152192463-77	chr3	152191841	152193106	+	0.000	0.000	Merged-chr3-152192463-77
Merged-chr18-56718597-44	chr18	56718323	56718890	+	0.000	0.000	Merged-chr18-56718597-44
Merged-chr19-8990076-115	chr19	8989185	8991188	+	0.000	0.000	Merged-chr19-8990076-115
Merged-chr1-60904643-1	chr1	60904545	60904743	+	0.000	0.000	Merged-chr1-60904643-1
Merged-chr17-79348160-59	chr17	79347900	79348466	+	0.000	0.000	Merged-chr17-79348160-59
Merged-chr12-102697187-2	chr12	102697015	102697361	+	0.000	0.000	Merged-chr12-102697187-2
Merged-chr7-118480562-29	chr7	118480125	118481038	+	0.000	0.000	Merged-chr7-118480562-29
Merged-chr1-127646440-21	chr1	127646110	127646636	+	0.000	0.000	Merged-chr1-127646440-21
Merged-chr10-108173378-25	chr10	108173150	108173623	+	0.000	0.000	Merged-chr10-108173378-25
Merged-chr16-59517652-60	chr16	59517414	59518092	+	0.000	0.000	Merged-chr16-59517652-60
Merged-chr5-24841320-1	chr5	24841222	24841420	+	0.000	0.000	Merged-chr5-24841320-1
Merged-chr9-48793966-3	chr9	48793820	48794106	+	0.000	0.000	Merged-chr9-48793966-3
Merged-chr3-59219511-3	chr3	59219398	59219636	+	0.000	0.000	Merged-chr3-59219511-3
Merged-chr11-67563906-19	chr11	67563693	67564152	+	0.000	0.000	Merged-chr11-67563906-19
Merged-chr12-103116842-39	chr12	103116599	103117047	+	0.000	0.000	Merged-chr12-103116842-39
Merged-chr14-78631890-10	chr14	78631598	78632170	+	0.000	0.000	Merged-chr14-78631890-10
Merged-chr6-50503365-20	chr6	50503066	50503658	+	0.000	0.000	Merged-chr6-50503365-20
Merged-chr1-60909940-1	chr1	60909842	60910040	+	0.000	0.000	Merged-chr1-60909940-1
Merged-chr17-56911797-14	chr17	56911644	56911966	+	0.000	0.000	Merged-chr17-56911797-14
Merged-chr10-95395228-39	chr10	95394943	95395487	+	0.000	0.000	Merged-chr10-95395228-39
Merged-chr7-100121422-67	chr7	100121216	100121664	+	0.000	0.000	Merged-chr7-100121422-67
Merged-chr7-140987400-4	chr7	140987221	140987534	+	0.000	0.000	Merged-chr7-140987400-4
Merged-chr18-70598988-36	chr18	70598735	70599258	+	0.000	0.000	Merged-chr18-70598988-36
Merged-chr11-57962717-47	chr11	57962510	57962939	+	0.000	0.000	Merged-chr11-57962717-47
Merged-chr16-10959125-1	chr16	10959027	10959225	+	0.000	0.000	Merged-chr16-10959125-1
Merged-chr18-70579133-5	chr18	70578985	70579371	+	0.000	0.000	Merged-chr18-70579133-5
Merged-chr1-182520243-48	chr1	182519970	182520715	+	0.000	0.000	Merged-chr1-182520243-48
Merged-chr8-86821129-24	chr8	86820923	86821350	+	0.000	0.000	Merged-chr8-86821129-24
Merged-chr1-97622893-1	chr1	97622795	97622993	+	0.000	0.000	Merged-chr1-97622893-1
Merged-chr16-36682013-4	chr16	36681876	36682141	+	0.000	0.000	Merged-chr16-36682013-4
Merged-chr2-144331122-48	chr2	144330616	144331604	+	0.000	0.000	Merged-chr2-144331122-48
Merged-chr11-117782210-31	chr11	117781828	117782490	+	0.000	0.000	Merged-chr11-117782210-31
Merged-chr8-106022605-23	chr8	106022327	106022872	+	0.000	0.000	Merged-chr8-106022605-23
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr6-108713801-1	chr6	108713703	108713901	+	0.000	0.000	Merged-chr6-108713801-1
Merged-chr13-56197713-35	chr13	56197505	56197943	+	0.000	0.000	Merged-chr13-56197713-35
Merged-chr3-101224387-31	chr3	101224155	101224567	+	0.000	0.000	Merged-chr3-101224387-31
Merged-chr1-161748373-32	chr1	161748179	161748645	+	0.000	0.000	Merged-chr1-161748373-32
Merged-chr2-129198055-2	chr2	129197878	129198235	+	0.000	0.000	Merged-chr2-129198055-2
Merged-chr5-139290875-38	chr5	139290611	139291146	+	0.000	0.000	Merged-chr5-139290875-38
Merged-chr6-122756168-13	chr6	122755953	122756404	+	0.000	0.000	Merged-chr6-122756168-13
Merged-chr17-31829113-6	chr17	31828959	31829263	+	0.000	0.000	Merged-chr17-31829113-6
Merged-chr18-57362721-19	chr18	57362358	57363059	+	0.000	0.000	Merged-chr18-57362721-19
Merged-chr10-18923473-26	chr10	18923257	18923726	+	0.000	0.000	Merged-chr10-18923473-26
Merged-chr3-137833460-41	chr3	137832970	137834061	+	0.000	0.000	Merged-chr3-137833460-41
Merged-chr3-9921866-1	chr3	9921768	9921966	+	0.000	0.000	Merged-chr3-9921866-1
Merged-chr5-135537864-88	chr5	135537381	135538148	+	0.000	0.000	Merged-chr5-135537864-88
Merged-chr17-5828409-23	chr17	5828148	5828656	+	0.000	0.000	Merged-chr17-5828409-23
Merged-chrX-85918591-4	chrX	85918438	85918773	+	0.000	0.000	Merged-chrX-85918591-4
Merged-chr4-8854131-25	chr4	8853958	8854344	+	0.000	0.000	Merged-chr4-8854131-25
Merged-chr11-101173813-57	chr11	101173531	101174081	+	0.000	0.000	Merged-chr11-101173813-57
Merged-chr10-77626899-11	chr10	77626732	77627106	+	0.000	0.000	Merged-chr10-77626899-11
Merged-chr18-56738127-1	chr18	56738029	56738227	+	0.000	0.000	Merged-chr18-56738127-1
Merged-chr1-161745053-28	chr1	161744728	161745259	+	0.000	0.000	Merged-chr1-161745053-28
Merged-chr2-9564226-15	chr2	9564033	9564436	+	0.000	0.000	Merged-chr2-9564226-15
Merged-chr11-72954617-1	chr11	72954519	72954717	+	0.000	0.000	Merged-chr11-72954617-1
Merged-chr9-122998941-71	chr9	122998556	122999638	+	0.000	0.000	Merged-chr9-122998941-71
Merged-chr15-76037668-45	chr15	76037427	76037974	+	0.000	0.000	Merged-chr15-76037668-45
Merged-chr17-29094794-108	chr17	29093527	29095765	+	0.000	0.000	Merged-chr17-29094794-108
Merged-chr4-9641752-1	chr4	9641654	9641852	+	0.000	0.000	Merged-chr4-9641752-1
Merged-chr18-66478119-35	chr18	66477751	66478372	+	0.000	0.000	Merged-chr18-66478119-35
Merged-chr4-133844550-10	chr4	133844183	133844838	+	0.000	0.000	Merged-chr4-133844550-10
Merged-chr8-68837841-13	chr8	68837614	68838007	+	0.000	0.000	Merged-chr8-68837841-13
Merged-chr6-129680529-50	chr6	129680355	129680775	+	0.000	0.000	Merged-chr6-129680529-50
Merged-chr8-13649370-68	chr8	13649069	13649612	+	0.000	0.000	Merged-chr8-13649370-68
Merged-chr5-34637135-1	chr5	34637037	34637235	+	0.000	0.000	Merged-chr5-34637135-1
Merged-chr18-23804426-15	chr18	23804320	23804544	+	0.000	0.000	Merged-chr18-23804426-15
Merged-chr5-72202096-40	chr5	72201907	72202298	+	0.000	0.000	Merged-chr5-72202096-40
Merged-chr19-43520668-20	chr19	43520540	43520827	+	0.000	0.000	Merged-chr19-43520668-20
Merged-chr1-193329343-4	chr1	193329103	193329491	+	0.000	0.000	Merged-chr1-193329343-4
Merged-chr19-18608128-29	chr19	18607848	18608608	+	0.000	0.000	Merged-chr19-18608128-29
Merged-chr6-129746313-15	chr6	129745955	129746659	+	0.000	0.000	Merged-chr6-129746313-15
Merged-chr7-28693715-55	chr7	28693438	28694100	+	0.000	0.000	Merged-chr7-28693715-55
Merged-chr3-137934133-15	chr3	137933902	137934311	+	0.000	0.000	Merged-chr3-137934133-15
Merged-chr7-110204373-3	chr7	110204199	110204534	+	0.000	0.000	Merged-chr7-110204373-3
Merged-chr13-45932644-29	chr13	45932413	45932938	+	0.000	0.000	Merged-chr13-45932644-29
Merged-chr10-127177268-1	chr10	127177170	127177368	+	0.000	0.000	Merged-chr10-127177268-1
