#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-DKO_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Tfh_vs_Naive.dn.bed
Merged-chr7-49822338-8	chr7	49822164	49822503	+	0.000	0.000	Merged-chr7-49822338-8
Merged-chr11-97996066-44	chr11	97995873	97996339	+	0.000	0.000	Merged-chr11-97996066-44
Merged-chr11-69420254-1	chr11	69420156	69420354	+	0.000	0.000	Merged-chr11-69420254-1
Merged-chr15-66883922-10	chr15	66883727	66884094	+	0.000	0.000	Merged-chr15-66883922-10
Merged-chr7-68070882-29	chr7	68070595	68071134	+	0.000	0.000	Merged-chr7-68070882-29
Merged-chr6-41535560-1	chr6	41535462	41535660	+	0.000	0.000	Merged-chr6-41535560-1
Merged-chr17-29973396-19	chr17	29973206	29973607	+	0.000	0.000	Merged-chr17-29973396-19
Merged-chr12-54188383-1	chr12	54188285	54188483	+	0.000	0.000	Merged-chr12-54188383-1
Merged-chr15-53309792-8	chr15	53309522	53309977	+	0.000	0.000	Merged-chr15-53309792-8
Merged-chr19-32153668-1	chr19	32153570	32153768	+	0.000	0.000	Merged-chr19-32153668-1
Merged-chr19-46466303-17	chr19	46466096	46466556	+	0.000	0.000	Merged-chr19-46466303-17
Merged-chr4-140750542-28	chr4	140750295	140750757	+	0.000	0.000	Merged-chr4-140750542-28
Merged-chr12-80109164-14	chr12	80108998	80109361	+	0.000	0.000	Merged-chr12-80109164-14
Merged-chr13-55114934-9	chr13	55114730	55115180	+	0.000	0.000	Merged-chr13-55114934-9
Merged-chr3-137867826-61	chr3	137867256	137868076	+	0.000	0.000	Merged-chr3-137867826-61
Merged-chr18-54901247-4	chr18	54901022	54901541	+	0.000	0.000	Merged-chr18-54901247-4
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr2-136008735-1	chr2	136008637	136008835	+	0.000	0.000	Merged-chr2-136008735-1
Merged-chr10-17512175-6	chr10	17512000	17512321	+	0.000	0.000	Merged-chr10-17512175-6
Merged-chr10-96624524-1	chr10	96624426	96624624	+	0.000	0.000	Merged-chr10-96624524-1
Merged-chr16-57423352-49	chr16	57423181	57423571	+	0.000	0.000	Merged-chr16-57423352-49
Merged-chr13-28952592-13	chr13	28952329	28952893	+	0.000	0.000	Merged-chr13-28952592-13
Merged-chr10-68089835-22	chr10	68089630	68090047	+	0.000	0.000	Merged-chr10-68089835-22
Merged-chr6-41541875-48	chr6	41541462	41542133	+	0.000	0.000	Merged-chr6-41541875-48
Merged-chr14-8632387-8	chr14	8632184	8632583	+	0.000	0.000	Merged-chr14-8632387-8
Merged-chr4-149216177-1	chr4	149216079	149216277	+	0.000	0.000	Merged-chr4-149216177-1
Merged-chr12-15967723-42	chr12	15967474	15967919	+	0.000	0.000	Merged-chr12-15967723-42
Merged-chr7-67953943-1	chr7	67953845	67954043	+	0.000	0.000	Merged-chr7-67953943-1
Merged-chr2-135944053-1	chr2	135943955	135944153	+	0.000	0.000	Merged-chr2-135944053-1
Merged-chr4-102968093-31	chr4	102967895	102968306	+	0.000	0.000	Merged-chr4-102968093-31
Merged-chr18-9450048-96	chr18	9449849	9450447	+	0.000	0.000	Merged-chr18-9450048-96
Merged-chr19-60757842-2	chr19	60757744	60757942	+	0.000	0.000	Merged-chr19-60757842-2
Merged-chr2-174566072-46	chr2	174565900	174566250	+	0.000	0.000	Merged-chr2-174566072-46
Merged-chr15-57696203-3	chr15	57696079	57696332	+	0.000	0.000	Merged-chr15-57696203-3
Merged-chr6-129273203-1	chr6	129273105	129273303	+	0.000	0.000	Merged-chr6-129273203-1
Merged-chr7-49520386-1	chr7	49520288	49520486	+	0.000	0.000	Merged-chr7-49520386-1
Merged-chr11-84057403-1	chr11	84057305	84057503	+	0.000	0.000	Merged-chr11-84057403-1
Merged-chr13-95524749-120	chr13	95524449	95525271	+	0.000	0.000	Merged-chr13-95524749-120
Merged-chr7-4427414-39	chr7	4427235	4427662	+	0.000	0.000	Merged-chr7-4427414-39
Merged-chr13-44839797-1	chr13	44839699	44839897	+	0.000	0.000	Merged-chr13-44839797-1
Merged-chr10-121290125-10	chr10	121289906	121290309	+	0.000	0.000	Merged-chr10-121290125-10
Merged-chr4-118360056-83	chr4	118359837	118360304	+	0.000	0.000	Merged-chr4-118360056-83
Merged-chr10-67502221-1	chr10	67502123	67502321	+	0.000	0.000	Merged-chr10-67502221-1
Merged-chr15-27856538-51	chr15	27856271	27856806	+	0.000	0.000	Merged-chr15-27856538-51
Merged-chr8-105496928-38	chr8	105496719	105497139	+	0.000	0.000	Merged-chr8-105496928-38
Merged-chr3-89730861-61	chr3	89730589	89731073	+	0.000	0.000	Merged-chr3-89730861-61
Merged-chr10-19934742-4	chr10	19934630	19934857	+	0.000	0.000	Merged-chr10-19934742-4
Merged-chr8-14941287-35	chr8	14941111	14941441	+	0.000	0.000	Merged-chr8-14941287-35
Merged-chr7-49468133-37	chr7	49467878	49468390	+	0.000	0.000	Merged-chr7-49468133-37
Merged-chr10-96519469-9	chr10	96519275	96519660	+	0.000	0.000	Merged-chr10-96519469-9
Merged-chr11-98001521-17	chr11	98001331	98001848	+	0.000	0.000	Merged-chr11-98001521-17
Merged-chr14-101510851-45	chr14	101510597	101511121	+	0.000	0.000	Merged-chr14-101510851-45
Merged-chr6-99375217-98	chr6	99374339	99375903	+	0.000	0.000	Merged-chr6-99375217-98
Merged-chr17-34235127-37	chr17	34234871	34235318	+	0.000	0.000	Merged-chr17-34235127-37
Merged-chr4-94614502-53	chr4	94614269	94614816	+	0.000	0.000	Merged-chr4-94614502-53
Merged-chr4-6980389-8	chr4	6980239	6980552	+	0.000	0.000	Merged-chr4-6980389-8
Merged-chr12-36042318-87	chr12	36042072	36042769	+	0.000	0.000	Merged-chr12-36042318-87
Merged-chr5-114194325-12	chr5	114194157	114194526	+	0.000	0.000	Merged-chr5-114194325-12
Merged-chr10-14045187-25	chr10	14044982	14045436	+	0.000	0.000	Merged-chr10-14045187-25
Merged-chr1-119504796-62	chr1	119504341	119505036	+	0.000	0.000	Merged-chr1-119504796-62
Merged-chr15-97970403-1	chr15	97970305	97970503	+	0.000	0.000	Merged-chr15-97970403-1
Merged-chr6-99498294-17	chr6	99498055	99498517	+	0.000	0.000	Merged-chr6-99498294-17
Merged-chr6-117874923-6	chr6	117874776	117875069	+	0.000	0.000	Merged-chr6-117874923-6
Merged-chr4-137883798-33	chr4	137883579	137884079	+	0.000	0.000	Merged-chr4-137883798-33
Merged-chr1-128790963-21	chr1	128790514	128791316	+	0.000	0.000	Merged-chr1-128790963-21
Merged-chr10-13988804-2	chr10	13988670	13988940	+	0.000	0.000	Merged-chr10-13988804-2
Merged-chr6-57581740-8	chr6	57581599	57581883	+	0.000	0.000	Merged-chr6-57581740-8
Merged-chr2-132040154-56	chr2	132039928	132040374	+	0.000	0.000	Merged-chr2-132040154-56
Merged-chr9-57147720-2	chr9	57147605	57147838	+	0.000	0.000	Merged-chr9-57147720-2
Merged-chr10-17443586-1	chr10	17443488	17443686	+	0.000	0.000	Merged-chr10-17443586-1
Merged-chr18-79234491-26	chr18	79234204	79234782	+	0.000	0.000	Merged-chr18-79234491-26
Merged-chr19-5802452-32	chr19	5802144	5802709	+	0.000	0.000	Merged-chr19-5802452-32
Merged-chr2-135981518-2	chr2	135981395	135981643	+	0.000	0.000	Merged-chr2-135981518-2
Merged-chr10-96664143-52	chr10	96663836	96664442	+	0.000	0.000	Merged-chr10-96664143-52
Merged-chr2-18937882-20	chr2	18937736	18938082	+	0.000	0.000	Merged-chr2-18937882-20
Merged-chr3-121178059-1	chr3	121177961	121178159	+	0.000	0.000	Merged-chr3-121178059-1
Merged-chr2-61474781-19	chr2	61474615	61475038	+	0.000	0.000	Merged-chr2-61474781-19
Merged-chr6-41534400-3	chr6	41534144	41534677	+	0.000	0.000	Merged-chr6-41534400-3
Merged-chr4-154961400-31	chr4	154961105	154961819	+	0.000	0.000	Merged-chr4-154961400-31
Merged-chr2-18952458-63	chr2	18952127	18952859	+	0.000	0.000	Merged-chr2-18952458-63
Merged-chr19-34314624-1	chr19	34314526	34314724	+	0.000	0.000	Merged-chr19-34314624-1
Merged-chr7-128653548-3	chr7	128653393	128653696	+	0.000	0.000	Merged-chr7-128653548-3
Merged-chr2-122469407-42	chr2	122469153	122469591	+	0.000	0.000	Merged-chr2-122469407-42
Merged-chr6-41535046-6	chr6	41534750	41535384	+	0.000	0.000	Merged-chr6-41535046-6
Merged-chr14-31569304-6	chr14	31569114	31569476	+	0.000	0.000	Merged-chr14-31569304-6
Merged-chr7-35992831-7	chr7	35992627	35993039	+	0.000	0.000	Merged-chr7-35992831-7
Merged-chr5-118048714-34	chr5	118048417	118049073	+	0.000	0.000	Merged-chr5-118048714-34
Merged-chr2-156970494-23	chr2	156970226	156970871	+	0.000	0.000	Merged-chr2-156970494-23
Merged-chr3-154571852-1	chr3	154571754	154571952	+	0.000	0.000	Merged-chr3-154571852-1
Merged-chr5-72636293-57	chr5	72636044	72636552	+	0.000	0.000	Merged-chr5-72636293-57
Merged-chr16-97459755-2	chr16	97459648	97459865	+	0.000	0.000	Merged-chr16-97459755-2
Merged-chr1-119504128-1	chr1	119504030	119504228	+	0.000	0.000	Merged-chr1-119504128-1
Merged-chr14-14703754-4	chr14	14703637	14703875	+	0.000	0.000	Merged-chr14-14703754-4
Merged-chr7-80729984-22	chr7	80729785	80730304	+	0.000	0.000	Merged-chr7-80729984-22
Merged-chr18-78912645-1	chr18	78912547	78912745	+	0.000	0.000	Merged-chr18-78912645-1
Merged-chr17-84308630-3	chr17	84308504	84308772	+	0.000	0.000	Merged-chr17-84308630-3
Merged-chr5-128981776-29	chr5	128981574	128981979	+	0.000	0.000	Merged-chr5-128981776-29
Merged-chr2-61497944-5	chr2	61497767	61498092	+	0.000	0.000	Merged-chr2-61497944-5
Merged-chr2-174010285-2	chr2	174010140	174010432	+	0.000	0.000	Merged-chr2-174010285-2
Merged-chr15-28021766-8	chr15	28021631	28021919	+	0.000	0.000	Merged-chr15-28021766-8
Merged-chr3-101066330-34	chr3	101066110	101066644	+	0.000	0.000	Merged-chr3-101066330-34
Merged-chr11-46404706-1	chr11	46404608	46404806	+	0.000	0.000	Merged-chr11-46404706-1
Merged-chr15-58215186-88	chr15	58214712	58215525	+	0.000	0.000	Merged-chr15-58215186-88
