#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
Merged-chr9-123818061-5	chr9	123817884	123818236	+	0.000	0.000	Merged-chr9-123818061-5
Merged-chr12-99392913-146	chr12	99392584	99393546	+	0.000	0.000	Merged-chr12-99392913-146
Merged-chr9-123872293-49	chr9	123872062	123872623	+	0.000	0.000	Merged-chr9-123872293-49
Merged-chr1-60904643-1	chr1	60904545	60904743	+	0.000	0.000	Merged-chr1-60904643-1
Merged-chr5-74195264-55	chr5	74195076	74195512	+	0.000	0.000	Merged-chr5-74195264-55
Merged-chr16-75863644-1	chr16	75863546	75863744	+	0.000	0.000	Merged-chr16-75863644-1
Merged-chr9-120080082-9	chr9	120079930	120080208	+	0.000	0.000	Merged-chr9-120080082-9
Merged-chr9-48793966-3	chr9	48793820	48794106	+	0.000	0.000	Merged-chr9-48793966-3
Merged-chr14-78631890-10	chr14	78631598	78632170	+	0.000	0.000	Merged-chr14-78631890-10
Merged-chr6-50503365-20	chr6	50503066	50503658	+	0.000	0.000	Merged-chr6-50503365-20
Merged-chr10-95395228-39	chr10	95394943	95395487	+	0.000	0.000	Merged-chr10-95395228-39
Merged-chr7-100121422-67	chr7	100121216	100121664	+	0.000	0.000	Merged-chr7-100121422-67
Merged-chr16-10959125-1	chr16	10959027	10959225	+	0.000	0.000	Merged-chr16-10959125-1
Merged-chr10-117981589-6	chr10	117981430	117981773	+	0.000	0.000	Merged-chr10-117981589-6
Merged-chr2-144331122-48	chr2	144330616	144331604	+	0.000	0.000	Merged-chr2-144331122-48
Merged-chr5-140210596-1	chr5	140210498	140210696	+	0.000	0.000	Merged-chr5-140210596-1
Merged-chr2-36198591-9	chr2	36198409	36198742	+	0.000	0.000	Merged-chr2-36198591-9
Merged-chr1-161748373-32	chr1	161748179	161748645	+	0.000	0.000	Merged-chr1-161748373-32
Merged-chr13-113635077-5	chr13	113634960	113635206	+	0.000	0.000	Merged-chr13-113635077-5
Merged-chr6-122756168-13	chr6	122755953	122756404	+	0.000	0.000	Merged-chr6-122756168-13
