#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-Prdm1KO_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Prdm1KO_Tfh_vs_Naive.dn.bed
Merged-chr11-97996066-44	chr11	97995873	97996339	+	0.000	0.000	Merged-chr11-97996066-44
Merged-chr11-115707585-1	chr11	115707487	115707685	+	0.000	0.000	Merged-chr11-115707585-1
Merged-chr16-11565406-13	chr16	11564942	11565636	+	0.000	0.000	Merged-chr16-11565406-13
Merged-chr4-95967301-62	chr4	95967114	95967597	+	0.000	0.000	Merged-chr4-95967301-62
Merged-chr7-68070882-29	chr7	68070595	68071134	+	0.000	0.000	Merged-chr7-68070882-29
Merged-chr11-60114477-20	chr11	60114287	60114634	+	0.000	0.000	Merged-chr11-60114477-20
Merged-chr17-29973396-19	chr17	29973206	29973607	+	0.000	0.000	Merged-chr17-29973396-19
Merged-chr1-180922382-17	chr1	180922175	180922690	+	0.000	0.000	Merged-chr1-180922382-17
Merged-chr7-24373607-36	chr7	24373355	24373859	+	0.000	0.000	Merged-chr7-24373607-36
Merged-chr1-172148309-80	chr1	172147867	172148540	+	0.000	0.000	Merged-chr1-172148309-80
Merged-chr12-73923880-28	chr12	73923690	73924076	+	0.000	0.000	Merged-chr12-73923880-28
Merged-chr5-97095556-15	chr5	97095299	97095811	+	0.000	0.000	Merged-chr5-97095556-15
Merged-chr15-27466741-82	chr15	27466401	27467104	+	0.000	0.000	Merged-chr15-27466741-82
Merged-chr11-90250924-1	chr11	90250826	90251024	+	0.000	0.000	Merged-chr11-90250924-1
Merged-chr19-46466303-17	chr19	46466096	46466556	+	0.000	0.000	Merged-chr19-46466303-17
Merged-chr8-79375141-3	chr8	79374988	79375283	+	0.000	0.000	Merged-chr8-79375141-3
Merged-chr4-140750542-28	chr4	140750295	140750757	+	0.000	0.000	Merged-chr4-140750542-28
Merged-chr11-3331619-2	chr11	3331521	3331719	+	0.000	0.000	Merged-chr11-3331619-2
Merged-chr12-80109164-14	chr12	80108998	80109361	+	0.000	0.000	Merged-chr12-80109164-14
Merged-chrX-136640017-3	chrX	136639900	136640132	+	0.000	0.000	Merged-chrX-136640017-3
Merged-chr8-72354274-101	chr8	72353659	72354747	+	0.000	0.000	Merged-chr8-72354274-101
Merged-chr10-118797511-13	chr10	118797353	118797685	+	0.000	0.000	Merged-chr10-118797511-13
Merged-chr12-79209041-47	chr12	79208759	79209435	+	0.000	0.000	Merged-chr12-79209041-47
Merged-chr2-136008735-1	chr2	136008637	136008835	+	0.000	0.000	Merged-chr2-136008735-1
