#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1.up.bed
Merged-chr7-30665007-40	chr7	30664807	30665269	+	0.000	0.000	Merged-chr7-30665007-40
Merged-chr17-47533990-17	chr17	47533678	47534302	+	0.000	0.000	Merged-chr17-47533990-17
Merged-chr12-99392913-146	chr12	99392584	99393546	+	0.000	0.000	Merged-chr12-99392913-146
Merged-chr9-123872293-49	chr9	123872062	123872623	+	0.000	0.000	Merged-chr9-123872293-49
Merged-chr1-60904643-1	chr1	60904545	60904743	+	0.000	0.000	Merged-chr1-60904643-1
Merged-chr11-75195247-19	chr11	75194894	75195504	+	0.000	0.000	Merged-chr11-75195247-19
Merged-chr5-74195264-55	chr5	74195076	74195512	+	0.000	0.000	Merged-chr5-74195264-55
Merged-chr16-75863644-1	chr16	75863546	75863744	+	0.000	0.000	Merged-chr16-75863644-1
Merged-chr9-48793966-3	chr9	48793820	48794106	+	0.000	0.000	Merged-chr9-48793966-3
Merged-chr3-59219511-3	chr3	59219398	59219636	+	0.000	0.000	Merged-chr3-59219511-3
Merged-chr6-50503365-20	chr6	50503066	50503658	+	0.000	0.000	Merged-chr6-50503365-20
Merged-chr10-95395228-39	chr10	95394943	95395487	+	0.000	0.000	Merged-chr10-95395228-39
Merged-chr7-100121422-67	chr7	100121216	100121664	+	0.000	0.000	Merged-chr7-100121422-67
Merged-chr16-10959125-1	chr16	10959027	10959225	+	0.000	0.000	Merged-chr16-10959125-1
Merged-chr10-117981589-6	chr10	117981430	117981773	+	0.000	0.000	Merged-chr10-117981589-6
Merged-chr5-140210596-1	chr5	140210498	140210696	+	0.000	0.000	Merged-chr5-140210596-1
Merged-chr2-36198591-9	chr2	36198409	36198742	+	0.000	0.000	Merged-chr2-36198591-9
Merged-chr15-55847334-38	chr15	55847018	55847711	+	0.000	0.000	Merged-chr15-55847334-38
Merged-chr11-107452175-23	chr11	107451872	107452443	+	0.000	0.000	Merged-chr11-107452175-23
Merged-chr13-113635077-5	chr13	113634960	113635206	+	0.000	0.000	Merged-chr13-113635077-5
Merged-chr6-122756168-13	chr6	122755953	122756404	+	0.000	0.000	Merged-chr6-122756168-13
Merged-chr3-19307844-1	chr3	19307746	19307944	+	0.000	0.000	Merged-chr3-19307844-1
Merged-chr3-107061699-25	chr3	107061522	107061901	+	0.000	0.000	Merged-chr3-107061699-25
Merged-chr4-9641752-1	chr4	9641654	9641852	+	0.000	0.000	Merged-chr4-9641752-1
Merged-chr18-66478119-35	chr18	66477751	66478372	+	0.000	0.000	Merged-chr18-66478119-35
Merged-chr6-129680529-50	chr6	129680355	129680775	+	0.000	0.000	Merged-chr6-129680529-50
Merged-chr8-33641932-61	chr8	33641712	33642149	+	0.000	0.000	Merged-chr8-33641932-61
Merged-chr1-161767386-1	chr1	161767288	161767486	+	0.000	0.000	Merged-chr1-161767386-1
Merged-chr13-53009922-14	chr13	53009665	53010104	+	0.000	0.000	Merged-chr13-53009922-14
Merged-chr13-6081654-1	chr13	6081556	6081754	+	0.000	0.000	Merged-chr13-6081654-1
Merged-chr6-54155596-1	chr6	54155498	54155696	+	0.000	0.000	Merged-chr6-54155596-1
Merged-chr2-125724208-99	chr2	125723415	125724945	+	0.000	0.000	Merged-chr2-125724208-99
Merged-chr1-16105621-1	chr1	16105523	16105721	+	0.000	0.000	Merged-chr1-16105621-1
Merged-chr8-120832220-19	chr8	120831975	120832440	+	0.000	0.000	Merged-chr8-120832220-19
Merged-chr4-15317490-9	chr4	15317278	15317723	+	0.000	0.000	Merged-chr4-15317490-9
Merged-chr11-16952284-5	chr11	16952118	16952418	+	0.000	0.000	Merged-chr11-16952284-5
Merged-chr5-124022476-27	chr5	124022253	124022756	+	0.000	0.000	Merged-chr5-124022476-27
Merged-chr13-108354064-1	chr13	108353966	108354164	+	0.000	0.000	Merged-chr13-108354064-1
Merged-chr7-110223070-7	chr7	110222840	110223214	+	0.000	0.000	Merged-chr7-110223070-7
Merged-chr5-137655034-3	chr5	137654870	137655171	+	0.000	0.000	Merged-chr5-137655034-3
Merged-chr19-10881047-16	chr19	10880769	10881184	+	0.000	0.000	Merged-chr19-10881047-16
Merged-chr10-117839249-9	chr10	117838972	117839463	+	0.000	0.000	Merged-chr10-117839249-9
Merged-chr17-47592565-1	chr17	47592467	47592665	+	0.000	0.000	Merged-chr17-47592565-1
Merged-chr11-106961822-47	chr11	106961526	106962150	+	0.000	0.000	Merged-chr11-106961822-47
Merged-chr10-21907668-2	chr10	21907570	21907768	+	0.000	0.000	Merged-chr10-21907668-2
Merged-chr18-70652436-42	chr18	70652079	70652846	+	0.000	0.000	Merged-chr18-70652436-42
Merged-chr4-150808794-106	chr4	150808440	150809100	+	0.000	0.000	Merged-chr4-150808794-106
Merged-chr6-51593053-1	chr6	51592955	51593153	+	0.000	0.000	Merged-chr6-51593053-1
Merged-chr1-60853628-46	chr1	60853300	60854215	+	0.000	0.000	Merged-chr1-60853628-46
Merged-chr5-146860764-19	chr5	146860563	146861000	+	0.000	0.000	Merged-chr5-146860764-19
Merged-chr7-90353995-46	chr7	90353761	90354202	+	0.000	0.000	Merged-chr7-90353995-46
Merged-chr6-97311537-77	chr6	97311342	97311904	+	0.000	0.000	Merged-chr6-97311537-77
Merged-chr11-5878307-47	chr11	5878128	5878545	+	0.000	0.000	Merged-chr11-5878307-47
Merged-chr13-108337522-5	chr13	108337348	108337677	+	0.000	0.000	Merged-chr13-108337522-5
Merged-chr11-75200180-3	chr11	75200005	75200322	+	0.000	0.000	Merged-chr11-75200180-3
Merged-chr17-77514015-1	chr17	77513917	77514115	+	0.000	0.000	Merged-chr17-77514015-1
Merged-chr5-140151320-8	chr5	140151133	140151529	+	0.000	0.000	Merged-chr5-140151320-8
Merged-chr9-119067852-20	chr9	119067616	119068111	+	0.000	0.000	Merged-chr9-119067852-20
Merged-chr2-132843527-2	chr2	132843423	132843633	+	0.000	0.000	Merged-chr2-132843527-2
Merged-chr2-154569753-87	chr2	154569524	154569949	+	0.000	0.000	Merged-chr2-154569753-87
Merged-chr11-98942713-4	chr11	98942608	98942816	+	0.000	0.000	Merged-chr11-98942713-4
Merged-chr1-60920511-54	chr1	60920166	60920817	+	0.000	0.000	Merged-chr1-60920511-54
Merged-chr7-89235505-11	chr7	89235260	89235887	+	0.000	0.000	Merged-chr7-89235505-11
Merged-chr5-120714481-12	chr5	120714244	120714692	+	0.000	0.000	Merged-chr5-120714481-12
Merged-chr13-35808207-14	chr13	35808006	35808405	+	0.000	0.000	Merged-chr13-35808207-14
