#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_I--ATAC_peaks.bed all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-STAT4_WT_Tfh_vs_WT_Tfh.up.bed
Merged-chr7-74527841-31	chr7	74527600	74528045	+	0.000	0.000	Merged-chr7-74527841-31
Merged-chr8-94191444-39	chr8	94191237	94191663	+	0.000	0.000	Merged-chr8-94191444-39
Merged-chr16-49807399-74	chr16	49807203	49807730	+	0.000	0.000	Merged-chr16-49807399-74
Merged-chrX-85870308-29	chrX	85869828	85870687	+	0.000	0.000	Merged-chrX-85870308-29
Merged-chr17-31855032-7	chr17	31854895	31855206	+	0.000	0.000	Merged-chr17-31855032-7
Merged-chr1-38884000-31	chr1	38883672	38884240	+	0.000	0.000	Merged-chr1-38884000-31
Merged-chr18-4350540-2	chr18	4350442	4350640	+	0.000	0.000	Merged-chr18-4350540-2
Merged-chr14-20180981-13	chr14	20180713	20181154	+	0.000	0.000	Merged-chr14-20180981-13
Merged-chr2-167337077-7	chr2	167336879	167337233	+	0.000	0.000	Merged-chr2-167337077-7
Merged-chr18-56718597-44	chr18	56718323	56718890	+	0.000	0.000	Merged-chr18-56718597-44
Merged-chr1-127646440-21	chr1	127646110	127646636	+	0.000	0.000	Merged-chr1-127646440-21
Merged-chr11-96034910-37	chr11	96034657	96035238	+	0.000	0.000	Merged-chr11-96034910-37
Merged-chr17-25255345-21	chr17	25255098	25255789	+	0.000	0.000	Merged-chr17-25255345-21
Merged-chr14-121372467-99	chr14	121371790	121373313	+	0.000	0.000	Merged-chr14-121372467-99
Merged-chr19-6980205-101	chr19	6979934	6980450	+	0.000	0.000	Merged-chr19-6980205-101
Merged-chr7-140987400-4	chr7	140987221	140987534	+	0.000	0.000	Merged-chr7-140987400-4
Merged-chr16-91688812-60	chr16	91688611	91689039	+	0.000	0.000	Merged-chr16-91688812-60
Merged-chr16-44242893-16	chr16	44242752	44243089	+	0.000	0.000	Merged-chr16-44242893-16
Merged-chr9-122241103-26	chr9	122240715	122241310	+	0.000	0.000	Merged-chr9-122241103-26
Merged-chr8-86821129-24	chr8	86820923	86821350	+	0.000	0.000	Merged-chr8-86821129-24
Merged-chr17-50171299-20	chr17	50171060	50171598	+	0.000	0.000	Merged-chr17-50171299-20
Merged-chr1-58624351-1	chr1	58624253	58624451	+	0.000	0.000	Merged-chr1-58624351-1
Merged-chr12-54985589-169	chr12	54984857	54985877	+	0.000	0.000	Merged-chr12-54985589-169
Merged-chrX-71378738-26	chrX	71378502	71378987	+	0.000	0.000	Merged-chrX-71378738-26
Merged-chr3-9974623-36	chr3	9974374	9974824	+	0.000	0.000	Merged-chr3-9974623-36
Merged-chr1-191803516-12	chr1	191803298	191803814	+	0.000	0.000	Merged-chr1-191803516-12
Merged-chr6-108713801-1	chr6	108713703	108713901	+	0.000	0.000	Merged-chr6-108713801-1
Merged-chr5-139290875-38	chr5	139290611	139291146	+	0.000	0.000	Merged-chr5-139290875-38
Merged-chr6-86806631-9	chr6	86806411	86806856	+	0.000	0.000	Merged-chr6-86806631-9
Merged-chr1-134078832-110	chr1	134078318	134079573	+	0.000	0.000	Merged-chr1-134078832-110
Merged-chr3-9921866-1	chr3	9921768	9921966	+	0.000	0.000	Merged-chr3-9921866-1
Merged-chr2-75792320-53	chr2	75791495	75792852	+	0.000	0.000	Merged-chr2-75792320-53
Merged-chr2-75823994-29	chr2	75823769	75824239	+	0.000	0.000	Merged-chr2-75823994-29
Merged-chr4-8854131-25	chr4	8853958	8854344	+	0.000	0.000	Merged-chr4-8854131-25
Merged-chr3-59258266-13	chr3	59258033	59258443	+	0.000	0.000	Merged-chr3-59258266-13
Merged-chr17-29094794-108	chr17	29093527	29095765	+	0.000	0.000	Merged-chr17-29094794-108
Merged-chr2-126500731-7	chr2	126500548	126500907	+	0.000	0.000	Merged-chr2-126500731-7
Merged-chr3-89964407-4	chr3	89964193	89964575	+	0.000	0.000	Merged-chr3-89964407-4
Merged-chr19-43520668-20	chr19	43520540	43520827	+	0.000	0.000	Merged-chr19-43520668-20
Merged-chr7-106526868-10	chr7	106526721	106527028	+	0.000	0.000	Merged-chr7-106526868-10
Merged-chr13-45932644-29	chr13	45932413	45932938	+	0.000	0.000	Merged-chr13-45932644-29
Merged-chr3-95942857-2	chr3	95942742	95942975	+	0.000	0.000	Merged-chr3-95942857-2
Merged-chr9-64797036-1	chr9	64796938	64797136	+	0.000	0.000	Merged-chr9-64797036-1
Merged-chr16-38476690-56	chr16	38476352	38477118	+	0.000	0.000	Merged-chr16-38476690-56
Merged-chr8-70343919-5	chr8	70343748	70344074	+	0.000	0.000	Merged-chr8-70343919-5
Merged-chr18-84079336-1	chr18	84079238	84079436	+	0.000	0.000	Merged-chr18-84079336-1
Merged-chr17-44569876-1	chr17	44569778	44569976	+	0.000	0.000	Merged-chr17-44569876-1
Merged-chr11-101661964-4	chr11	101661851	101662071	+	0.000	0.000	Merged-chr11-101661964-4
Merged-chr4-155481605-29	chr4	155481394	155481833	+	0.000	0.000	Merged-chr4-155481605-29
Merged-chr14-99865135-2	chr14	99865028	99865244	+	0.000	0.000	Merged-chr14-99865135-2
Merged-chr14-77848610-6	chr14	77848455	77848833	+	0.000	0.000	Merged-chr14-77848610-6
Merged-chr1-138964274-4	chr1	138964155	138964387	+	0.000	0.000	Merged-chr1-138964274-4
Merged-chr2-65238613-163	chr2	65238346	65239218	+	0.000	0.000	Merged-chr2-65238613-163
Merged-chr1-191422042-56	chr1	191421563	191422659	+	0.000	0.000	Merged-chr1-191422042-56
Merged-chr5-134244216-41	chr5	134243972	134244555	+	0.000	0.000	Merged-chr5-134244216-41
Merged-chr7-114066923-10	chr7	114066635	114067127	+	0.000	0.000	Merged-chr7-114066923-10
Merged-chr16-17131609-8	chr16	17131392	17131756	+	0.000	0.000	Merged-chr16-17131609-8
Merged-chr18-20982591-12	chr18	20982391	20982829	+	0.000	0.000	Merged-chr18-20982591-12
Merged-chr10-8177786-7	chr10	8177614	8177927	+	0.000	0.000	Merged-chr10-8177786-7
Merged-chr5-30073390-59	chr5	30073005	30073751	+	0.000	0.000	Merged-chr5-30073390-59
Merged-chr14-121368379-5	chr14	121368281	121368481	+	0.000	0.000	Merged-chr14-121368379-5
Merged-chr1-172502591-1	chr1	172502493	172502691	+	0.000	0.000	Merged-chr1-172502591-1
Merged-chr4-135312758-1	chr4	135312660	135312858	+	0.000	0.000	Merged-chr4-135312758-1
Merged-chr1-43299668-27	chr1	43299399	43299889	+	0.000	0.000	Merged-chr1-43299668-27
Merged-chr13-75845828-42	chr13	75845415	75846034	+	0.000	0.000	Merged-chr13-75845828-42
Merged-chr2-180438318-9	chr2	180438011	180438500	+	0.000	0.000	Merged-chr2-180438318-9
Merged-chr2-112556082-2	chr2	112555967	112556200	+	0.000	0.000	Merged-chr2-112556082-2
Merged-chr2-129199928-7	chr2	129199578	129200284	+	0.000	0.000	Merged-chr2-129199928-7
Merged-chr5-115013221-2	chr5	115013085	115013360	+	0.000	0.000	Merged-chr5-115013221-2
Merged-chrX-167105630-1	chrX	167105532	167105730	+	0.000	0.000	Merged-chrX-167105630-1
Merged-chr4-89393499-15	chr4	89393284	89393768	+	0.000	0.000	Merged-chr4-89393499-15
Merged-chr5-124539005-4	chr5	124538841	124539180	+	0.000	0.000	Merged-chr5-124539005-4
Merged-chr2-163745502-6	chr2	163745201	163745694	+	0.000	0.000	Merged-chr2-163745502-6
Merged-chr10-19598256-42	chr10	19598065	19598531	+	0.000	0.000	Merged-chr10-19598256-42
Merged-chr2-128159167-18	chr2	128158986	128159397	+	0.000	0.000	Merged-chr2-128159167-18
Merged-chr11-6444447-69	chr11	6444227	6444773	+	0.000	0.000	Merged-chr11-6444447-69
Merged-chr3-86758843-24	chr3	86758610	86759043	+	0.000	0.000	Merged-chr3-86758843-24
Merged-chr19-6951320-68	chr19	6950538	6951778	+	0.000	0.000	Merged-chr19-6951320-68
Merged-chr19-12571951-5	chr19	12571787	12572100	+	0.000	0.000	Merged-chr19-12571951-5
Merged-chr2-180741561-6	chr2	180741432	180741711	+	0.000	0.000	Merged-chr2-180741561-6
Merged-chr4-138216948-119	chr4	138216613	138217386	+	0.000	0.000	Merged-chr4-138216948-119
Merged-chr16-77020436-25	chr16	77020227	77020667	+	0.000	0.000	Merged-chr16-77020436-25
Merged-chr2-9876651-15	chr2	9876261	9877150	+	0.000	0.000	Merged-chr2-9876651-15
Merged-chr17-83862747-3	chr17	83862525	83862916	+	0.000	0.000	Merged-chr17-83862747-3
Merged-chr1-80181298-9	chr1	80181148	80181431	+	0.000	0.000	Merged-chr1-80181298-9
Merged-chrX-106013363-5	chrX	106013154	106013545	+	0.000	0.000	Merged-chrX-106013363-5
Merged-chr9-64797561-46	chr9	64797234	64797792	+	0.000	0.000	Merged-chr9-64797561-46
Merged-chr12-24651602-128	chr12	24651368	24651850	+	0.000	0.000	Merged-chr12-24651602-128
Merged-chr1-171699154-28	chr1	171698863	171699467	+	0.000	0.000	Merged-chr1-171699154-28
