#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_Naive.dn.bed
Merged-chr11-115707585-1	chr11	115707487	115707685	+	0.000	0.000	Merged-chr11-115707585-1
Merged-chr4-95967301-62	chr4	95967114	95967597	+	0.000	0.000	Merged-chr4-95967301-62
Merged-chr1-39918723-4	chr1	39918586	39918871	+	0.000	0.000	Merged-chr1-39918723-4
Merged-chr8-79375141-3	chr8	79374988	79375283	+	0.000	0.000	Merged-chr8-79375141-3
Merged-chr11-3331619-2	chr11	3331521	3331719	+	0.000	0.000	Merged-chr11-3331619-2
Merged-chr19-7057059-1	chr19	7056961	7057159	+	0.000	0.000	Merged-chr19-7057059-1
Merged-chr11-3144953-42	chr11	3144240	3145479	+	0.000	0.000	Merged-chr11-3144953-42
Merged-chr9-14200294-59	chr9	14199941	14200852	+	0.000	0.000	Merged-chr9-14200294-59
Merged-chr17-3081586-1	chr17	3081488	3081686	+	0.000	0.000	Merged-chr17-3081586-1
Merged-chr4-32239199-133	chr4	32238811	32239429	+	0.000	0.000	Merged-chr4-32239199-133
Merged-chr19-44284219-69	chr19	44283760	44284579	+	0.000	0.000	Merged-chr19-44284219-69
Merged-chr11-3328528-3	chr11	3328422	3328633	+	0.000	0.000	Merged-chr11-3328528-3
Merged-chr8-14978690-4	chr8	14978502	14978951	+	0.000	0.000	Merged-chr8-14978690-4
Merged-chr19-55137510-21	chr19	55137196	55137879	+	0.000	0.000	Merged-chr19-55137510-21
Merged-chr11-54958732-50	chr11	54958538	54958913	+	0.000	0.000	Merged-chr11-54958732-50
Merged-chrX-75734287-49	chrX	75733804	75734533	+	0.000	0.000	Merged-chrX-75734287-49
Merged-chr3-95645551-28	chr3	95645253	95645800	+	0.000	0.000	Merged-chr3-95645551-28
Merged-chr14-62761015-141	chr14	62760567	62761571	+	0.000	0.000	Merged-chr14-62761015-141
Merged-chr11-69633408-1	chr11	69633310	69633508	+	0.000	0.000	Merged-chr11-69633408-1
Merged-chr10-19122454-26	chr10	19122224	19122660	+	0.000	0.000	Merged-chr10-19122454-26
Merged-chr2-68338493-1	chr2	68338395	68338593	+	0.000	0.000	Merged-chr2-68338493-1
Merged-chr7-73542202-1	chr7	73542104	73542302	+	0.000	0.000	Merged-chr7-73542202-1
Merged-chr9-7870801-10	chr9	7870572	7871086	+	0.000	0.000	Merged-chr9-7870801-10
Merged-chr15-100041039-1	chr15	100040941	100041139	+	0.000	0.000	Merged-chr15-100041039-1
