#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Tfh.dn.bed
Merged-chr4-95967301-62	chr4	95967114	95967597	+	0.000	0.000	Merged-chr4-95967301-62
Merged-chr2-17672509-1	chr2	17672411	17672609	+	0.000	0.000	Merged-chr2-17672509-1
Merged-chr12-117639216-79	chr12	117638625	117639742	+	0.000	0.000	Merged-chr12-117639216-79
Merged-chr6-134065266-5	chr6	134065096	134065437	+	0.000	0.000	Merged-chr6-134065266-5
Merged-chr11-109371349-1	chr11	109371251	109371449	+	0.000	0.000	Merged-chr11-109371349-1
Merged-chr1-39918723-4	chr1	39918586	39918871	+	0.000	0.000	Merged-chr1-39918723-4
Merged-chr8-79375141-3	chr8	79374988	79375283	+	0.000	0.000	Merged-chr8-79375141-3
Merged-chr10-118797511-13	chr10	118797353	118797685	+	0.000	0.000	Merged-chr10-118797511-13
Merged-chr10-128613030-64	chr10	128612827	128613306	+	0.000	0.000	Merged-chr10-128613030-64
Merged-chr15-59540764-1	chr15	59540666	59540864	+	0.000	0.000	Merged-chr15-59540764-1
Merged-chr4-144892002-3	chr4	144891904	144892102	+	0.000	0.000	Merged-chr4-144892002-3
Merged-chr16-24163558-22	chr16	24163058	24164102	+	0.000	0.000	Merged-chr16-24163558-22
Merged-chr11-3144953-42	chr11	3144240	3145479	+	0.000	0.000	Merged-chr11-3144953-42
Merged-chr14-118705752-1	chr14	118705654	118705852	+	0.000	0.000	Merged-chr14-118705752-1
Merged-chr9-14200294-59	chr9	14199941	14200852	+	0.000	0.000	Merged-chr9-14200294-59
Merged-chr17-3081586-1	chr17	3081488	3081686	+	0.000	0.000	Merged-chr17-3081586-1
Merged-chr4-63852768-8	chr4	63852615	63852979	+	0.000	0.000	Merged-chr4-63852768-8
Merged-chr10-111369263-16	chr10	111369033	111369504	+	0.000	0.000	Merged-chr10-111369263-16
Merged-chr4-32239199-133	chr4	32238811	32239429	+	0.000	0.000	Merged-chr4-32239199-133
Merged-chr11-32020422-50	chr11	32019990	32020648	+	0.000	0.000	Merged-chr11-32020422-50
Merged-chr19-44284219-69	chr19	44283760	44284579	+	0.000	0.000	Merged-chr19-44284219-69
Merged-chr8-14978690-4	chr8	14978502	14978951	+	0.000	0.000	Merged-chr8-14978690-4
Merged-chr15-59524338-1	chr15	59524240	59524438	+	0.000	0.000	Merged-chr15-59524338-1
Merged-chr11-54958732-50	chr11	54958538	54958913	+	0.000	0.000	Merged-chr11-54958732-50
Merged-chrX-75734287-49	chrX	75733804	75734533	+	0.000	0.000	Merged-chrX-75734287-49
Merged-chr6-67480682-22	chr6	67480267	67481014	+	0.000	0.000	Merged-chr6-67480682-22
Merged-chr4-34551500-9	chr4	34551385	34551649	+	0.000	0.000	Merged-chr4-34551500-9
Merged-chr12-81971712-84	chr12	81971382	81971984	+	0.000	0.000	Merged-chr12-81971712-84
Merged-chr11-69633408-1	chr11	69633310	69633508	+	0.000	0.000	Merged-chr11-69633408-1
Merged-chr9-35199813-60	chr9	35199531	35200198	+	0.000	0.000	Merged-chr9-35199813-60
Merged-chr10-19122454-26	chr10	19122224	19122660	+	0.000	0.000	Merged-chr10-19122454-26
Merged-chr7-73542202-1	chr7	73542104	73542302	+	0.000	0.000	Merged-chr7-73542202-1
Merged-chr12-73880274-74	chr12	73879737	73880932	+	0.000	0.000	Merged-chr12-73880274-74
Merged-chr19-41895161-4	chr19	41895018	41895305	+	0.000	0.000	Merged-chr19-41895161-4
Merged-chr11-3133574-54	chr11	3133217	3133837	+	0.000	0.000	Merged-chr11-3133574-54
Merged-chr17-22081170-26	chr17	22080797	22081494	+	0.000	0.000	Merged-chr17-22081170-26
Merged-chr15-100041039-1	chr15	100040941	100041139	+	0.000	0.000	Merged-chr15-100041039-1
Merged-chr18-64925642-4	chr18	64925450	64925875	+	0.000	0.000	Merged-chr18-64925642-4
Merged-chr8-126595306-20	chr8	126595097	126595596	+	0.000	0.000	Merged-chr8-126595306-20
Merged-chr12-112959295-1	chr12	112959197	112959395	+	0.000	0.000	Merged-chr12-112959295-1
Merged-chr7-125575832-4	chr7	125575630	125576009	+	0.000	0.000	Merged-chr7-125575832-4
Merged-chr9-94698356-7	chr9	94698121	94698633	+	0.000	0.000	Merged-chr9-94698356-7
