chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr3,37204242,37204430,x,,,,x,,
chr3,37205365,37205543,x,,,,x,,
chr3,37229387,37229553,x,,,,x,x,
chr3,37229818,37229968,,x,,,,,
chr3,37282943,37283093,,x,,,,,
chr3,37284124,37284274,,x,,,,,
chr3,37287598,37287791,,x,,,x,,
chr3,37173339,37173598,x,x,x,x,x,x,x
chr3,37174653,37175072,x,x,x,x,x,x,x
chr3,37219172,37219575,x,x,x,x,x,x,x
chr3,37271242,37271555,x,x,x,x,x,x,x
chr3,37280818,37281271,x,x,x,x,x,x,x
chr3,37291184,37291334,,,,,,,x
chr3,37229006,37229156,,,,,,,x
chr3,37209619,37209769,,,,,,x,
chr3,37243932,37244090,,,,,,x,x
chr3,37292106,37292256,,,,,x,,
chr3,37244107,37244257,,,,,x,,
chr3,37208540,37208772,,,,,x,x,
chr3,37228250,37228489,,,,,x,x,
chr3,37273295,37273573,,x,x,x,,,x
chr3,37204805,37205049,,x,x,x,,x,x
chr3,37272406,37272841,,x,x,x,x,x,
chr3,37280451,37280635,x,x,x,,,,
chr3,37263243,37263548,x,x,x,,,,x
chr3,37198941,37199222,x,x,x,,,,x
chr3,37257804,37258095,x,x,x,,x,x,x
chr3,37231183,37231505,x,x,x,,x,x,x
chr3,37232760,37232955,x,x,x,,x,x,x
chr3,37259622,37259895,x,x,x,,x,x,x
chr3,37268380,37268742,x,x,x,,x,x,x
chr3,37179991,37180282,,,x,x,,,x
chr3,37176538,37176709,,x,x,,,,
chr3,37229180,37229356,,x,x,,,,
chr3,37291567,37291828,,x,x,,,x,
chr3,37183328,37183639,,x,x,,x,x,
chr3,37283556,37284020,x,x,,x,x,x,x
chr3,37283170,37283320,,,x,,,,
chr3,37194818,37194968,,,,x,,,
chr3,37201460,37201610,,,,x,,,
chr3,37274469,37274668,,,,x,x,,
chr3,37273017,37273167,x,,,,,,
chr3,37291837,37291987,x,,,,,,
chr3,37282163,37282313,x,,,,,,
chr3,37282755,37282905,x,,,,,,
