chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr9,44477978,44478447,x,x,x,,x,x,x
chr9,44479746,44480064,x,x,x,x,x,x,x
chr9,44482760,44483362,x,x,x,x,x,x,x
chr9,44483684,44484144,x,,x,,,,x
chr9,44494780,44495087,x,x,x,x,x,x,x
chr9,44495885,44496035,,,,x,,,
chr9,44498199,44498538,x,x,x,x,x,x,x
chr9,44501978,44502295,x,x,x,x,x,x,x
chr9,44510056,44510679,x,x,x,x,x,x,x
chr9,44515573,44515902,x,x,x,x,x,x,x
chr9,44517593,44517816,x,x,x,x,x,x,x
chr9,44526486,44526814,x,x,x,x,x,x,x
chr9,44528336,44528486,,,,,x,,
chr9,44533183,44533463,x,x,x,x,x,x,x
chr9,44537847,44538275,x,x,x,,x,x,x
chr9,44548843,44549098,x,x,x,x,x,x,x
chr9,44555070,44555453,,x,x,,x,x,
chr9,44555696,44555846,,,,,x,x,
chr9,44562659,44563272,x,x,x,x,x,x,x
chr9,44565443,44565695,,,x,,x,x,x
chr9,44567888,44568149,x,x,x,x,x,x,x
chr9,44579461,44579732,x,x,x,x,x,x,x
chr9,44581590,44582131,x,x,x,x,x,x,x
chr9,44582480,44582703,x,x,x,x,x,x,x
chr9,44587891,44588202,,x,,,x,x,
chr9,44599006,44599156,,,,,,x,
chr9,44602848,44602998,,x,x,x,x,x,
chr9,44603189,44603641,x,x,x,x,x,x,x
chr9,44604368,44604518,,,x,,,,
chr9,44604954,44605298,x,x,x,x,x,x,x
