chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr11,52074732,52075240,x,x,x,,,x,
chr11,52075752,52075902,,,,,,,
chr11,52076184,52076474,x,x,x,x,x,x,x
chr11,52080110,52080309,x,x,x,,x,,
chr11,52098721,52099172,x,x,x,x,x,x,x
chr11,52109383,52109854,x,x,x,x,x,x,x
chr11,52119965,52120379,x,,,,,,x
chr11,52129174,52129324,x,,,,,,
chr11,52143839,52144071,,x,x,x,x,x,
chr11,52167582,52168385,x,x,x,,x,x,x
chr11,52180464,52180767,x,x,x,x,,,x
chr11,52220356,52220709,x,x,x,,x,x,x
chr11,52222864,52223131,x,,,,,,x
chr11,52224252,52224553,x,x,x,x,x,x,x
chr11,52231893,52232340,x,x,x,x,x,x,x
chr11,52241057,52241317,,,,x,x,x,
chr11,52248738,52248888,,,,x,,,
chr11,52249723,52250669,,x,x,x,x,x,
chr11,52251886,52252036,,,,x,,,
chr11,52253920,52254363,x,x,x,x,,x,x
chr11,52255179,52255422,,,x,x,,,
chr11,52260935,52261196,x,x,x,,x,x,x
chr11,52262009,52262305,,x,x,,x,x,x
chr11,52265809,52266042,x,x,x,x,x,x,x
chr11,52268411,52268662,x,x,x,x,x,x,x
chr11,52273909,52274311,x,x,x,x,,,x
chr11,52274841,52275548,x,x,x,x,x,x,x
chr11,52281005,52281385,,x,x,x,,,x
chr11,52281852,52282002,,,,,,,
chr11,52282980,52283637,x,x,x,x,x,x,x
chr11,52284124,52284398,,x,x,x,x,x,x
chr11,52294186,52294554,x,x,x,x,x,x,x
chr11,52297512,52297662,,,x,,,,
chr11,52299558,52299914,x,x,x,x,x,x,x
chr11,52305311,52305554,,x,x,,,,
chr11,52309483,52309829,,x,,x,,x,
chr11,52310848,52311109,x,x,x,x,x,x,x
chr11,52314137,52314589,x,x,x,x,x,x,x
chr11,52318561,52318811,x,x,x,x,x,x,x
chr11,52320570,52320764,,,,x,x,x,
chr11,52321650,52321879,,,,x,x,x,
chr11,52324690,52324990,,x,x,,x,x,
chr11,52327300,52327822,x,x,x,x,x,x,
chr11,52332659,52332931,,x,x,x,x,x,
chr11,52333821,52334106,x,x,x,,x,x,x
chr11,52335983,52336222,,,,x,x,x,
chr11,52337996,52338169,,x,,x,,,
chr11,52341002,52341413,x,x,x,x,x,x,x
chr11,52342357,52342593,,,,x,x,x,
chr11,52343137,52343508,,,x,,x,,
chr11,52345243,52345393,,,,x,,,
chr11,52346246,52346781,x,x,x,x,x,x,x
chr11,52350976,52351231,x,x,x,x,x,x,x
chr11,52352388,52352538,,,,x,,,
chr11,52360798,52361150,x,x,x,x,x,x,x
chr11,52374371,52374521,x,,,,,,
chr11,52396507,52396828,x,x,x,x,x,x,x
chr11,52419450,52419737,x,x,x,,,,x
chr11,52421406,52421613,x,x,,,,,
chr11,52458950,52459100,x,,,,,,
