chr,start,end,Bcl6KO_Th1,DKO_Tfh,DKO_Th1,Naive,Prdm1KO_Tfh,WT_Tfh,WT_Th1
chr1,61001641,61001921,x,,,,x,,
chr1,60996508,60996752,x,,,,x,,x
chr1,60996288,60996438,,x,,,,,
chr1,61004099,61004249,,x,,,,,
chr1,61001412,61001567,,x,,,,x,
chr1,60999841,61000018,,x,,,x,,
chr1,60974027,60974379,x,x,x,x,x,x,x
chr1,60977754,60978001,x,x,x,x,x,x,x
chr1,61016669,61017128,x,x,x,x,x,x,x
chr1,60990237,60990610,x,x,x,x,x,x,x
chr1,60973038,60973188,,,,,,,x
chr1,61001977,61002127,,,,,,,x
chr1,60971059,60971209,,,,,,x,
chr1,61000077,61000227,,,,,,x,
chr1,60975962,60976112,,,,,x,,
chr1,61000623,61000773,,,,,x,,
chr1,61022571,61022812,,,,,x,x,
chr1,61003504,61003791,,,,,x,x,x
chr1,61003129,61003382,x,x,x,,,,
chr1,60984966,60985337,x,x,x,,x,x,x
chr1,60983101,60983261,,x,x,,,,
chr1,60997467,60997621,,x,x,,,,
chr1,60960836,60961273,x,x,,x,,,x
chr1,61001229,61001379,,,x,,,,
chr1,61002161,61002311,,,x,,,,
chr1,61017400,61017550,,,x,,,,
chr1,60979228,60979721,x,x,,,x,x,x
chr1,60986153,60986400,,,,x,,x,
chr1,60960529,60960679,x,,,,,,
